sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
1,0.6300297,0.495,0.17,1.2279975,0.5240032,0.25678474,0.33360952138900757,17.0
0,0.6693079,0.52,0.14,1.3008341,0.6722372,0.24833459,0.33500000834465027,10.0
1,0.6872443,0.53942454,0.20440575,1.6363194,0.67578155,0.31906793,0.48804527521133423,14.0
2,0.425,0.3,0.09,0.40311366,0.16986535,0.086684756,0.09772809594869614,9.0
2,0.46721277,0.355,0.125,0.49915612,0.24744761,0.08391753,0.13508808612823486,9.0
0,0.594359,0.45,0.12,0.98492306,0.4017166,0.23195213,0.2880699932575226,10.0
0,0.538387,0.4055567,0.12,0.85736006,0.37003624,0.14353068,0.26596465706825256,9.0
0,0.505,0.3927997,0.145,0.69186544,0.23266251,0.16590956,0.23814284801483154,14.0
0,0.64906055,0.5,0.19,1.5826035,0.778857,0.40492174,0.3454297184944153,10.0
0,0.535,0.425,0.165,0.8827919,0.3925996,0.16181982,0.2719636857509613,13.0
1,0.61,0.46,0.155,1.0476813,0.45059016,0.2810542,0.2701963484287262,8.0
2,0.26306173,0.18266308,0.085,0.10688356,0.05946438,0.016898049,0.029825950041413307,5.0
0,0.5941734,0.455,0.15,1.1661706,0.4723197,0.23281552,0.34002548456192017,15.0
2,0.5150808,0.38752455,0.09103988,0.49298862,0.2156543,0.12728085,0.14822269976139069,9.0
1,0.37,0.24769545,0.115,0.29477167,0.15104958,0.08613349,0.06995687633752823,12.0
0,0.3301133,0.21257745,0.075,0.1237713,0.022497442,0.037386358,0.0448782779276371,10.0
1,0.6610242,0.51,0.175,1.4032375,0.65708137,0.35957882,0.33500000834465027,11.0
2,0.5,0.35197678,0.105,0.38613743,0.18394874,0.079980426,0.11247020959854126,12.0
2,0.5969905,0.455,0.155,0.96941537,0.39550218,0.19249025,0.29417094588279724,11.0
0,0.57692647,0.45,0.175,0.974681,0.36914638,0.22303253,0.3098161220550537,12.0
1,0.58196783,0.455,0.15689977,1.1123934,0.50112534,0.24225678,0.29187479615211487,11.0
1,0.6163169,0.485,0.18512096,1.0617404,0.43644205,0.22441721,0.30940359830856323,17.0
2,0.52,0.38,0.13,0.7180766,0.30351114,0.14662789,0.20192578434944153,9.0
1,0.615,0.455,0.17818272,1.1833829,0.44172758,0.34125382,0.3216535449028015,11.0
2,0.25635964,0.17106716,0.065,0.06987472,0.036576997,0.010354047,0.02103041112422943,4.0
0,0.34697583,0.25868416,0.12,0.24811885,0.08290613,0.053269863,0.10483677685260773,15.0
2,0.475,0.335,0.11291493,0.42149755,0.22544792,0.0993091,0.09636235982179642,12.0
1,0.5445681,0.42,0.16,0.76973903,0.3429585,0.15173508,0.22491003572940826,9.0
2,0.38879475,0.29271924,0.1,0.28094554,0.15401426,0.05097933,0.07583418488502502,7.0
