age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
19.0,4,104698.24,15,4,3,1,4,1,0.0,0.0,45.0,39.0,0
38.0,4,107205.54,7,2,3,0,4,1,0.0,0.0,40.0,39.0,1
40.0,1,154081.55,6,2,8,3,4,0,0.0,0.0,8.0,39.0,0
54.0,4,198228.1,11,2,3,0,4,1,0.0,0.0,30.0,26.0,0
57.0,4,164259.23,11,0,4,1,4,0,0.0,0.0,40.0,39.0,0
20.0,4,277932.4,11,2,1,3,4,0,0.0,0.0,40.0,39.0,0
58.0,4,157819.1,11,2,3,0,2,1,99999.0,0.0,40.0,39.0,1
42.0,4,90491.58,4,2,3,0,1,1,0.0,0.0,40.0,0.0,0
42.0,4,178814.61,11,2,4,0,4,1,0.0,0.0,45.0,39.0,0
40.0,4,38205.01,11,0,13,1,4,0,0.0,0.0,40.0,39.0,0
49.0,4,30696.057,11,2,14,0,4,1,0.0,0.0,40.0,39.0,0
60.0,4,111737.11,7,2,12,0,4,1,0.0,0.0,50.0,39.0,1
54.0,4,320279.47,9,2,4,0,4,1,0.0,0.0,50.0,39.0,1
50.961475,0,266679.53,11,4,0,1,4,0,0.0,0.0,40.0,39.0,0
22.0,4,197727.62,15,4,1,4,4,0,0.0,0.0,40.0,39.0,0
40.0,4,38607.66,15,2,1,0,4,1,0.0,0.0,99.0,39.0,0
45.478764,2,117815.21,12,0,10,1,4,0,0.0,0.0,48.0,39.0,1
40.0,4,216208.78,9,2,4,0,4,1,0.0,0.0,45.0,39.0,0
42.0,6,262534.3,11,2,10,0,4,1,0.0,0.0,55.0,39.0,0
63.93403,7,84184.305,7,2,5,0,4,1,0.0,0.0,40.0,39.0,1
31.0,4,56786.594,11,0,3,3,4,1,0.0,0.0,40.0,39.0,0
40.0,6,187037.56,11,2,3,0,4,1,0.0,0.0,50.0,39.0,1
42.0,0,175872.02,15,4,1,1,4,0,0.0,3544.623046875,40.0,39.0,0
36.0,4,372592.7,9,2,1,0,4,1,0.0,0.0,40.0,39.0,0
64.0,4,130828.02,12,0,7,0,4,1,0.0,0.0,35.0,0.0,1
37.0,4,79311.95,15,4,8,3,4,0,0.0,0.0,40.0,39.0,0
38.0,4,330421.84,15,2,3,0,4,1,0.0,0.0,40.0,39.0,0
38.0,4,182657.75,15,2,10,0,4,1,0.0,0.0,45.0,39.0,1
46.0,6,106076.94,15,2,3,0,4,1,0.0,0.0,40.0,39.0,1
55.0,4,182472.61,9,2,4,0,4,1,0.0,0.0,40.0,39.0,0
44.0,4,123480.8,11,0,12,1,4,0,0.0,0.0,30.0,39.0,0
45.85809,6,218062.62,9,2,10,0,4,1,0.0,1871.7122802734375,60.0,39.0,1
54.0,1,397990.12,5,2,3,0,4,1,0.0,0.0,40.0,39.0,0
30.0,4,166646.48,15,0,4,4,4,0,0.0,0.0,40.0,39.0,0
59.0,0,68935.555,11,2,0,0,4,1,0.0,0.0,30.0,5.076099395751953,0
18.0,4,280927.16,15,2,1,3,2,0,0.0,0.0,38.0,39.0,0
39.0,4,279301.3,11,0,3,1,4,1,0.0,0.0,40.0,39.0,1
24.0,4,152137.31,11,4,1,1,4,0,0.0,4250.6416015625,45.0,39.0,0
43.0,1,69363.88,9,2,7,0,4,1,0.0,0.0,45.0,39.0,1
48.0,4,36178.867,11,2,4,0,4,1,0.0,0.0,40.0,39.0,0
24.0,4,386059.47,9,4,4,3,2,0,0.0,0.0,35.0,39.0,0
42.0,6,133784.02,8,4,12,1,4,1,0.0,0.0,60.0,39.0,0
38.0,4,86797.16,11,2,7,1,4,1,0.0,0.0,50.0,39.0,0
