longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.12,40.504146575927734,24.0,1020.51526,173.59145,681.50397,172.24568,2.872528,107408.6875,1
-118.24,33.63999938964844,52.0,4183.7,1419.3856,2344.1155,1263.5421,2.5206943,500001.0,4
-121.87,37.492095947265625,37.0,1599.2737,315.84042,774.2059,290.3181,3.3326967,299618.5,4
-118.25,33.959999084472656,29.858755,2867.4668,432.75064,1297.5171,435.606,6.5916996,275000.0,0
-118.44616,34.267189025878906,31.0,1570.2642,294.5405,858.773,283.0,3.553899,159012.953125,0
-117.97,33.90999984741211,25.0,4259.569,667.64764,2600.8962,664.9766,5.9474463,248079.640625,0
-122.219025,36.34712600708008,29.0,836.2877,164.18605,482.65634,158.10802,3.7934086,213384.84375,4
-119.26506,36.81394958496094,31.0,1863.156,357.46674,1132.2733,346.73712,3.0281982,95203.71875,1
-117.92282,37.33338165283203,28.0,1991.5399,450.94864,1117.4299,374.47995,2.0585835,108853.6171875,1
-118.835945,34.257266998291016,27.713287,2982.2202,566.44775,1126.6317,488.9911,3.8791127,234672.640625,4
-118.24,33.959999084472656,33.0,2141.5542,636.0237,2114.402,591.544,1.8014134,118133.78125,0
-118.554,34.099998474121094,49.0,1894.1102,590.7318,1660.4994,527.9914,1.1492271,109294.953125,0
-120.63746,34.13999938964844,52.0,3612.5967,1010.1174,2067.3335,957.16754,2.9165425,358374.25,0
-117.24,33.810001373291016,28.0,4912.0093,833.3007,1954.4825,698.34357,4.0266104,137500.0,1
-117.15026,32.9718017578125,8.138834,5216.349,767.00085,1499.8445,663.57245,6.44194,296666.96875,0
-118.56517,34.150001525878906,17.0,1896.8575,361.0,753.6439,324.37537,5.299058,274969.6875,0
-122.08,39.74930191040039,9.0,2767.6174,567.681,981.4437,453.22757,2.8071659,111876.9296875,1
-122.44,37.880001068115234,35.0,1976.2361,422.0,686.53326,352.1908,3.4145498,236760.578125,3
-118.07,34.0,37.0,10211.418,619.9252,2412.7278,782.7648,15.0001,500001.0,4
-121.37,38.93129348754883,14.0,3026.4072,515.77936,1033.8817,457.81387,3.5561419,134452.75,1
-119.79717,37.709999084472656,19.701855,1361.777,263.1851,763.3662,248.23083,2.672152,96602.4453125,1
-118.19,33.97999954223633,34.0,1993.692,410.94336,1154.809,380.96893,3.6242373,177841.3125,0
-118.08,33.83000183105469,22.488499,5796.869,998.20746,2501.744,987.5271,3.9027932,439660.5625,4
-118.40552,34.060001373291016,25.477808,2295.0264,431.8936,1396.3961,423.8988,4.6016645,187751.28125,0
-117.07,33.95988082885742,6.0,5051.648,991.88043,2249.9028,782.278,3.5436873,116332.4921875,1
-121.312225,34.130001068115234,10.0,2737.6895,620.52356,1720.8948,577.66064,3.4616683,111422.7890625,0
-116.99226,32.59907913208008,28.0,1507.7605,284.0,1116.9167,282.39832,4.708313,96776.3046875,4
-117.96,33.97494125366211,23.0,2817.7217,473.35104,1145.6814,416.39835,4.708725,153278.578125,4
-122.07,37.4227180480957,27.0,2037.0032,366.95477,897.9293,353.59286,4.561578,350584.125,4
-119.29939,37.64104461669922,18.0,5570.41,738.87177,2969.1687,749.76556,6.0812154,183704.078125,1
-117.465065,33.031097412109375,23.0,1766.021,292.01343,1113.8093,297.0,6.0352616,225939.0625,0
-122.49,37.81181716918945,27.0,1722.6914,298.71136,754.13837,283.0,6.2392135,308222.15625,0
-122.09,38.64104461669922,31.0,1856.127,387.2002,1290.6346,370.2781,1.9194566,57163.234375,1
-118.31,33.880001068115234,23.574026,1083.4688,278.12274,786.2786,272.0,2.7281373,250799.953125,0
-118.32,34.029998779296875,52.0,4591.259,1625.7125,3618.9434,1533.7758,1.9424193,244117.5625,0
