class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,123.642426,920.51324,617.5569,697.4409,67.416985
0,107.1268,187.92186,76.63093,382.1548,36.972286
0,115.95803,216.87456,99.33937,644.3577,28.851841
0,132.52415,255.20567,153.66133,344.3504,37.393486
1,125.00046,185.4707,104.82026,321.645,17.351902
0,130.70808,218.28235,99.529045,459.7458,22.862278
0,152.9484,221.6062,101.29825,709.4032,15.159846
0,116.23065,261.04254,179.32544,393.44345,16.697042
0,119.211624,235.6626,113.177086,569.90234,19.310652
0,142.84882,211.80728,92.80567,592.20996,18.667032
0,113.554276,217.08974,99.05268,651.93567,13.938773
0,130.61667,245.14253,114.828926,880.45764,32.953556
0,121.19611,222.32652,106.49848,446.82758,54.355194
0,123.93734,199.80385,86.91121,582.5492,33.79092
0,123.9334,229.50082,101.94227,720.9129,23.244823
0,116.04534,253.67145,170.3408,381.06708,24.983145
0,118.89322,229.02705,103.53545,651.7269,23.659424
0,137.16078,225.959,99.4194,563.9033,22.151663
0,117.09065,242.11119,164.2749,359.55203,16.874952
0,120.07807,228.13069,112.21541,597.68726,16.72614
0,137.11725,220.4865,108.2125,372.87164,28.838379
0,117.341125,239.01537,110.39548,682.5631,24.486822
0,132.89845,308.34964,216.44472,435.78085,18.585205
0,119.84054,203.82948,92.87517,504.6229,29.76043
0,143.00331,240.0815,112.77571,715.9472,20.022877
0,135.6872,186.89854,78.83533,372.89594,26.0861
0,114.79415,203.01788,86.15679,538.25024,31.443884
0,114.93133,282.2078,122.14437,572.6845,6.786481
0,152.11641,217.1984,94.56502,536.8661,27.729208
0,122.47186,173.58882,76.11248,232.56602,21.702562
0,110.188515,228.4838,107.142555,733.9084,17.357857
0,128.92526,199.2563,86.638504,412.41266,25.223663
0,141.42516,235.12111,105.594124,697.531,16.55031
0,122.576775,539.99695,464.1479,345.2856,18.67542
0,131.12689,201.25356,90.44154,431.05933,27.908915
0,111.50438,205.41693,90.941475,475.57016,27.08468
0,127.36391,196.44835,83.160614,345.42117,35.840904
