age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
61,0,268455,15,0,0,4,2,0,3206,0,36,39,0
19,4,173643,15,4,6,3,4,1,0,0,21,39,0
25,4,188447,10,4,14,1,4,1,0,0,50,39,0
33,4,21017,9,4,1,3,4,0,0,0,50,39,0
20,4,214011,2,4,8,3,2,0,0,0,36,39,0
50,4,213777,11,4,8,3,4,0,3191,0,38,39,0
29,4,163291,11,0,1,1,4,0,0,0,40,39,0
50,4,102935,6,2,3,0,4,1,0,1892,50,39,0
35,6,34882,9,4,12,1,1,0,3257,0,5,39,0
60,7,240812,15,0,4,4,4,1,0,0,40,39,0
36,4,134261,11,4,8,3,2,0,0,0,38,39,0
42,2,160635,11,2,13,0,4,1,0,0,40,39,1
50,4,111896,4,5,7,4,2,0,0,0,40,39,0
26,4,482209,11,4,8,1,4,0,0,0,40,39,0
42,7,92849,11,2,3,0,4,1,0,0,40,39,0
38,4,50502,11,4,4,1,4,1,0,0,80,39,0
52,1,88308,10,2,10,0,4,1,0,0,50,39,1
38,4,76793,15,0,1,1,4,0,0,0,40,39,0
38,6,40024,11,2,1,5,4,0,0,0,19,39,0
26,4,221258,15,0,3,2,4,1,0,0,40,39,0
25,4,173790,12,4,13,1,4,1,0,0,50,11,0
34,4,143967,15,4,1,3,4,1,0,0,35,39,0
36,4,32511,11,2,3,0,4,1,0,0,29,39,0
43,2,347805,12,0,10,4,4,0,0,0,44,39,1
21,7,57283,15,4,1,2,4,0,0,0,40,39,0
23,5,228354,9,2,12,0,4,1,0,0,43,39,0
50,4,163049,11,5,1,1,4,0,0,0,40,39,0
48,4,158666,15,2,7,0,4,1,0,1891,40,39,1
57,6,474100,4,2,3,0,4,1,0,0,57,26,0
39,4,98217,11,2,4,0,4,1,0,1872,50,39,1
23,4,205527,11,4,12,1,4,0,0,0,40,39,0
51,7,132254,9,2,4,0,4,1,0,1891,40,39,1
64,6,235756,12,2,10,0,4,1,0,0,50,39,0
60,4,146794,11,0,3,1,4,1,0,0,40,39,0
43,4,154661,11,4,4,1,4,0,0,0,45,39,0
61,4,210294,12,4,10,1,4,1,0,0,50,39,1
34,4,653063,3,4,1,1,2,1,0,0,50,0,0
23,4,264179,2,4,6,2,4,0,0,0,40,39,0
20,4,197024,1,4,9,3,4,0,0,0,12,39,0
51,4,183630,5,2,7,0,4,1,0,0,40,39,1
21,4,145569,15,2,4,0,4,1,0,0,40,39,0
33,4,271401,9,0,1,2,2,0,0,0,40,39,0
42,1,124847,15,5,1,1,4,0,0,0,40,39,0
50,5,184961,9,4,8,1,4,1,0,0,35,39,0
30,2,329379,1,4,12,4,2,1,0,0,24,39,0
29,4,314844,11,0,1,4,4,0,0,0,40,39,0
34,6,324838,11,4,5,1,4,1,0,0,34,39,0
60,4,407443,15,0,3,1,4,1,0,0,43,39,0
48,6,172633,11,2,14,0,4,1,0,0,40,39,0
27,4,43858,11,4,3,3,4,1,0,0,40,39,0
17,0,180007,15,4,0,3,4,1,0,0,16,39,0
45,4,104431,12,2,10,0,4,1,0,0,40,39,0
38,4,105282,9,0,1,1,4,0,0,0,64,39,0
25,4,127054,9,4,13,1,4,0,0,0,40,39,0
56,1,218243,15,2,1,5,2,0,0,0,40,39,1
38,7,161766,11,4,4,1,2,1,14890,0,40,39,0
20,4,176285,11,4,6,1,2,1,0,0,40,39,0
27,6,107987,14,4,10,1,4,0,0,1994,34,39,0
48,4,144573,9,2,1,0,4,1,0,0,50,39,0
35,4,218221,15,2,1,5,2,0,3784,0,40,23,0
31,4,201361,9,4,14,1,2,1,0,0,46,0,0
30,4,234772,15,4,1,1,4,0,0,0,35,39,0
31,4,87675,0,2,1,0,4,1,0,0,4,39,0
30,4,250949,15,0,12,4,4,0,0,0,40,39,0
