longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-117.29839324951172,33.74374771118164,10,6087,1277,3289,836,4.450979709625244,0,207701.8333262642
-120.95650482177734,38.820438385009766,26,1635,497,1156,345,1.8252990245819092,1,99133.90555413927
-120.89837646484375,36.300140380859375,14,2604,418,1036,322,6.1583380699157715,0,325375.2817084686
-121.58505249023438,39.31221389770508,35,1921,413,642,364,2.318618059158325,1,95942.6194183488
-119.68915557861328,36.48634338378906,24,2578,645,838,562,2.2986764907836914,0,63979.84568775132
-118.46089935302734,35.553993225097656,34,1029,332,576,258,1.0259284973144531,1,103765.55016344716
-119.3772964477539,36.10503005981445,29,1733,317,580,277,5.045835018157959,1,153335.95469511457
-122.41763305664062,38.30746078491211,22,5884,970,2369,956,6.014166355133057,0,341769.63148519344
-118.23248291015625,34.19099807739258,34,4406,730,986,446,6.9527201652526855,0,495444.83294583915
-117.22232818603516,33.529727935791016,16,2933,331,487,239,8.38129997253418,0,493227.14897879167
-122.05794525146484,38.8101921081543,50,2689,768,899,625,2.4495532512664795,3,171108.39586688628
-122.79204559326172,37.632049560546875,41,1948,483,574,353,2.5440449714660645,0,240056.3261791629
-120.96726989746094,38.392574310302734,23,954,270,425,123,2.228163003921509,1,55675.74383781362
-121.67047119140625,37.62435531616211,43,6978,569,3555,617,8.015106201171875,3,499257.3722560165
-122.50096893310547,37.63988494873047,51,3367,314,1075,324,3.7057414054870605,3,301337.60591458133
-117.9696273803711,33.505516052246094,35,1101,370,333,195,3.173236608505249,0,244406.00118871097
-118.30704498291016,34.023738861083984,35,1781,355,1430,308,4.920686721801758,0,198627.41710029764
-118.02352905273438,33.82979202270508,51,838,284,478,151,3.126096487045288,0,130700.6607934007
-117.80157470703125,34.02022933959961,18,1291,176,461,113,6.162546157836914,0,450073.50910351565
-119.28889465332031,34.70977783203125,26,987,197,590,167,4.734661102294922,0,314077.41990288935
-121.02404022216797,39.42884063720703,21,4707,864,2060,658,3.4066929817199707,1,78193.64008321159
-119.59984588623047,35.213897705078125,34,2040,395,772,234,2.696906328201294,0,208385.8448863225
-117.19314575195312,33.36328887939453,37,837,159,160,81,7.298359394073486,4,477660.73324155185
-118.50840759277344,33.95433807373047,43,3034,533,1151,499,4.971420764923096,0,230816.91757490876
-118.10104370117188,34.4726676940918,17,2118,688,1288,365,2.3561670780181885,1,109033.77624792441
-122.43146514892578,37.748435974121094,43,3804,810,1443,766,7.125044822692871,3,498049.62319111446
-117.29670715332031,33.67173385620117,7,9131,1645,4631,1004,2.8564469814300537,0,135743.33821120314
-122.52252960205078,37.83293533325195,27,1965,465,1608,339,5.208198070526123,4,221880.18921424774
-118.83497619628906,35.487770080566406,25,3087,539,2236,365,4.614418983459473,3,161661.4793445944
-121.14921569824219,36.5175895690918,25,2200,657,1605,424,2.6704485416412354,0,185334.4552653659
-118.20719146728516,34.194793701171875,18,9789,1313,5048,1139,8.829606056213379,0,401194.59446430486
-120.59603118896484,38.57038116455078,33,2330,613,1693,834,1.507555365562439,1,98592.03056479285
-117.68586730957031,35.37710952758789,35,5086,969,2795,1169,3.0316901206970215,1,66798.06019725537
-122.75934600830078,38.848411560058594,32,1422,328,508,288,3.3298633098602295,4,300023.3728042634
-119.0024185180664,36.220279693603516,28,2226,491,1930,312,2.8046910762786865,1,87996.01200119987
-121.95384216308594,37.68992233276367,22,2173,377,877,256,3.9128220081329346,0,253715.69751558406
-117.67582702636719,33.67213439941406,24,7917,1663,3018,1807,1.9801321029663086,0,223856.44252181484
-121.78020477294922,37.009620666503906,19,2960,799,2070,661,4.089216232299805,0,325560.9880039343
-118.42022705078125,34.065242767333984,37,2408,382,1172,445,4.893607139587402,0,163587.5811012547
-121.98819732666016,37.72169494628906,30,4695,758,3268,686,6.9742560386657715,3,270751.8084422477
-118.39485931396484,34.25230407714844,19,5805,1027,4575,680,6.348900318145752,0,183745.13208759794
-119.90943145751953,36.544288635253906,20,1832,280,711,314,4.639674186706543,1,218549.84339937344
-118.4580307006836,33.86325454711914,36,3228,584,1300,419,6.112377166748047,0,235809.0260358752
-122.7677001953125,38.518585205078125,31,869,188,210,93,3.651073932647705,4,267033.2382624785
-117.7101821899414,33.8361701965332,21,3982,628,1632,750,4.392459392547607,0,221673.43464342406
-116.71903228759766,33.29873275756836,6,2622,461,1209,298,3.549837112426758,1,124956.25514601143
-121.8753662109375,38.36576461791992,24,3790,823,1679,536,1.9931650161743164,0,280752.59726740175
-116.89649963378906,33.52420425415039,31,1706,336,477,210,2.092064142227173,1,311721.31815194857
-122.4678726196289,39.18920135498047,51,2592,573,615,354,2.0510764122009277,4,266058.4023031955
-121.724365234375,39.76567077636719,20,1430,304,354,183,2.722433567047119,1,91082.5327219937
-117.06839752197266,34.00105285644531,27,1649,437,1167,308,2.1960365772247314,1,88910.09742449163
-121.6374740600586,37.86833572387695,42,1949,513,939,425,2.0436809062957764,1,134858.58011228518
-121.79437255859375,39.656917572021484,24,2249,408,533,346,1.3786348104476929,1,109916.60678316181
-119.92625427246094,35.746864318847656,18,5329,708,2919,784,6.58484411239624,0,396678.2129323225
-122.27045440673828,37.355613708496094,33,649,137,352,78,3.873389959335327,3,107372.86416236656
-117.6103744506836,34.33522033691406,29,3238,564,1531,437,5.412873268127441,0,232610.232286142
-121.21039581298828,38.072540283203125,42,1737,300,1364,383,2.8100175857543945,1,115027.15610477001
-121.4800033569336,38.242820739746094,26,1631,353,891,271,2.003739833831787,1,97571.37999138028
-121.33223724365234,38.22709274291992,16,6802,1343,3433,1110,7.068963527679443,3,418142.9949733593
-118.00624084472656,34.21742248535156,22,1975,443,1735,359,4.910477638244629,0,156947.9947432244
-117.66755676269531,33.109222412109375,35,994,371,453,137,1.816827416419983,4,143846.182128142
-122.30587768554688,37.877567291259766,40,1570,389,425,229,2.720635414123535,3,155410.80701908382
-118.06261444091797,33.95293426513672,24,4010,864,1837,934,4.812130451202393,0,170379.79241150862
-117.651611328125,33.1450080871582,31,2215,552,912,435,1.5999114513397217,4,135777.9150489906
-117.78609466552734,34.678897857666016,43,452,140,171,70,2.8098654747009277,1,80993.1630284603
-120.63805389404297,38.0567512512207,25,1671,344,829,191,2.0321547985076904,1,96877.53155873057
-116.6594009399414,33.13069534301758,19,745,229,208,94,1.590713381767273,4,116345.43378859862
-117.44939422607422,34.768123626708984,37,2582,624,1116,472,2.584482192993164,1,88941.14772200875
-117.8506088256836,33.71926498413086,32,1174,234,438,179,3.8019509315490723,0,181876.40188723
