age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,4,115629,15,2,7,0,4,1,-2,0,40,27,0
48,4,203484,15,2,3,0,4,1,4,0,69,39,1
25,0,207785,15,4,0,3,4,0,15,0,40,39,0
24,4,278217,1,4,7,1,2,0,-5,0,40,39,0
32,1,86636,8,3,1,1,1,0,0,0,40,30,0
39,0,84240,5,3,0,2,4,1,0,0,54,39,0
41,4,285101,10,2,10,5,4,0,5136,1,40,39,1
18,0,209389,11,4,0,3,3,1,17,0,40,33,0
38,0,393741,9,4,0,4,4,0,2,0,50,39,0
58,4,100773,12,2,4,0,4,1,5,0,49,39,1
37,4,309925,9,1,10,5,4,0,-9,0,13,39,0
66,2,203762,12,6,1,1,2,1,-8,0,40,39,0
29,4,163177,15,4,12,3,4,1,15,0,40,39,0
36,4,118777,15,2,11,0,4,1,7,0,40,0,0
22,4,175717,4,5,1,1,3,0,5,0,40,13,0
42,4,177091,10,2,10,0,4,1,17,0,40,22,1
35,1,210419,7,4,1,1,2,0,-5,0,40,39,0
89,4,54000,5,6,1,2,3,0,-7,0,14,39,0
30,4,180000,4,3,3,1,4,1,15,0,47,26,0
39,4,153797,15,4,7,2,1,0,10,0,40,33,0
44,4,83474,15,3,3,1,4,0,0,0,40,39,0
55,4,54336,11,2,3,0,4,1,8,0,12,39,0
47,4,67929,5,2,7,0,4,1,5,0,40,6,0
50,1,426988,11,2,10,0,4,1,6,0,40,39,1
66,4,301195,15,2,12,0,4,1,24,0,51,39,1
21,4,162404,15,4,1,2,4,0,2,0,40,39,0
22,4,242122,11,4,8,1,4,0,-6,0,40,39,0
34,4,410037,14,2,10,0,1,1,-2,0,60,0,0
46,4,132104,9,2,1,2,4,1,7405,0,36,7,1
34,0,110969,8,4,0,2,0,0,9,0,40,39,0
39,7,199988,9,0,10,1,4,0,4573,0,40,39,0
22,4,363247,0,4,8,3,4,1,5,0,16,39,0
32,4,184397,11,2,3,0,3,1,-5,0,40,6,0
34,2,124953,7,4,5,3,4,1,1,0,47,39,0
36,4,24742,7,0,3,4,4,1,-2,-1,49,39,0
24,4,33954,11,4,7,3,4,1,18,0,40,39,0
47,4,122187,7,4,1,1,4,0,-13,0,30,11,0
20,4,45414,11,4,8,3,4,1,6,0,38,39,0
43,4,164813,15,2,1,0,4,1,7,0,49,39,0
42,4,86383,8,2,4,1,4,1,-8,-1,49,39,0
29,6,138733,11,2,5,0,4,1,7,0,7,39,0
48,0,233717,3,6,0,4,2,0,-21,0,13,39,0
44,4,258305,15,0,10,4,4,0,21,0,40,39,0
38,4,324701,9,2,13,0,4,1,7,0,79,19,0
56,4,87900,5,2,12,5,4,0,2792,1,23,39,0
58,1,35623,10,2,1,0,4,1,0,0,40,39,1
28,0,98050,15,2,0,5,4,0,8,1893,25,39,1
34,2,44510,15,4,1,1,0,1,3,0,40,39,0
59,6,119267,14,2,4,0,4,1,14,0,70,39,1
25,4,339939,9,4,1,3,4,0,0,0,48,39,0
48,5,172935,9,4,12,1,4,1,23,0,50,39,0
27,4,111255,3,5,8,4,3,0,-7,0,40,39,0
