index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
94306,1,1357,0,1,0,5,5,1,26.743344988636103,48,4224
101972,1,1066,0,5,2,4,5,1,2.164163324480814,15,4751
284897,5,1449,4,2,0,5,0,0,26.61235852942875,31,61583
48058,2,1103,5,1,0,5,4,1,9.070106566294516,27,5700
196283,5,1485,1,4,1,2,1,1,8.984142501424072,24,5151
196668,5,1554,2,2,0,5,0,0,27.189332145183318,5,57150
178619,5,944,3,1,2,0,2,1,2.5504422671111215,34,3895
110513,1,527,0,2,1,2,4,1,19.980212206185367,4,11909
271157,5,1501,0,4,0,2,2,0,6.856876831743346,6,54824
113464,2,1073,0,2,2,5,2,1,2.138114316220165,12,5754
160648,0,1208,0,1,0,3,2,1,13.432616074878645,28,4719
59831,0,1305,5,1,0,5,2,1,10.11993108646416,6,6701
252551,5,1465,5,1,0,5,2,0,11.746816915590617,3,57361
144927,3,845,4,0,2,3,2,1,3.1828411852104868,35,4910
118265,3,26,4,1,0,4,5,1,23.31058753921704,5,7057
34626,0,1177,2,1,1,1,0,1,13.936809913053775,44,2438
288964,5,1522,3,1,0,4,2,0,17.487149102286708,0,58889
88415,5,1386,5,1,0,0,2,1,16.027567710778243,6,9866
129445,5,601,4,4,0,5,5,1,7.873670110220667,26,4697
103950,0,1476,0,0,0,2,2,1,6.223849317379395,42,5571
271038,5,846,3,5,0,4,0,0,11.575903419400598,26,49310
225280,5,1544,2,5,0,1,0,0,22.386609199553288,12,53140
57514,2,757,5,2,0,4,3,1,9.562915490848724,28,2664
115208,3,10,4,0,2,5,0,1,2.869431378564475,48,2588
88505,1,388,0,2,0,5,5,1,5.678176498198997,22,3643
24375,5,1383,2,5,0,4,0,1,16.55316668717636,40,6478
92461,0,1174,0,1,2,2,2,1,2.5844559471168482,18,2719
229848,5,1544,2,5,0,1,3,0,10.239816631823064,7,49835
153801,5,1485,3,1,0,2,2,1,13.775964749215492,30,2897
241981,5,1453,5,0,1,0,2,0,23.277554950585746,45,56358
87507,1,30,5,2,0,0,4,1,6.406103633759959,26,6905
275155,5,1499,0,2,0,1,1,0,14.822808798138704,8,50968
217514,5,1545,2,1,0,2,0,0,14.458161854435128,30,68373
12031,1,465,2,1,2,0,5,1,2.605128877617555,18,4151
56079,2,836,5,5,2,4,4,1,2.7232279123019865,38,4142
182421,1,761,1,2,0,5,2,1,24.39500665050787,26,6842
184877,5,872,5,5,0,0,0,0,22.5226941347323,5,36646
198785,1,143,1,5,0,4,4,1,27.231893810977454,26,6333
64355,1,850,5,5,0,4,2,1,20.58656053365705,28,2744
100547,3,838,0,3,0,4,5,1,6.286794513769668,49,4196
270984,5,1445,4,1,0,5,0,0,8.21816603013415,32,70395
237064,1,825,3,0,0,0,0,0,16.845535504008595,24,40177
240289,1,716,1,4,0,5,3,1,25.685816631870907,37,6117
247961,5,1533,5,4,0,5,3,0,10.500806290538431,24,68799
10410,3,448,2,1,0,2,5,1,8.64559587084862,45,4871
311086,1,763,3,1,0,5,0,0,17.321419452856,41,55261
27046,5,1514,2,0,1,2,1,1,10.36239946504462,20,7494
182128,3,1483,1,1,0,1,2,1,12.678442669316476,12,6590
164191,0,1177,3,1,0,2,2,1,10.536925642906986,29,2931
274251,5,1485,3,1,0,2,0,0,8.039858931840799,23,52422
6707,2,1356,2,4,0,2,5,1,22.617743273312716,31,8207
178403,3,621,1,0,0,5,5,1,4.057701404104075,30,4087
214199,1,913,1,5,0,5,5,1,26.39906210815773,17,5630
12227,1,841,2,2,1,5,4,1,23.496123700759178,22,14471
34544,2,1543,2,0,0,5,3,1,5.859957066394408,27,4228
233411,5,1513,0,5,0,5,5,0,9.693995098576398,29,57545
246374,5,1442,4,2,0,2,5,0,24.24064931247979,27,52433
47149,1,862,2,2,0,4,3,1,15.815841362472277,13,13017
167461,1,1313,3,0,2,4,5,1,2.1244168896735274,23,2432
299358,1,776,1,1,0,4,2,0,15.354646930659209,6,34548
278442,5,1483,3,1,0,2,4,0,9.753011610345807,24,62243
158720,5,370,3,0,2,5,2,1,1.300760398163555,9,2799
89531,0,1139,0,5,2,2,2,1,2.161214051631731,15,1773
113723,3,466,4,4,0,0,2,1,6.5582371371669215,36,7026
301726,5,1490,1,4,0,5,0,0,11.552499049289814,27,56005
194745,1,761,1,2,0,4,2,1,13.619252492295525,36,6870
212019,5,689,1,0,0,5,4,1,11.861646595295745,45,6531
7480,3,613,2,1,0,0,5,1,6.474532071110681,49,3723
294150,5,1444,4,5,0,1,3,0,10.189121011364376,19,49449
119788,2,1231,0,2,0,0,5,1,17.390851630445546,38,5183
91679,2,1218,3,2,0,1,4,1,5.09642936842269,17,5356
57097,2,30,5,1,0,2,4,1,8.651083580902156,8,11987
49429,1,443,5,0,0,5,4,1,23.502114178299863,39,6540
19913,3,987,2,4,1,5,4,1,5.859541456215837,48,6915
270963,1,868,3,5,2,1,1,0,2.8171460798785084,4,32568
108201,1,1376,0,5,0,0,4,1,26.249729133370348,19,11354
217831,5,965,1,0,0,4,5,1,26.054242446580638,41,22556
95154,5,1471,0,0,0,0,3,1,28.825963097146325,19,11114
98403,2,817,5,1,0,5,3,1,9.961991409483204,9,11008
137030,5,745,0,2,0,2,5,1,17.131675436935883,9,7558
188709,5,1492,1,5,0,4,3,1,13.301132064934386,14,12232
100702,4,1461,0,5,2,5,2,1,2.6527328086592403,11,3669
49750,5,1501,5,4,0,0,3,1,8.964488614818034,7,13282
163976,1,863,4,0,2,4,3,1,27.598768121857624,15,2951
243907,2,282,4,4,0,5,0,0,12.515399933832368,37,58708
175640,5,658,1,0,0,2,5,1,9.320525633234944,27,6314
192701,5,1555,5,5,2,4,2,0,1.7622439964553054,30,25069
292555,1,771,3,1,0,5,2,0,14.415837344625563,5,54980
30199,3,767,2,2,0,5,0,1,5.058230647864036,50,5381
117123,3,1458,4,1,0,4,2,1,6.038398855529309,9,15381
41528,5,1006,2,5,0,5,1,1,8.272544371908554,19,5953
58065,2,1407,5,1,1,4,3,1,15.714149507408516,8,10184
42038,3,342,2,0,0,5,4,1,8.728224879860385,34,6373
201424,4,1481,1,0,2,3,2,1,2.1346397749373103,6,4181
122527,2,1463,0,1,0,2,4,1,11.7991525076198,20,6586
129547,1,1524,3,0,0,5,5,1,10.385167461997934,28,7339
165401,1,849,4,2,0,4,3,1,14.94530000687427,39,5406
86833,4,885,4,2,0,4,2,1,16.57355269148566,4,6577
46051,3,792,5,4,2,2,0,1,1.9320942854657714,22,7018
189873,3,947,5,1,0,5,2,1,7.139609938893037,44,6923
271993,5,1499,4,1,2,4,1,0,2.2437789361488685,37,40947
144403,5,1449,4,1,1,4,1,1,14.788314425239019,42,5918
59268,0,1236,5,0,2,5,0,1,2.318232267219889,28,3697
201797,3,843,1,4,0,3,0,1,7.336359066157554,33,6958
16559,2,1478,2,4,0,1,3,1,16.994805876296695,30,5725
142023,5,1529,3,1,0,5,0,1,6.404940974518561,20,12864
31844,2,1554,2,1,0,5,0,1,16.838307682461338,13,7294
169778,5,1520,3,5,0,4,5,1,14.602301500958525,30,6793
303419,5,1490,1,4,0,2,4,0,10.834680136190007,27,54896
13202,0,416,2,1,0,0,5,1,6.085583985961684,27,5406
40915,0,209,2,1,0,0,1,1,7.499572284032894,47,5139
96093,5,1428,0,0,1,2,4,1,12.04721331382773,7,28423
78202,1,804,0,5,2,2,5,1,2.088517477658625,44,2841
125520,5,1144,0,1,1,4,5,1,15.857702698772812,45,9769
204873,1,307,1,1,0,2,2,1,7.183958064320226,26,4893
193450,2,242,1,0,0,5,0,1,8.776826389207557,25,2534
25042,3,821,2,1,0,5,4,1,8.067737024264014,48,6303
125142,1,846,4,5,2,5,5,1,2.1475517131880872,9,8899
240228,1,72,5,5,0,4,0,0,22.265483508432485,24,50003
84718,1,862,0,1,2,4,5,1,2.740711866256678,44,3315
9227,5,1498,5,5,0,4,0,1,11.133246191542318,17,4398
106612,5,1465,0,1,0,5,2,1,15.964463415225302,28,7181
302870,1,765,3,4,0,2,0,0,20.580111765649598,27,58617
156230,2,1449,4,2,0,5,0,1,5.998148402020166,39,5858
275196,5,1444,4,5,0,1,3,0,20.36798764881466,49,51738
82179,4,256,4,5,0,4,2,1,25.69950683390168,2,6497
45996,2,772,2,0,0,4,0,1,15.681929770819892,11,6566
178476,5,1536,2,0,0,2,1,0,10.72965577695858,33,54770
58576,2,1167,5,1,1,0,4,1,11.025431618487051,43,6742
273464,5,229,1,4,0,5,2,0,10.488800027519204,39,50309
119071,3,425,4,4,0,0,5,1,6.77759992523848,37,5626
48918,3,867,5,1,2,4,3,1,2.9459298709699135,11,2456
30741,4,785,2,4,2,2,0,1,7.13895167325024,48,4334
160103,1,845,4,2,0,4,5,1,14.798508797956737,24,6624
64314,0,1144,5,3,1,1,1,1,14.57167089119083,24,4831
77265,2,922,5,1,0,2,1,1,5.881544308175123,38,4052
245154,5,1531,5,0,0,5,0,0,6.863840334452302,45,51056
104920,1,850,0,4,0,0,2,1,23.044576033344807,37,7950
91268,3,640,0,4,0,2,2,1,6.3248552164662755,43,5371
122805,1,349,4,1,0,2,2,1,6.790471906898889,29,3198
171528,5,1485,1,4,0,2,2,1,6.02792895541908,33,49013
68968,3,809,3,5,2,4,4,1,2.4577550694439965,43,2938
197945,3,909,1,4,2,2,5,1,1.6326811215439303,34,4258
52607,2,138,5,0,2,5,4,1,2.6740811344372317,1,4933
17359,5,1557,2,0,0,5,0,1,7.86590607850548,30,12664
83846,1,776,5,1,1,5,4,0,16.17472731043634,11,30115
137351,5,1444,0,2,0,4,5,1,19.12050390849582,4,11609
6337,4,686,2,0,2,5,5,1,2.2524606517665813,49,5338
230573,5,1485,2,4,0,1,0,0,8.663571117522388,24,59701
211067,5,970,5,4,0,2,0,0,12.701565270388272,3,63059
94348,0,1317,0,5,2,3,2,1,2.5063982885660936,47,568
43690,5,106,2,0,0,5,4,1,5.875073827292299,22,7133
236231,0,999,0,2,2,5,2,0,2.1833771675479294,3,32083
83916,0,1473,0,2,2,4,5,1,1.624278074735301,28,2965
63588,3,1507,4,4,0,2,0,1,5.568142121607355,26,4896
238364,5,1501,0,4,0,2,4,0,9.659948790452434,26,53992
151621,5,1229,3,0,0,2,5,1,26.166873572890236,45,8246
27052,2,30,2,1,0,1,4,1,14.76481207009609,37,5608
166621,5,1445,3,1,0,2,5,1,8.740204823193904,8,9762
24439,0,636,2,5,0,0,3,1,23.78110932995788,15,3744
266631,5,757,4,2,2,5,2,0,15.598795838122182,5,37355
