longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.35506137979839,37.68171488711645,52,1084,182,659,233,2.3116142231840726,130863,1
-118.40465241466686,33.98113975166632,40,1773,250,776,317,3.802259391467508,344939,0
-121.75797834245134,37.31731745800291,9,11529,1800,4403,1774,3.0576023434385253,214961,4
-118.67782986037662,33.49869462434802,53,506,438,452,238,1.67759132478204,447962,2
-122.52510252002544,37.99532684283732,27,3822,890,1775,884,7.594833704335463,368412,3
-117.27553833103755,32.62050379713236,22,1723,806,2160,625,2.7650346335496567,133523,1
-118.31741131521632,34.20688181012887,21,1912,423,1172,327,3.9376103301759957,133920,0
-121.15150412529933,36.96757539527702,15,4678,753,1959,883,3.735033647841018,150164,1
-123.76274670126365,41.513901613489956,7,1994,475,535,402,3.6372505799280805,118448,1
-118.08842162658412,34.412597611465486,28,5509,849,3002,1188,2.6563191643265727,117098,1
-121.2494858877875,37.55404823983925,26,3780,912,2754,943,3.138403630187276,75514,1
-122.12175548296786,39.071096690232345,16,2385,385,805,318,4.3266457220887355,103947,1
-122.15846412536307,42.180657261382535,12,2158,379,848,312,3.9278151099660352,94556,1
-118.47055969522685,34.12588024073388,30,1791,292,901,358,4.962962743911321,208648,0
-122.24624898322513,37.32014305119434,42,702,314,899,236,2.456192223785502,116904,3
-122.0340926336141,37.255127545364864,50,2614,624,1144,579,3.853425193066331,220467,3
-117.12296269274454,34.127060458042024,32,1318,340,440,300,2.1776034443263415,164077,1
-119.10254450058584,32.875438858851915,31,3061,511,774,509,4.384364041243789,341851,4
-122.02196230828606,37.37468015651727,35,1678,258,936,205,5.992809701141516,231655,0
-122.18040526700193,38.888234202900456,19,3657,767,2110,460,5.3658446742450945,409909,0
-122.46407233363293,37.89606875268354,13,2366,465,1101,478,4.1684659856945085,344457,3
-122.63306153515728,37.972058913160595,50,3099,1016,1210,691,3.490723634349816,345690,3
-118.05865929758065,33.59586420519604,29,1256,60,508,212,4.858911781553661,329524,4
-118.21849983973561,33.94137731853679,40,1390,374,722,232,2.4354479032351746,101018,0
-118.38958612887492,34.08257385090574,49,1870,393,1119,500,4.305523793163714,202951,0
-118.0933368136887,33.897307849669446,21,6003,846,2501,748,5.488867563818974,260414,0
-122.2603496575982,37.87431770859625,52,2201,320,1258,360,3.5307185218949364,154435,3
-121.8727093653392,37.43621392604833,27,2494,322,631,313,7.0377753094449815,498429,3
-116.99031866090763,32.65973553828763,27,3201,964,2218,906,3.611198407068507,97856,1
-122.20259946379113,38.699793372212355,19,4877,729,2467,829,7.147476377581518,440609,3
-121.98944043801986,37.09871132873031,41,3378,679,1362,516,2.972154474023305,250248,4
-122.55098799635815,37.9536653621827,17,3206,700,1798,348,4.477013365401149,448919,3
-121.52098308483916,38.95820457386403,35,1395,345,556,232,3.443113179764155,143312,1
-120.58242144637863,37.51426242718773,18,2719,428,791,439,3.641936874966533,242159,4
-121.07256802878334,38.54482340731597,32,1680,292,956,297,6.701135592480482,273420,1
-123.83479331906261,38.51474999116174,32,2790,467,899,470,4.011345679239713,301440,4
-118.13809106152243,33.97100575281107,19,563,98,792,72,3.7210436833979723,134283,0
-118.48380936679986,33.94930881847033,19,78,118,392,67,4.568431348543327,401666,4
-119.75577531516267,34.00150836474021,24,2226,409,762,303,5.033926489444911,231658,0
-121.38253780432814,37.99841480845717,32,921,147,328,143,2.121719982417132,67586,1
-118.0082530053664,33.826731223791136,18,4003,1019,2128,529,4.745484732630028,268613,0
-119.4307325540439,37.09866694308541,4,1090,191,806,172,4.28983152428387,255836,4
-119.12266409319825,33.90866723282757,27,2264,452,1162,444,2.919467479859439,169113,0
-122.37343370377856,37.58120595887312,39,1051,302,1130,255,3.557855225061065,235694,3
-117.17862911402517,33.84902271782002,29,8110,1676,5249,1217,10.79303170839219,510135,4
-121.85152186512312,40.918551195190666,46,2833,473,1027,402,2.1180717096172375,88693,1
-118.88995451201,36.71544220430943,44,2836,486,1218,482,2.6440316604126037,117962,1
-117.25161955109651,32.95391258105287,29,2020,904,1582,549,2.578803674718861,192354,4
-122.06594100632887,37.97604485741078,24,3026,765,1559,521,3.991906678605872,236998,3
-122.41520243874336,39.06570718956319,38,2591,436,607,376,4.1876944104628135,295122,4
-122.30117252180354,37.577824861763744,4,2348,624,1708,908,3.7073352639585826,294885,3
-118.49029182634878,33.997823525820664,22,1336,292,736,274,3.2820974310752145,240588,0
-123.95412228812253,41.75106881855841,39,1793,315,1009,382,1.9828450303519394,45397,1
-118.01633635937645,33.75896627512355,53,1640,282,875,277,2.503794168354294,220025,4
-122.3424251015939,37.26690193321451,3,6724,1692,3150,1184,4.423392041156378,228043,3
-117.27823422863143,33.05194570422614,27,1591,565,919,454,2.794641026230609,426948,4
-118.41020456405026,37.60177900899804,45,697,219,417,172,3.6323355042324312,84233,4
-123.58032095025342,40.954742936523516,12,2492,571,686,347,3.090468791027339,95476,1
-122.32946282938963,37.78956988804648,50,4226,475,1298,566,9.120069743773339,339549,3
-118.28685068689965,33.96193189955067,48,1593,385,444,325,2.1484391209472737,162991,0
-117.79329260747485,33.769827223354916,25,3783,849,2973,978,5.165899622352675,191891,0
-117.36513357498059,33.88164586816366,38,1611,173,1407,284,2.23297860886944,76038,1
