RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
3274,15580262,814,707,0,1,57,8,68461.4781876572,1,1,0,83060.52161895884,1
8939,15648416,1940,792,0,0,36,1,130434.04199576812,1,0,1,134066.94882213871,0
6833,15724370,1704,664,2,1,26,8,-202.85577896041178,1,1,0,16016.823750043648,0
4045,15638438,959,832,0,0,34,0,-284.6378035584681,1,1,1,74722.8257277281,1
2380,15784678,133,544,0,1,50,8,-1762.9330137149286,1,0,0,21274.27464243093,1
3943,15797233,428,638,1,0,24,8,137298.32526277998,2,1,0,36409.67426993022,0
5431,15676591,265,705,0,0,39,5,122638.29728973746,1,0,0,193276.36181595788,1
3817,15649890,1598,708,2,1,27,2,84918.34774193935,2,0,0,101657.33466276235,0
868,15628596,653,694,0,1,24,1,93713.18620212124,1,1,1,109662.95527770469,0
1258,15634257,1180,799,0,0,34,0,102582.04270293917,1,0,1,18209.098089446532,0
7027,15583274,697,739,2,1,39,7,1655.8730046893877,2,1,1,143148.01619551535,0
2651,15723870,1685,541,1,0,26,1,117023.32947712246,1,1,1,91728.61641782957,0
9266,15598638,2629,717,0,1,37,8,127375.53985062451,1,1,1,162108.94185830143,0
3438,15589474,236,576,0,0,40,9,-1288.560365663538,2,0,1,184412.38954362637,1
9315,15743531,1431,662,2,1,26,0,872.4456197894093,2,1,0,17405.12310197647,1
1943,15755746,1840,774,0,0,43,3,872.212893722119,2,1,0,50744.765483102696,0
5261,15565788,648,686,0,1,39,2,-2499.7435470234323,2,0,1,97438.39003434236,0
7660,15786911,1584,632,1,0,25,4,-431.2506751682957,2,0,0,105608.74343373292,0
3744,15601360,2781,512,0,1,27,8,113704.6585890034,2,1,1,102225.74306980398,0
3310,15586516,2580,673,0,1,66,8,-948.5912297233057,4,1,0,4585.631870303594,0
4099,15581460,523,571,2,1,26,10,100863.55821941007,1,0,0,66002.55739085504,0
2122,15609131,2449,693,1,0,26,2,124823.33074743992,2,1,1,85480.773188896,0
9318,15709353,1036,716,1,1,30,9,517.9264559941652,2,1,0,131586.8923336654,0
5612,15815221,1833,846,1,0,54,5,119781.24489818941,1,1,0,154888.02423694648,1
9944,15649366,186,689,1,0,37,8,114020.49155670212,1,0,0,82090.61640125996,1
3530,15760665,582,749,1,1,21,8,109721.76490327847,2,0,0,9283.233851712204,1
3590,15799340,175,547,1,0,34,2,143601.39560346692,1,1,1,166498.8349917765,0
3395,15624208,285,501,0,0,28,1,281.2870088667114,1,1,1,54330.3640488949,0
7174,15719471,2648,739,0,0,30,8,-1074.172877596582,2,0,1,22246.375237475047,0
5219,15817698,2696,658,0,1,30,9,68833.31318971323,2,1,1,74794.20248098705,0
4480,15660032,1154,616,1,1,53,1,130605.39312847861,1,1,0,73132.91209334994,1
7596,15565177,1484,699,0,1,30,5,671.82723541685,2,1,0,189984.22122259048,1
7272,15566794,1001,601,1,0,37,2,128126.45989061201,1,0,1,116370.18202220793,0
7271,15587052,251,588,0,0,41,8,-1007.2886976925408,2,1,1,147068.9805811814,0
2908,15585269,887,682,2,0,39,5,-1398.3102796514127,1,0,1,108030.84477518627,0
