date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
347,3,1.7449914221809775,1954,9663,1.0,0,0,3,8,1361,514,1971,2004,98001,47.28830307673672,-122.16039986449141,2110,7334,285407
193,3,3.2150142401126978,2731,30071,2.0,0,0,3,9,2954,-7,1989,2002,98052,47.534382232523676,-121.99576540555732,2306,42107,692708
232,3,2.489645749631024,2552,9222,1.0,0,2,3,8,2221,1,1993,1,98005,47.55182521372607,-122.1481994249612,3092,7325,947920
330,5,4.178704266277505,5393,6406,2.0,0,0,3,9,3953,1149,2009,0,98115,47.63708753748911,-122.17582641376696,2625,5500,2932309
381,2,0.9869602620670582,1050,7020,1.0,0,0,3,6,625,1,1937,0,98108,47.56653298375342,-122.3069953733273,1390,7143,220873
339,4,1.0046232321976263,1535,10059,1.0,0,0,4,7,1603,1,1936,0,98107,47.694968245903084,-122.05077148272834,1514,19654,517595
253,3,2.496377414594502,2310,234954,2.0,0,0,3,7,2422,0,2007,0,98019,47.50873134058018,-122.1664216692469,2340,6870,336176
102,2,1.7488582353191222,1173,8660,1.0,0,0,4,6,814,2,1940,-1,98155,47.73942465777488,-122.33108671595488,1260,7455,276521
170,3,0.9980129833459954,1131,4525,1.0,0,0,4,7,897,-1,1943,0,98133,47.57903468076684,-122.33329569091633,1384,9211,399358
60,6,1.0215863515271206,2614,4997,1.0,0,0,3,7,1810,1477,1945,0,98118,47.55847654074896,-122.28680404448296,2010,8560,655601
157,3,1.0068565860720777,1304,12540,1.5,0,0,5,6,1215,2,1951,0,98108,47.49202321933332,-122.16496600238534,1555,9793,265725
157,1,1.4823295817420823,2008,4135,2.0,0,2,3,7,1440,1,1947,1,98118,47.509252262489895,-122.28665449923172,1806,3790,294096
345,3,0.9902140932639858,998,3201,2.0,0,0,3,7,1288,1,2002,0,98118,47.558182066713094,-122.3591757311577,1255,1319,494587
164,1,1.4928929093242225,699,13586,1.0,0,0,1,6,613,-1,1937,0,98122,47.542770812533476,-122.27949961599732,1808,7850,319946
93,4,2.8474963000163047,2952,6773,2.5,0,0,4,8,2290,541,1922,2002,98105,47.641564083289566,-122.31691546987932,1834,3767,844331
317,4,3.4104629499406554,4575,13731,2.0,0,3,4,9,2464,970,1989,0,98006,47.379213709288706,-122.17039289509509,2524,10046,968441
88,4,2.4965667393023194,3333,15671,1.0,0,0,3,8,1584,1,1990,0,98042,47.296929163621996,-122.02828063285149,2342,38112,253579
197,4,4.37186831764252,7093,44562,2.0,0,0,3,12,5189,5,2002,0,98053,47.570679748963606,-122.22615800428612,3719,41480,3889941
93,2,0.6833031130219549,491,19954,1.0,0,2,1,4,445,0,1962,2000,98024,47.569365588253476,-121.8833309232882,1793,15989,165131
212,3,2.4982884676335,2397,8722,2.0,0,0,5,9,1869,-2,1973,0,98112,47.640169962060085,-122.28489152049248,2920,7270,832967
333,3,2.4952078337052823,3718,15156,2.0,0,3,3,11,3165,1024,1995,1,98075,47.552319885922046,-122.3951298617872,3063,5776,982451
379,3,1.7487089322392069,1362,5374,1.0,0,0,4,8,800,181,1946,1996,98126,47.54948927791803,-122.3662938752436,1407,6132,419091
320,4,2.240164159025887,2677,18875,1.0,1,4,4,8,2245,850,1958,1987,98023,47.430989017417176,-122.36831193117501,2347,9713,1091881
11,4,2.492829270426539,5105,112469,2.0,0,3,3,11,4068,3,1981,0,98077,47.5657451026093,-122.04418602795663,4016,35418,1190579
136,1,1.0032871505535257,1026,2945,1.0,0,0,3,5,647,-3,1956,0,98055,47.51899062237231,-122.26474845699242,1427,4381,191869
344,2,1.7507492848633368,1137,610,1.0,0,0,3,7,996,568,2006,0,98107,47.69790044786548,-122.38123366601997,1125,1990,541583
334,1,0.9974458570861392,1041,7274,1.0,0,0,3,5,701,0,1991,0,98198,47.700282311035686,-122.2873225223605,1445,2419,235367
136,2,1.7887041223481386,604,244911,1.0,0,0,5,4,543,553,1967,0,98070,47.33627528797714,-122.12131327848802,1681,208264,375026
193,4,4.00587452249208,2425,10414,2.0,0,0,3,9,3402,-2,2012,0,98065,47.55634202438176,-121.84580296057858,2045,6155,563151
225,4,2.4968385670054047,3321,12868,2.0,0,4,4,9,1631,919,1985,1,98074,47.56862468716929,-122.37555749685376,3053,8227,1411491
