ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
4495,53,10,18,91761,2,0.0008675442452660831,1,133,0,0,1,1,1
189,31,26,38,94686,3,-0.05453603532493656,2,105,0,1,1,1,1
4210,29,3,79,91198,3,0.35051116259510634,2,135,0,0,0,1,1
3778,49,16,85,92047,3,2.619548034514906,1,0,0,0,0,1,1
2027,51,16,74,90274,1,1.0092607197248415,2,1,0,1,0,1,0
4300,37,11,19,90013,2,1.0742470768335703,1,-1,0,0,0,1,1
2176,47,22,31,90421,2,1.6814407842160164,3,0,0,0,0,1,0
3351,40,26,187,92743,1,1.7443240342146182,1,0,0,0,0,1,1
810,61,29,84,95509,4,2.3625116723846995,2,0,0,0,0,1,0
2889,43,19,23,93989,3,0.10817933039803881,1,133,0,1,1,1,1
1528,37,17,31,90288,1,0.930435576377251,1,0,0,0,0,1,0
4007,45,18,86,91181,4,0.8022297452767853,2,141,0,0,0,1,1
3004,35,6,40,94244,3,2.6941499321054483,2,97,0,0,0,0,0
4461,54,35,76,94930,3,1.6405200377176636,2,-1,0,1,0,1,0
2885,33,3,96,93044,1,0.6881218701958535,1,1,0,1,0,0,0
4121,52,28,38,90029,3,1.2507656609637658,3,1,0,0,0,1,1
3355,28,4,37,94776,3,0.008668673964193463,1,0,0,0,1,1,1
672,62,39,84,94942,4,7.535944468257002,1,156,0,1,0,0,0
3576,26,7,125,94837,4,5.92660055527195,3,238,1,1,0,0,0
2972,44,22,83,94052,3,0.9696246363243421,2,1,0,0,0,0,0
4448,43,35,173,94535,2,4.934879177278556,1,154,0,0,0,0,1
1223,51,30,44,93281,2,2.441030255114763,3,1,0,0,0,1,1
1921,26,4,151,91652,4,2.682034833094984,3,0,1,0,0,1,0
559,49,37,130,91115,1,2.6482424916556577,2,144,0,1,0,0,0
4282,45,14,106,91466,2,6.289467788020915,1,-1,0,1,0,1,0
1226,33,10,131,93998,2,5.795990359747875,1,1,0,0,0,1,1
141,41,3,25,90104,4,1.7458560774113931,2,0,0,0,0,0,0
4581,49,16,122,94716,2,5.630821714280984,1,224,0,0,0,1,1
1755,38,14,55,91202,3,0.32820588456319516,1,149,0,1,1,1,0
2549,54,25,58,91552,1,3.808571991616331,2,0,1,0,0,0,0
285,51,13,30,90326,3,0.4272482218706717,3,131,0,0,0,1,1
1251,50,24,43,95677,1,0.2817086797120122,1,0,0,0,0,0,1
2538,30,4,32,95515,4,0.26326431527926986,1,1,0,0,1,1,1
1816,42,29,75,90030,4,0.9552704875814403,2,228,0,0,0,0,0
4415,41,32,38,94736,1,0.7538582701954264,1,134,0,1,0,0,1
4701,40,21,175,92474,1,7.036117804671759,1,253,0,0,0,1,1
2564,60,27,45,91950,3,3.327330117489168,3,134,0,0,0,0,0
4183,47,15,32,95116,3,0.9910452919910082,2,1,0,0,0,1,1
4042,62,36,95,91839,3,1.6092097654641577,2,0,1,0,0,1,0
1430,44,18,19,93918,1,-0.10236609302802963,1,-1,0,1,0,1,0
2408,66,42,61,92597,3,2.5484380177355437,2,3,0,0,0,1,0
4541,35,12,23,94809,3,7.318977382916586,1,0,0,0,0,1,1
4203,62,38,142,91847,2,2.3224894713067643,1,166,0,1,1,1,1
3699,47,9,22,94221,3,0.43123077638501317,1,93,0,1,1,1,0
2123,44,27,32,94078,4,0.37506231365738285,1,0,0,0,0,1,1
1508,47,26,131,94666,4,2.6255021856706025,3,1,1,0,0,0,0
840,28,0,60,91407,3,2.1216483617344926,1,0,0,1,1,1,0
4811,35,6,146,91529,2,5.732592225297868,1,303,0,0,0,1,1
2148,53,26,33,90223,1,1.410872250599203,3,0,0,0,0,0,0
2443,48,24,93,90287,3,2.744502968006181,2,266,0,0,1,1,1
