sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
2.0,0.405,0.305,0.09,0.303,0.117,0.068,0.09,10.0
2.0,0.545,0.44,0.145,0.9335,0.341,0.185,0.27,11.0
1.0,0.56,0.455,0.155,0.972,0.3685,0.283,0.26,15.0
2.0,0.5,0.38,0.125,0.567,0.2,0.1225,0.19,12.0
0.0,0.48,0.365,0.12,0.513,0.2235,1035.0,0.1435,10.0
2.0,0.445,0.335,0.1,0.4175,0.167,0.096,0.11,6.0
1.0,0.51,0.39,0.135,0.7335,0.2935,0.157,0.202,10.0
0.0,0.645,0.52,0.155,1.21,0.5415,0.2525,0.42,10.0
1.0,0.625,0.5,0.165,1.0735,0.4355,0.2895,0.32,12.0
1.0,0.62,0.55,0.155,1.5955,0.7105,0.3725,0.43,11.0
1.0,0.71,0.55,0.195,1.5855,0.6075,0.3775,0.45,29.0
1.0,0.5,0.4,0.12,0.5885,0.235,0.127,0.185,11.0
2.0,0.385,0.29,0.1,0.2715,0.1155,0.0485,0.08,7.0
2.0,0.54,0.42,0.13,0.964,0.4365,0.1815,0.29,8.0
1.0,0.62,0.48,0.16,1.12,0.4835,0.3145,0.29,13.0
0.0,0.325,0.24,0.08,0.1495,0.05,0.0265,0.05,7.0
2.0,0.32,0.25,0.09,0.1755,0.064,0.0445,0.0535,7.0
1.0,0.565,0.45,0.145,0.8025,0.3345,0.2015,0.26,9.0
2.0,0.565,0.45,0.13,0.7805,0.3395,0.1755,0.24,10.0
2.0,0.49,0.375,0.135,0.5795,0.2745,0.1235,0.17,9.0
1.0,0.58,0.485,0.165,1.0425,0.4515,0.2,0.35,10.0
1.0,0.65,0.495,0.185,1.489,0.6025,0.3075,0.47,14.0
0.0,0.655,0.54,0.2,1.5475,0.6205,0.397,0.46,11.0
0.0,0.5,0.4,0.14,0.7145,0.197,0.1685,0.24,10.0
0.0,0.575,0.46,0.15,0.966,0.4145,0.2385,0.2925,10.0
2.0,0.435,0.335,0.11,0.3655,0.1495,0.091,0.12,8.0
0.0,0.58,0.45,0.145,0.7905,0.342,0.1685,0.2615,11.0
0.0,0.43,0.33,0.1,0.4385,0.1655,0.1055,0.12,10.0
2.0,0.555,0.425,0.145,0.871,0.3695,0.1725,0.255,11.0
2.0,0.35,0.255,0.09,0.1785,0.0815,0.0405,0.06,6.0
0.0,0.715,0.575,0.195,2.0805,1.0265,0.4825,0.496,10.0
2.0,0.525,0.405,0.165,0.7165,0.302,0.1735,0.25,10.0
2.0,0.4,0.3,0.1,0.32,0.1365,0.0735,0.095,8.0
2.0,0.45,0.345,0.105,0.4495,0.213,0.0865,0.12,8.0
2.0,0.24,0.15,0.04,0.0385,0.011,0.0065,0.0105,4.0
2.0,0.35,0.265,0.095,0.2225,0.097,0.058,0.06,7.0
1.0,0.59,0.47,0.175,0.9355,0.4575,0.2115,0.2365,9.0
0.0,0.665,0.5,0.18,1.4415,0.693,0.2955,0.375,12.0
0.0,0.625,0.49,0.175,1.255,0.54,0.2925,0.33,9.0
2.0,0.495,0.375,0.12,0.384,0.1865,0.0725,0.11,8.0
