age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
24.0,4.0,229826.0,11.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,15.0,39.0,0.0
51.0,4.0,89534.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,55.0,39.0,1.0
33.0,4.0,353881.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0,1.0
22.0,4.0,140001.0,11.0,4.0,6.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
47.0,1.0,142076.0,11.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
34.0,4.0,33274.0,1.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
46.0,4.0,287701.0,15.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,35.0,39.0,0.0
44.0,4.0,177063.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
20.0,4.0,517000.0,11.0,4.0,5.0,3.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
37.0,4.0,103925.0,11.0,4.0,8.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
25.0,4.0,88824.0,15.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
41.0,4.0,357596.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
18.0,4.0,38307.0,1.0,4.0,8.0,3.0,4.0,1.0,0.0,0.0,15.0,39.0,0.0
17.0,4.0,372484.0,0.0,4.0,8.0,3.0,2.0,1.0,0.0,0.0,20.0,39.0,0.0
19.0,4.0,64112.0,15.0,4.0,8.0,3.0,2.0,1.0,0.0,0.0,40.0,39.0,0.0
41.0,4.0,29702.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
44.0,4.0,146906.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,65.0,39.0,1.0
20.0,0.0,210935.0,15.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,15.0,39.0,0.0
35.0,0.0,218948.0,11.0,2.0,0.0,5.0,4.0,0.0,0.0,0.0,40.0,0.0,0.0
32.0,6.0,426431.0,11.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
43.0,4.0,111483.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0,1.0
60.0,6.0,173888.0,15.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
26.0,4.0,302679.0,9.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
59.0,4.0,177907.0,5.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,35.0,39.0,0.0
52.0,4.0,103995.0,8.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
42.0,4.0,177937.0,10.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,45.0,0.0,0.0
50.0,4.0,124963.0,11.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
34.0,2.0,114032.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
26.0,4.0,57512.0,15.0,4.0,12.0,4.0,4.0,1.0,0.0,0.0,45.0,39.0,0.0
28.0,4.0,115677.0,11.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,45.0,39.0,0.0
33.0,4.0,229729.0,9.0,3.0,12.0,1.0,4.0,1.0,0.0,0.0,60.0,39.0,0.0
