longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-118.11,33.86,34.0,2729.0,537.0,1421.0,519.0,3.7222,218900.0,0.0
-121.59,39.74,5.0,3253.0,699.0,1684.0,627.0,1.8333,64700.0,1.0
-118.43,34.01,38.0,3167.0,441.0,892.0,437.0,4.0,460000.0,0.0
-121.41,38.47,15.0,5179.0,884.0,2863.0,817.0,3.8,100300.0,1.0
-118.35,34.05,52.0,2544.0,613.0,1203.0,542.0,3.0278,442900.0,0.0
-118.19,34.02,38.0,1834.0,454.0,1806.0,444.0,2.3782,143800.0,0.0
-118.13,33.89,20.0,2892.0,682.0,1658.0,675.0,3.5,211000.0,0.0
-118.32,34.17,30.0,5166.0,1044.0,2659.0,963.0,4.3148,254200.0,0.0
-117.84,33.7,21.0,3688.0,735.0,1954.0,754.0,4.9153,272200.0,0.0
-122.06,37.64,24.0,2028.0,528.0,1091.0,515.0,1.8447,152300.0,3.0
-118.09,34.09,35.0,3007.0,693.0,1423.0,627.0,3.5268,199600.0,0.0
-120.96,37.66,19.0,2126.0,536.0,1520.0,528.0,1.9937,86500.0,1.0
-122.22,37.79,52.0,1250.0,284.0,603.0,267.0,2.9167,136700.0,3.0
-119.7,36.8,25.0,2245.0,584.0,870.0,449.0,2.0595,60000.0,1.0
-118.28,33.74,34.0,1287.0,652.0,1460.0,582.0,1.3042,241300.0,4.0
-118.24,33.93,38.0,797.0,205.0,855.0,212.0,1.8652,93200.0,0.0
-118.43,34.16,35.0,1613.0,462.0,1297.0,458.0,4.2708,314000.0,0.0
-121.29,38.03,17.0,3179.0,661.0,1427.0,623.0,3.125,137500.0,1.0
-118.28,33.98,20.0,1026.0,249.0,494.0,230.0,1.8304,100000.0,0.0
-121.35,38.63,32.0,2879.0,482.0,1484.0,523.0,4.3419,146800.0,1.0
-122.03,37.97,23.0,5405.0,1137.0,3385.0,1113.0,4.9375,246400.0,3.0
-121.32,38.67,11.0,4599.0,876.0,2828.0,846.0,4.5,175700.0,1.0
-118.42,34.06,52.0,3305.0,582.0,1258.0,559.0,5.6093,500001.0,0.0
-118.22,34.07,25.0,2195.0,508.0,1786.0,497.0,2.3571,183300.0,0.0
-117.91,33.74,20.0,4011.0,935.0,2156.0,837.0,4.0568,141000.0,0.0
-118.13,33.84,36.0,2813.0,415.0,1272.0,465.0,5.0659,226200.0,0.0
-117.91,33.89,28.0,1788.0,486.0,859.0,452.0,2.5363,217400.0,0.0
-122.31,37.58,5.0,2988.0,787.0,1497.0,662.0,3.8306,232700.0,4.0
-117.94,33.78,21.0,2904.0,914.0,3371.0,874.0,1.9309,162500.0,0.0
-118.31,34.01,51.0,1610.0,447.0,1008.0,402.0,1.6033,134400.0,0.0
-118.26,34.07,35.0,2121.0,360.0,1271.0,332.0,2.1522,93800.0,0.0
-118.21,33.96,33.0,1601.0,431.0,1064.0,389.0,2.6607,161600.0,0.0
-118.19,33.77,36.0,2040.0,513.0,977.0,514.0,3.6905,500001.0,4.0
-117.68,34.09,15.0,4129.0,734.0,2221.0,712.0,4.7361,157600.0,1.0
-122.68,38.48,25.0,2578.0,522.0,1468.0,542.0,2.881,148600.0,0.0
-118.37,34.07,36.0,3769.0,984.0,2330.0,954.0,3.6953,353600.0,0.0
-118.25,34.22,37.0,1075.0,247.0,954.0,214.0,5.2051,186600.0,0.0
-118.21,34.06,28.0,1173.0,318.0,1334.0,289.0,2.7308,168800.0,0.0
-120.45,34.64,6.0,2866.0,621.0,1581.0,557.0,2.9457,142300.0,4.0
-118.17,33.84,27.0,2495.0,534.0,1238.0,535.0,3.6765,238000.0,0.0
-117.23,32.8,16.0,1149.0,261.0,509.0,254.0,2.7366,140300.0,4.0
-118.06,33.97,36.0,3877.0,613.0,1558.0,614.0,4.8472,287600.0,0.0
-121.84,37.29,13.0,3046.0,572.0,1762.0,554.0,4.5066,216700.0,0.0
-122.41,37.76,52.0,876.0,318.0,1176.0,356.0,2.6944,232500.0,3.0
-121.42,38.64,33.0,1278.0,206.0,623.0,210.0,1.8801,76600.0,1.0
-117.95,33.94,36.0,1613.0,273.0,679.0,278.0,4.0,205500.0,0.0
-117.56,33.88,21.0,2438.0,556.0,1688.0,510.0,3.0,116500.0,1.0
-121.26,37.93,36.0,2080.0,410.0,1213.0,377.0,2.0976,85600.0,1.0
-117.1,32.76,21.0,2020.0,554.0,972.0,545.0,2.2917,150000.0,4.0
-117.93,33.65,40.0,1855.0,334.0,871.0,339.0,4.8274,300000.0,0.0
-117.99,33.69,17.0,2164.0,476.0,1103.0,472.0,3.6563,288700.0,0.0
-118.26,34.09,52.0,991.0,218.0,728.0,231.0,3.375,172700.0,0.0
-118.1,33.97,44.0,1730.0,365.0,1133.0,344.0,3.6,163500.0,0.0
-117.06,32.61,15.0,5775.0,1244.0,2515.0,1030.0,3.9792,142600.0,4.0
-120.9,39.86,9.0,2271.0,527.0,874.0,353.0,2.6012,118400.0,1.0
-121.36,38.55,52.0,1792.0,293.0,610.0,265.0,3.5714,162500.0,1.0
-121.41,38.65,40.0,1867.0,444.0,1301.0,453.0,2.0655,57900.0,1.0
-120.08,36.79,23.0,2796.0,534.0,721.0,343.0,3.067,70600.0,1.0
-118.15,33.93,39.0,1471.0,272.0,826.0,266.0,4.8304,198800.0,0.0
-122.14,37.37,52.0,2515.0,277.0,467.0,255.0,5.084,500001.0,3.0
-118.35,34.06,52.0,3494.0,562.0,1292.0,543.0,5.5591,500001.0,0.0
-117.08,32.75,16.0,2644.0,753.0,1558.0,699.0,1.9575,130000.0,4.0
-121.9,37.23,16.0,3770.0,707.0,1683.0,697.0,3.9041,251200.0,0.0
-118.26,33.9,31.0,1173.0,346.0,1252.0,298.0,2.0,93400.0,0.0
-118.21,33.98,32.0,2614.0,567.0,1657.0,531.0,4.5769,181900.0,0.0
-118.11,33.8,36.0,2075.0,534.0,926.0,518.0,4.3816,218700.0,0.0
-118.02,33.93,36.0,21128.0,3664.0,1171.0,382.0,3.3882,190100.0,0.0
-121.88,37.99,4.0,13182.0,2055.0,7817.0,1853.0,5.4865,178400.0,1.0
-117.91,34.1,32.0,2964.0,544.0,2316.0,571.0,2.6266,176300.0,0.0
-119.35,36.22,32.0,2709.0,667.0,1818.0,573.0,1.3849,66100.0,1.0
-116.76,34.14,19.0,2895.0,547.0,862.0,430.0,3.5586,425000.0,1.0
-121.83,37.26,20.0,2765.0,501.0,2420.0,496.0,5.6613,253800.0,0.0
-118.15,33.93,38.0,2064.0,431.0,928.0,404.0,3.5562,266300.0,0.0
-118.09,34.12,40.0,2492.0,421.0,965.0,413.0,6.9961,500001.0,0.0
-118.33,34.1,36.0,821.0,300.0,521.0,251.0,1.9063,250000.0,0.0
-118.17,33.77,28.0,2551.0,716.0,1614.0,672.0,3.5551,161800.0,4.0
-122.47,37.78,52.0,2032.0,414.0,823.0,373.0,3.9688,391300.0,3.0
-117.9,34.08,31.0,2561.0,565.0,2059.0,541.0,3.9331,154200.0,0.0
-117.14,34.05,18.0,3809.0,838.0,1879.0,775.0,3.59,162900.0,1.0
-118.24,33.97,44.0,1079.0,273.0,1098.0,275.0,1.7172,87500.0,0.0
-122.18,37.74,38.0,557.0,127.0,434.0,96.0,1.6981,109400.0,3.0
-122.03,37.95,22.0,3185.0,783.0,1746.0,763.0,3.5179,160800.0,3.0
-121.3,38.0,15.0,3127.0,659.0,1384.0,581.0,2.4137,113900.0,1.0
-121.42,37.76,18.0,2839.0,529.0,1524.0,483.0,3.3689,103600.0,1.0
-122.24,37.47,33.0,2040.0,348.0,705.0,335.0,7.3521,446200.0,4.0
-119.81,36.8,36.0,832.0,177.0,721.0,170.0,3.0125,77900.0,1.0
-118.22,33.96,39.0,1227.0,282.0,773.0,270.0,1.9556,160000.0,0.0
-117.99,33.77,29.0,3418.0,825.0,1778.0,773.0,2.7375,170800.0,0.0
-117.95,34.0,33.0,2338.0,647.0,2717.0,633.0,2.7679,142900.0,0.0
-118.33,34.04,48.0,1810.0,468.0,1416.0,425.0,2.0817,156900.0,0.0
-121.55,38.57,43.0,1493.0,290.0,621.0,278.0,3.6389,169500.0,1.0
-117.18,34.07,28.0,3295.0,718.0,1217.0,636.0,2.2402,94900.0,1.0
-122.43,37.77,52.0,2388.0,572.0,1073.0,514.0,3.898,400000.0,3.0
-122.45,37.77,52.0,1270.0,224.0,620.0,208.0,4.4375,500000.0,3.0
-118.36,34.19,41.0,2437.0,566.0,1817.0,522.0,3.8835,179600.0,0.0
-118.42,34.17,36.0,988.0,199.0,527.0,173.0,4.6389,246400.0,0.0
-118.06,34.07,25.0,3367.0,818.0,3012.0,819.0,3.0409,162900.0,0.0
-118.13,34.04,30.0,2819.0,639.0,1224.0,623.0,4.625,240000.0,0.0
-117.82,33.76,21.0,2528.0,458.0,1414.0,456.0,4.9083,205700.0,0.0
-119.38,36.61,24.0,2795.0,479.0,1044.0,418.0,3.5562,95300.0,1.0
-118.09,34.13,32.0,2492.0,347.0,903.0,342.0,7.0671,500001.0,0.0
-122.26,37.83,25.0,4814.0,1093.0,1804.0,1025.0,2.3942,107500.0,3.0
-122.41,37.74,37.0,3572.0,804.0,1463.0,739.0,3.6897,250000.0,3.0
-117.99,33.87,36.0,785.0,200.0,825.0,191.0,2.9861,158800.0,0.0
-117.93,33.85,18.0,1771.0,461.0,984.0,436.0,3.5234,170500.0,0.0
-121.44,38.48,15.0,2745.0,516.0,1163.0,441.0,3.788,127400.0,1.0
-117.99,33.9,21.0,3473.0,628.0,2099.0,581.0,6.2185,216700.0,0.0
-118.11,33.83,34.0,3935.0,713.0,1884.0,659.0,4.375,223700.0,0.0
-121.96,37.28,30.0,2565.0,565.0,1181.0,534.0,4.8164,282300.0,0.0
-122.46,37.86,52.0,3333.0,464.0,1168.0,474.0,6.3521,500001.0,3.0
-122.41,37.77,52.0,3585.0,795.0,1237.0,728.0,4.1429,350000.0,3.0
-118.32,34.03,36.0,2399.0,769.0,2645.0,679.0,2.7121,163300.0,0.0
-117.12,32.79,31.0,3053.0,591.0,1282.0,574.0,4.0208,173500.0,4.0
-118.25,33.95,44.0,1619.0,438.0,1699.0,407.0,4.05,152300.0,0.0
-117.35,33.98,35.0,2036.0,447.0,1444.0,400.0,3.0476,81800.0,1.0
-122.09,37.05,37.0,1848.0,489.0,1548.0,477.0,3.5812,220600.0,4.0
-122.26,38.04,30.0,2084.0,588.0,1410.0,514.0,1.7306,105500.0,3.0
-122.38,37.74,52.0,2854.0,635.0,1151.0,579.0,3.4861,435700.0,3.0
-121.47,38.64,32.0,1629.0,388.0,796.0,350.0,2.875,99500.0,1.0
-121.66,37.01,19.0,7105.0,1348.0,3335.0,1318.0,5.5677,248700.0,0.0
-120.95,37.64,37.0,2966.0,619.0,1250.0,586.0,2.8983,87900.0,1.0
-118.43,34.17,34.0,2475.0,513.0,1236.0,532.0,4.4688,341400.0,0.0
-117.07,32.63,21.0,3402.0,621.0,1633.0,618.0,3.6442,146700.0,4.0
-119.85,36.83,17.0,2987.0,403.0,1283.0,377.0,5.0201,158300.0,1.0
-122.02,37.98,35.0,886.0,221.0,1013.0,207.0,3.4167,156500.0,0.0
-117.79,34.08,31.0,3174.0,763.0,1480.0,736.0,3.0185,125400.0,1.0
-116.99,34.88,34.0,851.0,130.0,434.0,137.0,7.0151,383300.0,1.0
-117.1,32.68,31.0,2524.0,787.0,1381.0,713.0,2.5268,90300.0,4.0
-118.21,33.97,42.0,2613.0,659.0,2255.0,636.0,2.5444,153800.0,0.0
-122.42,37.61,26.0,2888.0,713.0,1644.0,649.0,4.65,273400.0,4.0
-117.8,33.7,19.0,3107.0,574.0,2176.0,549.0,4.3657,237400.0,0.0
-121.7,38.59,35.0,2927.0,534.0,1149.0,480.0,3.7143,99600.0,1.0
-122.41,37.74,25.0,3988.0,1025.0,2251.0,953.0,3.7794,280000.0,3.0
-118.44,34.22,37.0,1733.0,370.0,1359.0,352.0,3.9099,176600.0,0.0
-122.05,38.25,36.0,1235.0,262.0,682.0,243.0,2.6607,94000.0,1.0
-122.47,37.77,52.0,2714.0,537.0,1051.0,499.0,3.7813,500001.0,3.0
-118.2,34.12,37.0,1757.0,586.0,1364.0,562.0,2.9821,162500.0,0.0
-117.82,33.82,35.0,3622.0,544.0,1646.0,543.0,7.5,278800.0,0.0
-120.98,37.64,9.0,3552.0,548.0,1346.0,522.0,5.0714,177500.0,1.0
-122.3,37.91,32.0,2077.0,535.0,925.0,510.0,2.3833,305800.0,3.0
-118.26,34.14,29.0,3390.0,832.0,2106.0,794.0,2.9821,253000.0,0.0
-118.07,33.83,22.0,3437.0,579.0,2455.0,598.0,3.5,154300.0,0.0
-118.41,34.18,33.0,984.0,163.0,444.0,154.0,5.2099,240600.0,0.0
-117.66,34.11,24.0,2958.0,447.0,1398.0,474.0,5.5281,186600.0,1.0
-120.51,35.18,13.0,4615.0,843.0,2410.0,790.0,3.8261,178100.0,0.0
-117.05,32.79,33.0,1633.0,293.0,1030.0,295.0,3.6125,166700.0,0.0
-118.14,33.93,41.0,1788.0,422.0,1499.0,424.0,2.8,141700.0,0.0
-122.32,37.56,31.0,3298.0,852.0,1296.0,804.0,3.6429,500001.0,4.0
