RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
9149.0,15803750.0,2655.0,486.0,0.0,1.0,27.0,1.0,0.0,2.0,0.0,1.0,176763.46,0.0
543.0,15734987.0,2077.0,652.0,0.0,1.0,50.0,9.0,94443.77,2.0,1.0,1.0,126838.75,1.0
8095.0,15751575.0,1067.0,572.0,0.0,1.0,62.0,8.0,0.0,2.0,1.0,1.0,71862.84,0.0
3298.0,15689322.0,2089.0,792.0,0.0,0.0,35.0,7.0,115680.81,1.0,1.0,1.0,139475.14,0.0
7452.0,15696505.0,2776.0,623.0,0.0,0.0,28.0,7.0,0.0,2.0,1.0,1.0,159899.97,0.0
2532.0,15671281.0,2853.0,790.0,2.0,1.0,41.0,5.0,0.0,1.0,0.0,0.0,72920.09,0.0
5156.0,15751531.0,1334.0,602.0,0.0,1.0,30.0,5.0,0.0,2.0,1.0,0.0,182867.06,0.0
2903.0,15593499.0,527.0,694.0,0.0,0.0,49.0,7.0,0.0,1.0,1.0,0.0,167553.06,1.0
1285.0,15647266.0,2473.0,599.0,0.0,0.0,41.0,10.0,0.0,2.0,1.0,1.0,153537.55,0.0
4152.0,15629985.0,1228.0,592.0,0.0,0.0,35.0,7.0,0.0,2.0,1.0,1.0,152298.28,0.0
4049.0,15667932.0,622.0,667.0,0.0,1.0,45.0,7.0,0.0,1.0,1.0,1.0,937.35,0.0
8730.0,15774858.0,2661.0,535.0,0.0,1.0,24.0,9.0,0.0,2.0,1.0,0.0,158610.69,0.0
1242.0,15619130.0,833.0,583.0,0.0,0.0,37.0,8.0,0.0,2.0,1.0,1.0,130862.95,0.0
2569.0,15785547.0,2569.0,711.0,2.0,0.0,34.0,1.0,123924.54,1.0,1.0,1.0,127939.56,0.0
5339.0,15729224.0,2314.0,689.0,2.0,1.0,35.0,4.0,0.0,1.0,0.0,0.0,171021.22,0.0
1285.0,15790282.0,2803.0,696.0,0.0,1.0,33.0,1.0,0.0,2.0,1.0,0.0,82796.08,0.0
4459.0,15719377.0,2068.0,584.0,0.0,1.0,34.0,2.0,0.0,2.0,1.0,1.0,1676.97,0.0
5178.0,15701074.0,2199.0,486.0,0.0,1.0,33.0,3.0,0.0,2.0,0.0,1.0,116331.42,0.0
1023.0,15779917.0,2480.0,648.0,0.0,0.0,38.0,3.0,0.0,2.0,1.0,1.0,149946.72,0.0
2792.0,15795747.0,2420.0,687.0,0.0,1.0,41.0,9.0,114446.09,1.0,1.0,1.0,160574.09,0.0
6556.0,15782928.0,2125.0,652.0,1.0,1.0,39.0,6.0,160980.55,1.0,1.0,1.0,89566.74,0.0
8463.0,15602500.0,515.0,638.0,1.0,1.0,39.0,8.0,139986.46,2.0,1.0,0.0,159742.33,0.0
7098.0,15771543.0,2473.0,850.0,0.0,1.0,53.0,4.0,0.0,1.0,1.0,1.0,57929.9,1.0
575.0,15775809.0,697.0,675.0,0.0,1.0,46.0,5.0,0.0,4.0,1.0,1.0,177065.24,1.0
651.0,15649430.0,2778.0,591.0,2.0,0.0,29.0,6.0,0.0,1.0,1.0,1.0,9984.89,0.0
4202.0,15637522.0,1673.0,753.0,1.0,0.0,49.0,10.0,82393.08,1.0,1.0,1.0,166682.2,1.0
4861.0,15652948.0,1222.0,615.0,1.0,1.0,28.0,0.0,141792.61,2.0,0.0,1.0,157959.02,0.0
3029.0,15702983.0,916.0,614.0,2.0,0.0,33.0,3.0,0.0,2.0,0.0,1.0,143544.48,0.0
8986.0,15706021.0,1362.0,682.0,1.0,0.0,29.0,7.0,104763.15,2.0,1.0,1.0,171762.87,0.0
5967.0,15764294.0,1537.0,595.0,1.0,0.0,38.0,3.0,124954.56,1.0,1.0,1.0,19483.35,0.0
5277.0,15792473.0,2031.0,645.0,0.0,0.0,44.0,9.0,0.0,1.0,1.0,0.0,172031.23,1.0
1320.0,15791958.0,2655.0,647.0,0.0,1.0,43.0,9.0,0.0,2.0,1.0,1.0,97938.98,0.0
1349.0,15589735.0,2700.0,714.0,1.0,0.0,33.0,6.0,94521.11,2.0,1.0,0.0,64613.81,0.0
8956.0,15693683.0,1429.0,687.0,0.0,1.0,25.0,0.0,0.0,2.0,1.0,0.0,50368.63,0.0
8734.0,15640507.0,576.0,684.0,0.0,1.0,31.0,1.0,0.0,1.0,1.0,0.0,110371.05,1.0
807.0,15668580.0,2662.0,663.0,0.0,0.0,30.0,4.0,0.0,2.0,0.0,0.0,47795.42,0.0
5991.0,15789955.0,753.0,649.0,0.0,0.0,29.0,2.0,133634.09,1.0,1.0,1.0,74900.9,0.0
9961.0,15759966.0,437.0,703.0,1.0,1.0,32.0,4.0,137026.51,1.0,1.0,1.0,144870.22,0.0
872.0,15683657.0,2639.0,708.0,1.0,1.0,28.0,3.0,142382.03,1.0,0.0,1.0,84972.9,0.0
1522.0,15803547.0,1550.0,848.0,0.0,1.0,40.0,6.0,129938.76,1.0,1.0,1.0,187987.01,0.0
4791.0,15603830.0,1582.0,573.0,0.0,0.0,39.0,9.0,0.0,1.0,1.0,1.0,171430.16,0.0
7291.0,15802869.0,403.0,642.0,2.0,1.0,37.0,8.0,0.0,3.0,1.0,0.0,100618.17,1.0
2874.0,15720774.0,2089.0,685.0,0.0,0.0,44.0,6.0,0.0,1.0,1.0,0.0,53478.02,1.0
539.0,15773017.0,938.0,547.0,0.0,1.0,26.0,2.0,0.0,2.0,1.0,0.0,147661.47,0.0
589.0,15598046.0,2592.0,561.0,2.0,1.0,29.0,5.0,146033.62,2.0,1.0,0.0,90893.09,0.0
9586.0,15763898.0,2313.0,710.0,0.0,1.0,37.0,3.0,0.0,2.0,0.0,1.0,104639.86,0.0
5862.0,15694890.0,2576.0,749.0,2.0,1.0,45.0,3.0,132623.76,1.0,1.0,1.0,171070.24,0.0
486.0,15571244.0,230.0,594.0,2.0,0.0,30.0,7.0,0.0,2.0,1.0,1.0,29135.65,0.0
2748.0,15712807.0,929.0,549.0,1.0,1.0,42.0,3.0,138857.0,1.0,0.0,0.0,160529.71,0.0
5454.0,15681075.0,1252.0,745.0,0.0,1.0,38.0,9.0,0.0,2.0,1.0,0.0,179093.12,0.0
4821.0,15631871.0,347.0,684.0,0.0,1.0,37.0,5.0,0.0,2.0,1.0,1.0,97906.38,0.0
1185.0,15784320.0,2101.0,670.0,0.0,1.0,29.0,3.0,0.0,2.0,0.0,1.0,88965.46,0.0
7356.0,15794874.0,2574.0,635.0,0.0,0.0,40.0,6.0,0.0,2.0,1.0,0.0,1299.75,0.0
74.0,15681924.0,633.0,758.0,0.0,0.0,36.0,4.0,137847.82,1.0,1.0,1.0,116951.1,0.0
8256.0,15671534.0,1196.0,729.0,0.0,1.0,34.0,9.0,142662.84,1.0,1.0,0.0,52876.41,0.0
4369.0,15600708.0,2762.0,663.0,0.0,1.0,34.0,9.0,0.0,1.0,1.0,0.0,178187.88,0.0
5483.0,15672955.0,1587.0,724.0,2.0,0.0,31.0,6.0,0.0,2.0,1.0,1.0,121451.21,0.0
4791.0,15791925.0,967.0,732.0,0.0,1.0,21.0,5.0,0.0,2.0,0.0,0.0,167087.34,0.0
4982.0,15768244.0,2268.0,716.0,2.0,1.0,30.0,6.0,141576.15,1.0,1.0,1.0,157921.22,0.0
6013.0,15688074.0,2069.0,689.0,1.0,1.0,36.0,1.0,108528.07,2.0,0.0,0.0,83978.96,0.0
5938.0,15680162.0,115.0,526.0,0.0,1.0,35.0,4.0,124954.24,1.0,1.0,0.0,135088.58,0.0
9082.0,15643819.0,1669.0,667.0,2.0,1.0,25.0,9.0,0.0,1.0,0.0,1.0,83681.97,0.0
6537.0,15762048.0,2868.0,710.0,0.0,0.0,32.0,2.0,0.0,2.0,1.0,1.0,106851.7,0.0
4388.0,15729954.0,2316.0,602.0,0.0,1.0,34.0,1.0,0.0,1.0,0.0,1.0,88837.15,0.0
5981.0,15604544.0,1891.0,544.0,0.0,0.0,40.0,3.0,0.0,2.0,0.0,0.0,184544.59,1.0
2807.0,15576683.0,2754.0,691.0,0.0,0.0,31.0,9.0,0.0,2.0,1.0,0.0,113410.49,0.0
9980.0,15795747.0,1787.0,554.0,0.0,0.0,46.0,3.0,0.0,1.0,1.0,1.0,176945.0,1.0
