ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
4890.0,32.0,8.0,105.0,92130.0,1.0,0.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0
3837.0,53.0,27.0,81.0,95616.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
1596.0,32.0,7.0,52.0,92672.0,4.0,1.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2142.0,37.0,12.0,84.0,93943.0,2.0,3.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1267.0,36.0,12.0,79.0,94588.0,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1827.0,30.0,6.0,82.0,93105.0,1.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0
964.0,62.0,37.0,20.0,94709.0,3.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0
2959.0,43.0,18.0,28.0,95616.0,4.0,1.7,3.0,0.0,0.0,1.0,0.0,0.0,0.0
1399.0,45.0,21.0,29.0,94305.0,3.0,0.5,1.0,86.0,0.0,0.0,0.0,1.0,1.0
4763.0,35.0,9.0,162.0,94596.0,2.0,6.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2828.0,46.0,19.0,30.0,90717.0,2.0,1.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3118.0,62.0,36.0,69.0,91711.0,1.0,0.4,2.0,0.0,0.0,0.0,0.0,1.0,1.0
1678.0,55.0,30.0,24.0,94720.0,2.0,0.4,3.0,0.0,0.0,0.0,0.0,1.0,0.0
3933.0,43.0,17.0,39.0,93106.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3132.0,54.0,30.0,80.0,91380.0,2.0,1.8,2.0,0.0,0.0,0.0,0.0,1.0,1.0
3906.0,56.0,32.0,40.0,94305.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1856.0,42.0,18.0,79.0,92646.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1294.0,45.0,20.0,91.0,92647.0,3.0,1.9,2.0,0.0,0.0,0.0,0.0,1.0,0.0
438.0,44.0,13.0,43.0,92677.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3385.0,46.0,20.0,78.0,93106.0,4.0,1.1,2.0,0.0,0.0,1.0,0.0,1.0,0.0
913.0,45.0,20.0,60.0,94005.0,2.0,7.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3169.0,51.0,25.0,130.0,94949.0,1.0,4.8,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2111.0,27.0,3.0,78.0,92691.0,4.0,2.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1428.0,54.0,29.0,29.0,94305.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3768.0,24.0,0.0,42.0,93555.0,1.0,1.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3671.0,38.0,13.0,40.0,93401.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2661.0,57.0,32.0,45.0,94132.0,4.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4881.0,40.0,15.0,41.0,91320.0,1.0,1.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1783.0,53.0,29.0,23.0,90245.0,2.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,1.0
536.0,60.0,36.0,23.0,94061.0,3.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3312.0,51.0,25.0,78.0,94939.0,3.0,4.5,3.0,0.0,0.0,0.0,0.0,1.0,1.0
4922.0,57.0,31.0,49.0,94122.0,2.0,2.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0
25.0,48.0,24.0,19.0,91320.0,1.0,0.3,3.0,0.0,0.0,0.0,0.0,1.0,1.0
1855.0,50.0,25.0,89.0,94720.0,2.0,0.1,2.0,247.0,0.0,0.0,0.0,0.0,0.0
3335.0,60.0,35.0,18.0,94720.0,4.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1631.0,54.0,28.0,21.0,95133.0,1.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0
4283.0,49.0,23.0,82.0,94305.0,2.0,0.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
962.0,30.0,6.0,39.0,90024.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3923.0,29.0,5.0,63.0,91320.0,1.0,0.8,3.0,0.0,0.0,0.0,0.0,1.0,1.0
3592.0,43.0,18.0,59.0,94131.0,3.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3501.0,52.0,26.0,35.0,95827.0,4.0,1.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3675.0,52.0,27.0,132.0,95831.0,4.0,5.1,2.0,0.0,1.0,0.0,0.0,1.0,0.0
890.0,49.0,23.0,45.0,94086.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3793.0,57.0,32.0,64.0,92612.0,4.0,2.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
1676.0,59.0,35.0,78.0,91203.0,1.0,1.2,3.0,0.0,0.0,0.0,0.0,1.0,0.0
4629.0,26.0,1.0,39.0,94596.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4333.0,53.0,27.0,41.0,94611.0,4.0,2.2,2.0,0.0,0.0,0.0,0.0,1.0,1.0
437.0,35.0,9.0,28.0,94110.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4199.0,59.0,33.0,31.0,95616.0,4.0,1.33,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3478.0,63.0,37.0,43.0,91768.0,1.0,1.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1037.0,39.0,15.0,42.0,90033.0,1.0,1.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
4702.0,30.0,6.0,84.0,90630.0,1.0,1.3,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2899.0,34.0,9.0,90.0,95819.0,2.0,4.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4054.0,47.0,23.0,183.0,93943.0,2.0,1.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4886.0,57.0,32.0,62.0,92130.0,3.0,0.7,2.0,0.0,0.0,0.0,0.0,1.0,1.0
4599.0,62.0,38.0,23.0,91380.0,3.0,0.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4280.0,27.0,3.0,40.0,90250.0,4.0,1.8,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2088.0,47.0,21.0,74.0,94608.0,3.0,0.6,3.0,0.0,0.0,0.0,0.0,0.0,1.0
4489.0,41.0,16.0,85.0,94025.0,3.0,1.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0
603.0,55.0,30.0,90.0,90095.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3564.0,27.0,2.0,185.0,95747.0,1.0,2.9,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2749.0,62.0,37.0,12.0,92374.0,2.0,0.9,3.0,0.0,0.0,1.0,0.0,1.0,1.0
2111.0,28.0,3.0,35.0,90095.0,3.0,0.5,3.0,0.0,0.0,0.0,0.0,1.0,0.0
3166.0,38.0,13.0,62.0,93106.0,3.0,0.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0
575.0,34.0,9.0,18.0,94305.0,2.0,0.67,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2277.0,35.0,5.0,23.0,94305.0,4.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4373.0,53.0,29.0,103.0,91706.0,1.0,2.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2598.0,47.0,22.0,89.0,94305.0,2.0,1.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2712.0,27.0,2.0,43.0,95929.0,4.0,1.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3352.0,51.0,26.0,183.0,94720.0,1.0,0.3,2.0,0.0,1.0,0.0,0.0,1.0,0.0
931.0,35.0,9.0,19.0,95929.0,4.0,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4986.0,44.0,20.0,80.0,92647.0,3.0,0.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0
3185.0,40.0,15.0,90.0,92835.0,1.0,0.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0
