age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30,2,90752,12,2,4,0,4,1,7298,0,50,39,1
37,0,199136,11,2,10,5,4,0,0,0,24,39,1
23,4,182863,0,4,6,3,2,1,0,0,50,39,0
20,2,362617,8,2,11,0,4,1,0,0,60,39,0
38,4,242773,15,4,3,3,4,1,0,0,40,26,0
53,6,201959,15,2,4,0,4,1,0,0,43,39,1
24,4,142871,15,4,3,1,4,1,0,0,40,39,0
31,2,203070,12,2,10,0,4,1,0,1741,44,39,0
39,4,104476,15,4,8,3,4,0,0,0,40,39,0
26,4,141702,11,4,1,1,1,0,0,0,20,36,0
35,4,493443,11,2,3,0,4,1,0,0,40,39,1
34,5,75619,12,4,12,1,4,1,0,0,8,39,0
22,4,157909,11,5,1,4,4,0,0,0,40,39,0
23,4,366842,11,6,1,4,4,0,0,0,40,39,0
64,2,138719,1,4,8,1,2,1,0,0,55,25,0
26,4,309196,11,4,1,3,4,0,0,0,40,39,0
28,2,192779,12,4,10,1,4,0,0,0,40,39,0
47,4,149507,11,2,3,0,4,1,0,0,60,39,0
43,2,232840,10,2,10,0,4,1,0,0,50,39,1
37,4,158940,0,2,14,0,4,1,0,0,38,39,0
65,4,170099,15,4,3,3,4,1,0,0,40,39,0
19,2,250967,9,2,10,5,4,0,0,0,40,39,1
87,4,45975,15,6,1,4,4,0,0,0,42,39,0
41,6,437666,12,0,10,1,4,1,0,0,43,39,0
28,4,206291,11,0,12,3,4,0,0,0,43,39,0
23,4,122307,15,2,3,3,4,1,0,0,40,32,0
27,4,236834,15,2,12,0,4,1,0,0,40,39,0
45,6,169104,15,2,3,0,4,1,2329,0,48,39,0
44,4,849857,6,0,5,1,4,1,0,0,20,32,0
78,5,109872,6,4,8,3,2,0,0,0,40,10,1
33,6,197462,6,4,3,4,4,0,0,0,32,39,1
50,4,358199,11,2,12,0,4,1,0,0,9,26,0
39,7,230248,12,2,10,0,4,1,0,1408,70,39,0
27,4,112754,11,2,6,0,4,1,0,0,40,39,0
19,4,320510,8,2,10,5,4,0,0,0,20,39,0
30,7,301747,10,3,10,4,4,0,0,0,40,39,0
29,4,34269,9,2,4,0,2,1,0,0,60,39,1
26,4,195602,11,2,3,0,4,1,0,0,60,31,0
24,6,212120,11,0,7,4,4,0,0,0,46,39,0
37,4,313146,11,4,12,1,4,1,0,0,40,39,0
37,4,152968,15,4,3,3,4,1,0,0,50,39,0
46,4,81243,12,2,1,0,2,1,0,2467,40,39,1
20,4,146429,12,4,13,4,4,0,7298,2051,8,39,1
37,6,210488,15,4,3,3,4,0,0,0,25,39,0
35,4,206343,5,0,8,1,4,1,2635,2559,40,5,0
24,1,216558,7,4,14,3,4,0,0,0,40,39,0
64,6,191318,5,2,5,0,4,1,0,2174,45,39,0
37,4,200775,12,2,4,0,4,1,0,0,40,39,1
35,4,195681,12,5,1,2,4,0,0,0,5,39,0
19,4,150480,2,2,1,5,4,0,0,0,40,39,0
36,4,51916,11,4,14,3,4,1,0,0,40,39,0
43,4,181755,14,0,10,1,4,0,0,0,40,39,1
