RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2540,15567834,1617,461,2,0,40,4,112510.89,2,1,1,131521.72,0
1629,15806027,1136,679,1,1,37,2,106731.58,2,1,0,49978.67,0
398,15568006,729,656,0,0,44,8,79281.61,1,0,0,199392.14,0
2507,15714970,1384,578,0,1,48,5,163894.35,1,1,0,35600.25,1
5490,15587038,2129,828,0,0,58,4,124151.09,1,0,0,172495.81,1
6567,15621644,1749,823,0,0,23,4,126066.26,1,1,1,101348.88,0
3149,15763662,147,708,1,1,56,3,32197.64,1,1,0,89893.6,1
905,15734202,857,505,0,0,33,2,69329.47,2,0,0,161574.19,0
7188,15794323,2,705,0,1,70,3,157404.02,2,1,0,152235.3,0
9499,15709222,2185,678,0,0,82,3,118870.92,2,1,1,162865.52,0
3925,15677317,1983,435,0,0,42,8,36566.96,2,1,0,28184.7,0
3414,15591279,385,849,2,1,33,4,90963.49,1,0,1,103108.33,0
6068,15723217,382,620,0,1,33,0,131078.42,2,0,0,43106.17,0
7764,15750837,2708,363,0,0,43,9,141806.0,1,1,1,196260.3,0
4589,15675926,2209,475,0,0,38,8,90865.8,2,1,1,146573.66,1
2449,15719377,1096,724,2,0,34,5,120018.86,2,0,1,94544.88,0
2112,15684925,1063,789,0,1,48,8,105245.34,1,1,1,58879.11,0
7004,15661330,488,363,1,1,34,8,109052.59,2,1,1,154559.28,0
3878,15764618,478,527,1,1,22,7,101583.11,2,1,0,19793.73,0
5602,15813451,574,602,2,0,39,8,115007.08,2,1,1,176036.01,0
3897,15672027,2673,547,1,1,61,0,95140.44,1,0,0,183983.82,1
9723,15710295,2438,505,0,1,30,8,98052.66,2,0,0,148779.41,0
8312,15665834,2108,549,1,1,38,3,105317.73,2,1,1,129590.18,0
5250,15775307,820,829,1,0,18,1,128243.03,1,1,1,155782.89,0
529,15667085,350,718,0,1,40,2,163607.18,2,0,1,13387.88,0
7321,15767264,1414,363,0,1,51,1,105082.07,1,0,1,166188.28,1
3941,15704770,327,775,1,1,34,8,141204.65,1,1,0,735.79,1
1177,15628824,611,696,0,1,33,0,145750.45,1,0,0,187048.72,0
5995,15686538,67,404,0,1,78,1,109570.21,1,1,1,120031.29,0
9702,15758073,16,772,2,1,25,6,126817.65,2,1,0,42330.58,1
7049,15724536,365,581,0,1,36,5,118199.97,2,1,1,24761.36,0
3567,15760568,2048,505,0,1,46,1,135133.39,1,1,0,113291.75,0
467,15698321,2570,429,0,0,18,1,77846.9,1,0,0,102083.78,0
4552,15781914,1704,850,2,0,84,10,107720.64,2,1,0,36885.85,0
1385,15795228,1917,686,0,0,68,9,123428.69,2,0,1,20092.89,0
8851,15733234,1235,682,0,0,35,7,100476.46,2,1,1,160948.87,0
1210,15616365,1321,531,2,0,38,1,105245.34,2,0,1,137452.57,0
4196,15797710,2443,774,0,0,39,5,139979.07,2,1,0,84710.65,0
1368,15654341,2399,782,0,1,25,3,118050.79,1,1,0,143598.7,0
6919,15672027,2292,650,2,0,33,2,0.0,1,1,1,46203.31,0
420,15631512,2164,511,0,1,35,3,126803.34,4,1,0,170382.99,1
5608,15623220,15,738,0,1,64,0,89763.84,2,0,1,162022.47,0
2954,15739438,1311,710,2,0,44,3,79281.61,1,1,1,93881.75,0
6066,15737173,1797,681,0,0,45,6,125385.49,2,1,1,129353.21,0
8497,15667085,1661,718,0,0,68,4,167924.95,1,1,0,132038.65,0
7311,15738672,1837,641,0,0,36,2,125884.95,2,0,1,4777.23,0
2692,15750466,2221,757,1,1,34,1,168066.87,1,1,0,149772.61,1
112,15615575,1375,504,2,0,26,5,79563.36,1,1,1,81292.33,0
1040,15762392,1212,736,0,1,53,9,122277.87,1,1,1,178256.58,0
4034,15769504,2406,627,2,1,31,9,106731.58,1,0,0,185599.34,0
9681,15590286,1530,477,2,0,39,8,146605.27,1,1,1,76755.99,0
2991,15679200,512,604,0,0,33,7,125977.81,2,1,0,247.36,0
8078,15604196,1455,404,1,1,19,2,144581.96,1,1,0,177383.68,0
2539,15718289,727,686,0,1,46,9,148088.11,1,0,1,49978.67,0
3259,15641675,946,772,1,0,35,9,120681.63,1,1,0,84012.81,0
2629,15772601,2344,498,1,1,36,4,118793.6,2,1,1,134638.97,0
4565,15689168,490,363,2,1,25,5,101579.28,2,1,1,160849.43,0
3583,15815295,1913,823,2,1,38,2,132694.73,1,1,1,39122.58,1
568,15606097,1219,617,2,1,29,2,149379.66,2,1,0,70665.16,1
8417,15809872,2498,774,0,1,51,8,88977.39,1,1,1,68794.15,0
9163,15714240,2137,497,2,1,27,3,68806.84,1,1,0,133267.69,1
8057,15568953,2071,422,0,0,55,5,131368.3,2,1,0,193746.55,0
3547,15706799,885,679,0,1,34,0,117306.69,1,1,0,160948.87,0
604,15704629,2076,579,0,1,36,5,87347.7,2,1,0,38409.79,0
1877,15766609,2146,732,0,1,40,10,119839.69,2,0,1,9002.8,0
2294,15805261,1582,670,0,1,32,5,141428.99,1,1,1,126933.73,0
7817,15618816,1568,513,0,1,49,9,125712.2,2,1,0,151648.66,0
8829,15791535,1866,506,1,1,51,9,76190.48,1,0,0,177740.58,0
8992,15700826,2298,613,1,1,84,8,129731.64,1,1,1,3894.34,0
1716,15598070,2274,604,0,1,84,3,155196.17,1,1,0,3740.93,0
7734,15729019,1484,764,2,1,27,6,99162.29,2,1,0,144181.48,1
1476,15607314,2926,756,2,1,31,6,107106.33,1,0,0,133447.49,0
770,15667085,1910,543,2,0,30,1,169824.46,2,1,0,175015.12,1
9663,15681206,562,481,1,0,22,1,56726.83,3,0,0,68794.15,1
8112,15670584,105,789,2,0,37,8,92072.68,1,1,1,1354.25,0
5479,15632446,1961,828,2,0,41,2,90723.36,1,1,0,35989.41,1
1553,15772941,2051,828,0,1,34,10,128645.67,2,1,0,197933.5,0
