ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
2801,56,11,54,91125,2,2.5,1,0,0,1,0,1,0
1433,42,29,34,93907,4,0.1,1,146,0,0,0,0,0
4772,33,20,132,95828,4,1.6,1,111,0,0,0,1,0
1455,57,34,39,94086,2,2.5,1,0,0,0,0,1,1
3748,33,26,73,94065,1,5.9,3,0,0,0,0,0,0
3316,49,17,40,90405,4,7.4,3,164,0,0,0,0,0
2425,64,18,90,90405,3,2.0,2,0,0,0,0,0,0
3260,36,19,21,93555,1,4.33,2,0,0,0,0,0,0
4187,41,6,91,94960,4,2.4,2,0,1,0,0,1,0
706,29,8,78,94108,1,0.2,1,0,0,1,1,1,1
1797,30,39,30,95126,2,1.5,3,0,0,0,0,1,0
2811,58,5,118,92038,2,7.9,3,0,0,0,0,0,0
843,58,21,35,94801,1,7.2,3,125,0,0,0,1,0
832,42,12,40,94960,4,0.8,3,170,0,0,0,1,0
3163,28,35,62,94720,2,3.4,2,0,0,0,0,1,0
182,49,8,63,95818,1,6.1,2,0,0,0,0,0,0
2436,61,34,125,94611,4,0.8,3,286,0,0,0,1,0
1854,65,32,122,90019,2,2.1,3,189,0,0,0,1,0
3022,41,23,88,95370,3,1.4,1,0,0,0,0,1,0
3808,64,13,44,93106,3,2.8,1,0,0,0,0,1,1
2051,59,8,95,92056,2,2.1,3,0,0,0,0,0,0
2591,61,36,170,94108,3,2.9,2,136,1,0,0,1,0
4667,35,25,18,94538,4,7.6,1,0,0,0,0,0,1
637,29,34,52,90034,4,5.9,3,0,0,0,0,1,0
4427,29,11,70,92653,3,1.7,1,0,0,0,0,0,1
3906,38,0,180,95006,3,0.7,3,0,0,0,0,0,0
348,32,18,32,94061,1,1.7,1,208,0,0,0,0,0
3549,57,43,91,91330,4,0.3,2,262,0,0,0,0,0
1539,41,3,88,90405,3,4.3,2,0,0,0,0,1,0
473,36,3,139,92833,1,0.4,1,95,0,1,0,1,0
221,63,39,44,94109,1,1.3,2,0,0,0,0,1,0
1802,23,5,40,90029,1,2.67,1,216,0,0,0,1,0
2770,55,27,118,91109,1,0.4,2,0,0,0,0,1,0
652,41,5,153,94305,1,1.33,2,150,0,0,1,1,1
2920,56,10,74,94970,1,0.7,1,0,0,0,0,1,0
2712,48,23,101,90230,3,1.4,2,262,0,0,0,1,1
1053,42,2,124,93401,4,0.4,2,250,0,0,0,1,0
3842,38,3,78,93943,4,0.7,3,0,0,0,0,1,0
3895,64,22,74,92833,1,1.5,1,101,0,0,0,0,0
1031,36,12,43,92109,2,1.6,2,415,0,0,0,0,0
1802,34,28,93,94720,1,0.3,1,0,0,0,0,0,0
4340,35,39,44,91343,3,3.8,2,94,0,0,0,0,1
2145,58,18,90,94704,4,0.8,3,188,0,0,0,1,0
1981,41,20,73,94555,2,0.2,2,238,0,0,1,1,1
3829,38,7,180,92717,2,7.6,2,358,0,0,0,1,0
1332,35,26,65,92374,1,0.4,1,228,0,0,0,1,0
3022,57,10,25,94521,1,0.1,2,0,0,0,0,0,0
716,55,26,101,94612,4,7.2,2,412,0,0,0,1,1
1907,41,11,79,90034,4,1.3,3,0,0,0,0,1,0
1110,32,33,78,91343,3,2.0,1,118,0,0,0,1,1
2666,58,12,29,95818,1,2.4,1,0,0,0,0,1,0
4395,41,18,205,92612,3,2.0,2,246,0,0,0,0,1
2370,39,12,20,90405,1,6.0,2,0,0,0,0,0,0
4631,44,26,42,90405,1,0.2,3,286,0,0,0,0,1
2962,35,5,38,92717,2,2.0,2,0,1,0,0,1,0
353,37,6,25,93106,1,1.7,3,292,1,0,0,0,1
1550,58,43,23,94305,2,0.1,2,373,0,0,0,0,0
881,38,10,132,94607,1,2.6,2,442,0,0,0,1,1
2797,34,22,90,95827,2,6.0,2,160,0,0,0,0,0
1854,39,37,62,94583,1,2.2,2,244,0,0,0,0,0
2958,28,18,101,94536,4,1.0,1,373,0,0,1,1,1
844,55,34,122,92834,1,1.1,2,0,0,0,0,0,0
1604,52,32,28,94801,2,1.4,1,101,0,0,0,0,0
2866,28,19,85,92325,2,1.7,3,150,0,1,0,1,0
2258,43,37,93,92122,1,1.8,1,0,0,1,1,1,0
82,30,17,52,94061,1,2.4,1,0,0,0,0,1,0
1622,50,18,205,90005,2,2.8,2,262,0,0,0,1,0
878,28,5,101,92626,2,0.7,2,416,0,0,0,0,0
1453,38,14,28,94108,3,1.8,2,0,0,0,0,0,0
3136,51,15,182,92614,3,2.2,2,109,1,1,1,0,0
175,28,4,99,92121,3,2.8,1,0,0,0,0,1,0
1288,34,14,24,90509,2,2.0,1,94,0,0,0,1,1
3810,61,39,179,94604,2,1.0,3,432,0,0,0,0,1
4934,45,27,73,95818,2,1.9,3,0,0,0,0,0,0
3751,26,9,52,94234,4,1.5,2,123,1,0,0,1,0
2101,42,2,128,94607,3,2.0,2,88,0,0,0,0,0
4854,53,-3,10,92626,3,1.9,2,0,0,0,0,0,0
586,55,17,120,90245,1,0.8,1,238,0,1,0,1,0
420,43,39,38,92834,4,0.2,3,228,0,0,0,0,0
3551,37,28,178,93907,3,2.75,1,123,0,0,0,1,0
1144,51,14,180,95120,4,1.5,1,294,0,0,0,0,1
1197,32,32,199,91367,3,2.8,1,286,0,0,0,1,1
1389,49,22,93,94720,3,0.2,2,119,0,0,0,1,0
1880,33,19,30,95842,2,0.6,1,207,0,0,0,1,0
259,29,10,122,95812,2,1.5,3,164,1,0,1,1,1
778,53,7,28,94305,2,0.9,3,0,0,0,0,0,1
3424,54,4,44,95370,3,1.5,3,117,0,0,0,1,0
1134,29,17,99,94607,1,1.7,1,406,0,0,0,1,0
