feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,label
4.49702,0.351418,57.5744,0.227533,0.0116086,0.416634,1.17594,0.849437,3.37746,0.281111,4.29076,37.5946,0.968369,0.0681044,1.81675,452.91,0.153677,12.2246,0.217678,1.4732,-1.43405,0.367568,72.2317,3.11138,0.481446,2.8241,5.07249,1.13907,0.139067,-0.629387,6.34798,1.20751,0.855719,324.043,0.0960526,0.270424,-0.533392,-1.85244,1.41449,0.0926996,172.528,-15.7677,1.91474,2.63448,0.00782779,0.207248,0.209305,0.794263,0.0596241,0.10014,1
3.74701,0.465257,92.7531,0.353277,0.0562448,0.348833,0.595218,0.925027,3.78217,0.16051,4.0358,211.83,-0.984293,0.564263,2.04908,1206.42,0.178521,21.3766,0.286638,0.677261,0.632478,0.416589,38.8738,3.35451,0.417875,0.129394,9.93384,1.21261,0.202253,-0.650423,5.40309,1.39226,0.853813,389.727,0.0916278,0.336833,0.253475,-4.01946,0.743805,0.101572,204.633,-14.0363,1.96581,5.82911,0.000897666,0.324823,-3.10003,0.788339,-0.243236,0.248187,1
5.10123,0.623484,11.0677,0.26907,0.0280464,0.110158,0.929448,0.830781,3.21044,0.209761,4.37798,92.5518,0.105693,0.369128,1.83941,1773.79,0.595766,4.37131,0.292101,1.30243,-0.161632,0.335807,255.53,5.38776,0.465823,-0.0914306,24.8744,1.54104,0.159646,0.263087,6.43535,1.22057,0.350201,444.47,0.0776789,0.211874,-0.25,-3.12248,1.32354,0.0868368,114.237,12.1604,0.769906,7.19147,0.00646353,0.201437,-0.658974,0.409934,0.0917164,0.198558,1
3.22396,2.87723,17.246,0.302742,0.027451,0.34091,0.695644,0.915736,3.16669,0.240766,3.93634,31.7158,0.391768,0.438658,3.0963,2131.63,1.68898,28.6456,0.28771,0.369103,1.01154,0.396867,101.174,2.32061,0.46929,-0.913707,148.765,1.87934,0.211817,0.0968688,5.25769,0.888581,1.88789,453.025,0.047984,0.350725,0.200679,-3.16314,2.32802,0.05808,146.057,63.0407,0.356507,1.88293,0.0746583,0.14102,0.41358,4.11266,0.0928185,0.262795,1
6.66134,0.364592,104.007,0.214693,0.0144547,0.33013,1.1578,0.797147,3.34124,0.189077,4.85743,-0.0230103,0.851689,0.194634,2.59176,1778.9,0.825622,9.84176,0.388316,0.918158,-0.839073,0.319902,110.661,2.76189,0.480053,0.38971,127.271,1.00489,0.177762,-0.81535,9.8904,1.01501,0.44102,305.202,0.0655058,0.36047,0.396711,-2.81519,1.12318,0.109474,146.863,-27.2538,-0.389762,5.93437,0.037594,0.149621,-0.473288,0.819651,5.32877,0.2695,1
6.68782,1.99227,839.601,0.254263,0.00773196,0.0931499,0.741173,0.902352,3.33399,0.194729,4.49309,326.225,0.967222,0.603555,2.77452,814.215,0.199924,22.4065,0.151153,0.616946,1.08589,0.316348,42.1326,4.28509,0.460098,-0.803905,76.8649,1.53899,0.0989497,0.385887,4.96086,1.14139,1.06082,427.52,0.0877459,0.220192,0.453089,-3.75075,1.50172,0.082904,216.387,-31.351,0.161269,4.1627,0.0478469,0.189678,0.0959158,0.428651,-0.0263864,0.306576,1
4.12423,1.12544,34.3482,0.268613,-0.025,0.157021,0.95163,0.846344,3.72513,0.127305,4.27109,23.9387,-0.202645,0.508094,2.38324,3188.53,1.24672,6.47663,0.23937,0.977424,0.659391,0.354578,54.1986,4.26795,0.476826,0.548583,61.5741,1.37904,0.099158,0.359996,6.24659,1.35375,1.24662,455.07,0.126748,0.34069,0.232398,-3.53801,0.975709,0.156595,153.673,-11.3718,-0.251493,3.67547,0.00457143,0.010874,0.215706,0.7799,0.681602,0.244178,1
3.9316,0.758826,127.891,0.202158,0.0186514,0.195431,1.36266,0.844319,3.19217,0.173173,4.32585,19.5543,0.54914,0.175578,2.21924,962.246,0.589606,2.95353,0.289979,0.740307,0.585477,0.280335,390.857,6.43437,0.470763,0.584246,8.05476,1.38253,0.160662,0.365471,5.24035,1.25337,0.432365,475.338,0.064686,0.405178,0.763997,-4.5918,1.39112,0.0609567,158.121,11.2583,0.354434,25.01,0.00643501,0.200036,-0.00378962,2.68277,4.60724,0.212279,1
4.66634,0.874735,55.994,0.273393,0.0438293,0.298796,1.53023,0.894099,3.24873,0.142556,4.25878,106.434,0.530389,0.0606115,2.08377,2392.47,1.10643,26.8705,0.192737,1.02068,1.50157,0.300912,196.327,2.26211,0.465272,-0.0373401,7.59214,1.55658,0.124583,-1.45119,4.36788,0.731477,0.777004,330.25,0.172218,0.284846,-0.460194,-1.86516,1.40298,0.0546251,206.28,-20.9311,1.06369,3.06311,0.00539811,0.281302,-0.238398,6.5893,0.617772,0.134912,0
4.95369,1.32746,54.6138,0.3381,0.0131435,0.230456,0.886436,0.817075,2.82253,0.206558,4.2237,-0.00750732,0.406019,0.813514,1.73116,1036.68,1.21009,21.4989,0.259903,1.06834,-0.840884,0.325648,40.785,4.31137,0.380582,-0.060006,22.8944,1.48424,0.127241,-0.571925,7.73837,0.963377,2.02968,292.987,0.0294812,0.360114,-0.390709,-4.77701,1.81858,0.0780795,127.223,-12.5528,0.390343,8.8033,0.0338542,0.132699,0.0408276,0.791838,-0.136576,0.14717,0
