class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,90.83908046,227.09375,528.3333333,604.3763838,25.54959827
0,91.075,232.6363636,115.5677966,647.8666667,17.11460552
0,140.2259348,206.3275862,101.7931034,638.1034483,37.63523371
0,149.5546875,208.3076923,96.08761329,546.9215686,28.71549325
0,128.5480346,197.8,118.7592593,596.6923077,10.35334937
0,137.4358006,209.2916667,112.5151515,829.4814815,16.48853644
0,119.5208333,217.4864865,98.66666667,565.6666667,29.10573614
0,145.2019231,260.4444444,98.66666667,217.7777778,35.85669365
0,134.4807122,197.4210526,113.4,217.0,23.83425352
0,114.1793893,219.4117647,101.6,562.0263158,17.33313301
0,129.5846995,223.8947368,112.1818182,506.0566038,34.35145462
0,137.9136126,234.6,234.8780488,544.7647059,18.70414503
0,128.0203704,237.8859649,118.7130178,520.5625,42.71091456
0,130.2059471,221.8656716,94.06451613,690.1011905,16.27450076
0,125.6776504,202.8850575,100.1578947,433.1538462,20.2579555
0,137.1074074,204.75,146.3684211,769.0714286,31.45067671
0,126.553816,189.25,118.6764706,564.8636364,38.83324392
0,128.2583333,224.8333333,97.05479452,571.75,22.11667834
0,117.7168675,174.4646465,110.9,626.0952381,30.95878814
0,143.3645833,248.1637555,104.4655172,656.962963,15.61599741
0,142.7070064,184.8412698,71.40740741,260.7903226,19.1
0,117.7658103,216.0,98.71428571,517.375,20.95872007
0,96.11347518,229.0754717,116.9166667,503.4210526,24.11751067
0,119.8274648,202.6181818,101.1547619,663.2857143,23.47160232
0,130.4038109,252.1441441,130.8295455,391.3694268,24.09902115
0,108.4826389,242.9069111,93.88,366.6140351,28.77388614
0,131.5546407,267.7037037,107.9215686,504.0769231,26.086653
0,133.5191919,218.2307692,128.8333333,414.369863,25.77813796
0,141.5,207.375,91.80952381,634.84375,30.15670094
0,140.2243736,201.2424242,91.44444444,420.5277778,34.39830018
0,135.5575758,222.0666667,148.2857143,448.2702703,38.58807822
0,107.4314286,258.0,96.25,336.7391304,27.9725658
0,119.5208333,216.2857143,78.33333333,496.75,27.79976271
0,114.5026486,209.3982301,99.62962963,535.1333333,25.77813796
0,114.5746606,255.3076923,116.1851852,920.5,32.3780591
0,130.5422177,450.6,82.97916667,620.1851852,49.0459598
0,130.5422177,220.8571429,137.0208333,270.4583333,10.49867717
0,136.0542907,221.75,92.5412844,522.6153846,27.02480342
0,135.328125,396.6666667,95.875,709.2631579,18.8229056
0,121.9789272,192.4,87.22222222,339.4583333,21.93650802
0,110.1335079,197.5181818,102.3333333,785.0,21.35617366
0,134.5963597,343.25,79.19736842,640.0909091,31.50928734
0,134.7378917,179.6097561,239.64,441.4651163,21.76664839
0,118.3402329,246.0333333,94.88888889,611.25,74.87823449
0,123.3188875,216.3333333,114.8055556,562.0263158,32.62843466
0,133.6107143,228.1111111,91.98895028,378.3333333,40.27874558
0,128.273727,199.68,93.5,632.0,12.34683015
0,130.2059471,221.4545455,109.4615385,576.516129,33.5347744
0,135.1079545,255.0833333,83.5483871,661.5,30.57712685
0,125.8375479,251.4871795,335.4583333,617.4031008,38.7828501
0,141.7841727,184.2363636,83.21428571,519.4705882,30.68245787
0,120.0036145,236.0784314,418.7692308,658.6923077,25.77584226
0,130.5481481,197.8,103.2842105,773.3333333,20.27515193
0,133.5191919,262.8181818,88.55,636.345,60.07784066
1,128.2003183,199.3421053,113.3225806,710.709434,17.31669046
0,135.1164163,370.0,91.77777778,339.4583333,7.0
0,138.6338798,230.125,239.64,343.3333333,29.25688033
0,129.7667625,220.8571429,94.81927711,458.6666667,20.71785684
0,144.4507042,250.12,104.8846154,914.4418605,20.21510038
0,108.15,261.0601504,80.39473684,694.1111111,28.64820032
0,136.009542,244.0645161,94.23529412,477.5862069,19.51800251
0,133.230663,243.75,144.9857143,539.0,29.92530383
0,126.184013,212.3275862,81.08823529,250.841629,33.79300138
0,97.54166667,231.4347826,85.4,406.3076923,33.69120805
0,154.3125,256.4769231,89.44444444,408.2173913,46.06886359
0,115.0401786,215.4615385,100.85,563.1542289,35.85669365
0,107.8645833,171.2411348,88.9,836.4888889,31.96332241
0,132.5234899,182.4910714,88.87179487,486.1666667,22.36496802
0,144.0471822,184.4814815,102.469697,390.7777778,37.74626388
0,116.3544423,232.5833333,95.05,653.5945946,26.83134204
0,96.38888889,186.5645161,108.8076923,694.9090909,19.89974874
0,129.6910714,240.8682171,108.25,415.4347826,14.90186367
0,124.9886364,218.8928571,105.53,375.6923077,9.792343948
0,106.984375,226.25,98.625,587.6875,34.50502773
0,132.4376757,228.7692308,118.0088496,325.2542373,22.28807753
0,137.6814972,223.8974359,127.686747,294.25,28.58915447
0,146.6868687,239.9516129,85.16666667,550.75,23.44036463
0,126.7428161,223.4634146,114.3529412,155.9450549,43.26386941
0,76.34782609,239.25,147.7142857,537.5185185,20.38026918
0,131.5546407,196.25,91.77777778,508.5454545,24.58861901
0,106.3526316,240.8682171,107.2727273,404.1153846,28.98988139
0,147.375,188.2792793,127.6640316,667.2857143,24.36135373
0,134.0295008,203.75,228.2777778,508.8069498,32.29896795
0,133.894198,208.0833333,103.5714286,466.0,19.56163166
0,140.5909091,291.9767442,235.0,723.0384615,25.72255819
0,132.6962248,201.4605263,96.38181818,367.9166667,18.6128316
0,129.9640758,184.2363636,150.122449,250.0851064,24.82885866
0,131.5546407,210.6464646,91.1875,851.4054054,24.33726308
0,119.5015167,216.3636364,95.14285714,321.4383562,30.78398901
0,126.988764,200.2580645,86.96153846,199.5886076,17.9401474
0,120.866107,190.6170213,119.1617647,198.2380952,26.16700642
0,120.0560472,216.7833333,107.1388889,592.5510204,27.27446515
0,142.5296296,220.2608696,88.02857143,641.8428571,21.01262983
0,106.9038462,214.2741935,93.23809524,664.4090909,12.66678728
0,132.5920074,256.2571429,111.4285714,545.2727273,18.37603091
0,154.9050633,199.6666667,103.5857143,507.5657895,9.541024152
0,132.4554924,214.8333333,99.30434783,508.4,17.33313301
0,126.0751445,186.6666667,72.96923077,640.0909091,15.1887751
0,128.9721627,218.0125,143.5789474,884.6617647,30.34660882
0,107.2478992,231.8181818,150.7073171,785.1333333,19.09068415
0,131.4297872,209.7368421,113.75,578.7368421,28.8419829
0,147.8894737,202.12,87.2,401.9736842,36.83936602
0,147.7658228,340.8076923,86.21875,585.6029412,19.23608604
0,138.2647059,272.7704918,96.65384615,929.0,31.50928734
0,123.8544936,211.9027778,91.2037037,749.115942,24.73845544
0,122.2457002,291.9767442,89.25,601.0229885,29.51140323
0,133.2921811,249.8688525,90.46153846,169.1243243,27.27446515
0,119.7309665,187.1864407,85.16666667,546.25,24.36835261
0,115.0800971,258.3125,123.2893401,460.826087,14.76176555
0,133.5391485,261.7692308,81.9010989,458.7843137,13.09350984
0,126.2077626,212.3275862,248.7878788,395.4117647,20.72141965
0,145.2019231,344.0,96.34210526,559.6144578,19.66645422
0,111.3308824,216.2608696,107.8064516,491.6,20.70985101
0,132.4554924,193.4285714,144.4693878,355.5,26.09609061
0,126.2280285,531.625,114.3529412,527.5862069,27.72814455
0,113.9077381,222.35,127.686747,524.5238095,20.96291448
