sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
0,0.63,0.495,0.18,1.1625,0.525,0.253,0.345,9
1,0.635,0.505,0.19,1.3015,0.5045,0.3115,0.425,16
1,0.585,0.485,0.165,1.0685,0.413,0.28,0.335,9
1,0.72,0.585,0.235,2.2275,0.7865,0.454,0.575,22
0,0.5,0.38,0.13,0.604,0.312,0.147,0.1755,9
0,0.345,0.255,0.095,0.175,0.07,0.05,0.069,5
1,0.585,0.45,0.185,0.988,0.445,0.1725,0.265,10
2,0.17,0.125,0.03,0.031,0.0095,0.0165,0.0,4
2,0.38,0.28,0.095,0.2245,0.08,0.045,0.06,7
2,0.55,0.395,0.125,0.593,0.2845,0.1195,0.145,9
0,0.535,0.42,0.12,0.636,0.309,0.166,0.165,8
0,0.64,0.505,0.15,1.2985,0.606,0.2925,0.32,10
1,0.275,0.195,0.055,0.0865,0.0495,0.0215,0.0215,5
2,0.375,0.28,0.09,0.234,0.1075,0.0395,0.062,8
0,0.52,0.4,0.19,0.636,0.2785,0.163,0.21,13
0,0.585,0.43,0.165,0.8995,0.3715,0.2225,0.2395,9
0,0.595,0.45,0.14,1.0755,0.45,0.2245,0.2255,8
2,0.45,0.345,0.105,0.4255,0.215,0.094,0.1475,8
1,0.55,0.385,0.115,0.628,0.285,0.145,0.19,11
1,0.56,0.44,0.185,0.9435,0.387,0.173,0.315,15
2,0.435,0.34,0.105,0.307,0.1335,0.074,0.09,7
1,0.63,0.5,0.2,1.429,0.6695,0.303,0.415,12
0,0.345,0.265,0.12,0.229,0.097,0.057,0.06,9
1,0.65,0.51,0.205,1.546,0.7415,0.378,0.3565,11
1,0.38,0.305,0.125,0.3075,0.139,0.074,0.105,7
2,0.46,0.35,0.105,0.4755,0.2145,0.1055,0.125,8
2,0.61,0.485,0.15,1.062,0.4345,0.2125,0.33,10
2,0.585,0.435,0.15,0.892,0.4815,0.16,0.238,9
1,0.62,0.475,0.155,1.086,0.455,0.2515,0.2875,10
0,0.58,0.45,0.155,0.9,0.43,0.1825,0.2325,8
2,0.355,0.285,0.095,0.199,0.0855,0.0345,0.07,8
2,0.525,0.425,0.14,0.6885,0.2805,0.147,0.257,10
0,0.55,0.425,0.13,0.8195,0.309,0.199,0.25,10
0,0.65,0.5,0.165,1.204,0.5115,0.2715,0.334,12
0,0.55,0.41,0.13,0.838,0.4155,0.181,0.21,9
2,0.34,0.25,0.09,0.1665,0.07,0.044,0.075,6
1,0.495,0.375,0.14,0.5555,0.2575,0.145,0.155,10
0,0.575,0.465,0.135,0.915,0.4025,0.1835,0.236,10
0,0.685,0.525,0.18,1.679,0.676,0.4815,0.47,20
0,0.73,0.545,0.2,2.0695,0.7535,0.4745,0.581,10
0,0.49,0.38,0.135,0.579,0.2255,0.1225,0.136,12
0,0.625,0.495,0.175,1.127,0.539,0.2575,0.2725,11
1,0.415,0.325,0.13,0.488,0.2585,0.1045,0.105,8
2,0.36,0.265,0.1,0.201,0.096,0.0575,0.071,6
1,0.59,0.45,0.175,0.913,0.3575,0.1605,0.315,20
1,0.67,0.525,0.185,1.663,0.7175,0.3815,0.4925,12
2,0.37,0.29,0.095,0.232,0.11,0.047,0.0705,6
0,0.565,0.45,0.14,1.0515,0.4925,0.2245,0.285,9
2,0.53,0.42,0.145,0.679,0.259,0.151,0.239,8
0,0.49,0.405,0.14,0.747,0.2015,0.173,0.21,11
1,0.72,0.555,0.205,1.82,0.845,0.415,0.535,11
0,0.615,0.47,0.19,1.032,0.3795,0.2225,0.285,10
1,0.67,0.54,0.185,1.787,0.803,0.345,0.451,9
1,0.54,0.42,0.125,0.92,0.3985,0.182,0.335,13
0,0.38,0.3,0.09,0.285,0.13,0.069,0.0965,7
2,0.57,0.39,0.125,0.591,0.2275,0.144,0.185,9
1,0.6,0.505,0.155,1.3725,0.4895,0.305,0.395,13
2,0.39,0.28,0.09,0.2125,0.1355,0.039,0.065,8
0,0.51,0.395,0.145,0.772,0.329,0.1435,0.24,8
2,0.535,0.39,0.125,0.615,0.2505,0.125,0.1955,9
0,0.625,0.48,0.205,1.3415,0.6155,0.3195,0.335,11
1,0.45,0.335,0.105,0.459,0.1835,0.091,0.155,8
1,0.58,0.455,0.14,0.9275,0.3835,0.256,0.305,10
0,0.55,0.42,0.155,0.96,0.327,0.2145,0.31,19
0,0.625,0.485,0.165,1.3475,0.695,0.296,0.33,10
0,0.42,0.34,0.125,0.417,0.1675,0.1065,0.0925,9
2,0.35,0.25,0.085,0.204,0.097,0.0385,0.05,6
1,0.605,0.465,0.155,1.207,0.463,0.302,0.32,10
2,0.27,0.19,0.065,0.0935,0.04,0.0295,0.022,4
1,0.515,0.38,0.135,0.6945,0.3685,0.145,0.1415,7
0,0.52,0.405,0.155,0.868,0.4165,0.189,0.235,9
0,0.5,0.385,0.125,0.607,0.237,0.1835,0.175,10
0,0.53,0.425,0.135,0.7795,0.2915,0.135,0.232,9
2,0.47,0.35,0.115,0.4595,0.2085,0.0855,0.132,7
1,0.48,0.39,0.12,0.5875,0.261,0.117,0.155,10
2,0.32,0.245,0.09,0.138,0.043,0.034,0.055,8
1,0.49,0.37,0.12,0.6645,0.289,0.1215,0.19,14
2,0.385,0.3,0.1,0.2715,0.114,0.0695,0.083,7
1,0.5,0.38,0.15,0.6545,0.283,0.15,0.255,12
0,0.59,0.46,0.185,1.3025,0.5495,0.3215,0.315,8
0,0.58,0.47,0.17,1.1265,0.4425,0.264,0.29,13
2,0.375,0.28,0.085,0.2245,0.0675,0.0455,0.067,6
2,0.38,0.26,0.1,0.216,0.0975,0.049,0.072,6
1,0.66,0.52,0.21,1.676,0.692,0.382,0.465,16
2,0.38,0.28,0.075,0.2275,0.0845,0.049,0.0905,7
0,0.55,0.44,0.14,0.807,0.3735,0.1555,0.2395,8
2,0.275,0.205,0.07,0.1095,0.437,0.0155,0.03,5
2,0.175,0.12,0.04,0.0295,0.009,0.0055,0.0045,4
1,0.425,0.33,0.11,0.3555,0.146,0.0565,0.11,11
1,0.52,0.4,0.12,0.5665,0.2615,0.1275,0.165,10
1,0.62,0.46,0.155,0.995,0.4855,0.213,0.2215,8
2,0.455,0.355,0.135,0.4955,0.2005,0.087,0.145,7
0,0.425,0.325,0.11,0.38,0.1645,0.0895,0.12,8
0,0.565,0.455,0.14,0.867,0.3055,0.181,0.31,17
1,0.575,0.465,0.15,1.0075,0.4335,0.244,0.2895,10
1,0.59,0.445,0.225,1.8485,0.5005,0.2825,0.535,20
0,0.45,0.355,0.115,0.4475,0.2355,0.091,0.135,7
2,0.5,0.395,0.125,0.646,0.417,0.147,0.175,9
0,0.455,0.355,0.15,0.529,0.209,0.1385,0.14,13
0,0.505,0.375,0.125,0.5245,0.242,0.136,0.145,8
1,0.465,0.35,0.115,0.4085,0.1765,0.0945,0.15,8
0,0.6,0.5,0.18,1.131,0.454,0.257,0.315,9
1,0.55,0.43,0.18,0.7805,0.291,0.1745,0.255,8
2,0.57,0.455,0.16,0.7665,0.3055,0.187,0.2625,11
2,0.205,0.145,0.06,0.0445,0.0175,0.0125,0.017,4
2,0.36,0.275,0.09,0.2235,0.089,0.042,0.06,6
1,0.595,0.47,0.17,1.0915,0.4965,0.242,0.305,10
0,0.675,0.51,0.15,1.445,0.71,0.358,0.4065,11
0,0.575,0.46,0.135,0.928,0.425,0.1835,0.255,9
2,0.43,0.325,0.1,0.38,0.1535,0.091,0.1275,8
1,0.64,0.51,0.205,1.584,0.666,0.32,0.445,14
1,0.62,0.475,0.17,1.132,0.5675,0.255,0.305,10
0,0.59,0.475,0.155,1.076,0.463,0.224,0.28,11
2,0.59,0.45,0.15,0.958,0.4585,0.198,0.252,9
0,0.475,0.365,0.135,0.507,0.234,0.1225,0.133,8
2,0.505,0.385,0.14,0.6075,0.2695,0.11,0.1905,8
0,0.575,0.465,0.145,0.9515,0.4805,0.2425,0.268,9
2,0.275,0.195,0.07,0.107,0.0475,0.017,0.032,6
2,0.37,0.255,0.09,0.2265,0.1105,0.043,0.064,6
0,0.59,0.445,0.13,0.726,0.339,0.1425,0.201,7
0,0.615,0.47,0.15,1.1485,0.4575,0.2875,0.36,11
2,0.5,0.375,0.12,0.5865,0.3295,0.131,0.148,8
0,0.7,0.565,0.235,2.024,0.924,0.425,0.566,11
1,0.65,0.53,0.17,1.2425,0.4255,0.305,0.37,8
2,0.51,0.395,0.14,0.68,0.3105,0.154,0.175,10
0,0.535,0.405,0.175,0.876,0.3125,0.187,0.325,10
2,0.18,0.13,0.045,0.0385,0.0195,0.0025,0.0095,4
2,0.255,0.195,0.08,0.0925,0.0315,0.023,0.025,6
1,0.58,0.45,0.17,1.058,0.4125,0.225,0.315,17
1,0.67,0.52,0.18,1.593,0.706,0.371,0.455,11
1,0.61,0.485,0.185,1.29,0.49,0.28,0.435,14
1,0.575,0.435,0.16,0.927,0.3,0.2495,0.37,20
2,0.235,0.165,0.05,0.0515,0.015,0.0185,0.006,5
1,0.665,0.56,0.195,1.6725,0.6935,0.416,0.496,10
0,0.585,0.475,0.155,1.236,0.63,0.2625,0.285,10
1,0.5,0.4,0.125,0.6665,0.305,0.11,0.18,12
2,0.395,0.295,0.095,0.304,0.1325,0.088,0.082,7
0,0.565,0.44,0.145,1.0005,0.389,0.2195,0.35,13
0,0.655,0.51,0.175,1.346,0.5875,0.3175,0.375,9
2,0.585,0.455,0.145,0.837,0.4055,0.159,0.2365,10
2,0.485,0.38,0.13,0.534,0.2935,0.1125,0.1665,8
2,0.54,0.42,0.14,0.731,0.3675,0.1075,0.2175,8
1,0.605,0.485,0.195,1.2575,0.6135,0.26,0.335,10
1,0.74,0.6,0.2,2.2,0.8835,0.485,0.625,11
0,0.595,0.465,0.13,1.032,0.485,0.221,0.281,9
0,0.61,0.465,0.16,1.2285,0.6185,0.238,0.3,10
1,0.605,0.47,0.145,1.0075,0.4415,0.2205,0.2815,9
0,0.49,0.375,0.135,0.5595,0.217,0.131,0.1455,10
1,0.595,0.465,0.185,1.0405,0.418,0.2905,0.265,12
1,0.69,0.555,0.175,1.6035,0.7065,0.3325,0.502,11
2,0.58,0.44,0.15,0.8725,0.4005,0.1875,0.235,9
1,0.62,0.495,0.16,1.1385,0.523,0.259,0.29,11
1,0.645,0.5,0.18,1.4965,0.6935,0.321,0.437,12
1,0.54,0.42,0.13,0.7745,0.3165,0.18,0.22,8
2,0.45,0.345,0.105,0.406,0.192,0.087,0.1215,8
2,0.24,0.175,0.055,0.0645,0.027,0.0005,0.025,0
1,0.475,0.355,0.105,0.442,0.1925,0.116,0.135,10
1,0.56,0.445,0.16,0.9,0.3525,0.164,0.305,10
