age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
33,6,422836,11,2,3,0,4,1,0,0,35,26,0
40,4,270585,9,2,4,0,4,1,0,0,60,39,1
57,4,330142,9,2,4,0,4,1,0,0,45,39,1
69,5,140157,9,2,12,0,4,1,0,0,45,39,1
48,4,369522,15,2,7,0,4,1,7688,0,40,39,1
52,4,21832,11,4,8,2,4,1,0,0,35,39,0
43,4,102729,11,2,14,0,4,1,0,0,40,39,0
33,4,248750,15,2,7,0,4,1,0,0,40,39,0
31,4,446739,7,2,4,0,4,1,0,0,50,39,0
34,7,56826,11,2,3,0,4,1,0,0,40,39,1
19,4,35775,11,4,3,1,4,1,0,0,45,39,0
19,4,29526,15,4,12,3,4,0,0,0,32,39,0
51,4,136358,9,2,13,0,1,1,0,0,40,3,0
21,2,211251,15,4,11,3,4,1,0,0,15,39,0
56,4,174351,12,4,4,1,4,1,0,0,50,39,0
65,4,325216,9,4,4,1,4,1,0,0,40,39,0
58,4,149977,12,2,10,0,4,1,0,0,40,0,1
51,4,117199,11,6,1,4,2,0,0,0,40,39,0
22,4,228411,11,4,8,1,4,1,0,0,60,39,0
29,0,201082,11,2,0,3,4,0,0,0,12,39,0
21,2,221013,15,4,1,3,4,0,0,0,15,39,0
29,7,183627,15,0,4,1,4,0,0,0,40,39,0
26,4,373406,11,2,8,0,4,1,0,0,40,26,0
53,4,173291,11,2,4,0,4,1,0,0,50,39,1
21,4,231160,15,2,8,0,4,1,0,0,30,39,0
29,4,132078,11,2,6,0,4,1,0,0,40,39,0
58,4,100904,3,2,14,0,2,1,0,0,40,39,0
41,4,206948,9,2,4,0,4,1,0,0,40,39,1
58,4,187355,11,2,12,0,4,1,0,0,60,39,0
40,4,287008,5,2,6,0,4,1,0,0,40,22,0
70,0,193776,11,2,0,0,4,1,0,0,8,39,0
45,4,162302,11,0,7,3,4,1,0,0,32,39,0
33,7,541643,15,2,11,0,2,1,0,0,40,39,1
29,4,80179,11,0,12,3,4,1,0,0,60,39,0
21,4,176716,11,2,7,0,4,1,0,0,40,39,0
56,2,251588,9,2,10,0,4,1,0,0,40,39,0
28,7,99564,12,4,10,1,2,0,0,0,60,23,0
43,4,242406,11,2,7,0,4,1,0,0,40,39,0
44,2,455558,8,4,4,4,2,0,0,0,40,39,1
27,7,186773,11,2,11,0,4,1,0,0,40,39,0
40,4,183765,12,2,4,0,4,1,0,0,42,39,1
42,4,167065,11,2,1,0,4,1,0,0,50,39,0
66,4,66691,12,5,10,1,4,0,0,0,40,22,0
29,4,209499,15,2,7,0,4,1,7298,0,48,39,1
27,4,286596,9,4,13,1,4,1,0,0,45,39,0
22,4,223811,11,4,12,3,4,1,0,0,40,6,0
49,4,189498,11,2,3,0,4,1,7688,0,40,39,1
45,4,35910,11,2,12,0,4,1,0,0,60,39,1
39,6,127772,9,2,5,0,4,1,0,0,72,39,0
38,4,126675,11,2,3,0,4,1,0,0,40,39,0
19,4,214702,11,4,1,1,4,0,0,0,35,39,0
22,4,170321,11,4,11,1,4,1,0,0,40,39,0
24,4,84143,9,2,12,0,4,1,0,0,50,39,0
58,4,74820,12,3,10,1,4,1,0,0,50,0,0
29,6,241687,0,2,12,0,4,1,0,0,55,39,0
36,6,192251,9,0,12,1,4,0,0,0,60,39,0
57,4,201229,7,5,7,1,4,1,0,0,40,39,0
36,4,272944,15,4,12,1,4,1,0,0,55,39,0
80,6,252292,14,2,10,0,4,1,0,0,35,39,0
52,2,143953,12,2,10,0,4,1,0,0,40,39,1
42,4,388236,15,2,4,0,4,1,0,0,60,39,1
48,4,120131,15,2,3,0,4,1,15024,0,40,39,1
19,4,382688,15,4,1,3,4,0,0,0,20,39,0
47,2,177114,1,0,1,1,4,0,0,0,40,39,0
24,4,253643,9,4,12,3,4,1,0,0,12,39,0
27,4,247445,11,4,7,3,4,1,0,0,40,39,0
63,1,96993,15,6,4,1,2,1,0,2444,40,39,1
56,6,133728,11,2,12,0,4,1,3103,0,72,39,1
44,4,309513,15,2,8,0,4,1,0,0,40,39,0
28,4,202450,15,0,1,4,4,0,0,0,15,39,0
31,4,346236,15,4,8,1,2,1,0,0,40,39,0
42,4,483201,5,2,7,0,4,1,0,0,40,26,1
23,4,353010,9,4,4,3,4,1,0,0,6,39,0
32,4,238984,11,2,14,0,4,1,0,0,60,39,0
30,1,348592,9,2,10,0,4,1,0,0,48,39,1
67,4,157103,11,2,14,0,3,1,0,0,30,39,0
36,0,207689,15,0,0,4,4,0,0,0,25,39,0
21,4,147189,0,4,12,2,4,0,0,0,38,39,0
35,1,340763,9,4,13,1,4,0,0,0,40,39,0
45,4,99179,8,6,1,4,4,0,0,0,40,39,0
45,4,181863,11,0,7,1,4,0,0,0,40,39,0
29,4,184450,15,4,8,1,4,1,0,0,40,39,0
26,7,109621,15,2,10,0,2,1,0,0,40,0,0
44,6,296982,9,2,4,0,4,1,0,0,50,39,0
35,4,206609,1,2,6,0,4,1,0,0,60,39,0
