index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
40007,3,442,2,3,0,4,1,1,9.5,32,2050
11744,3,624,2,0,0,5,0,1,9.83,11,9735
20535,3,213,2,0,0,2,4,1,5.25,4,6932
31037,1,839,2,5,0,5,3,1,25.0,20,3994
1662,5,1553,2,5,2,5,5,1,2.0,11,5955
48776,1,800,5,4,0,0,2,1,6.42,30,6169
1764,3,262,2,2,2,5,5,1,2.17,11,6585
12682,1,713,2,1,0,5,0,1,16.0,15,9291
21327,3,647,2,0,2,0,4,1,2.17,9,6270
34888,5,1551,2,1,0,5,3,1,14.92,46,5549
46689,0,1215,5,1,2,4,2,1,2.17,21,2339
17250,2,975,2,4,0,2,0,1,5.42,36,5610
6251,4,1404,2,2,0,1,5,1,13.25,32,5761
45853,2,1006,5,5,2,5,2,1,2.25,17,2339
35420,4,1387,2,1,0,5,1,1,15.67,2,7740
258,5,1533,2,4,2,4,5,1,2.08,3,5955
41559,5,1460,2,4,1,5,1,1,14.0,40,8719
15130,2,1038,2,0,0,3,0,1,9.58,27,4020
32301,5,1472,2,2,0,4,3,1,17.0,28,6076
44429,3,248,5,1,2,4,2,1,2.17,10,5943
34618,0,1218,2,0,0,5,3,1,9.08,44,5953
45786,1,803,5,0,0,2,2,1,26.17,16,6521
15648,5,1466,2,1,2,4,0,1,2.75,29,4501
47952,5,1476,5,1,0,0,2,1,6.75,26,4909
8516,5,1466,2,1,0,4,5,1,5.5,42,6296
16336,5,1472,2,2,2,2,0,1,2.75,32,4501
5007,5,1487,2,1,0,0,5,1,7.33,26,4691
3449,2,1101,2,0,0,5,5,1,7.08,19,5323
30517,5,1538,2,2,0,0,3,1,19.5,16,4934
15790,3,427,2,0,0,2,0,1,6.67,30,3127
27640,1,857,2,1,0,2,4,1,11.42,43,7150
15026,5,1551,2,1,0,4,0,1,5.0,26,4272
14069,2,1013,2,1,0,0,0,1,6.17,22,4020
33735,5,1552,2,2,0,1,3,1,12.83,38,6172
20440,1,748,2,4,0,1,4,1,19.5,3,14765
9376,5,1551,2,1,2,1,5,1,2.0,47,2476
46100,3,373,5,2,2,5,2,1,2.08,18,2738
18957,5,1536,2,0,0,5,0,1,5.42,44,4496
28913,3,95,2,5,2,5,3,1,2.25,3,6690
21170,4,1399,2,1,2,4,4,1,2.08,8,6480
48695,3,337,5,4,0,0,2,1,6.42,30,4627
13832,3,163,2,2,0,3,0,1,9.17,21,3354
39029,4,1420,2,4,0,2,1,1,6.17,26,4149
36945,1,812,2,1,0,4,1,1,26.92,13,13200
4834,1,721,2,1,0,4,5,1,26.0,25,4883
12298,5,1446,2,0,0,2,0,1,28.17,13,16140
4920,0,1137,2,4,0,5,5,1,11.0,26,2409
36435,0,1208,2,1,0,0,1,1,7.08,11,7426
37203,3,121,2,1,0,4,1,1,5.83,15,4316
27881,1,841,2,2,2,2,4,1,2.25,45,4097
27641,5,1538,2,2,0,2,4,1,27.17,43,6578
3585,2,981,2,5,0,4,5,1,11.83,19,5087
13102,1,746,2,5,2,3,0,1,2.92,17,4007
26699,2,1013,2,1,0,5,4,1,15.58,38,6395
42885,5,1460,2,4,1,5,1,1,14.0,48,8719
28111,0,1208,2,1,1,2,4,1,11.75,46,2480
30069,1,877,2,4,0,5,3,1,10.17,12,13568
31320,1,766,2,2,2,2,3,1,2.08,22,2518
35779,5,1559,2,4,0,2,1,1,9.58,5,11520
48992,1,811,5,0,0,3,2,1,14.25,31,5828
14457,0,1210,2,4,0,2,0,1,9.92,24,3569
5033,1,764,2,4,0,0,5,1,26.5,26,6933
14817,1,766,2,2,0,0,0,1,21.67,25,3621
37882,5,1557,2,0,0,2,1,1,7.08,19,4979
33117,5,1468,2,2,0,4,3,1,15.5,34,5761
28936,1,736,2,2,0,2,3,1,25.08,3,11111
18826,1,857,2,1,2,4,0,1,2.75,43,4007
4126,5,1484,2,1,0,5,5,1,15.5,22,5227
13622,3,42,2,4,0,2,0,1,8.83,20,3253
21136,3,106,2,4,0,0,4,1,4.33,7,9861
34270,5,1543,2,0,0,1,3,1,17.5,42,5772
25585,5,1554,2,2,0,2,4,1,24.08,32,6821
46092,4,1297,5,4,0,0,2,1,5.75,18,3612
42145,1,798,2,0,0,4,1,1,19.83,44,3988
48490,5,1476,5,1,0,0,2,1,6.75,29,4909
29122,3,85,2,1,0,2,3,1,10.25,5,8896
14380,3,427,2,0,0,2,0,1,6.67,23,5777
3836,1,766,2,2,0,5,5,1,6.67,21,3831
18421,0,1226,2,0,1,5,0,1,11.17,42,3090
41553,1,867,2,5,0,1,1,1,10.58,40,5598
24804,1,873,2,2,0,4,4,1,14.83,28,5805
47816,3,248,5,1,2,4,2,1,2.17,26,2339
