longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.37,37.93,19,1831,470,893,449,2.9732,181900,3
-122.25,37.45,35,2449,509,1058,417,4.0119,469100,4
-118.34,34.08,52,1446,198,516,187,15.0001,500001,0
-121.46,38.61,34,1028,162,493,156,4.3214,114200,1
-122.23,37.78,52,216,78,384,65,2.375,125000,3
-119.67,36.8,9,1269,266,780,260,4.0313,92200,1
-120.99,38.6,16,3997,717,1713,578,3.9615,121200,1
-117.13,32.7,33,1724,444,1601,426,1.775,86900,4
-119.28,34.27,52,455,102,263,116,2.6071,187500,4
-120.66,35.12,19,3774,696,1628,663,4.6,241800,0
-120.58,35.74,8,969,152,362,127,3.7109,228000,0
-117.99,33.87,37,1578,328,982,344,4.4306,186100,0
-118.36,34.06,52,2445,456,987,421,5.018,500001,0
-118.34,33.93,32,3369,876,3267,830,2.0204,157200,0
-121.96,37.27,26,4112,599,2098,604,5.3083,285500,0
-117.95,33.83,35,1277,231,682,237,4.0234,219300,0
-118.51,34.24,26,7741,1400,4362,1334,4.1753,230200,0
-117.61,34.08,28,1216,307,1132,273,1.5368,98800,1
-121.0,37.62,43,1719,327,961,305,3.5885,102600,1
-121.95,37.37,40,1815,427,977,380,2.7674,195800,0
-117.13,32.75,26,2308,644,1162,640,1.2248,125000,4
-118.46,34.01,45,1375,283,830,270,4.1375,311400,0
-117.2,32.81,21,1998,464,1055,402,2.3403,156300,4
-118.35,34.04,47,1819,442,1184,420,1.8584,143600,0
-117.87,33.84,35,1715,347,935,328,4.5461,226700,0
-118.24,33.94,42,881,172,873,188,1.6417,94600,0
-120.56,38.3,13,2338,451,616,223,2.5189,110300,1
-118.33,34.07,52,1887,360,741,347,3.275,430600,0
-121.98,36.97,42,2226,639,1096,545,3.0891,237500,4
-118.27,33.84,26,2616,473,1830,489,5.7057,195300,0
-117.59,33.6,5,4051,625,1896,619,7.7184,295100,0
-122.34,37.58,48,1092,193,540,198,3.8547,332700,4
-118.01,33.91,31,3101,709,1597,703,4.143,204500,0
-118.23,33.99,25,1378,373,1745,358,2.5833,117900,0
-118.17,34.01,43,967,225,1120,212,1.642,121700,0
-120.45,34.95,24,2726,649,1111,546,1.7188,135000,0
-118.13,34.1,52,2484,459,1167,428,4.0294,252900,0
-122.95,39.16,22,1238,249,608,194,2.1708,82700,1
-116.93,32.86,18,351,118,507,117,2.4211,137500,0
-122.33,40.68,6,11203,2215,7265,2152,3.187,123000,1
-118.33,34.16,47,1391,270,642,265,4.0875,250300,0
-121.31,38.03,15,4415,654,2010,618,4.5298,145200,1
-122.2,37.8,52,2809,354,954,355,7.315,298000,3
-122.26,37.83,31,2213,710,1445,642,1.9048,150000,3
-119.07,36.21,34,2634,491,974,393,2.2,75500,1
-120.87,37.52,21,1255,265,681,247,2.5547,95600,1
-117.35,33.95,28,1464,234,702,238,4.011,141000,1
-118.19,33.87,45,916,166,500,174,4.1548,170000,0
-119.61,36.34,47,2038,391,993,349,2.4881,62800,1
-118.13,33.8,36,1319,274,799,266,4.6761,234800,0
-117.99,33.75,23,2498,586,2491,562,3.0437,160400,0
-118.38,33.89,36,1383,207,621,204,5.5668,354400,0
-117.22,33.13,15,1452,273,694,250,3.9018,409200,4
-118.69,34.23,16,2809,518,1467,501,5.5446,257300,0
-122.66,38.23,20,2662,549,1348,506,2.825,192300,0
-119.03,35.42,25,1264,253,786,231,2.1711,57400,1
-118.99,35.37,42,2185,475,1745,451,2.0398,63200,1
-117.18,32.85,31,1533,245,667,266,3.8696,173100,4
-122.15,37.71,20,2871,601,1235,573,3.8088,203900,3
-117.65,34.08,33,1374,279,767,276,3.1746,135400,1
-118.54,34.47,13,12694,2396,6280,2309,5.1476,184700,0
-121.87,37.31,26,2729,615,1968,567,3.912,176200,0
-121.6,39.1,30,2904,579,1181,478,2.2152,92400,1
-118.21,33.9,35,2170,409,1315,381,3.5187,135200,0
-118.62,34.19,34,3107,495,1204,447,5.9634,230000,0
-118.28,34.05,30,749,295,1075,258,1.7644,156300,0
-119.35,36.32,15,2742,624,1401,521,2.2292,104400,1
-117.05,32.77,28,3269,606,1491,583,3.8547,222600,4
-122.27,39.82,17,2225,450,830,453,2.1534,151000,1
-117.98,33.88,9,2617,610,1353,573,3.4038,246400,0
-118.28,33.78,29,2274,617,2954,607,1.8019,163100,0
-121.85,38.05,47,1431,320,1065,325,2.2844,84200,1
-122.39,37.99,35,955,172,612,170,2.7375,166700,3
-122.42,37.77,52,1575,810,1465,736,1.4095,250000,3
-117.37,33.19,24,1703,495,902,452,2.0625,192000,4
-116.89,33.91,9,3750,764,1829,629,3.4632,123900,1
-118.48,34.05,28,1047,209,368,186,1.9688,500001,0
-118.23,34.06,5,958,371,1361,361,2.0,162500,0
-117.69,33.6,16,5766,941,3171,932,5.1596,262900,0
-119.71,34.42,51,1823,481,884,426,2.9728,321900,0
-119.23,34.29,36,3256,525,1332,547,5.1127,434600,4
-122.01,38.27,29,119,39,90,3,5.0372,137500,1
-118.11,33.9,34,1444,282,739,279,4.5481,196300,0
-122.3,38.03,15,2972,545,1321,500,2.7443,178100,3
-118.33,33.91,36,1929,391,1382,346,5.0,214100,0
-118.26,34.06,7,1019,345,1214,350,1.8923,500001,0
-120.58,35.13,18,3241,626,1159,603,3.1972,179900,0
-121.62,36.68,18,2478,525,1761,502,2.8906,135200,0
-116.39,33.69,16,936,186,436,165,2.1729,160200,1
-118.91,35.32,16,2668,628,1614,545,1.7105,65300,1
-117.0,32.74,26,4675,943,3920,950,2.5653,148300,4
-120.46,37.3,40,1347,398,1248,381,1.4583,61100,1
-122.43,37.76,52,2910,763,1305,739,3.6417,385500,3
-122.33,37.97,18,5977,1702,3228,1572,3.0878,136500,3
-118.02,33.94,26,1390,294,974,291,4.1679,177100,0
-118.28,33.91,37,1377,280,953,256,3.05,201600,0
-118.4,34.03,43,2154,386,900,378,5.0132,372000,0
-120.1,39.18,28,2138,468,335,128,2.4712,88800,1
-118.39,34.05,42,2226,392,844,339,3.5682,441100,0
-116.41,34.25,18,3487,729,1634,659,1.8882,81300,1
-120.56,37.32,18,1110,223,748,247,2.5988,72700,1
-121.6,39.17,12,861,179,405,146,2.4,102500,1
-122.08,37.61,37,1076,199,634,194,4.0357,153600,3
-118.34,33.77,24,6097,686,2172,577,10.0975,500001,4
-122.07,37.68,16,1403,328,508,294,3.0357,172700,3
-118.03,33.81,24,2853,625,1856,606,3.133,227900,0
-118.27,34.01,42,1590,468,1783,437,1.9153,126800,0
-117.62,34.08,31,2859,526,2077,523,3.6653,141700,1
-122.05,37.96,21,192,69,137,56,2.6458,187500,3
-116.88,32.75,32,3055,622,1894,615,3.3446,127000,0
-118.2,33.8,45,1722,375,964,367,3.5875,202800,4
-119.9,36.8,35,1284,222,720,209,3.5417,89600,1
-119.78,36.83,19,2219,401,1017,386,2.8943,97200,1
-121.45,38.59,46,1729,355,696,359,3.7386,107600,1
-118.39,34.2,33,1685,444,1607,465,3.7386,170300,0
-118.24,34.11,40,1341,330,877,303,2.8125,180100,0
-121.45,38.46,8,4073,685,1805,654,4.098,131000,1
-118.51,34.22,36,1370,249,788,244,4.0909,220700,0
-116.93,33.08,17,812,173,428,165,4.9205,133000,0
-117.18,33.17,5,20281,3929,11692,4694,5.5521,266700,0
-117.3,34.15,18,1990,371,1015,361,2.5833,106800,1
-118.33,33.99,43,2203,397,1169,406,4.7286,136700,0
-122.72,38.36,16,1755,410,834,302,2.6467,148500,0
-122.49,37.76,52,2571,428,1012,410,6.1593,431700,3
-118.74,34.27,22,1941,280,1087,281,5.8148,235800,0
-117.23,33.12,33,1456,289,760,266,4.1419,196700,4
-117.21,32.77,26,2556,321,852,322,7.5153,341700,4
-121.83,37.38,33,1802,353,1211,364,4.0909,165800,0
-118.11,33.72,31,840,214,394,220,2.2359,180000,4
-121.88,37.67,14,2787,773,1085,657,2.9404,99300,1
-118.07,33.99,36,1118,271,1232,292,2.4063,154000,0
-117.09,32.76,39,1693,374,880,350,2.375,162500,4
-118.6,34.32,5,4745,677,2028,676,7.7543,322200,0
-117.15,33.73,17,2099,407,987,347,2.21,146500,1
-118.31,33.93,35,1494,367,844,367,2.7308,173900,0
-118.15,34.05,47,1229,211,685,228,3.5491,248200,0
-118.45,34.18,30,2709,533,1195,494,4.8125,279200,0
-117.26,33.2,34,1116,240,566,197,2.7109,121500,0
-118.29,33.94,37,2210,443,1534,431,1.5434,95000,0
-119.28,34.28,49,2465,587,1139,523,2.3167,275000,4
-118.45,34.0,43,2220,450,1035,447,3.5833,322300,0
-118.28,33.79,23,5041,1300,4549,1324,2.0885,162500,0
-117.46,34.08,16,3150,533,1888,487,4.4328,123700,1
-121.42,36.84,9,782,165,862,199,2.4732,107900,1
-118.47,34.06,26,6646,1503,2615,1495,2.8904,500001,0
-117.21,33.22,13,2968,689,1382,561,2.5234,92500,0
-121.04,37.68,41,2114,537,1201,505,2.0417,112200,1
-122.4,37.73,40,2249,370,1000,388,4.7662,276000,3
-122.14,37.75,37,644,156,426,171,2.6583,96000,3
-118.15,34.03,41,301,96,234,83,1.9107,144200,0
-121.75,38.24,19,1877,458,1875,457,1.8194,55400,1
-118.47,34.29,33,1381,241,784,248,4.2636,198900,0
-118.42,34.18,42,1577,346,1136,350,3.4727,231000,0
-118.27,33.92,41,1484,292,1257,324,2.3182,107000,0
-118.52,34.4,5,8684,1318,3970,1217,5.9718,213100,0
-116.91,32.89,17,4828,997,2660,897,2.0691,119100,0
-117.37,33.94,32,4098,711,2155,667,4.1776,108300,1
-118.43,34.01,41,1194,203,543,200,5.576,356500,0
-122.45,37.71,48,1528,312,1302,301,4.1689,219000,4
-121.3,38.65,10,3637,690,1761,658,3.1474,153600,1
-120.51,37.31,21,1808,447,907,358,2.0379,73300,1
-122.43,37.77,52,2267,756,1171,633,1.9792,500000,3
-117.5,33.81,7,727,91,211,61,7.8298,333300,1
-117.43,34.22,14,1771,379,1283,339,2.04,97100,1
-118.2,33.89,30,2795,695,2438,675,2.6375,119100,0
-118.27,33.94,42,1782,448,1340,410,1.5185,96400,0
-118.36,34.07,52,2691,620,987,654,2.875,450000,0
-122.71,38.46,27,2251,470,1062,423,3.3289,220300,0
-120.43,34.96,16,1614,367,904,345,1.7455,142800,0
-121.32,38.04,36,719,114,350,119,2.9688,218800,1
-119.84,36.81,4,3115,433,1043,395,8.9892,347200,1
-121.73,39.12,18,1303,254,794,217,2.1444,72800,1
-117.16,32.78,33,1717,390,883,356,4.425,156300,4
-121.78,36.91,42,1101,253,652,222,2.4464,256900,0
-121.51,41.88,38,2831,665,1086,427,2.1576,66500,1
-117.08,32.68,7,1529,370,1474,397,2.0625,134700,4
-117.03,33.05,7,2992,403,1379,406,7.2463,399600,0
-117.14,32.9,5,2044,350,924,357,5.1859,165200,0
-122.17,37.78,33,1608,306,952,291,4.1908,166700,3
-117.77,35.6,10,3274,660,1062,475,3.2292,87300,1
-120.38,36.29,23,1944,493,1304,460,1.5625,84300,1
-117.53,34.08,17,2295,390,1267,362,4.2545,136700,1
-117.15,32.81,21,4864,571,2042,593,8.1618,409700,4
-118.85,34.21,19,5135,821,2105,803,5.2798,313800,0
-118.04,34.02,30,2079,387,1437,383,3.75,176800,0
-121.73,41.3,22,2139,405,836,269,2.5333,90600,1
-117.99,33.77,24,1866,591,2013,599,1.7813,179800,0
-121.89,36.57,20,10114,1406,4008,1318,15.0001,500001,4
-122.43,37.78,52,208,65,225,62,0.7167,454000,3
-122.4,37.78,52,677,159,404,140,2.48,206300,3
-121.69,36.84,12,2730,389,1275,364,6.6021,295800,0
-117.33,33.23,16,1662,248,914,268,4.7361,137100,4
-117.43,33.91,30,2811,636,1627,606,2.5129,118200,1
-117.37,34.08,8,2913,593,1464,611,2.9432,112100,1
-118.43,34.02,4,1999,594,901,522,4.2096,158300,0
-116.94,32.85,19,2883,466,1566,456,4.2042,157100,0
-121.89,37.28,47,2010,415,1008,395,3.5313,257600,0
-119.25,34.27,29,5397,1140,1937,1050,4.224,283900,4
-117.26,33.2,11,4353,919,1656,798,2.6164,162500,4
-118.02,33.76,22,4109,1051,3067,977,3.0011,213000,0
-122.03,37.97,26,3305,549,1533,509,5.507,201200,3
-121.27,37.94,46,1309,294,903,284,2.2222,59700,1
-117.25,33.93,5,11904,2131,5605,2086,4.6453,152300,1
-122.85,41.71,14,2856,631,1521,604,1.9338,73100,1
-117.96,33.87,26,2848,696,1947,661,2.2873,185300,0
-122.19,37.77,43,1020,234,606,244,2.3553,89500,3
-121.95,37.33,52,436,100,325,114,2.6023,208300,0
-119.99,38.92,10,734,110,283,90,3.5909,112500,1
-118.2,33.97,36,1761,392,1889,402,2.9583,165600,0
-118.08,33.98,45,983,171,702,174,3.7104,175000,0
-118.24,34.4,31,1072,266,837,286,2.3381,164100,1
-119.79,36.79,24,1728,400,1034,372,2.037,72300,1
-122.01,37.95,34,1432,253,796,254,4.9571,194600,3
-118.26,33.98,43,1252,316,1007,297,1.6786,95300,0
-118.45,34.06,25,952,279,349,271,3.2981,500001,0
-122.35,37.99,24,2374,637,2128,611,3.263,165200,3
-119.12,35.37,35,4036,798,1932,865,2.5702,86500,1
-122.31,37.89,47,1565,331,697,310,2.7222,269200,3
-117.91,33.81,24,3187,675,1657,633,3.4596,179200,0
-121.88,37.12,20,1435,236,626,225,5.7742,288100,0
-121.45,38.57,52,2659,493,987,481,4.5078,151600,1
-117.27,33.07,5,4674,833,1981,707,4.8096,316800,4
-116.32,34.21,16,5801,2350,2526,748,1.7111,66100,1
-118.25,33.8,42,1113,236,1198,246,3.3577,157400,0
-117.2,34.4,13,4537,901,2293,906,1.2873,84300,1
-122.12,37.7,23,1808,356,852,305,3.1528,170800,3
-118.08,33.91,39,1479,294,1058,279,3.9706,155300,0
-117.62,35.03,35,3452,608,1902,592,3.8536,92300,1
-121.98,39.03,27,891,138,383,126,2.6058,87500,1
-122.87,39.05,22,1335,276,337,128,1.7357,89500,1
-118.3,33.89,38,1768,491,1177,475,2.685,219800,0
-122.45,37.7,32,1535,342,1115,325,3.5417,253300,4
-119.75,36.79,27,4046,887,2427,798,1.5877,62400,1
-117.79,33.7,16,4405,722,2392,700,5.4734,231400,0
-118.37,34.05,44,1688,399,923,400,2.5769,319700,0
-122.0,37.31,26,2291,353,925,348,7.9641,448300,0
-117.12,32.76,27,2177,709,1183,623,1.8142,148800,4
-119.55,38.01,24,1198,160,432,157,10.9679,237500,1
-122.74,38.44,16,3666,644,1849,623,4.2204,213900,0
-118.45,35.55,31,1391,372,976,347,1.4118,49800,1
-119.8,36.83,10,2646,403,1139,386,5.012,102400,1
-121.27,37.99,43,1821,469,1052,424,1.3987,55000,1
-118.25,33.98,33,1594,413,1777,408,1.3304,99600,0
-118.18,34.02,26,762,234,1045,221,1.5847,144700,0
-121.33,38.69,25,2315,364,1026,380,4.5882,141300,1
-122.71,41.33,18,392,94,136,57,2.3125,47500,1
-121.27,37.84,36,468,117,465,108,1.1765,52800,1
-123.89,40.41,31,2249,600,1037,541,1.7375,83300,0
-117.24,33.89,5,7187,1325,5700,1211,3.3625,122500,1
-118.14,34.02,43,873,310,934,270,2.5804,145900,0
-117.06,33.15,10,5410,857,2150,827,4.8528,331400,0
-121.6,39.13,34,2603,593,1458,549,1.3598,71400,1
-122.09,37.68,46,2046,406,1030,377,2.5179,156400,3
-117.89,33.77,37,1509,322,955,322,3.875,181300,0
-118.3,33.8,21,3346,819,2362,821,3.1856,243300,0
-118.15,33.96,26,3512,671,1677,659,4.2027,236100,0
-121.36,38.03,13,2123,378,967,382,3.2132,142800,1
-116.26,33.73,9,8994,1845,2180,669,3.1949,134500,1
-119.25,36.25,30,1732,411,1356,405,1.0311,44500,1
-117.27,33.02,5,2592,622,971,546,3.7485,219100,4
-117.17,32.82,9,2017,312,1032,291,6.982,239800,4
-120.43,34.66,15,1985,288,796,265,5.517,260600,4
-121.35,38.02,16,3778,656,3224,646,3.5391,96900,1
-119.02,35.36,46,1966,416,1064,385,3.0328,71300,1
-120.77,37.3,34,2310,515,1930,492,2.3281,79700,1
-120.45,34.94,44,1827,389,1162,379,2.5,111800,0
-118.5,33.9,33,1780,464,798,443,5.0317,500001,0
-120.77,38.48,10,4276,833,1260,565,2.8961,103900,1
-122.01,37.37,36,3231,554,1590,532,5.3956,359100,0
-117.86,33.77,24,1149,248,654,236,3.6628,158600,0
-122.29,37.92,13,7849,1231,3001,1167,5.6915,209700,3
-118.22,33.94,33,1569,478,2038,458,3.3882,165300,0
-119.13,34.28,30,2801,471,1437,398,4.4306,226700,4
-122.19,37.77,52,2761,678,2136,635,2.1587,91700,3
-121.93,36.62,51,1432,371,737,330,2.0,222900,4
-121.04,37.68,22,3874,729,1983,694,4.0139,145200,1
-118.1,33.93,29,884,174,405,178,4.4219,173500,0
-117.32,33.21,17,1576,429,782,398,1.6601,111300,4
-120.38,34.99,26,2055,327,914,305,4.25,160700,0
-119.52,36.13,35,1898,445,1304,417,2.25,66400,1
-118.28,34.05,48,736,471,1824,471,1.6522,162500,0
-121.86,37.53,27,1011,210,545,213,3.7943,184600,0
-122.42,37.72,33,2246,587,1743,527,2.5266,234700,3
-118.08,34.12,30,2735,678,1181,621,3.2393,276800,0
-120.47,35.03,13,2150,385,987,362,3.7808,205200,0
-118.29,34.3,47,3027,690,1745,660,3.0112,152400,0
-118.11,33.8,36,4011,742,2022,704,4.0625,217400,0
-117.92,33.82,28,3172,632,1951,617,3.342,219400,0
-119.76,36.8,10,5736,1234,2585,1155,2.7788,100000,1
-117.9,33.73,28,2775,736,3082,725,3.6806,162500,0
-122.35,40.45,27,2258,459,1110,438,2.4366,74600,1
-121.59,39.72,14,1728,424,905,395,1.716,85900,1
-117.26,32.83,37,1748,370,730,358,3.625,500001,4
-119.73,36.79,31,4143,823,2081,766,2.3541,72800,1
-118.19,34.04,42,1785,447,1600,450,1.9927,139300,0
-121.66,36.82,25,5028,686,2165,700,5.1448,288900,0
-121.46,36.74,52,709,183,575,193,3.8045,135500,0
-118.14,33.97,36,81,10,50,4,2.375,175000,0
-120.93,39.43,41,1098,192,416,142,2.625,82800,1
-118.15,33.97,39,2705,762,3121,747,2.3831,162500,0
-121.03,39.24,52,1565,321,633,275,3.5603,129600,1
-117.09,34.21,28,3177,623,187,109,5.5,115600,1
-117.13,33.17,13,4200,805,1918,703,2.6611,164800,0
-122.53,40.08,33,1956,399,977,401,2.1023,65300,1
-122.44,37.77,35,5463,1307,2166,1232,4.0912,500001,3
-120.45,34.87,22,2297,380,1060,373,3.5192,137500,0
-119.69,34.42,35,2400,420,1176,404,4.7714,356800,0
-117.97,33.78,25,2329,579,956,517,3.098,202900,0
-118.13,33.88,34,1539,266,704,272,4.9615,211900,0
-122.43,37.76,52,1484,349,730,333,3.6098,295800,3
-118.41,33.87,35,863,174,296,153,10.6386,500001,0
-118.3,34.04,49,1254,387,1382,371,1.875,166100,0
-122.66,40.0,15,3172,602,1067,452,2.2507,83000,1
-118.19,34.07,43,1976,497,2221,514,2.5343,146500,0
-119.63,34.42,47,2138,455,950,394,2.6719,321800,0
-118.45,34.01,40,1064,251,592,256,3.9205,414300,0
-121.06,39.12,16,1849,363,718,303,1.6528,179700,1
-121.83,38.61,9,3813,731,1864,702,4.1607,133200,1
-118.32,33.93,37,2042,386,1042,357,4.3333,170300,0
-121.79,37.24,17,3074,512,1660,489,5.5885,277100,0
