RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
5760,15684920,345,774,2,0,26,4,0.0,1,0,1,18360.9,0
4164,15650379,2652,850,1,1,24,3,69463.3,2,1,1,9640.29,0
6659,15642975,2127,680,1,1,42,3,170926.77,2,1,0,42987.48,0
515,15646675,379,730,2,1,39,2,0.0,2,1,1,95439.76,0
703,15677977,2549,660,0,1,37,9,101518.53,1,1,1,45229.96,0
9780,15656227,2078,657,0,1,35,4,105341.29,1,1,0,67651.4,0
5716,15632533,2178,623,1,1,47,2,131956.09,2,0,0,151544.76,0
7073,15761505,2206,592,0,1,33,8,97864.82,1,1,0,104738.38,0
1190,15693850,2639,498,0,1,28,1,99906.33,2,0,1,166590.53,0
7409,15749298,2673,600,0,0,35,8,123923.96,1,0,0,888.52,0
9609,15736707,1558,683,0,1,34,1,101729.43,2,1,1,168687.93,1
7550,15705013,1583,655,1,0,47,8,152961.99,2,1,0,88459.1,0
9434,15806484,2390,763,2,1,38,6,0.0,1,1,1,57166.9,0
2689,15682021,1537,710,1,1,28,1,116070.78,1,1,1,178432.38,0
6180,15663952,1237,650,1,1,33,9,134567.38,2,1,1,119879.03,0
8333,15588546,497,557,2,1,44,5,103867.13,1,1,0,58711.34,1
7449,15628004,469,685,2,1,28,2,137940.32,2,1,1,170832.95,0
4757,15647325,1055,770,0,0,64,1,0.0,2,1,1,65896.3,0
2206,15804084,630,538,1,0,46,8,140543.51,1,1,0,24537.87,1
1751,15677883,2045,554,1,0,37,3,77396.42,1,1,1,2797.79,0
1893,15747273,513,483,0,1,39,8,92633.77,1,1,0,16248.02,0
9799,15754150,2803,640,0,1,60,6,118379.32,1,1,1,160057.77,0
4121,15568508,1124,651,1,1,36,2,148586.97,2,1,1,88650.68,0
7271,15621295,420,614,2,0,31,0,175980.39,1,1,1,60779.08,0
2255,15719873,2775,785,0,1,41,3,0.0,2,0,0,7426.22,0
4402,15575945,985,693,2,0,43,5,172231.53,1,1,0,105702.16,0
1202,15680595,2350,742,1,1,37,1,111477.08,1,1,0,77314.49,1
2686,15809215,852,693,0,1,45,6,98885.79,1,0,1,151307.08,0
415,15809669,866,583,1,0,40,8,105486.71,2,1,0,77635.73,0
3585,15694285,1199,761,1,1,25,8,106983.68,1,0,1,151113.51,0
5208,15704166,1570,554,2,1,46,3,89783.52,3,1,0,190579.52,1
5093,15641700,416,573,0,1,43,5,0.0,2,0,0,93458.49,0
803,15696557,1625,582,2,1,27,9,106070.78,1,0,1,69671.93,0
2542,15787561,1606,658,0,1,34,7,102461.03,2,1,0,56637.55,0
4438,15648194,1055,461,0,0,36,3,141236.96,1,0,0,103687.66,0
5717,15682284,80,543,2,1,37,3,143305.75,1,1,1,80627.09,1
6983,15752630,1666,847,0,1,39,7,0.0,2,0,0,162093.93,0
9758,15697737,564,581,1,1,29,8,133054.16,2,1,0,117987.36,0
5571,15780979,2119,584,0,0,71,2,0.0,2,1,1,167584.05,0
6408,15720056,735,622,0,1,40,4,120547.88,1,1,1,61267.45,0
706,15703479,852,511,0,0,37,1,125115.83,1,1,0,23064.7,0
3891,15789490,318,608,1,0,30,7,75932.0,1,1,1,110289.34,0
2042,15760574,1839,679,0,0,38,2,101261.47,2,1,1,37945.72,0
4899,15620377,2761,685,2,0,35,6,129868.4,1,1,0,129341.95,0
9500,15672835,2897,732,0,1,35,3,0.0,2,1,0,165589.6,0
5226,15723110,1357,554,1,0,47,7,108806.6,1,0,0,153058.49,1
1940,15777710,119,729,2,0,25,8,0.0,2,1,1,143401.72,0
4694,15706991,1488,775,0,1,51,1,0.0,2,1,1,127013.75,0
9385,15804879,2775,850,1,1,41,3,127576.36,3,1,1,7779.41,1
1704,15619238,698,617,1,1,34,8,104959.87,2,1,0,197677.02,0
9535,15737381,633,553,1,0,46,10,120643.56,1,0,0,31508.86,1
948,15677510,2913,519,0,1,45,9,124734.21,2,0,1,77298.79,0
6523,15617588,2786,569,0,1,38,9,0.0,2,1,1,182981.39,0
5426,15672432,1585,609,1,1,42,4,115346.19,2,1,1,28140.16,0
9871,15622225,1669,509,0,1,55,6,110413.42,1,0,0,190351.96,1
3127,15586213,2031,795,2,1,31,8,0.0,2,1,1,149474.16,0
5874,15593865,573,591,0,0,49,1,163880.23,1,1,1,102056.46,1
4623,15775192,847,659,0,0,35,2,89163.91,1,1,1,63210.06,0
5512,15625864,2595,607,0,0,37,8,165435.88,2,1,0,74197.55,0
1456,15759805,1228,639,0,0,39,1,138592.53,1,1,0,184133.4,0
3387,15654106,1350,818,0,1,54,5,0.0,2,1,1,47806.04,0
8383,15650679,2458,631,0,1,39,1,0.0,2,1,0,134389.83,0
4853,15658255,453,744,2,1,47,4,0.0,1,0,1,60059.08,1
7057,15776243,2677,632,0,1,43,0,0.0,1,1,0,128820.68,1
1961,15797164,241,628,2,1,40,6,0.0,2,1,1,41877.74,0
6727,15651643,498,618,0,0,30,6,0.0,2,1,1,79033.61,0
1463,15713199,1172,528,0,0,39,8,0.0,1,1,1,136990.59,1
916,15811081,741,688,1,0,45,1,134573.81,1,1,0,147164.92,1
5543,15758865,492,577,0,1,37,9,125537.26,1,0,0,49629.9,0
3657,15723281,2711,616,0,1,31,10,84663.76,1,0,0,114269.77,1
8150,15671513,1107,419,2,0,40,6,121667.97,1,1,0,162405.29,0
2405,15719807,1586,661,0,1,37,3,121527.93,2,0,1,13414.47,0
2066,15727284,957,706,0,0,34,9,0.0,2,1,1,28134.97,0
