P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,price
2083,0.4581,0.2329,0.1665,0.1694,0.8413,0.0453,0.7129,0.0011,0.0157,0.0509,0.2033,0.9959,0.3379,0.1058,0.4545,26300
339,0.491,0.0,0.0622,0.0582,0.9626,0.0,0.8909,0.0,0.0222,0.2455,0.0,0.9868,0.8524,0.45,0.0,16900
691,0.4947,0.2015,0.1461,0.0982,0.8918,0.0,0.7869,0.0,0.059,0.066,0.1927,0.992,0.264,0.05,0.0,41800
88961,0.4703,0.4056,0.1518,0.1109,0.9159,0.0239,0.8231,0.0004,0.0216,0.0177,0.3681,0.9502,0.1586,0.0983,0.424,210100
1636,0.4626,0.0012,0.4285,0.2108,0.7704,0.0,0.6027,0.007,0.0501,0.4078,0.0014,0.9808,0.575,0.048,0.3333,58000
10065,0.4934,0.0588,0.0346,0.0209,0.9459,0.0,0.874,0.0059,0.029,0.0341,0.0477,0.9304,0.1031,0.2277,0.2364,50100
1070,0.475,0.0009,0.1,0.052,0.9315,0.0,0.8349,0.0027,0.0112,0.0441,0.0,0.9973,0.1455,0.1064,0.5,50500
27220,0.4828,0.0013,0.1003,0.0844,0.9439,0.0024,0.8418,0.0034,0.0182,0.0455,0.0012,0.3328,0.5287,0.3221,0.4938,40700
2874,0.5097,0.0163,0.0841,0.0499,0.9343,0.0,0.8458,0.0041,0.0395,0.0604,0.0162,0.9466,0.0945,0.2427,0.2647,232100
2484,0.4566,0.001,0.2523,0.1996,0.8195,0.0306,0.651,0.0021,0.0187,0.0879,0.0,0.9891,0.4053,0.1126,0.625,14999
3593,0.4418,0.6565,0.1572,0.1793,0.8434,0.0344,0.694,0.0022,0.0172,0.1395,0.6255,0.9963,0.3316,0.1818,0.8606,31100
9757,0.482,0.0041,0.171,0.1285,0.8647,0.0014,0.7017,0.0034,0.0371,0.0434,0.0034,0.976,0.307,0.0437,0.35,105800
1000419,0.4954,0.0,0.1025,0.071,0.9112,0.0,0.7949,0.0062,0.0274,0.0471,0.0,0.9878,0.1048,0.1154,0.0,34800
1393,0.4716,0.0079,0.1396,0.099,0.7783,0.0,0.6237,0.0,0.1151,0.041,0.0083,0.9949,0.3901,0.0315,0.0,255900
556,0.4649,0.0036,0.2618,0.1275,0.8473,0.0,0.7158,0.004,0.0346,0.3119,0.0121,0.995,0.0678,0.0294,0.4545,124000
3027,0.4546,0.0006,0.2252,0.184,0.8163,0.0408,0.6912,0.0033,0.0165,0.0982,0.0,0.995,0.374,0.0522,0.5556,27900
786,0.494,0.0013,0.1591,0.0954,0.8909,0.0,0.7457,0.0,0.0193,0.0822,0.0,1.0,0.1804,0.0704,0.5,22400
536,0.4525,0.0,0.236,0.1947,0.8284,0.0,0.6164,0.0,0.0126,0.0956,0.0,0.9955,0.141,0.1224,1.0,21500
464,0.467,0.0,0.2142,0.1608,0.8658,0.0,0.6755,0.0,0.0051,0.097,0.0,1.0,0.1847,0.1163,0.0,18000
528,0.4998,0.0,0.2398,0.1964,0.8283,0.0,0.6293,0.0,0.0155,0.0804,0.0,1.0,0.4258,0.0,0.0,14999
3493,0.4668,0.0005,0.2724,0.2242,0.7709,0.0438,0.6047,0.0033,0.0194,0.1616,0.0,0.995,0.367,0.1047,0.9286,14999
6706,0.4834,0.0002,0.1488,0.1166,0.8731,0.0248,0.7489,0.0018,0.0185,0.1416,0.0,0.9675,0.4298,0.1192,0.6333,21200
179,0.4845,0.0,0.0439,0.0368,0.968,0.0,0.8919,0.0,0.0233,0.1282,0.0,1.0,0.825,0.2,1.0,55600
71,0.4863,0.0,0.2097,0.1081,0.9228,0.0,0.803,0.0,0.0,0.2667,0.0,1.0,0.4263,0.0,1.0,14999
1584,0.4598,0.0019,0.2628,0.1874,0.8069,0.0398,0.6547,0.0014,0.0152,0.0847,0.0,0.9852,0.4547,0.0899,0.875,19100
6592,0.4808,0.0076,0.1755,0.0973,0.794,0.0672,0.7087,0.0034,0.0392,0.0295,0.0022,0.995,0.2817,0.0506,0.6667,51100
223,0.4947,0.0,0.202,0.1333,0.8758,0.0,0.719,0.0,0.0226,0.0526,0.0,0.9891,0.1797,0.125,0.0,29000
375,0.471,0.0237,0.1942,0.1309,0.8948,0.0,0.7515,0.0,0.0069,0.1613,0.0127,0.9931,0.2883,0.1667,0.3333,20500
106,0.5104,0.0,0.1446,0.0823,0.9091,0.0,0.7734,0.0,0.0,0.0,0.0,1.0,0.15,0.2857,0.0,16300
526,0.4841,0.0019,0.0913,0.0797,0.8908,0.0,0.7291,0.0129,0.033,0.1004,0.0059,0.9833,0.4283,0.2351,0.6667,17800
87,0.478,0.0,0.2138,0.2395,0.817,0.0,0.55,0.0,0.0233,0.0228,0.0,0.9783,0.2863,0.1667,0.0,14999
206,0.4587,0.0,0.1781,0.0732,0.9268,0.0,0.8148,0.0,0.0128,0.2183,0.0,0.988,0.3487,0.25,1.0,16500
4456,0.4839,0.0002,0.0595,0.0529,0.9402,0.0,0.8497,0.0022,0.0186,0.0144,0.0,0.9943,0.0579,0.159,0.4286,63100
944,0.4746,0.0,0.1523,0.1183,0.8852,0.0,0.7328,0.0085,0.0197,0.0418,0.0,1.0,0.1962,0.068,0.25,31300
2147,0.4878,0.0,0.0675,0.0255,0.8794,0.0,0.7665,0.0024,0.0832,0.0284,0.0,0.9938,0.0543,0.0938,0.5,106800
26173,0.478,0.1396,0.1394,0.11,0.864,0.0128,0.719,0.004,0.0341,0.0586,0.1236,0.9941,0.3106,0.112,0.4593,36300
1188,0.489,0.0,0.1098,0.0797,0.9179,0.0,0.7933,0.0,0.0194,0.0373,0.0,0.9953,0.1458,0.1613,0.0,70100
700,0.4715,0.0,0.1722,0.1496,0.8747,0.0,0.6948,0.0,0.0069,0.0764,0.0,1.0,0.199,0.1528,0.0,18400
1808,0.4914,0.0068,0.1016,0.0909,0.9568,0.0,0.8808,0.0015,0.0169,0.0143,0.0035,0.996,0.0127,0.1696,0.5,66800
304,0.5093,0.0,0.1451,0.0958,0.8928,0.0,0.7442,0.0,0.0261,0.0407,0.0,0.966,0.2775,0.2,0.0,15300
4771,0.4825,0.0021,0.1561,0.1048,0.8894,0.0,0.759,0.003,0.0317,0.0227,0.0017,0.9972,0.1567,0.0307,0.6667,41800
12950,0.4886,0.0227,0.1124,0.104,0.9088,0.001,0.7888,0.0011,0.0346,0.0279,0.0233,0.9218,0.278,0.0957,0.4211,163700
368457,0.4554,0.1273,0.1643,0.1347,0.8243,0.0243,0.6837,0.0025,0.0446,0.0647,0.0972,0.993,0.2966,0.0603,0.4693,36400
895,0.4487,0.0011,0.2229,0.1409,0.8017,0.0,0.6437,0.0027,0.0661,0.097,0.0,0.9946,0.3059,0.0522,0.8333,86400
3362,0.4905,0.001,0.1695,0.1304,0.8298,0.0,0.6467,0.004,0.038,0.0503,0.0,0.9921,0.3325,0.0514,0.2,35700
3256,0.5249,0.0368,0.0644,0.0424,0.4834,0.1945,0.645,0.0101,0.1617,0.0837,0.0177,0.9916,0.3153,0.0469,0.2,51100
23845,0.4784,0.0029,0.1694,0.1175,0.9054,0.0,0.7812,0.0005,0.035,0.0297,0.0027,0.9756,0.0565,0.0515,0.587,210000
