date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
54,4,2.5,1680,6166,2.0,0,0,3,7,1680,0,2001,0,98030,47.3668,-122.179,1850,6984,249900
215,3,2.25,2370,6200,2.0,0,0,4,8,2370,0,1990,0,98031,47.4094,-122.192,1900,6201,317000
80,5,3.25,3520,21474,2.0,0,0,3,8,3520,0,1955,1995,98039,47.6339,-122.237,3000,21473,1850000
235,4,2.25,2280,172616,2.0,0,0,3,7,2280,0,1992,0,98022,47.169,-122.013,2280,117350,338000
364,2,1.0,750,7114,1.0,0,0,3,7,750,0,1943,0,98105,47.6714,-122.279,1370,7118,515000
157,3,2.5,2380,304584,1.0,0,0,3,8,2380,0,2011,0,98022,47.1934,-121.999,2380,116584,420000
147,2,1.0,830,6000,1.0,0,0,4,5,830,0,1949,0,98002,47.3003,-122.225,880,6000,124950
71,2,1.0,1140,9487,1.0,0,0,4,7,1140,0,1947,0,98177,47.7042,-122.361,1300,6827,447000
318,4,3.75,4260,16937,2.0,0,0,3,11,4260,0,1989,0,98004,47.6441,-122.219,3490,16931,2150000
152,3,2.25,1420,1300,3.0,0,0,3,8,1420,0,2007,0,98103,47.6982,-122.342,1480,1230,430000
285,3,2.5,2160,9045,2.0,0,0,3,8,2160,0,1992,0,98022,47.1924,-122.014,2060,9045,315000
39,3,1.75,2150,34802,1.0,0,0,3,8,2150,0,1960,0,98005,47.6521,-122.159,3280,43595,907000
52,3,2.25,2060,3600,2.0,0,0,3,8,2060,0,1994,0,98029,47.5709,-121.997,2060,4267,477500
366,4,3.5,3480,8393,2.0,0,0,3,11,3480,0,2003,0,98040,47.5372,-122.214,2400,9631,1450000
20,3,2.5,2370,15530,1.0,0,0,3,8,2370,0,1955,0,98004,47.6269,-122.205,2880,9046,910000
21,3,3.75,2080,2152,2.0,0,0,3,9,1410,670,2012,0,98126,47.5763,-122.372,1780,2152,530000
354,3,2.5,2530,13002,2.0,0,0,3,8,2530,0,1998,0,98045,47.4839,-121.778,2430,11543,495000
28,5,3.75,3880,8320,2.0,0,0,3,10,3880,0,2002,0,98033,47.6815,-122.207,3130,9080,1750000
84,3,1.75,1399,11230,1.0,0,0,4,7,1399,0,1966,0,98003,47.3459,-122.3,1580,6800,229950
147,4,2.25,1930,5677,2.0,0,0,4,8,1930,0,1986,0,98029,47.5694,-122.018,1800,5776,510000
24,4,2.5,2330,6000,2.0,0,0,3,8,2330,0,2001,0,98065,47.536,-121.87,2530,6140,542000
152,4,2.5,2740,11875,2.0,0,0,3,8,2740,0,1991,0,98074,47.6315,-122.024,2310,12035,690000
152,4,2.25,2780,8925,2.0,0,0,4,9,2780,0,1966,0,98040,47.5396,-122.226,2340,9250,875000
80,4,2.5,2450,7451,2.0,0,0,3,9,2450,0,2001,0,98001,47.3443,-122.264,2594,7662,372000
166,4,2.5,2240,4720,2.0,0,0,3,8,2240,0,2010,0,98038,47.356,-122.057,2240,4720,332000
14,4,2.5,3000,5782,2.0,0,0,3,8,3000,0,2007,0,98042,47.349,-122.153,2910,5920,327000
194,4,2.0,1640,4604,1.0,0,0,3,7,820,820,1972,0,98144,47.5778,-122.287,1350,4800,337000
341,4,2.0,2260,13060,1.0,0,0,4,9,2260,0,1964,0,98040,47.5455,-122.233,2880,13964,885000
45,5,1.0,1920,9383,2.0,0,0,4,7,1920,0,1963,0,98028,47.736,-122.241,1270,7700,400000
7,3,2.5,2350,3750,2.0,0,0,3,8,2350,0,2010,0,98053,47.6959,-122.018,1850,4000,680000
165,3,1.75,1260,12000,1.0,0,0,3,6,1260,0,1969,0,98058,47.4492,-122.155,1630,12000,309950
10,4,2.25,2200,7350,1.0,0,0,5,8,1250,950,1977,0,98033,47.687,-122.19,2200,7350,795000
325,2,1.0,790,4733,1.0,0,0,3,6,790,0,1910,0,98108,47.5543,-122.312,1560,6060,330000
311,4,2.5,2510,4980,2.0,0,0,3,9,2510,0,2007,0,98006,47.5421,-122.183,2510,6090,650000
88,2,2.25,1800,2771,2.0,0,0,3,9,1800,0,2009,0,98004,47.6182,-122.209,1800,2750,972000
154,4,1.0,1840,5000,1.5,0,0,3,7,1840,0,1911,0,98103,47.6627,-122.352,1830,5000,765000
66,6,2.0,2750,10880,1.0,0,0,4,8,1390,1360,1967,0,98033,47.6735,-122.166,1720,9196,630000
