ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
347,24,-3,83,94305,2,1.6,3,0,0,1,0,0,0
4370,37,11,41,92173,3,2.0,1,0,0,0,0,1,0
3089,26,2,8,93907,3,4.0,2,0,0,0,0,0,1
2512,35,8,20,95138,3,1.0,1,0,0,0,0,1,0
463,53,28,180,94998,2,8.8,1,292,0,0,0,0,0
701,44,20,70,94065,1,0.3,1,0,0,0,0,1,1
4529,39,14,54,94114,3,0.5,3,236,0,0,0,0,1
3325,34,9,30,93108,1,2.0,1,0,0,0,0,1,0
1502,51,27,43,90245,4,1.1,1,0,0,0,0,1,1
4813,36,12,123,94546,2,3.3,1,0,0,0,0,1,1
1988,57,32,95,90405,3,3.9,2,0,1,1,1,1,1
1929,38,12,65,95825,4,2.4,1,249,0,0,0,1,0
2856,46,19,14,95929,1,0.6,3,98,0,0,0,1,1
1048,43,19,33,94720,3,0.6,2,0,0,0,0,1,1
4100,41,15,55,94555,3,0.8,3,0,0,0,0,0,0
1107,39,14,71,90210,3,2.3,1,0,0,0,0,1,0
4522,41,16,122,92009,2,4.2,2,0,1,0,1,1,1
3040,29,5,83,93407,1,0.8,2,0,0,0,0,0,1
322,29,4,114,92096,2,4.4,3,0,1,0,1,1,1
4371,35,11,65,95370,3,3.6,2,230,0,0,0,0,1
4104,47,22,32,90024,3,1.9,2,149,0,0,0,1,1
959,50,25,80,92697,4,0.1,1,0,0,0,0,1,0
2599,59,35,43,92354,2,0.7,1,176,0,1,0,0,0
3905,39,14,85,95616,3,0.5,3,0,0,0,0,0,1
307,42,18,144,91604,1,3.7,1,0,0,0,0,1,0
4519,41,16,91,94143,2,0.4,1,0,0,0,0,1,0
2990,53,27,48,93943,3,1.9,2,153,0,0,0,1,0
3417,49,23,139,94402,2,0.4,1,0,0,0,0,0,0
1109,41,17,9,92121,1,0.2,1,86,0,0,0,1,1
1244,60,35,42,90630,3,2.2,3,0,0,0,0,1,0
990,53,27,15,92192,2,0.0,1,83,0,1,0,1,0
2881,27,3,45,95064,4,1.0,2,0,0,0,0,1,1
1515,49,23,70,90212,1,2.4,2,0,0,0,0,1,0
649,38,13,61,94112,3,0.5,3,0,0,0,0,1,0
3047,49,23,28,95616,1,1.4,3,86,0,0,0,0,0
1773,62,36,91,95134,2,3.0,3,0,0,0,0,1,1
1695,56,30,31,95133,2,0.3,1,104,0,0,0,1,1
2609,56,30,95,95064,2,0.7,2,0,0,0,0,1,0
2456,28,3,42,94080,3,1.1,2,0,0,0,0,1,1
3443,33,3,41,90245,2,0.6,3,0,0,0,0,1,0
3057,29,4,104,91103,3,4.5,1,0,0,0,0,0,0
4559,64,39,99,93022,2,0.0,3,0,0,0,1,1,1
732,49,24,24,92658,4,1.5,2,116,0,0,0,1,0
3377,26,0,33,94131,3,0.1,2,0,0,0,0,0,0
3850,30,6,42,93711,4,0.8,1,0,0,0,0,1,1
504,44,20,70,90503,2,2.8,1,0,0,0,0,0,0
3196,63,33,28,90049,4,1.5,3,99,0,0,0,1,0
3061,33,7,54,94608,1,0.2,1,0,0,0,0,1,0
2503,52,27,41,94115,3,0.9,3,0,0,0,0,1,0
1994,54,30,28,96064,2,1.4,1,0,0,0,0,0,0
3894,51,25,33,91345,4,0.9,2,112,0,1,0,0,0
1217,41,14,64,92182,3,2.2,2,223,0,0,0,0,0
1742,50,25,18,95616,3,0.4,1,0,0,0,0,1,0
1059,45,19,83,95211,4,2.9,3,0,0,0,0,0,0
3896,30,4,25,90025,4,0.5,3,0,0,0,0,1,0
441,53,28,41,94132,1,0.3,3,0,0,0,0,1,0
4164,29,3,70,95831,3,0.1,1,219,0,0,0,1,0
3793,32,7,28,92626,1,0.3,2,0,0,0,0,0,1
668,39,14,35,91107,2,0.3,1,0,0,0,0,0,1
1748,52,27,65,94303,3,3.0,2,0,0,0,0,1,1
1109,37,11,61,93943,2,2.2,1,0,0,0,0,1,0
1093,40,16,14,94016,1,0.9,3,0,0,0,0,1,0
4074,29,5,83,91775,4,1.8,2,0,0,0,0,0,1
4972,30,5,40,95403,1,1.9,2,0,0,0,0,1,0
1033,38,13,23,90089,3,0.2,2,0,0,0,0,1,0
4264,59,35,21,92173,3,0.3,2,0,0,0,0,1,1
1966,37,11,80,94923,4,2.4,1,0,0,0,0,1,0
2979,48,23,162,92064,1,0.3,1,0,0,0,0,0,0
4313,60,36,99,90220,1,1.9,2,320,0,1,0,1,0
44,49,24,61,90024,1,2.6,2,0,0,0,0,1,0
4533,54,24,43,95035,4,1.9,3,0,0,0,0,1,0
4888,47,23,19,96001,4,0.6,1,0,0,0,1,1,1
1034,62,37,49,94720,2,3.7,3,144,0,0,0,1,1
4001,52,28,31,91604,2,0.7,2,0,0,0,0,0,1
1930,46,22,88,94588,2,2.4,1,0,0,1,1,1,1
1366,30,4,173,91007,2,6.7,1,0,0,0,0,1,0
3672,35,9,114,94949,2,2.7,3,0,0,0,0,0,1
2068,45,19,25,92691,1,1.0,1,0,0,0,0,0,0
2628,28,3,62,90245,3,0.7,2,230,0,0,0,1,0
3900,42,18,42,93108,3,2.5,1,196,0,0,0,0,1
2998,52,28,52,95132,1,1.9,2,220,0,0,0,0,0
1011,65,40,33,92691,2,0.3,1,0,0,0,0,0,0
809,46,19,32,95521,1,0.7,2,0,0,0,0,1,0
573,55,29,24,92628,4,0.7,2,100,0,0,0,1,1
2090,43,17,91,95120,3,1.1,1,217,0,0,0,1,0
2542,51,25,39,91105,4,0.6,1,174,0,0,1,1,1
2098,53,28,181,90254,2,0.0,3,312,1,0,1,1,1
309,29,3,179,95616,2,4.2,1,0,0,0,0,1,0
2698,64,40,38,93106,2,0.3,3,0,0,0,0,1,0
401,64,39,55,92078,3,0.5,2,0,0,0,0,1,0
3086,49,24,115,90024,2,1.4,1,0,0,0,0,0,0
4042,33,7,40,90630,3,2.2,2,0,0,1,0,1,0
1936,41,15,70,94304,2,0.4,3,284,0,0,0,1,1
998,48,22,64,94402,3,0.7,1,0,0,0,0,1,0
584,60,35,50,95616,4,2.2,3,174,0,0,0,1,0
2514,56,30,45,92507,2,0.3,1,89,0,0,0,0,0
3447,63,37,40,90095,3,0.5,2,0,0,0,0,1,0
2315,57,31,42,91775,3,1.4,3,0,0,0,0,0,0
106,34,8,63,90041,4,2.2,2,0,0,0,0,1,1
1548,62,38,60,92182,3,2.2,3,0,0,1,0,1,0
212,29,3,30,92373,4,1.5,2,161,0,0,0,0,0
4107,50,24,40,93108,1,0.3,1,0,0,0,0,1,0
4003,37,13,28,90035,3,0.6,2,0,0,0,0,1,0
735,27,3,112,94301,2,2.0,1,0,0,0,0,1,0
4001,52,28,52,90095,4,1.8,3,0,0,1,0,0,0
4905,34,10,48,90024,2,1.7,1,0,0,0,1,1,1
2252,40,16,65,94575,4,2.67,1,0,0,0,0,1,0
4791,46,22,51,93117,1,1.4,3,0,0,0,0,1,1
4184,43,17,23,94305,2,0.4,3,0,0,0,0,0,1
284,64,40,40,95616,1,1.3,3,0,0,0,0,0,0
3521,39,14,70,90232,3,2.3,1,0,0,0,0,1,0
4506,60,33,48,94111,3,2.5,1,0,0,0,0,1,0
1851,31,7,110,94132,1,4.0,1,207,0,0,0,1,1
206,64,40,168,91604,2,2.0,1,0,0,0,0,1,1
1003,40,15,30,95112,1,1.4,3,0,0,0,0,1,0
4238,47,23,35,91711,1,1.4,3,0,0,0,0,1,0
1052,57,33,128,93106,2,7.2,1,0,0,0,0,1,1
1704,34,9,85,94309,2,0.4,2,110,0,0,0,1,0
3168,43,13,58,92374,3,0.5,3,0,0,0,0,1,0
4952,35,10,54,91942,3,2.33,1,0,0,0,0,1,0
4255,59,34,21,92116,4,0.4,2,78,0,0,0,1,0
1121,36,10,58,91335,3,2.33,1,229,0,1,0,0,1
1858,34,10,21,94583,1,1.0,1,96,0,0,0,1,1
3595,46,21,78,95819,4,2.9,1,78,0,0,0,0,1
4203,35,9,194,91360,2,8.0,1,550,0,0,0,1,0
1363,33,7,139,91311,1,6.0,3,456,1,1,1,1,0
4031,52,28,94,91380,2,0.2,1,0,0,0,0,1,1
2780,35,8,129,93022,2,7.8,1,0,0,0,0,0,0
4113,48,23,42,94607,1,1.2,2,0,0,0,0,1,1
295,28,2,29,92093,4,0.3,2,0,0,0,0,1,0
5,50,25,42,94025,1,1.2,2,0,0,0,0,1,0
43,57,32,93,95630,4,1.6,2,0,0,1,0,1,0
3115,50,24,33,90095,2,0.7,3,0,0,0,0,1,0
4833,49,24,22,94588,4,0.5,3,87,0,0,0,1,1
770,43,19,172,90089,3,1.8,3,0,1,0,1,1,1
3131,33,7,39,95929,4,1.8,2,89,0,0,0,1,0
4534,34,9,31,94709,3,0.9,2,149,0,1,0,1,0
1475,45,19,63,93940,3,2.67,2,0,0,0,0,1,0
1965,39,14,30,95630,2,1.0,2,0,0,0,0,1,0
2230,36,10,43,92101,2,2.3,1,0,0,0,0,0,0
3504,58,34,44,93106,3,0.6,2,151,0,0,0,1,0
2183,31,5,90,95605,3,0.6,2,0,0,0,0,1,1
1861,42,18,84,94608,4,0.1,2,200,0,0,0,1,0
4145,33,7,90,93109,2,1.8,3,89,0,0,0,1,1
1908,29,4,190,94303,2,4.5,1,100,0,0,0,1,0
3797,57,32,42,95127,3,2.4,2,0,0,0,0,1,0
2874,48,24,65,90089,1,2.6,1,184,0,0,0,1,0
4967,37,13,93,91941,2,0.0,1,0,0,0,0,1,1
1684,53,27,35,90095,3,1.7,2,0,0,0,0,1,0
4747,36,11,60,94143,4,2.2,2,0,0,0,0,1,0
3581,39,15,101,94939,2,1.4,1,0,0,0,0,0,1
3032,59,35,41,90717,3,1.4,3,0,0,0,0,1,0
1016,33,8,133,95814,2,5.2,3,81,1,1,1,1,1
929,37,13,83,91320,2,0.4,1,0,0,0,0,1,1
1723,41,17,54,92660,1,1.8,3,0,0,1,0,1,0
2219,45,20,74,92220,2,2.5,1,0,0,0,0,1,0
1699,37,11,44,95819,1,1.5,1,0,0,0,0,0,0
1427,30,6,95,95277,3,3.1,1,0,1,0,0,0,0
1529,47,20,118,94019,1,6.3,1,398,0,0,0,0,0
1441,46,20,82,91320,1,2.9,1,0,0,0,0,1,0
4910,29,3,32,92831,1,1.5,2,0,0,0,0,1,0
4665,44,18,85,90504,1,3.7,3,0,0,0,0,1,0
1178,45,19,60,93955,3,2.5,1,218,0,0,0,1,0
997,50,25,18,94539,1,0.2,1,0,0,0,0,1,0
1206,29,3,52,94061,4,2.1,3,0,0,0,0,1,1
798,59,33,164,94080,4,7.1,1,0,1,0,1,1,1
2432,48,22,74,94303,2,1.4,2,200,0,0,0,1,0
2470,37,13,109,92182,2,0.0,1,0,0,0,0,1,0
2776,57,31,130,94501,4,0.4,1,0,1,0,0,1,0
3503,58,33,41,92691,4,1.8,2,0,0,0,0,1,1
3211,49,25,73,95449,1,2.4,1,0,0,0,0,1,0
4987,47,23,39,91768,1,0.6,3,0,0,0,0,0,1
3519,41,17,34,92780,2,0.3,1,82,0,0,0,0,1
823,52,27,43,91745,1,1.4,3,0,0,0,0,1,0
3464,49,25,48,92886,1,1.4,3,121,0,0,0,0,0
4101,49,23,78,90291,4,2.6,1,0,0,0,0,1,1
2383,45,21,90,95054,1,2.7,1,356,0,0,0,1,1
1815,49,25,34,94720,1,1.0,1,78,0,0,0,0,1
3911,57,33,15,92521,2,0.3,1,93,0,0,0,0,0
4492,45,20,29,90064,1,0.3,3,0,0,0,0,1,1
1420,35,10,33,90024,2,1.3,1,0,0,1,0,0,0
1922,42,18,38,90740,1,0.3,3,0,0,0,0,1,0
270,30,5,20,92192,3,1.0,1,0,0,0,0,0,1
1361,47,23,22,90245,4,1.0,1,0,0,0,0,1,1
1514,28,2,65,93108,3,0.7,2,0,0,0,0,1,0
3274,49,23,85,92691,3,2.0,2,0,0,0,0,1,0
2229,34,9,140,92093,2,4.6,2,91,1,0,1,1,1
3500,43,19,20,90035,3,1.0,2,0,0,0,0,1,0
673,31,7,28,92647,1,1.33,1,0,0,0,0,1,0
1566,43,17,49,95039,3,0.5,1,161,0,0,0,1,0
2949,40,16,85,92152,2,0.2,1,0,0,0,0,1,1
4703,30,5,83,90275,2,0.2,1,0,0,0,0,1,0
1026,60,35,79,90245,3,0.5,1,189,0,0,0,0,1
1124,29,3,140,94551,2,6.0,1,394,0,0,0,1,1
3195,39,14,75,94143,1,0.0,1,0,0,1,0,1,0
4053,43,19,81,90747,4,4.1,1,0,0,0,0,1,0
941,30,6,111,94596,1,2.9,3,0,0,0,0,0,0
3726,47,23,38,90277,1,2.4,1,0,0,0,0,1,0
4073,55,26,20,94545,4,0.7,3,0,0,0,0,1,1
4480,57,32,92,92677,2,0.5,1,386,0,0,0,1,0
3365,62,37,122,90740,2,2.0,1,466,0,0,0,0,0
1056,43,16,59,92121,3,2.67,1,0,0,0,0,1,1
4812,49,24,124,90019,1,1.4,1,0,0,0,0,1,1
4999,47,23,53,94928,1,1.3,1,131,0,0,0,1,0
518,41,17,65,94143,4,2.6,1,0,0,0,0,0,0
2119,32,6,173,95039,2,6.5,3,0,1,0,0,0,0
848,29,3,72,95616,4,1.8,2,260,0,0,0,0,1
2511,31,6,33,93305,4,1.3,2,85,0,1,0,0,0
2907,54,28,21,94542,2,0.4,3,0,0,0,0,0,0
753,53,27,38,93108,3,1.7,2,154,0,0,0,1,0
610,50,23,22,94501,4,0.1,1,0,0,0,0,1,0
3285,58,33,145,90630,4,6.8,1,0,1,0,0,0,0
263,30,2,48,94708,4,2.2,2,0,0,1,1,1,1
1677,33,9,29,91330,1,0.6,3,0,0,0,1,1,1
2169,37,12,38,93943,2,0.8,3,158,0,0,0,0,0
3032,30,4,54,93106,4,1.8,3,0,0,0,0,1,0
354,57,32,25,94025,3,1.5,1,0,0,0,0,1,0
2989,50,24,18,91768,3,1.0,1,0,0,0,0,0,1
1894,57,31,122,91402,1,0.6,1,0,0,0,0,1,0
3152,54,28,111,94143,3,2.0,3,0,0,0,0,1,1
3102,31,7,48,93108,4,2.2,2,0,0,0,0,1,0
437,45,20,88,92173,4,3.0,3,0,0,0,0,0,0
3096,37,12,41,93943,1,1.33,1,0,0,0,0,1,1
4063,40,15,73,93561,1,0.7,3,0,0,0,0,0,1
4867,43,18,49,95432,3,2.5,1,0,0,1,1,1,1
4522,43,19,82,94061,2,0.4,1,0,0,0,0,1,0
493,50,25,18,92399,1,0.9,3,0,0,0,0,1,0
