class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,148.125,197.5,86.5,402.0,17.7347
0,148.7,251.0,107.0,765.0,29.5788
0,132.962,236.6481,109.9474,679.1412,20.9036
0,116.5273,202.0833,87.1667,440.1667,34.6522
0,128.9466,196.7111,89.4364,302.0294,19.2296
0,114.7037,202.5176,88.7576,611.2222,39.4548
0,126.3201,242.0161,112.449,708.4971,22.4722
0,101.7021,232.5714,104.2599,735.75,15.5816
0,117.5086,211.5,91.5926,527.5,31.8895
0,96.325,250.8,113.8,722.8,18.2486
0,124.5406,251.4342,119.9308,844.3234,16.6079
0,148.9354,211.8889,98.8889,620.5625,7.9052
0,137.475,196.3077,82.9167,313.6667,13.1278
0,129.4335,214.8355,99.3103,582.8966,16.4496
0,133.2044,226.7647,110.4706,640.2963,26.2071
0,148.5546,210.747,91.525,507.425,25.5492
0,135.1093,203.2609,87.25,425.7308,27.5421
0,120.5556,205.3333,90.1,355.86,36.8053
0,138.1526,182.0276,78.814,321.1579,16.0048
0,117.4369,201.7581,88.7083,437.8333,29.5656
0,116.3541,216.3333,99.3333,672.8235,33.6014
0,138.2029,228.6333,109.1667,590.6667,23.8734
0,154.7,235.8421,109.4286,714.3571,17.1497
0,116.2287,252.4167,114.7593,640.5833,9.1407
0,119.7905,213.55,94.85,421.75,13.8418
0,108.7566,209.3,96.5,572.0,23.0378
0,146.1443,221.7212,106.3188,717.0364,27.6043
0,106.5484,311.7778,201.4143,577.6667,44.8885
0,118.1497,222.3982,98.8647,640.2621,30.162
0,115.1884,242.2273,114.6603,622.3404,22.0408
0,121.1018,208.0635,89.2597,667.102,18.8456
0,126.0696,201.75,87.375,501.075,23.0073
0,104.2688,221.5161,95.0,607.6364,17.7732
0,126.5296,204.7273,89.8938,605.7694,29.0105
0,134.4337,214.6366,100.6176,513.3056,41.103
0,110.254,693.6364,515.3333,748.3333,87.9647
0,101.4149,219.7692,96.0105,623.7143,35.45
0,117.6172,230.68,100.24,569.2,12.6738
0,128.9263,240.0125,113.7093,670.0621,23.0073
0,116.6646,182.4911,79.7966,346.1539,22.506
0,149.5392,230.8947,103.5105,725.1429,30.0398
0,132.4889,204.6071,89.7609,380.7059,29.1136
0,115.586,258.317,114.3684,780.2727,19.6433
1,139.2537,178.8974,83.5102,332.0099,16.5077
0,128.8264,206.9737,89.8184,421.4396,25.6547
0,125.8264,209.1579,89.9444,456.139,26.4416
0,132.4378,193.0976,80.6241,331.8857,19.5339
0,138.7638,213.5,95.25,408.25,10.5009
0,136.5566,202.8448,86.542,602.5385,8.2311
0,112.925,203.92,89.85,496.25,30.4671
0,126.9517,259.6132,119.7479,694.2179,21.6428
0,118.7704,212.9878,95.7778,386.0,33.6077
0,129.8049,245.6667,122.9667,592.5833,19.6041
0,112.2667,222.5,95.75,620.0,31.0551
0,130.0326,227.5377,101.5789,544.6529,10.1414
0,123.5279,226.75,105.625,690.95,27.7595
0,127.0466,233.2,118.84,623.7,34.9569
0,132.5064,193.1912,84.6552,389.1176,27.6421
0,130.8927,192.75,78.5,340.25,15.9931
0,140.7043,207.2581,90.1652,417.8857,19.0714
0,126.7003,204.8261,92.1603,473.0,20.3697
0,132.4743,191.1538,91.0274,435.2308,22.7186
0,140.9354,213.9545,95.7143,423.3636,13.8501
0,116.6014,218.7273,96.1318,611.8333,37.4902
0,128.525,204.4226,89.3178,377.8266,19.7267
0,109.5728,229.0,108.0,762.0,16.1497
0,146.376,201.3462,89.7308,567.1235,19.2258
0,114.8541,204.3571,94.8571,521.9792,26.6674
0,142.2875,217.6947,92.6222,537.5,18.1393
0,141.4987,204.7411,90.5763,476.3529,16.8387
0,129.7528,243.8235,148.0704,273.425,10.8939
0,135.825,211.6615,91.3182,511.0314,31.1756
0,137.5415,194.617,81.4169,301.4625,18.8644
0,124.4636,229.3677,109.4375,545.9211,20.2757
0,132.7866,237.3696,123.541,588.9091,30.5429
0,139.457,185.2235,80.0769,271.5116,17.5147
0,129.5993,234.619,119.4474,546.4891,34.1876
0,137.6754,203.0238,97.1737,420.1522,23.8718
0,114.9685,203.093,85.6923,380.7308,25.5108
0,132.1735,179.9444,75.5952,331.1111,35.7855
0,139.5867,178.2235,74.7391,150.5882,12.6537
0,129.4979,193.5294,85.5,408.9273,23.5291
0,124.1378,212.6667,96.3704,533.8509,26.4398
0,122.4774,205.3025,91.8293,471.7727,33.8649
0,134.4211,213.7143,95.2909,714.9688,28.4548
0,110.3073,237.5675,113.3874,555.0309,30.1464
0,111.9896,483.5,460.1667,771.8333,80.0758
0,134.9474,212.5714,96.0952,507.5906,17.3972
0,132.1977,205.011,92.45,534.25,24.4488
0,125.9463,228.3846,105.907,691.0,24.3931
0,125.0278,270.3615,144.825,341.3936,21.7673
0,123.8435,222.9756,100.2143,614.7727,29.8066
0,119.2607,203.0833,87.6667,647.26,22.0757
0,141.3496,210.8462,93.8846,662.5385,31.7304
0,123.8626,293.75,160.25,300.25,17.1064
0,139.5377,214.3333,91.2099,336.8128,18.8098
0,121.4525,195.15,84.0,318.5,17.5983
0,117.7292,242.0909,108.1538,662.8235,18.7065
0,117.691,225.0238,106.1264,560.2909,27.4385
0,135.704,296.9545,188.5297,393.0436,14.9694
0,130.3132,205.3174,88.9747,322.1704,24.2363
0,130.8889,217.0278,97.814,520.06,22.3613
0,134.1975,191.5,80.25,427.5,24.1649
0,134.0983,214.7778,97.0444,580.1118,11.0749
1,113.8081,212.7586,122.3979,573.2421,16.266
0,143.1545,196.6364,84.8462,397.3677,17.5218
0,132.3354,184.3333,78.6667,252.6667,7.0021
