longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-122.29378497602545,37.67441306214534,51.0,1197.0,656.0,1000.0,615.0,1.473493455232088,450000.0,2.0
-118.5563169265872,33.604761174515964,28.0,1689.0,523.0,751.0,341.0,2.1994629599419593,450000.0,2.0
-120.31147013589495,35.460604842773776,52.0,2299.0,568.0,1141.0,479.0,3.1306644528396355,414508.0,2.0
-119.45841094144842,34.53345718619357,44.0,2353.0,622.0,1151.0,494.0,2.926259568033608,414784.0,2.0
-117.84405735955552,33.08130925093892,36.0,1950.0,593.0,810.0,452.0,2.391806498512293,300000.0,2.0
-121.5946447539855,36.54079374206936,24.0,2414.0,614.0,1251.0,289.0,3.176881541543508,300000.0,2.0
-120.5999228760968,35.70955129383034,42.0,729.0,162.0,253.0,112.0,4.836990111674063,450000.0,2.0
-120.51880245221895,35.205650565519115,34.0,816.0,270.0,387.0,195.0,3.070184711982601,450000.0,2.0
-119.30033229399774,34.3967433070997,30.0,687.0,186.0,381.0,153.0,3.323078074330618,287650.0,2.0
-120.20889334532633,35.46746223635569,31.0,655.0,156.0,337.0,132.0,4.119273254954208,287817.0,2.0
-120.12368168464685,35.3080859838388,26.0,4531.0,892.0,2213.0,837.0,4.433329882663664,313325.0,3.0
-122.1194198526548,37.378208417986464,35.0,3982.0,1034.0,2215.0,983.0,3.535252054013046,314089.0,3.0
-119.3698387080992,34.46912756394616,18.0,3255.0,662.0,1968.0,630.0,3.739630059362552,235041.0,3.0
-118.18231041392201,33.804870441402315,24.0,3544.0,892.0,1570.0,816.0,2.8477954657355014,234975.0,3.0
-122.24058415493676,37.51038943662451,38.0,1080.0,223.0,559.0,237.0,3.6219613620594098,267285.0,3.0
-118.23877983418778,33.67888025515906,30.0,935.0,289.0,490.0,273.0,2.6341520158289184,266700.0,3.0
-122.11450374469844,37.339211404204505,10.0,1473.0,379.0,783.0,387.0,3.5712580958581763,284100.0,3.0
-122.16794121875631,37.184836479148444,15.0,1460.0,305.0,626.0,263.0,5.208938550818262,284100.0,3.0
-120.81237811861732,36.27655013989152,24.0,6144.0,1271.0,2835.0,1162.0,5.163070748468158,342728.0,3.0
-122.16131947230782,37.42983865280547,29.0,6421.0,1256.0,3111.0,1199.0,5.565846652075332,343624.0,3.0
-122.11360658189983,37.55580344053883,43.0,1786.0,351.0,935.0,359.0,5.074323865370098,264700.0,4.0
-122.15898066816045,37.46306803946098,38.0,1571.0,384.0,1063.0,382.0,4.809633666542874,264759.0,4.0
-119.62254135117414,35.11076090018914,28.0,2557.0,689.0,959.0,587.0,3.7488658641108863,192200.0,3.0
-117.93773050255784,33.5348671165339,38.0,2294.0,537.0,971.0,502.0,3.3288544323548237,192200.0,3.0
-122.55940245082851,37.887134748422525,38.0,1487.0,315.0,709.0,298.0,4.516175438343477,309009.0,3.0
-122.17275915078164,37.46002062697635,29.0,1694.0,319.0,932.0,308.0,5.439956021753737,308536.0,3.0
-122.40333894338693,37.82174644789598,25.0,3460.0,835.0,1677.0,783.0,3.469483768616929,277000.0,4.0
-121.72629925750509,36.94127021606555,20.0,3572.0,812.0,1708.0,712.0,4.309951099461409,276876.0,3.0
-120.7415514760792,36.18741755382096,32.0,1290.0,242.0,721.0,237.0,5.5059866060561005,322129.0,3.0
-122.3205983401777,37.654003647015124,37.0,1360.0,338.0,869.0,333.0,4.688259031099176,322563.0,4.0
-122.20214997651637,37.45978213223359,21.0,3141.0,706.0,1458.0,651.0,4.173977172151756,262500.0,3.0
-122.0682259300218,37.39645186004361,16.0,3285.0,804.0,1402.0,712.0,3.9357667237430896,262500.0,4.0
-121.59161575330772,36.96551401476701,23.0,754.0,146.0,346.0,143.0,5.813152739991368,284545.0,3.0
-122.08780793385748,37.40780793385747,11.0,1332.0,357.0,750.0,381.0,3.5017695223895915,284209.0,4.0
-120.7385301511804,36.14014866466974,23.0,1758.0,391.0,921.0,383.0,4.418297026026407,289092.0,3.0
-121.34528653813362,36.71451148681642,22.0,1820.0,420.0,987.0,407.0,4.540059452508827,289005.0,3.0
-122.09576552548616,37.856262042169995,35.0,2636.0,474.0,1187.0,479.0,3.78934622869571,205132.0,4.0
-119.22634486647452,34.904833398298315,19.0,2554.0,606.0,1018.0,571.0,3.9303911891252947,205041.0,3.0
-122.08055238004061,37.66453335886263,27.0,1584.0,367.0,744.0,384.0,4.226140830254896,197152.0,4.0
-122.13419533898094,37.61361080507457,32.0,1497.0,326.0,692.0,327.0,3.789333040241313,197273.0,4.0
-122.49657182325916,37.73724073579396,41.0,1665.0,395.0,1039.0,387.0,3.95509507281765,273702.0,3.0
-122.15481840847185,37.4571406607068,23.0,1464.0,423.0,879.0,390.0,3.700217380002446,273911.0,3.0
-122.27062178278632,37.54502592306216,34.0,863.0,157.0,462.0,157.0,5.724319277595886,289391.0,4.0
-118.36258756204447,33.888554919708675,30.0,1413.0,250.0,559.0,267.0,3.947784818859292,289528.0,3.0
-121.49251419511154,36.458612481832695,17.0,1137.0,229.0,528.0,209.0,3.908923247566363,290600.0,3.0
-118.93510251135933,34.401867603962586,25.0,1126.0,289.0,519.0,276.0,2.7130493158071687,290600.0,3.0
-117.82280982190674,33.61103158599729,26.0,3904.0,1070.0,2338.0,886.0,3.337496018268543,230945.0,3.0
-122.0627357789932,37.32772109813082,21.0,4880.0,1222.0,2607.0,1138.0,3.564443515813456,229674.0,3.0
-119.83685652990026,35.05815541890345,21.0,3923.0,734.0,2284.0,721.0,4.628946036981157,234053.0,3.0
-120.80614151476543,36.44840459255794,27.0,3783.0,705.0,1594.0,653.0,4.766297616390951,233200.0,3.0
-121.20265026902617,36.09404355905802,20.0,4689.0,950.0,2080.0,795.0,2.666230104063699,246802.0,3.0
-117.3760237254145,33.223611320062815,4.0,5846.0,896.0,2288.0,803.0,5.570759842999821,247780.0,3.0
-122.11145916598424,37.8971011372942,44.0,2337.0,383.0,989.0,391.0,4.705352320880745,232014.0,4.0
-122.07648303246098,37.88021155183684,39.0,2104.0,342.0,985.0,356.0,4.830086990065599,232029.0,4.0
-119.85945834552204,35.236450560017346,24.0,5069.0,1228.0,2465.0,1158.0,3.9690506132533825,351485.0,3.0
-122.12506399806284,37.420190351630744,26.0,5163.0,1573.0,2794.0,1459.0,3.5451856309348404,351962.0,3.0
-122.0123579273329,37.01772683732635,46.0,1258.0,248.0,609.0,234.0,4.058728165222403,265315.0,3.0
-122.04821260700727,37.22101603123991,31.0,1841.0,335.0,884.0,319.0,4.105848938059847,265772.0,3.0
-122.11261855581284,37.95628293217023,29.0,1370.0,213.0,647.0,212.0,6.042973848150349,248000.0,4.0
-122.16093781432183,37.672160227239495,36.0,1454.0,286.0,957.0,304.0,4.147652872841059,247486.0,4.0
-122.18226592487444,37.86503393603952,28.0,6267.0,1357.0,2593.0,1295.0,4.476918790381136,273315.0,4.0
-122.24802119574754,37.81160777845512,28.0,5819.0,1595.0,2563.0,1491.0,3.2544872078057727,273397.0,4.0
-119.6139639537583,35.53790821634069,18.0,2969.0,665.0,1142.0,631.0,3.009504985510212,91151.0,3.0
-117.91199427009275,33.81064386646355,20.0,2893.0,618.0,928.0,577.0,2.8419097542397065,91187.0,3.0
