sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
2,12071,10346,5300,12718,13396,13416,13654,12.0
0,15672,14748,5978,16271,16097,14172,18221,12.0
2,4583,4602,3855,3633,3254,4054,5423,7.0
0,6737,7709,4581,6813,8219,6085,5825,8.0
0,9401,10803,5535,14226,16495,13520,13008,9.86888103282033
2,10448,9607,4581,9972,10753,13693,6749,9.0
1,2999,3333,3109,3698,5261,2724,3549,8.0
1,3,2,314,2,1,6,2,1.173158477344412
1,1363,1340,76,1357,1625,536,7183,6.0
0,12939,11207,5535,13904,14691,15737,13884,8.0
2,13905,13633,7083,18792,19319,19327,17640,11.0
0,8408,9019,6189,14344,11316,17429,15288,15.0
2,2560,2059,3022,2610,2866,4008,2482,9.0
1,221,369,328,312,231,345,394,5.0
0,8873,9118,5535,10379,9864,11228,9214,7.267230125552114
0,2097,2323,2314,2585,2430,2254,2443,7.0
2,14177,12255,6852,15824,13638,16838,16541,10.0
2,6643,6613,3608,7761,9996,7463,6507,7.416869386197305
1,2833,2956,2634,3564,3646,3045,4321,8.0
1,0,0,0,0,0,0,0,1.0
1,9526,8231,5535,10459,11793,11125,10475,9.0
2,13232,12517,6852,17315,16772,18264,16976,9.0
1,10925,10024,4670,10717,14003,9590,9106,9.0
1,3236,2918,3109,2753,2995,2048,2773,6.0
2,14374,12430,6852,17369,18573,19266,13847,8.164502381468322
0,16451,14382,7952,19770,20109,20183,18740,10.0
1,15266,13060,5535,17030,14869,16200,16805,11.0
0,16240,14745,6626,19134,19181,18577,18506,10.0
0,8769,8914,4698,11370,8488,13961,15127,14.409625560606369
1,496,694,1480,771,626,734,755,5.0
2,15032,13423,6416,17525,17833,18540,16143,9.0
0,9526,9095,5535,12211,13193,12618,11408,7.008957353505872
1,7917,6895,4097,6263,6197,8502,6576,8.0
2,941,722,1480,1135,1061,771,668,6.0
1,7524,6581,4434,7555,7094,7500,7407,8.045569192291037
2,1918,1706,1533,1848,2074,1655,2479,9.874603198992755
2,9675,9055,4526,10245,11743,10398,9493,7.0
1,1537,1826,1531,1823,2115,1778,1836,5.0
1,7758,6767,5238,7027,5338,6194,10624,16.41651557673684
1,3067,4628,2386,3935,6265,4625,3219,7.0
2,11870,10973,6626,15820,17261,15394,13855,8.0
1,0,0,0,0,0,0,0,1.0
2,12539,12600,6416,13769,14360,14970,14758,9.0
2,8186,8116,6376,12647,13032,12349,12020,11.0
0,7500,7709,4097,8768,9165,8666,8514,10.0
1,3165,3971,3608,3855,3225,4580,4699,11.0
2,13383,11498,4097,14763,16016,12194,15971,12.0
2,11697,8593,5535,12943,10894,13091,14347,13.588923926871162
1,2500,2676,2386,2651,2921,1853,2697,7.0
1,3369,4342,2386,4733,4875,4184,4272,6.1627789099683286
1,10053,9161,3608,9177,11388,8694,8259,8.0
0,13018,12975,7083,15972,14267,16102,18744,13.0
0,14102,12683,6517,15821,16975,16127,15736,9.0
0,3144,4187,3359,4338,3614,4916,3618,11.0
1,8355,9280,4499,9689,11764,8845,9094,8.0
0,10925,10811,5746,13505,12399,15038,13307,15.907992960724826
2,14374,13189,6189,16614,17414,16212,17423,15.0
1,3597,3275,2624,2875,2272,3808,2992,7.0
2,14034,11455,4829,13773,14543,11830,11376,7.0
2,16266,15126,7443,20025,19954,20155,19580,12.0
2,10606,9576,6981,12442,12952,13039,14324,12.221628234517956
2,12026,10685,5746,13337,13300,13598,13287,11.0
0,5877,8293,6416,7622,5355,5308,11328,27.074205200773168
0,6737,7345,6416,12957,14644,11467,13436,8.0
1,3998,4646,3359,4726,4391,4205,4062,10.0
2,13253,11695,5535,14883,17094,14867,13390,10.0
1,8429,7046,4097,7737,7217,6830,7700,9.0
0,6030,6164,4568,6255,6097,5786,5143,9.227778002149158
0,13877,11991,7083,17034,18178,17523,16269,11.0
0,12709,11455,6409,13724,10952,14100,15927,14.5522637831288
2,16649,15371,7945,20055,20126,20149,19992,11.0
0,16651,15099,7315,20166,20142,20056,19765,12.72979528120229
1,4686,4434,3359,3988,4607,4748,3717,6.0
2,12539,12409,5978,13412,15934,14557,14772,11.0
2,10448,8640,5300,9864,11333,11963,10320,9.0
2,9304,9242,4581,13247,13217,12489,13764,9.0
0,16805,15458,8405,20307,20310,0,20307,29.0
0,4009,5514,3648,4312,4404,4906,4753,11.0
1,2215,2348,2175,2923,3323,2167,2865,7.0
2,1394,1322,1397,1096,654,926,1513,6.514089713809385
2,9567,9576,4581,12464,8941,9841,16004,13.0
0,13036,13539,7080,18909,19068,17603,17435,19.097715650828903
0,7979,8016,4581,6947,6312,5516,8775,14.0
0,11647,10024,5535,12896,15601,10046,11453,10.0
1,1453,1121,2368,1578,1477,1885,1598,6.0
0,13671,12935,6416,16442,17498,17510,14560,10.0
0,3913,3070,2624,3998,3089,4482,5233,11.0
0,15344,13745,6855,18800,19008,18099,18877,15.18377035598003
1,5767,4768,2524,4313,4559,5150,4171,9.0
2,8843,7709,5746,11764,12017,13672,12194,8.0
1,1985,1965,3623,2003,1368,1794,3099,8.0
0,15391,13747,5535,18842,17060,16718,19860,14.0
2,12176,11587,7471,16200,15321,16880,16524,18.99046815723465
1,0,0,127,0,0,0,0,1.0
0,13253,14093,6416,18004,17815,16931,16902,13.0
1,10304,8117,4829,8917,8758,8995,10726,8.0
2,15541,14471,6882,19790,19427,19802,19604,14.860123641517044
0,13977,13745,6852,15575,14680,10325,16177,13.0
2,12091,11719,6852,14443,11227,17980,15135,16.509055562749026
1,1758,2076,1938,1845,1803,980,1825,7.0
0,12776,11488,5064,15582,16403,17063,16380,10.0
0,16789,15436,8333,20293,20249,20312,20285,14.120852870453804
2,11518,11043,5300,11821,11908,11954,12447,11.0
1,11870,10491,5746,12257,11206,12479,12536,9.0
2,7742,8048,3608,8775,12142,7710,5809,8.0
2,10448,10024,5330,11570,12116,13383,10002,10.0
1,2377,2916,2624,2692,2702,1670,2456,7.0
1,907,1189,1480,1042,1370,856,898,5.0
0,4211,3739,3359,3976,3555,5494,4126,10.0
1,9526,8034,3109,9173,11362,8232,7688,8.0
0,13721,13038,6035,17028,16119,17208,17617,12.0
0,15931,14124,7083,19665,19110,19509,19555,15.0
0,16777,15405,7083,20097,20179,20028,19605,11.0
1,9110,7709,4581,8193,7412,9186,9622,11.0
2,15891,13456,6832,19280,19775,19082,17569,12.135315043300796
1,0,0,280,0,0,0,0,1.0
1,517,397,1030,510,368,783,690,6.0
2,15808,14640,7083,18731,18576,17746,18975,14.0
2,16615,14953,7984,19884,20035,19698,19473,10.0
1,5141,6496,5300,6648,6735,7888,6505,10.0
1,2698,2543,2053,2046,3190,1999,1977,6.0
2,13862,12972,6189,13991,15211,14378,15345,13.0
1,1904,2657,1938,2466,2466,2316,2458,12.0
1,7756,7407,3676,6721,7350,6615,6980,8.0
0,6380,6496,5064,7076,7002,7694,5586,10.0
0,14846,13377,8317,17773,13405,17134,20191,13.0
1,3419,4199,3608,3362,3460,2149,4323,8.0
2,8726,9095,5536,11016,10070,10731,11942,14.0
2,9698,7685,4829,10145,10949,11217,8978,9.0
0,11699,9576,4581,10549,11745,9377,11987,9.03110814091093
2,14359,12693,5535,17606,19222,16860,15130,11.0
0,13882,13244,6416,19164,18183,16820,19111,13.240712530103847
0,15524,14306,6402,17777,16443,18168,18464,12.0
2,1648,1408,1639,1605,1650,2108,1237,8.0
0,6504,6989,4013,6494,6646,4479,7909,8.0
1,5874,5274,3608,5645,5974,6108,4434,7.0
0,15317,14787,7083,19259,18743,18593,19570,13.0
0,9304,10040,5300,10635,10620,11002,9090,7.770251801271152
2,4827,5729,5300,5567,4775,5824,5353,9.0
1,4869,5820,4093,7056,7216,7662,7646,10.0
0,15573,13443,6281,18372,18402,19208,17434,8.0
1,10784,9572,4829,11497,11640,9184,12131,11.0
1,268,474,811,475,508,279,364,5.0
0,11870,11934,6416,16461,15828,14969,17038,15.0
1,2038,1899,2386,2313,2037,3229,2889,9.0
