Geography,Gender,HasCrCard,IsActiveMember,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,borrar,Exited
0,0,0,1,2256,3918,5,12434,0,19139,19128,0
0,1,1,1,1757,4892,8,5975,1,11339,11376,0
1,1,0,0,24514,2156,4,5713,1,2276,2247,0
2,0,0,1,13818,2803,3,15285,1,21544,21534,1
0,1,0,1,10902,1916,9,7016,0,23121,23113,0
2,0,0,1,10163,3372,9,0,1,13099,13133,1
1,0,0,0,11489,2276,1,7842,2,6026,6112,1
0,0,1,1,13288,1298,6,16045,0,8471,8481,0
0,1,1,1,13310,2276,5,9062,0,15613,15621,0
0,1,1,1,14990,1916,7,0,1,22066,22077,0
1,0,0,1,6719,3918,6,12449,0,21189,21244,1
0,0,0,0,10539,2156,2,0,1,11775,11735,0
1,1,1,0,8518,2156,5,9863,0,2980,2995,0
0,0,1,1,18173,2156,4,3272,0,1398,1388,1
0,0,1,1,10442,2406,6,6118,1,1194,1227,0
0,1,1,1,24022,2668,9,1952,1,20526,20558,0
0,0,1,1,17412,4322,2,3873,0,5761,5717,0
1,1,1,0,3847,2803,9,3872,0,7727,7758,1
0,1,0,1,18932,2544,4,6064,0,217,220,0
0,1,1,0,951,3202,4,14622,1,16118,16064,0
0,0,1,1,5397,4122,3,5468,0,5829,5769,1
0,1,1,1,20082,1916,6,13112,0,7938,7951,0
0,1,1,1,8789,781,8,16216,0,19228,19199,0
2,1,1,0,7463,2803,10,0,1,22169,22068,0
1,0,0,1,10756,1161,7,490,1,24961,24998,0
1,1,1,1,3129,1436,7,2423,1,7495,7508,0
2,1,1,1,19819,2276,2,0,0,20306,20344,0
1,0,1,1,23291,1781,6,16142,0,22517,22613,0
1,0,1,0,3735,3169,5,7604,0,1064,1057,1
0,0,0,0,7411,3394,9,5800,0,22449,22497,1
0,1,1,0,1996,657,9,0,1,12595,12560,0
2,0,1,1,23809,1298,9,7674,0,20549,20561,0
1,1,1,0,7346,4258,3,10504,0,838,834,1
0,0,0,0,23387,922,2,13381,1,7838,7891,0
2,1,1,0,1470,2918,4,16166,0,22159,22109,0
0,0,0,0,19584,417,1,2955,0,5679,5812,0
