waterfront,view,condition,borrar,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
0,0,2,18662,15801,3,419,8817,10747,49,6,9102,0,5545,0,1285,3470,15249,8043,10686,320000.0
0,0,3,22103,1386,4,206,8769,4089,49,5,8958,0,1994,0,2606,18954,200,4743,6770,770224.5100973886
0,0,2,17982,10675,3,419,10217,23870,0,6,9847,0,5551,0,1285,11921,21472,9514,23475,699950.2027552959
0,0,3,24374,13758,2,75,336,8471,0,4,395,0,2609,0,1348,4523,13873,495,6732,195273.1872521008
0,0,2,13341,13543,4,206,6778,18391,0,5,6497,0,3952,0,1716,7089,10443,6675,14236,289990.40368519485
0,0,2,24494,7673,3,619,3620,175,49,5,2550,476,6000,0,3238,13021,3009,2930,259,258978.76931548785
0,0,2,3019,5768,3,419,8482,3272,49,6,8030,0,6324,0,1716,4722,14570,5617,2949,330150.78966116696
0,0,3,15405,8728,4,264,8596,16375,0,6,8215,0,3562,0,836,12764,10012,11367,18426,766770.9248282233
0,0,2,17085,91,3,785,14962,6852,49,8,9890,4399,2539,561,3398,12979,2427,7699,5436,1059478.66968209
0,2,2,27024,9346,4,619,16561,2635,49,8,13240,4233,4528,0,2430,18893,7398,12495,3064,1716540.127265795
0,0,3,27016,13922,3,75,4489,11645,0,5,4645,0,3696,0,1285,2457,16605,633,11238,235000.0
0,0,2,1409,12938,4,464,16681,21782,49,6,9234,6715,2970,0,715,24294,15380,13968,21837,779226.8323088898
0,0,2,22158,5177,4,619,17717,24078,49,8,15294,6432,5810,0,836,17405,20891,14645,24004,1039966.8704559248
0,0,2,22795,5423,3,419,8466,8937,49,5,8233,0,5231,0,1716,23406,15702,4939,7940,487002.05488224
0,0,2,18491,0,2,0,0,29,0,0,0,0,0,0,0,27408,21772,1951,95,719170.2893443237
0,0,2,8654,3133,5,419,9034,11068,49,6,9030,0,4427,0,1348,22546,11660,5487,11208,549204.0512685882
0,0,2,6388,7355,0,75,1118,18870,0,4,1536,0,1650,0,4230,4687,5080,7024,19327,204804.43585102167
0,0,3,11122,370,3,464,12642,19446,0,6,6108,4877,4338,0,297,1722,3226,11687,19815,335000.0
0,0,2,18921,3691,3,309,7414,7612,0,6,7326,0,5928,0,1285,25427,17191,5724,10373,439552.1168110004
0,0,2,1983,15404,3,264,4689,880,49,5,4645,0,2832,0,2517,19885,4657,2473,1089,597101.3501455385
0,0,2,11044,7355,4,419,10598,21006,0,6,10322,0,3412,0,193,22601,8281,13331,21743,716233.5381321452
0,0,2,26628,9934,4,264,7186,14105,49,5,7072,0,3696,0,1716,5346,7972,2455,16456,299825.16143281915
0,0,3,8039,6516,4,464,9681,9629,0,5,3161,4766,4480,0,969,25062,10206,4647,10415,461237.7791369938
0,0,2,24540,1428,5,674,16276,9054,49,7,15066,0,935,0,2654,16016,5277,3526,6792,1044906.1445122064
0,0,2,1461,6464,3,309,7949,22639,0,5,2084,4073,3412,0,1716,23897,16642,10503,23023,438025.3041952523
0,0,2,17246,5783,4,309,11596,11876,0,5,3777,5759,3211,0,3207,9561,7398,5767,5072,377027.2872586418
