sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
1,0.38778514,0.3063865,0.085582495,0.27869064,0.11154439,0.055193678,0.080938384,9.0
0,0.6637291,0.53,0.20250234,1.6447077,0.7217332,0.38038427,0.43355396,11.0
0,0.56634825,0.485,0.14971067,0.8770525,0.28721994,0.19469672,0.27626047,11.025077
1,0.53,0.42696315,0.16611964,0.96493065,0.2792841,0.2109792,0.31568736,15.931018
1,0.64147466,0.49598518,0.16,1.0651774,0.43296522,0.27407408,0.3168048,10.0
0,0.77479875,0.5910569,0.21610676,2.4790308,1.3698429,0.72843623,0.5776908,11.0
0,0.5328384,0.39,0.12,0.6518299,0.3230364,0.13994801,0.16033408,7.0
0,0.605,0.49777797,0.13,1.0819275,0.45750046,0.23156796,0.34574145,9.0
0,0.57792926,0.45,0.185,1.1201514,0.47805116,0.21813403,0.37068444,14.017381
0,0.567163,0.42,0.16,1.097622,0.47752044,0.24495362,0.29480624,15.0
0,0.5739423,0.4536402,0.13785851,0.8191028,0.28658852,0.25779468,0.25327972,12.0
0,0.49452093,0.36,0.125,0.57624555,0.2834137,0.13799433,0.120985344,7.0
1,0.595,0.45847085,0.17,1.0945925,0.52565604,0.21247174,0.28572688,10.0
1,0.58391184,0.44584304,0.12,0.9962304,0.46656838,0.19887558,0.24320924,13.0
2,0.62,0.495,0.18,1.0429765,0.482197,0.20075668,0.3651606,14.0
2,0.56301504,0.45,0.155,0.79156494,0.28141952,0.17279597,0.29941672,11.0
1,0.6075831,0.465,0.145,1.1447525,0.5794153,0.22715692,0.30396363,10.0
2,0.56626505,0.43842643,0.16,0.85319805,0.37061208,0.19609815,0.26556024,9.0
0,0.38157254,0.30488575,0.11,0.27557555,0.1315039,0.054581825,0.081662685,8.0
2,0.36698422,0.27481058,0.091136575,0.2271264,0.12136569,0.055873297,0.065432064,7.0
2,0.440491,0.32562745,0.12,0.40229893,0.17945617,0.08589675,0.11947929,7.0
2,0.15382926,0.13228148,0.011487943,0.03194634,0.0075741443,0.0038601637,0.0065961247,2.8521254
0,0.55225074,0.43,0.14,0.8652131,0.35177076,0.18309179,0.2626947,12.0
1,0.41692942,0.30808362,0.095,0.31503853,0.10723836,0.059650935,0.10506555,12.410569
2,0.3318367,0.24527016,0.08695368,0.17548645,0.07670854,0.05060434,0.0511313,7.0
2,0.3417795,0.26434624,0.09776156,0.19176506,0.08680634,0.043983452,0.0634087,7.0
1,0.58672607,0.48,0.155,1.0583572,0.47473216,0.2784579,0.26975295,10.0
0,0.49755558,0.42777365,0.125,0.70869094,0.28502074,0.17917155,0.23618054,12.0
1,0.54,0.43,0.13,0.6735722,0.28338388,0.13339207,0.22341096,11.0
1,0.70363504,0.5422562,0.195,1.8811979,1.0132573,0.41340888,0.44485542,9.0
2,0.58,0.44,0.165,0.86805964,0.40951535,0.17638081,0.2349947,11.0
1,0.52,0.40829986,0.135,0.83465403,0.44461912,0.19119686,0.17948993,7.5448384
0,0.5964926,0.47,0.155,0.8534209,0.33209687,0.1909191,0.25910208,10.0
0,0.411005,0.3148372,0.12,0.36179614,0.15164499,0.061003424,0.12118103,11.0
2,0.45321357,0.3328227,0.12,0.3787376,0.15729618,0.071393564,0.11645871,9.0
1,0.567795,0.4622205,0.15,0.940862,0.44591308,0.2082118,0.2328241,10.0
2,0.27252144,0.20300059,0.05611359,0.085140094,0.033739325,0.014294068,0.0322468,3.6892319
0,0.67857593,0.55480343,0.19,1.535819,0.5971058,0.31756717,0.5362958,11.803937
0,0.6526755,0.50473726,0.18515241,1.3149265,0.5427739,0.3794832,0.3132684,12.0
2,0.24288459,0.17675866,0.057406668,0.074088246,0.029083144,0.013352408,0.023407245,4.8507566
2,0.6094344,0.49086022,0.145,0.84971255,0.43137017,0.15327677,0.28195316,9.0
2,0.37997347,0.30659506,0.11,0.30518866,0.12262326,0.06419129,0.09254219,6.712784
2,0.3341416,0.24104825,0.085,0.16749337,0.068717636,0.036351886,0.05609698,6.0
1,0.57,0.475,0.15,0.91640925,0.4387761,0.20940787,0.25804788,10.0
2,0.3034982,0.23039968,0.067649156,0.117088094,0.054284602,0.018518722,0.035750136,5.6628036
