age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
148225.81,4,0.0,11,4,8,1,4,0,0.0,40.0,20.0,34.282806,4
137487.58,4,0.0,15,6,10,1,4,1,0.0,35.0,79.17418,39.0,39
218714.11,4,0.0,5,2,3,0,4,1,0.0,50.0,62.40848,39.0,39
158875.83,4,0.0,11,2,3,0,4,1,0.0,40.0,59.0,39.0,39
56741.047,4,0.0,11,2,8,0,4,1,0.0,14.965481,63.0,39.0,39
304252.22,4,0.0,4,4,4,3,1,0,0.0,14.038541,31.911716,11.0,3
122622.26,4,0.0,15,2,7,1,4,1,0.0,45.0,24.0,39.0,39
163740.11,4,0.0,6,4,12,3,4,0,1902.0,40.0,24.0,39.0,39
148077.89,0,0.0,15,2,0,2,4,0,0.0,25.124231,26.0,39.0,39
292894.66,4,0.0,11,4,7,3,4,0,0.0,40.0,21.0,10.575314,4
145430.3,4,0.0,15,2,4,0,1,1,0.0,40.0,38.0,0.0,5
239752.92,0,0.0,15,4,0,1,4,1,0.0,40.0,23.0,39.0,39
218793.66,4,0.0,7,2,10,5,4,0,2001.8419,15.0,31.0,39.0,39
230727.84,4,0.0,11,2,4,0,4,1,0.0,55.0,32.0,39.0,39
166947.83,4,0.0,14,2,12,0,4,1,0.0,50.0,42.0,39.0,39
244660.38,4,7688.0,7,2,7,0,2,1,0.0,40.0,27.0,39.0,39
463851.3,4,0.0,11,2,3,0,4,1,0.0,40.0,35.0,39.0,39
143998.64,4,0.0,11,2,11,0,4,1,0.0,40.0,63.0,39.0,39
458887.6,4,0.0,11,4,1,3,4,0,0.0,40.0,47.0,39.0,39
151783.67,2,0.0,15,5,3,1,2,0,0.0,40.0,43.46841,39.0,39
278489.12,4,0.0,11,4,8,4,2,0,0.0,40.0,31.0,39.0,39
162925.5,4,0.0,9,6,12,4,4,0,0.0,40.0,49.0,39.0,39
365790.3,4,0.0,11,4,3,3,4,1,0.0,35.0,24.0,39.0,39
355429.3,4,0.0,1,2,3,0,4,1,0.0,48.0,68.73931,39.0,39
335210.66,4,0.0,11,4,10,1,4,1,0.0,40.0,26.0,39.0,39
46071.582,7,0.0,2,4,0,3,4,1,0.0,40.0,38.0,39.0,39
166200.05,4,0.0,11,4,8,1,4,1,0.0,37.0,32.0,39.0,39
179805.97,4,0.0,12,4,12,1,4,1,0.0,45.0,45.0,39.0,39
81402.11,6,0.0,15,2,3,0,4,1,0.0,40.0,46.0,39.0,39
160815.39,4,0.0,15,4,8,1,4,1,0.0,40.0,36.0,39.0,39
115271.67,4,0.0,15,2,1,0,2,1,0.0,40.0,37.0,0.0,0
361391.3,6,0.0,8,2,4,0,4,1,0.0,40.0,48.0,39.0,39
540539.2,4,0.0,11,5,1,1,4,1,0.0,50.0,29.0,39.0,39
180920.56,0,0.0,0,2,0,3,4,1,0.0,40.0,50.0,39.0,39
82957.055,4,0.0,15,2,5,0,4,1,0.0,40.0,40.0,39.0,39
181900.61,4,0.0,8,4,1,1,4,1,1587.3961,55.0,28.0,39.0,39
54755.996,4,0.0,15,5,5,1,4,1,0.0,40.0,40.0,39.0,39
129627.83,4,0.0,11,6,4,1,4,0,0.0,40.0,41.0,39.0,39
194825.2,4,0.0,11,2,4,0,4,1,0.0,15.0,31.0,39.0,39
100173.37,2,0.0,8,4,1,4,2,0,0.0,30.0,32.0,39.0,39
297519.75,4,0.0,11,4,8,3,4,0,0.0,20.0,18.0,39.0,39
173613.92,4,8335.664,11,4,10,3,4,0,0.0,40.0,37.0,39.0,39
122869.56,6,0.0,11,2,5,0,4,1,0.0,30.0,43.0,39.0,39
235817.33,4,0.0,9,4,8,3,4,1,0.0,40.0,31.0,39.0,39
239942.77,2,0.0,11,0,10,4,4,0,0.0,40.0,44.0,39.0,39
344006.12,6,14585.974,15,2,4,0,4,1,0.0,51.350483,47.0,39.0,39
33436.83,4,0.0,15,0,7,1,4,0,0.0,40.0,25.0,39.0,39
186059.58,6,0.0,9,4,3,3,4,1,0.0,35.0,28.0,39.0,39
296363.78,4,0.0,15,0,8,3,4,1,0.0,20.0,29.0,26.0,26
376421.56,4,0.0,12,4,1,1,4,1,0.0,40.539425,27.0,39.0,39
87194.33,1,0.0,15,2,13,0,4,1,0.0,60.0,47.0,39.0,39
58718.56,4,0.0,1,4,7,3,4,1,0.0,20.0,22.0,39.0,39
212496.38,4,7298.0,9,4,1,3,2,0,0.0,40.0,26.0,39.0,39
173651.72,4,0.0,2,4,10,4,2,1,0.0,40.0,38.0,39.0,39
231285.61,0,0.0,10,4,0,3,2,1,0.0,23.492146,18.0,39.0,39
244248.62,4,0.0,11,2,3,0,4,1,0.0,50.0,36.0,39.0,39
224870.5,6,0.0,11,4,1,1,4,1,0.0,40.0,63.0,39.0,39
486173.1,4,0.0,15,4,1,3,4,1,0.0,40.0,27.0,39.0,39
142446.2,4,0.0,15,5,8,3,2,1,0.0,38.0,23.0,39.0,39
34112.965,4,0.0,11,2,4,0,4,1,0.0,50.0,29.0,39.0,39
185982.5,4,0.0,2,2,3,0,1,1,0.0,40.0,53.0,22.0,5
151968.55,4,0.0,15,2,1,0,4,1,0.0,50.0,32.0,39.0,39
240353.0,0,0.0,9,2,8,0,4,1,0.0,55.0,44.0,39.0,39
287494.94,4,0.0,11,2,3,0,4,1,0.0,40.0,32.0,11.0,37
187763.88,4,0.0,0,2,3,0,2,1,0.0,40.0,33.0,39.0,39
494447.28,2,0.0,11,6,10,1,4,0,0.0,30.0,62.0,39.0,39
268730.47,4,0.0,0,0,1,4,1,0,0.0,20.0,28.0,26.0,23
137535.36,4,0.0,7,4,3,1,1,1,0.0,40.0,22.0,0.0,0
154733.4,6,0.0,11,2,3,0,4,1,0.0,55.0,48.0,39.0,39
138741.56,4,13663.324,11,2,1,0,4,1,0.0,50.0,52.06027,39.0,39
71701.26,0,0.0,0,4,0,3,4,0,0.0,5.0,17.0,39.0,39
46942.785,4,0.0,5,2,3,2,4,0,0.0,40.0,26.172106,39.0,39
48138.543,4,0.0,15,4,8,3,4,0,0.0,20.0,19.0,39.0,39
340445.25,4,0.0,9,2,10,0,4,1,0.0,60.0,39.0,39.0,39
394359.12,4,0.0,15,2,1,0,4,1,0.0,28.653154,29.0,39.0,39
300588.06,2,0.0,15,4,4,3,4,1,0.0,40.0,24.0,39.0,39
173780.16,5,0.0,11,2,3,0,4,1,0.0,45.0,25.0,39.0,39
205062.17,4,0.0,9,2,5,2,4,1,0.0,20.0,30.0,39.0,39
281202.97,4,0.0,9,4,10,3,4,0,0.0,29.698587,19.0,39.0,39
60972.887,4,0.0,11,0,1,4,4,1,0.0,40.0,27.0,39.0,39
226624.69,0,0.0,7,4,0,3,4,1,0.0,6.0,18.0,39.0,39
337637.4,4,0.0,1,4,7,1,4,1,0.0,10.0,20.0,39.0,39
95953.37,7,0.0,15,4,1,3,4,1,0.0,40.0,27.0,39.0,39
133380.39,4,0.0,5,2,4,5,4,0,0.0,40.0,27.0,26.0,13
217495.81,4,0.0,0,0,1,4,4,0,0.0,40.0,30.0,39.0,39
56255.043,4,0.0,15,4,8,4,2,0,0.0,24.902523,25.0,39.0,39
180199.53,0,0.0,11,2,0,0,4,1,0.0,48.0,62.0,39.0,39
402643.03,4,0.0,11,5,1,3,4,0,0.0,36.473877,34.0,39.0,39
156953.31,5,0.0,15,2,4,0,4,1,0.0,60.0,58.0,39.0,39
237667.48,4,0.0,12,0,12,1,4,0,0.0,40.0,61.68446,39.0,39
224195.77,2,0.0,9,2,4,0,4,1,0.0,40.0,45.0,39.0,39
288177.72,4,0.0,11,0,3,1,4,0,0.0,35.0,49.0,39.0,39
192698.75,4,0.0,15,2,4,0,4,1,0.0,60.0,39.0,0.0,0
75797.07,4,0.0,15,4,13,1,4,0,0.0,50.0,33.0,39.0,39
108474.64,0,0.0,1,4,0,3,4,1,0.0,32.0,19.0,39.0,39
100596.125,6,0.0,8,2,4,5,4,0,0.0,40.0,26.0,39.0,39
285479.44,4,0.0,2,6,7,1,1,1,0.0,25.0,35.0,26.0,39
214179.38,6,0.0,11,0,12,4,4,0,0.0,45.0,47.0,39.0,39
220955.8,4,0.0,11,2,1,0,4,1,1902.0,45.0,57.0,39.0,39
120146.74,2,0.0,5,2,8,0,4,1,0.0,15.0,69.58537,39.0,39
157757.7,4,0.0,6,4,1,3,1,0,0.0,40.0,25.0,39.0,39
190661.78,2,0.0,15,4,11,3,4,1,0.0,40.0,30.0,39.0,39
156810.67,4,7688.0,11,0,7,4,4,0,0.0,8.568528,39.0,39.0,39
276052.5,4,0.0,9,0,1,1,4,0,0.0,55.0,44.462486,39.0,39
50567.08,4,0.0,11,4,8,1,4,1,0.0,40.0,52.618435,39.0,39
294906.5,6,0.0,15,2,10,0,4,1,0.0,40.0,39.0,39.0,39
419602.53,4,0.0,15,5,7,4,4,0,0.0,40.0,41.0,39.0,39
57661.746,4,6773.517,9,2,4,0,4,1,0.0,40.0,28.0,39.0,39
109461.63,7,0.0,11,5,4,4,4,0,1977.0,40.0,59.0,39.0,39
187174.14,4,0.0,15,2,12,0,4,1,0.0,55.0,44.0,39.0,39
452648.78,4,0.0,15,4,4,4,4,0,0.0,40.0,27.0,39.0,39
236498.33,4,0.0,11,2,14,0,4,1,0.0,60.0,42.0,39.0,39
272548.62,4,0.0,11,4,3,1,4,1,0.0,45.0,31.0,39.0,39
262340.06,4,0.0,11,2,3,0,4,1,0.0,50.0,30.0,39.0,39
106422.68,4,2174.0,7,0,7,1,4,1,0.0,40.0,46.0,39.0,39
212347.03,4,0.0,12,4,12,3,2,1,0.0,30.0,24.0,39.0,39
403732.1,4,0.0,15,4,1,3,4,1,0.0,6.0,17.0,39.0,39
56256.59,4,0.0,11,2,7,0,4,1,0.0,40.0,30.0,39.0,39
131259.61,2,0.0,15,4,0,3,4,1,0.0,32.0,25.0,39.0,39
187911.94,4,0.0,15,2,4,5,4,0,0.0,40.0,40.0,39.0,39
341211.0,4,0.0,11,2,12,0,4,1,0.0,40.0,55.0,39.0,39
176398.53,5,0.0,14,4,10,3,4,0,0.0,72.0,26.0,39.0,39
128360.15,4,0.0,15,2,3,0,4,1,0.0,40.0,55.0,39.0,39
165439.14,4,0.0,15,2,8,0,4,1,0.0,40.0,28.0,39.0,39
37473.504,4,0.0,15,2,4,0,4,1,0.0,60.0,30.0,39.0,39
175632.81,4,0.0,9,2,12,0,4,1,0.0,60.0,41.0,39.0,39
207979.08,4,0.0,15,4,3,3,4,1,0.0,20.0,18.0,39.0,39
46291.82,4,0.0,15,4,4,3,4,0,0.0,25.0,17.537794,39.0,39
444659.03,4,0.0,0,4,3,1,4,1,0.0,25.0,26.0,39.0,39
258879.17,4,0.0,15,2,4,5,4,0,0.0,25.520359,19.0,39.0,39
129569.76,4,0.0,5,4,6,1,4,1,0.0,40.0,24.0,39.0,39
51334.695,7,0.0,11,4,5,0,4,1,0.0,40.0,60.0,39.0,39
105211.49,4,0.0,15,2,4,0,4,1,0.0,50.0,51.0,39.0,39
348978.2,5,0.0,9,2,4,0,4,1,0.0,50.0,60.332066,39.0,39
54302.53,6,0.0,0,5,3,1,4,1,0.0,60.0,51.0,39.0,39
248282.45,4,0.0,11,4,1,1,4,1,0.0,40.0,22.642044,39.0,39
167026.86,4,0.0,15,4,4,1,4,1,0.0,37.0,22.0,39.0,39
451487.22,4,15024.0,14,2,1,0,4,1,0.0,36.0,54.0,39.0,39
175589.06,6,0.0,9,2,4,0,4,1,0.0,30.0,58.0,39.0,39
96667.5,4,0.0,15,4,9,1,4,0,0.0,20.0,20.0,0.0,0
360535.6,4,0.0,9,2,4,1,4,0,0.0,38.0,24.0,39.0,39
201996.78,4,4394.8716,8,2,12,5,4,0,0.0,40.0,66.0,39.0,39
162049.16,2,0.0,14,2,10,0,0,1,0.0,40.0,36.0,39.0,39
260664.11,6,0.0,15,4,1,3,4,0,0.0,40.0,24.0,39.0,39
192225.36,5,0.0,15,4,1,3,4,0,0.0,40.0,23.0,39.0,39
322835.03,1,0.0,11,2,1,0,4,1,0.0,40.0,53.0,39.0,39
214965.98,4,0.0,1,4,7,1,4,1,0.0,53.77206,25.0,39.0,39
82351.97,6,0.0,15,0,7,1,4,0,0.0,40.0,39.0,39.0,39
73586.26,4,0.0,15,4,8,1,4,1,0.0,20.0,26.0,39.0,39
97283.46,1,0.0,11,5,8,5,2,1,0.0,40.0,40.0,39.0,39
207046.88,4,0.0,9,0,4,1,4,0,0.0,40.0,36.0,39.0,39
335343.78,4,0.0,1,4,1,3,4,1,0.0,30.0,18.0,39.0,39
46514.703,2,0.0,12,4,13,1,4,0,0.0,40.0,23.0,39.0,39
386472.38,4,0.0,11,0,7,1,4,0,0.0,40.0,57.0,39.0,39
348539.84,4,0.0,15,2,7,0,4,1,0.0,33.662437,39.0,39.0,39
399282.06,4,0.0,15,4,3,3,2,1,0.0,12.802337,27.0,39.0,39
95844.49,4,0.0,11,2,4,0,4,1,0.0,32.0,54.0,39.0,39
266713.6,4,0.0,11,4,3,3,4,1,0.0,40.0,21.0,39.0,39
64835.92,7,0.0,0,2,3,0,4,1,0.0,55.0,33.0,39.0,39
187061.94,7,0.0,15,2,10,0,4,1,0.0,40.0,41.0,39.0,39
170584.5,5,0.0,11,0,5,4,4,0,0.0,40.0,74.213524,39.0,39
403990.75,7,0.0,15,2,13,4,2,0,0.0,40.0,48.0,39.0,39
171027.05,4,0.0,11,2,3,0,4,1,0.0,50.0,66.0,39.0,39
108369.9,4,0.0,11,2,7,2,4,1,0.0,40.0,35.0,39.0,39
53439.6,4,0.0,8,2,10,5,4,0,0.0,40.0,46.0,39.0,39
235940.88,4,0.0,12,5,12,4,4,1,0.0,40.0,39.0,39.0,39
207683.58,4,0.0,11,4,8,3,4,1,0.0,15.0,28.0,39.0,39
176462.77,7,0.0,11,4,8,1,4,1,0.0,40.0,18.0,39.0,39
244155.28,2,0.0,15,0,11,1,4,1,0.0,45.0,31.0,39.0,39
122658.29,0,0.0,11,4,3,1,4,0,0.0,40.0,24.0,39.0,39
68677.01,6,0.0,15,4,1,3,4,1,0.0,20.0,23.0,39.0,39
411735.22,4,0.0,11,5,1,4,4,0,0.0,40.0,40.0,39.0,39
161836.53,4,0.0,15,2,5,0,4,1,0.0,32.0,51.0,39.0,39
175637.58,4,0.0,9,0,4,1,4,0,0.0,40.0,41.0,39.0,39
51235.586,4,0.0,9,4,12,3,4,0,0.0,40.0,18.0,39.0,39
78722.24,4,0.0,11,6,10,1,4,0,0.0,45.0,54.0,39.0,39
290659.38,4,15024.0,11,2,14,0,4,1,0.0,40.0,41.0,14.0,33
55654.48,4,0.0,15,2,7,0,4,1,0.0,50.0,33.0,39.0,39
554109.5,4,0.0,7,4,1,1,4,0,0.0,40.0,28.0,30.0,18
313476.66,1,0.0,11,2,10,0,4,1,0.0,50.0,44.0,39.0,39
120201.59,4,0.0,11,4,9,4,4,0,0.0,30.0,25.0,39.0,39
187247.97,4,0.0,11,0,5,1,2,1,0.0,30.0,53.0,39.0,39
113388.78,4,14978.291,10,2,4,0,4,1,0.0,45.0,47.0,39.0,39
41397.49,7,0.0,11,2,11,0,4,1,0.0,40.0,27.0,39.0,39
214622.03,5,0.0,9,2,4,0,4,1,0.0,40.0,38.0,39.0,39
201962.55,4,0.0,11,4,8,4,4,0,0.0,60.0,43.0,2.0,1
140878.86,4,0.0,11,0,10,4,4,0,0.0,45.0,52.0,39.0,39
209782.1,4,0.0,9,4,13,3,4,1,0.0,20.0,22.0,39.0,39
121952.766,4,0.0,11,6,4,4,4,1,2436.7866,40.0,57.0,39.0,39
261330.03,7,0.0,9,4,8,1,4,0,0.0,40.0,22.0,39.0,39
481279.8,4,0.0,11,5,1,1,4,1,0.0,40.0,30.0,24.321154,29
595434.06,4,0.0,11,4,8,1,4,1,0.0,40.0,18.905703,39.0,39
104879.375,4,0.0,11,4,12,4,4,0,0.0,48.0,22.0,39.0,39
259690.5,4,0.0,12,2,10,5,4,0,0.0,25.0,40.0,39.0,39
209148.48,2,0.0,2,0,1,4,2,0,0.0,40.0,58.0,39.0,39
177938.56,2,0.0,15,2,7,0,4,1,0.0,40.0,26.0,39.0,39
119090.85,4,0.0,11,4,1,1,4,0,0.0,40.0,25.0,14.0,18
127888.39,6,0.0,11,0,1,4,4,1,0.0,40.0,49.0,39.0,39
178959.27,6,0.0,11,2,3,0,4,1,0.0,40.0,41.0,39.0,39
330731.84,4,0.0,7,4,12,1,4,1,0.0,70.11358,41.0,39.0,39
281341.5,4,0.0,9,2,3,0,4,1,0.0,40.0,23.0,39.0,39
75188.11,4,0.0,2,5,3,2,0,1,0.0,35.0,65.0,39.0,39
174538.47,4,0.0,15,4,8,4,4,0,0.0,20.0,23.0,39.0,39
182202.2,4,0.0,11,5,1,4,4,0,0.0,25.0,50.0,39.0,39
282359.75,4,0.0,1,4,12,3,2,0,0.0,20.0,18.0,39.0,39
169877.02,4,0.0,11,2,10,5,4,0,0.0,40.0,47.0,39.0,39
186283.72,4,0.0,12,2,4,0,4,1,0.0,40.0,35.0,39.0,39
161540.28,4,0.0,11,0,7,3,4,0,0.0,40.0,29.0,30.0,37
