index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left
4205.0,3,333,2,2,2,2,4,1,2.08,18.0
9840.0,4,981,2,0,0,5,0,1,13.25,10.0
11813.733,3,1544,2,0,1,5,1,1,8.0,11.0
4496.0,5,1557,2,0,0,5,0,1,9.33,22.0
5954.0,3,680,2,2,0,2,4,1,9.025972,10.0123415
9840.0,1,1210,2,4,0,5,3,1,25.791553,5.0
5521.348,1,857,2,1,0,5,0,1,14.58,36.0
4030.4006,3,163,2,2,0,3,1,1,9.17,32.0
5885.45,2,969,2,3,0,2,4,1,12.42,31.0
4967.939,1,818,5,1,0,4,2,1,8.018864,19.0
5790.057,5,1460,2,4,0,5,3,1,12.5,47.0
4747.996,5,1559,2,4,0,4,1,1,20.180634,32.0
6388.4004,2,966,5,2,0,5,2,1,5.08,33.0
4500.0,2,1038,2,0,0,1,0,1,14.0,36.0
7423.0,5,1493,2,0,0,5,5,1,7.17,14.0
12806.512,1,881,2,2,0,2,4,1,26.92,8.0
5330.353,1,268,2,4,0,4,0,1,24.67,21.0
5954.0,3,892,2,0,0,5,4,1,4.92,16.0
4896.0,5,1197,5,1,0,0,2,1,8.064377,29.516998
2705.1655,5,1552,2,2,2,5,5,1,2.25,33.0
3754.0,5,1484,2,1,0,2,0,1,12.83,39.0
4933.0,1,723,2,2,0,5,0,1,7.83,19.0
6831.9565,5,710,2,2,1,4,0,1,13.000135,44.0
5761.0,1,791,2,2,0,2,4,1,15.068844,37.0
10609.681,0,1225,2,2,2,2,1,1,4.174937,12.0
6168.687,1,813,5,2,0,3,2,1,6.58,30.0
5221.5967,5,1536,2,0,0,5,1,1,7.75,43.0
11520.0,1,844,5,1,0,4,2,1,24.706184,12.0
4174.4497,1,878,2,4,0,0,4,1,26.457737,46.0
3001.0,5,1546,2,2,2,5,5,1,2.2613254,37.0
7573.033,5,1222,5,1,0,4,2,1,21.173338,21.0
4007.0,1,820,2,4,0,4,3,1,22.25,40.0
6172.0,2,881,2,0,0,5,5,1,5.58,9.0
12598.059,0,1226,2,0,0,2,4,1,11.17,10.0
2339.0,2,1026,5,2,2,2,2,1,2.17,23.0
2410.0,5,1559,2,2,2,5,5,1,2.25,36.0
4501.0,5,1464,2,2,0,4,0,1,13.275184,35.0
4427.0073,1,841,2,2,0,5,1,1,28.293137,10.0
3090.0,1,867,2,5,2,4,4,1,2.17,13.0
6296.0,1,748,2,4,0,0,5,1,27.002956,39.0
5497.4194,2,1197,2,1,0,0,5,1,7.58,18.0
2339.0,1,764,2,4,2,0,5,1,2.17,37.0
8473.066,3,95,2,0,0,5,0,1,9.17,12.0
6519.7964,5,821,2,4,0,2,4,1,7.8834424,44.0
2050.0,3,966,2,1,2,4,3,1,2.17,40.0
5276.0,5,1516,2,5,0,5,5,1,25.782066,30.0
5942.0,0,1220,2,1,2,4,4,1,2.17,7.0
9840.0,3,881,2,0,0,3,4,1,8.0,10.0
4851.011,3,965,2,3,0,1,1,1,6.58,27.0
5111.4775,2,1021,5,4,0,0,2,1,5.25,20.27956
3257.209,3,1546,2,0,0,2,0,1,5.42,19.0
4896.0,2,1014,2,0,0,1,1,1,15.285013,34.0
12591.648,5,850,5,5,0,5,2,1,22.25,9.0
7295.2305,4,1420,2,4,0,2,1,1,6.5,39.678772
14014.528,5,1549,2,4,0,2,4,1,8.25,8.0
4501.0,5,1557,2,0,0,5,0,1,7.33,42.0
3977.07,1,791,2,2,0,5,0,1,27.826239,47.0
11524.299,5,1468,2,2,0,4,1,1,15.923097,9.0
4272.0,3,965,2,5,2,5,0,1,2.67,41.0
3988.0,1,730,2,1,0,4,5,1,27.584318,36.0
4898.1826,1,41,2,2,0,4,5,1,15.08,22.0
3090.0,4,444,2,2,0,5,5,1,4.83,26.112196
5949.721,2,844,2,4,0,5,5,1,10.83,41.0
4020.0,1,873,2,2,0,2,0,1,23.044516,40.0
9967.689,5,1549,2,4,0,5,1,1,15.0,3.0
10069.057,1,758,2,2,0,1,5,1,20.83,1.0
9840.0,3,113,2,4,0,2,0,1,8.17,4.0
5954.0,5,1510,5,4,0,5,2,1,11.25,26.0
5942.0,1,922,5,1,0,5,2,1,15.58,32.0
7577.561,3,1027,5,5,0,4,2,1,9.25,5.0
5940.286,5,1546,2,2,0,5,5,1,4.0677333,27.0
6296.0,5,1543,2,0,0,4,4,1,19.725626,44.822956
2482.0,3,1035,2,1,0,2,5,1,9.75,26.0
4000.0,4,1360,2,5,0,1,1,1,10.511443,23.0
4979.0,3,438,5,4,0,0,2,1,2.92,14.0
4205.0,5,1557,2,0,0,3,0,1,10.0,44.0
4901.308,5,1539,2,1,2,2,4,1,2.17,35.0
4979.0,5,1546,2,2,0,5,1,1,5.3957043,22.0
5232.0,5,1533,2,4,0,2,5,1,9.17,47.0
4030.418,5,1541,2,4,0,5,0,1,9.58,44.0
4896.0,1,727,2,4,0,2,5,1,6.5,28.0
4728.576,5,1543,2,0,0,5,1,1,8.42,16.0
4761.3286,5,797,5,1,0,0,2,1,7.17,22.0
3988.0,1,715,2,4,0,4,3,1,23.24295,22.0
2516.0,3,120,2,2,0,2,4,1,7.83,22.0
2343.0,3,799,2,0,0,5,5,1,9.531632,33.0
2456.0,5,1493,2,4,2,4,5,1,2.25,39.0
5817.1836,5,1551,2,1,0,2,1,1,14.92,33.0
2409.0,3,808,2,1,0,0,5,1,5.5,38.0
5955.0,3,127,2,4,0,2,4,1,7.08,38.0
7389.637,0,1225,2,2,2,5,0,1,4.2575884,9.377006
7425.0,5,1549,2,4,0,2,4,1,8.75,44.0
4816.936,1,823,2,0,0,0,5,1,23.235003,46.0
5955.0,2,1014,2,0,0,2,0,1,4.92,31.0
5275.425,1,744,2,0,0,5,3,1,7.0,26.0
5943.7725,0,1014,2,0,2,5,3,1,2.25,7.0
4007.0,5,1502,2,2,0,5,0,1,4.33,16.0
4979.0,1,798,2,0,0,1,3,1,16.84772,45.0
2339.0,0,1186,2,1,0,0,5,1,7.309367,31.0
3569.0,0,424,2,0,0,2,0,1,7.17,21.0
2990.9084,5,1554,2,2,2,2,5,1,2.17,20.0
7425.0,3,110,2,0,0,5,5,1,8.0,8.0
11520.0,5,1466,2,1,0,2,0,1,11.17,22.0
7320.06,1,723,2,2,0,5,5,1,5.58,8.0
4896.0,1,1467,2,2,0,0,4,1,18.778177,32.0
5772.9565,2,1007,2,2,0,2,4,1,11.17,21.0
4210.6973,1,729,2,0,0,5,3,1,8.58,26.0
12679.354,5,940,5,0,0,5,2,1,6.92,5.0
5954.0,5,1551,2,1,0,2,0,1,11.58,9.0
8264.926,5,1037,2,0,1,5,1,1,11.33,47.0
3090.0,4,762,2,1,0,4,5,1,5.3328958,20.0
5955.0,5,1502,5,4,2,2,2,1,2.25,18.0
3612.088,4,1505,2,2,0,2,5,1,16.17,38.0
6268.4937,1,1480,5,1,0,0,2,1,6.67,29.0
4209.0,0,74,2,1,0,2,0,1,9.75,19.0
5955.0,1,54,2,0,0,5,0,1,9.17,19.0
7355.4653,5,1460,2,4,1,2,1,1,19.035162,49.0
6268.079,5,792,2,4,0,5,5,1,10.32175,44.0
7425.0,3,425,5,5,0,4,2,1,7.92,4.0
3551.6106,1,766,2,2,0,1,1,1,14.5,28.0
4384.4155,1,213,2,2,0,2,1,1,25.915411,35.0
11520.0,5,1559,2,4,0,2,4,1,6.887615,6.0
2339.0,1,772,2,1,2,4,5,1,2.0,47.0
14880.0,1,721,2,1,0,2,5,1,10.17,7.0
6172.0,1,841,2,2,0,0,5,1,17.77083,36.0
4020.0,2,1087,2,0,0,5,0,1,7.42,22.0
6142.0645,0,1191,2,0,2,2,5,1,2.17,7.0
6578.0,5,1554,2,2,0,0,4,1,18.152203,14.0
