longitude,latitude
-118.44,34.001972
-120.82768,37.391914
-122.43921,37.776787
-118.42,33.93
-118.08819,34.08
-118.16,33.91
-118.15,33.79
-118.01625,33.989353
-121.921005,38.20973
-122.014206,37.092762
-117.05,32.729618
-118.27203,33.94
-121.27816,38.736477
-117.353874,33.607616
-117.273,34.1
-117.23,34.04
-121.129234,39.938038
-117.11895,32.774384
-118.70796,35.365124
-122.02,38.145737
-122.426155,37.67
-121.46586,38.392815
-119.246376,36.324497
-121.07096,38.054916
-117.65,34.26
-121.34,38.6628
-117.23,33.96
-117.81,33.644684
-118.42,35.315403
-116.15321,33.633198
-117.13,32.76
-117.16302,34.19
-116.94671,32.71458
-119.40647,36.34255
-118.08,33.84
-117.18211,33.166737
-118.36,33.827263
-118.29,33.82281
-117.980225,33.928432
-117.13,32.8
-117.91,33.940453
-118.28,34.08
-121.91,37.35
-122.31059,37.88349
-118.41777,34.013157
-118.06039,34.04
-117.97,34.04
-122.37192,38.099472
-121.82803,37.927402
-119.18633,36.13576
-122.02,37.35
-118.45562,34.158596
-117.313034,33.00526
-117.87121,34.09
-118.35,33.94
-122.0466,38.011723
-122.62422,38.55
-121.92757,37.27
-117.69653,35.376488
-122.32664,37.95
-119.15371,36.23964
-121.91,37.341564
-121.98776,36.97022
-118.18145,33.95
-117.207,33.047573
-118.36,33.96
-120.83338,39.428856
-117.97461,34.16
-119.2892,34.218113
-122.200714,37.77
-122.71282,38.347183
-118.32,34.11
-117.01779,32.78
-121.87765,37.32
-118.13,34.08
-122.733696,38.55
-121.57227,39.482765
-118.27,33.953884
-117.18,32.813057
-118.13,33.96
-118.58825,34.1
-117.87,34.02
-117.3195,33.92
-121.15005,38.92873
-117.97,33.86
-122.23,37.292202
-117.034744,34.18
-117.00023,32.789696
-118.69501,35.430573
-118.06661,33.79
-121.64579,38.62016
-122.42,37.74
-118.43,34.217716
-122.08,37.31425
-118.44,34.596455
-118.95542,34.207157
-117.18,34.393772
-121.31369,38.912617
-117.27507,33.166157
-122.28464,37.807552
-121.9416,37.36612
-117.81058,33.96
-119.2686,36.223675
-121.89,38.346962
-117.1368,32.73
-120.82998,35.44208
-122.42,38.10816
-117.87,33.81
-118.11,33.99
-121.58715,38.845703
-121.9117,37.10034
-122.455376,37.735355
-118.2,33.98
-121.9702,37.38
-122.43556,37.78
-115.46147,34.19
-119.63397,36.11923
-122.26,37.94723
-118.38,34.08362
-122.49,37.909206
-118.92888,34.19
-118.42,34.08
-118.95226,34.350147
-121.89,37.4
-120.83388,39.12351
-117.99,34.185802
