RowNumber,CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
4728.7505,15645464.0,678.3962,0,1,27.0,2.0,146003.34,2.0,0,1,55474.695,0
9836.473,15807572.0,456.20068,0,2,33.0,4.0,0.0,2.0,1,0,107139.086,1
1021.40753,15807400.0,687.4383,0,0,26.0,1.0,99495.586,1.0,0,0,140832.03,0
7708.51,15597577.0,747.81915,0,2,31.0,6.0,138543.5,1.0,1,1,153789.22,1
6900.9775,15585112.0,606.98346,1,0,54.0,2.0,97548.45,1.0,0,1,192288.9,1
7750.923,15805052.0,636.1525,0,0,36.0,3.0,0.0,2.0,0,0,41690.195,1
6868.931,15815608.0,711.5336,0,0,32.0,4.0,144894.5,1.0,0,1,34313.65,0
3081.8206,15585060.0,704.84326,0,2,28.0,6.0,98847.55,1.0,0,0,173086.78,0
7051.76,15610125.0,835.54364,0,2,51.0,8.0,0.0,2.0,1,1,150668.03,1
8235.773,15781664.0,593.89716,1,2,35.0,5.0,75892.36,1.0,0,1,34203.14,1
1156.5308,15622778.0,742.95593,0,1,45.62429,8.0,149341.28,3.0,1,0,76771.59,0
2190.6123,15621176.0,520.1109,0,1,35.0,2.0,115951.05,1.0,1,1,190629.6,1
2277.4717,15768444.0,717.05786,0,2,40.0,8.0,125410.88,1.0,0,1,58198.395,1
169.42996,15639648.0,712.45715,0,2,25.0,8.0,102167.71,1.0,1,0,86938.38,0
8214.619,15793865.0,850.0,0,0,47.0,8.0,141260.73,2.0,1,1,183065.75,0
6142.9116,15810395.0,812.64294,0,1,28.0,1.0,119591.086,1.0,0,1,57254.273,1
6350.869,15791339.0,580.841,1,2,54.0,1.0,141016.42,1.0,0,1,18840.148,1
1739.6051,15672447.0,667.87714,0,0,19.088993,8.0,0.0,2.0,1,0,125847.54,1
9877.733,15636222.0,707.2678,0,2,27.0,9.0,151594.67,1.0,1,0,103458.68,1
9836.088,15805479.0,667.44995,0,1,33.0,7.0,108839.5,1.0,1,1,47801.883,1
8602.231,15674897.0,850.0,0,0,40.0,0.0,180277.17,1.0,0,1,198849.14,1
2861.4983,15574891.0,759.4566,0,0,42.0,10.0,70388.53,1.0,1,1,14744.481,0
4262.833,15777063.0,680.0,0,2,40.0,5.0,0.0,2.0,1,1,184061.34,0
366.3962,15792063.0,648.0128,0,2,39.0,1.0,124075.56,1.0,1,1,102071.234,1
4801.2144,15691374.0,554.42267,0,0,45.0,0.0,157178.33,2.0,1,1,73885.57,1
878.2668,15750536.0,717.96027,0,2,29.0,3.0,0.0,1.0,1,1,54099.992,0
4804.401,15699367.0,589.4096,0,2,31.0,6.0,0.0,2.0,1,1,177981.23,1
4093.5686,15708050.0,769.19604,0,2,38.0,7.0,173477.17,1.0,1,1,36327.863,1
7553.673,15652131.0,756.74976,0,2,32.0,8.0,0.0,2.0,0,0,152910.05,1
1618.2015,15618528.0,506.57394,0,0,41.0,9.0,0.0,2.0,1,0,79991.414,0
9576.38,15773376.0,650.0,0,1,64.827225,2.0,109307.29,2.0,1,1,100312.58,1
4665.851,15646217.0,535.2328,0,0,39.0,0.0,0.0,2.0,1,1,161462.61,0
2180.097,15693361.0,774.2197,0,1,29.0,7.0,74313.2,2.0,0,1,131563.31,0
3703.9292,15625769.0,639.87225,1,0,24.0,2.0,0.0,3.0,1,1,174147.72,0
5134.161,15625182.0,508.66885,0,1,39.0,1.0,119859.05,2.0,0,0,87172.414,0
9900.293,15611698.0,580.0084,0,0,46.0,2.0,0.0,2.0,0,1,62908.266,0
7815.5405,15596635.0,608.20953,0,2,35.0,10.0,0.0,2.0,0,0,175652.89,0
7380.5493,15619270.0,726.0644,0,1,43.0,4.0,120248.91,1.0,0,1,157242.17,0
9110.406,15777961.0,689.29065,1,0,37.0,1.0,0.0,2.0,0,1,197591.67,0
7456.7856,15741772.0,428.80206,0,0,46.0,8.0,0.0,2.0,0,1,113842.76,1
1407.8687,15635479.0,620.87994,0,0,34.0,3.0,96709.3,1.0,0,1,155989.47,1
3905.5852,15773665.0,678.0,0,0,30.0,8.0,0.0,2.0,1,0,174064.88,1
2596.1797,15793054.0,667.0,0,2,21.0,6.0,123925.54,1.0,0,1,86415.35,1
2269.0718,15705294.0,668.8058,0,0,28.0,6.0,0.0,1.0,0,1,191758.62,0
9743.121,15671751.0,781.06274,0,0,24.0,6.0,114880.72,1.0,1,1,89784.59,1
8839.067,15757866.0,675.9613,1,1,49.679523,4.0,130384.25,2.0,1,1,27270.578,1
7677.603,15704142.0,775.6538,0,0,29.0,7.0,0.0,2.0,1,1,177396.17,0
764.072,15642033.0,485.83218,0,2,33.774033,5.0,0.0,2.0,1,1,46373.258,0
3214.4211,15640950.0,577.5047,0,0,24.0,0.0,0.0,2.0,1,1,40739.836,1
3353.9673,15692525.0,547.1119,0,1,33.0,8.0,113064.11,1.0,1,1,182183.36,0
1879.2983,15790139.0,605.6803,1,1,31.628862,3.0,86798.93,2.0,0,1,80275.83,0
1140.3217,15787001.0,592.74634,0,0,39.0,5.0,123511.125,1.0,0,0,28737.17,0
9961.871,15607359.0,623.17664,0,0,40.0,1.0,111067.72,1.0,0,1,59377.51,1
5348.214,15793402.0,760.85034,0,0,39.0,1.0,129479.86,1.0,0,1,45474.066,0
4963.2515,15577404.0,652.3062,0,2,29.0,7.0,147421.25,1.0,0,0,17844.396,0
6857.322,15726086.0,768.6854,0,0,19.592455,7.0,0.0,2.0,1,0,182257.11,0
4275.321,15669294.0,706.7937,0,1,54.0,9.0,132717.03,2.0,0,0,26212.371,0
9608.77,15754350.0,692.56067,0,2,29.0,6.0,99061.67,1.0,1,1,103951.24,0
2149.378,15618156.0,686.1027,0,2,40.0,4.389073,164659.48,2.0,1,1,71454.65,0
548.7322,15730407.0,567.98,0,0,21.198786,1.0,142115.98,2.0,1,1,91243.984,1
9184.42,15775497.0,584.2492,0,0,18.181297,3.0,0.0,2.0,0,1,170187.06,0
4313.0786,15762672.0,700.43774,0,1,57.879345,10.0,84483.62,1.0,1,1,20202.518,1
3385.1873,15568299.0,622.9808,0,1,29.929184,1.0,174101.25,1.0,0,1,3060.6392,1
8147.3574,15627847.0,648.4001,1,0,45.0,7.0,136639.75,3.0425673,0,1,173792.61,1
4535.0312,15763166.0,717.5581,1,1,36.0,4.0,129506.15,1.0,0,1,28152.852,0
6931.5225,15576003.0,482.5635,1,0,31.0,7.0,0.0,1.0,1,1,12834.01,1
6412.5244,15729699.0,521.5295,0,0,37.0,4.0,86976.46,2.0,0,0,78324.89,1
7991.1177,15578852.0,597.9595,0,0,30.0,8.0,0.0,1.0,1,1,54127.79,0
7377.862,15743239.0,565.7743,0,0,36.0,9.0,0.0,2.0,0,1,131248.81,0
6308.486,15689305.0,687.4074,1,0,36.0,6.0,0.0,4.0,0,0,32146.121,1
