Age,Experience,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
37.0,13.0,81.0,2.0,0.0,0,0.0,1,0,0,0
43.0,19.174135,162.36783,2.0,0.4,0,310.79,1,0,0,0
38.0,13.0,83.0,2.0,4.2059426,0,0.0,3,0,1,1
56.810658,32.23405,60.0,4.0,0.8,0,0.0,2,0,0,0
40.162056,14.0,87.87006,3.0,1.5,0,0.0,2,1,0,1
26.682648,2.0,62.0,4.0,0.1,0,0.0,2,0,0,0
45.0,20.0,44.0,1.0,1.0,0,0.0,2,0,0,1
52.522816,26.0,42.968422,1.0,1.554939,0,0.0,2,0,0,0
61.0,36.0,150.51735,4.0,6.909824,1,0.0,2,0,0,1
50.0,25.0,138.61577,4.0,0.2,1,0.0,3,0,0,0
41.75556,17.0,81.0,3.0,2.0,0,0.0,1,0,0,0
60.733124,36.560127,91.75618,1.0,3.76905,1,0.0,2,1,0,1
58.0,34.0,22.75816,1.0,1.4,0,177.43306,1,1,0,0
36.0,10.0,32.554146,3.0,0.6,0,0.0,2,1,1,1
56.0,29.0,31.050514,2.0,1.5,0,0.0,3,0,0,1
40.0,17.0,22.30408,2.0,0.0,0,0.0,2,0,0,0
30.0,4.0,60.907227,4.0,2.6124072,0,0.0,2,0,0,0
42.0,18.0,45.0,1.0,2.6,0,0.0,2,0,0,1
41.33986,17.0,80.78764,1.0,2.8,0,0.0,2,0,0,0
52.0,27.926275,30.0,4.0,1.0,0,135.5546,1,0,0,0
31.0,6.0,154.56665,1.0,4.5826025,0,0.0,1,0,0,0
61.0,33.0,23.811104,4.0,0.7,0,0.0,3,0,0,0
36.67981,11.404108,19.72399,4.0,0.2,0,0.0,2,0,0,1
58.636055,33.0,67.3518,2.0,0.7,0,0.0,1,0,0,1
35.0,10.0,22.413713,1.0,0.6803256,0,0.0,2,0,0,1
25.103981,0.0,78.70964,3.0,0.4,0,0.0,1,0,0,0
58.0,34.0,83.19879,2.0,2.6771276,0,0.0,3,0,0,0
55.0,28.0,62.69554,2.0,2.6,0,0.0,2,1,0,0
41.84385,17.0,60.0,1.0,0.0,0,0.0,2,1,0,0
61.0,36.0,139.49123,3.0,5.9369597,1,195.62991,3,1,1,1
54.97792,30.0,158.50197,2.0,4.5884604,0,0.0,1,0,0,0
35.0,9.0,93.8319,1.0,3.0,1,80.785225,2,0,0,1
58.196316,34.0,62.57356,3.0,0.4,0,121.84424,1,0,0,0
38.0,13.239067,74.0,2.0,0.7,0,140.83704,2,0,0,1
53.0,24.0,49.929226,2.0,1.5,0,189.24051,3,0,0,1
34.0,7.0,31.001827,2.0,1.5,0,139.67026,3,0,0,0
50.0,24.0,8.495321,1.0,0.2,0,23.59984,1,0,0,1
30.723333,6.0,128.63673,2.0,3.76425,0,410.4379,1,0,0,0
47.0,20.0,47.927876,4.0,2.5,0,0.0,2,0,0,1
24.470865,-0.07478356,83.023674,4.0,1.5,0,0.0,1,1,0,1
49.0,22.447351,50.841114,1.0,1.4245118,0,0.0,2,0,0,1
32.0,5.7668424,21.145115,3.0,0.3092202,0,0.0,2,0,0,0
51.0,24.0,70.30269,2.0,0.4,0,148.30084,2,0,0,1
46.109024,22.0,60.0,2.0,2.2,0,190.08278,1,0,0,0
60.0,35.958565,71.71487,1.0,2.2,0,0.0,1,0,0,0
56.0,28.129921,48.12429,3.0,1.9,0,0.0,1,1,0,0
62.0,37.457085,83.773315,4.0,0.3,0,0.0,2,0,0,0
53.854984,28.0,56.271767,1.0,1.0,0,0.0,2,0,0,1
49.177803,23.0,43.0,2.0,0.4,0,156.57796,3,0,0,0
45.0,20.0,138.08983,1.0,4.760149,0,0.0,1,0,0,1
45.0,19.0,59.0,1.0,1.6,0,0.0,3,0,0,0
48.0,21.095957,86.6457,2.0,0.4,0,0.0,3,0,0,0
49.0,23.0,156.4018,1.0,4.2332206,1,135.82574,2,0,0,0
56.0,30.0,94.46813,1.0,0.2,0,0.0,2,0,0,0
38.188046,13.487593,163.65857,1.0,8.764068,0,0.0,1,0,0,1
61.0,36.0,98.579475,1.0,4.4864564,1,125.12344,2,0,1,1
64.0,40.545994,79.0,2.0,1.7813051,0,0.0,2,0,0,0
26.0,0.0,78.3784,4.0,1.0,0,0.0,2,0,0,0
59.0,35.0,8.022396,4.0,0.3,0,99.48947,2,0,0,1
39.0,13.0,31.095924,3.0,0.75690585,0,0.0,3,0,0,1
48.0,24.15784,89.15533,2.0,2.5,0,0.0,1,0,0,1
65.0,40.69644,144.19562,1.0,2.6,0,0.0,1,0,0,1
63.0,37.82781,70.074875,2.0,0.8,0,0.0,3,0,0,1
26.644495,-0.090289555,38.31988,4.0,1.8239967,0,128.38878,3,0,0,0
53.0,28.0,60.0,2.0,2.1,0,219.76526,3,1,0,0
55.0,31.0,71.3989,1.0,0.3,0,0.0,3,0,0,1
45.0,20.0,94.06453,3.0,1.9147853,0,0.0,3,1,0,1
36.247658,12.0,113.079704,3.0,1.8241663,0,0.0,1,0,0,1
41.833298,15.0,32.17754,4.0,1.7,0,116.39956,2,0,0,0
57.0,32.0,89.003746,2.0,2.6,0,0.0,2,0,0,1
63.122265,39.0,90.38619,3.0,2.0307627,0,0.0,3,0,0,1
29.66445,4.0,18.0,1.0,0.016661206,0,0.0,2,0,0,1
39.0,14.0,10.116641,2.0,0.3,0,0.0,1,0,0,0
39.0,13.0,33.632797,4.0,1.5764608,0,0.0,2,0,0,0
31.0,5.0,81.0,4.0,2.8,0,0.0,2,0,0,1
54.0,29.0,79.0,4.0,2.6,0,0.0,3,0,0,0
51.0,27.0,29.0,4.0,0.5,0,0.0,1,0,0,0
60.817425,35.0,48.49036,4.0,2.2780218,0,147.24586,3,1,0,1
60.0,35.0,48.166107,4.0,1.1,0,0.0,3,0,0,1
27.0,3.0,113.293304,2.5772536,1.1310313,0,0.0,1,0,0,1
54.0,28.0,47.013767,2.0,1.3,0,0.0,3,0,0,0
63.0,38.0,98.84013,2.0,3.8639023,0,0.0,1,1,1,0
54.0,28.0,193.19533,4.0,2.8737402,1,596.35864,1,0,0,1
28.0,2.0,89.2031,4.0,2.2,0,0.0,2,0,0,1
58.0,31.0,162.79665,2.0,4.0700045,1,0.0,2,0,0,0
33.0,8.334441,177.4271,2.0,9.430222,0,0.0,1,1,1,1
45.0,19.0,78.0,3.0,2.8,0,151.98936,3,0,0,1
27.0,-0.9613534,175.39949,4.0,8.042929,1,88.20532,3,0,0,0
43.469486,19.0,24.209011,1.0,0.0,0,0.0,1,0,0,1
26.0,0.0,85.0,4.0,2.1,0,0.0,3,0,0,0
28.415215,5.0,42.98524,4.0,0.8478388,0,181.62663,2,0,0,1
54.692173,29.0,40.91263,2.0,0.2,0,0.0,1,1,1,1
48.0,22.0,175.37965,3.0,4.621046,1,560.85803,2,0,0,1
51.0,26.0,64.883026,2.0,0.48300096,0,228.09055,2,0,0,1
32.0,6.0,65.0,4.0,1.8,0,183.73047,2,0,0,1
