GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan,class
120.675316,180.97067,81.27513,330.94086,13.265558,0
152.9799,227.46907,106.036896,561.7994,14.374986,0
120.960945,213.49716,97.91332,498.5321,25.93172,0
115.21678,248.35304,117.991745,816.3169,17.781294,0
113.80198,240.90309,113.80686,719.6038,18.254112,0
143.40863,202.28198,91.07383,517.3018,26.800674,0
135.44987,198.69893,87.360695,472.35175,31.81352,0
119.41494,221.57394,100.69644,506.9105,15.428746,0
136.393,206.27827,86.67065,481.63455,32.672855,0
126.32698,245.5816,107.208115,655.7895,14.157789,0
127.48073,233.69249,109.595314,663.0477,28.944624,0
134.22533,234.75954,112.46244,605.99335,29.79302,0
132.22,735.75085,541.8702,453.08218,50.644016,0
115.58352,225.05008,100.95638,520.5182,8.600271,0
146.91444,211.2034,93.6247,572.3627,16.656033,0
109.436516,237.03069,120.453156,550.9015,14.585466,0
116.62639,226.29076,106.45593,623.53174,29.409105,0
98.28732,233.21938,103.083855,856.643,9.569806,0
117.9537,230.71648,115.817345,478.74957,22.751265,0
132.69096,201.7345,95.29247,382.801,20.51649,0
120.83838,256.09195,123.06253,593.1052,28.508072,0
107.61332,251.96558,120.824486,788.4957,21.779549,0
125.94776,224.03374,99.49294,742.6997,41.734673,0
134.51544,217.16432,118.54674,304.90305,19.68651,0
135.25467,225.72098,111.57163,484.09695,20.451422,0
171.4255,208.05103,95.746605,603.9698,25.249598,0
111.30633,255.84492,124.04263,732.39014,33.743397,0
144.05673,245.49934,123.90596,349.27844,21.552263,0
134.20274,212.131,99.72001,414.2039,23.764729,0
142.48064,362.29373,240.36485,354.94797,34.717964,0
127.90285,468.4772,588.31085,892.4687,57.855366,0
111.64333,220.77727,94.29626,714.95123,22.285131,0
114.047775,204.29048,99.03561,367.32465,24.811272,0
137.33997,206.26787,93.00603,379.0721,10.010272,0
138.64531,215.34708,101.82855,574.7691,17.095968,0
127.621666,229.83772,106.43691,708.49274,22.12821,0
105.481346,218.11624,100.700584,611.46216,33.728756,0
137.22032,183.15356,87.15339,372.58554,12.795231,0
111.36598,222.0766,107.547325,399.98593,32.507465,0
123.09473,226.009,102.466415,740.12317,22.792215,0
123.39789,237.69595,128.46964,392.927,29.087414,0
126.88816,255.4815,129.95787,505.6032,8.850032,0
127.230034,236.13144,110.10469,568.8087,33.84202,0
133.55965,200.05052,94.44873,464.48743,18.701,0
131.42798,206.95876,126.772194,459.3339,24.586943,1
118.14868,240.57281,128.87778,441.598,29.721294,0
160.50761,209.47835,92.774055,571.74475,25.293869,0
128.32353,201.98871,92.747734,455.07477,30.803183,0
124.69428,249.80214,119.31627,652.35144,17.506603,0
126.0132,251.69229,116.64266,858.7828,27.174158,0
146.81117,242.69398,117.17387,723.4641,30.408808,0
118.73148,237.36105,122.011,442.63556,21.46845,0
123.33977,204.72206,91.15554,368.75058,22.069715,0
83.87709,252.2335,113.12786,704.5586,31.57173,0
133.85081,200.25278,92.7758,437.98883,34.786385,0
126.03079,201.8586,108.81759,168.05933,15.413316,0
136.36118,238.04488,106.87895,654.3415,33.191498,0
122.170395,239.63156,129.64133,503.74127,19.922073,0
152.24661,248.6273,119.762695,796.7759,47.155586,0
141.30296,230.10841,114.14607,415.62677,20.60541,0
131.18877,212.20178,92.78676,368.5565,34.237793,0
124.94911,350.94016,208.5762,376.9566,31.586176,0
143.65277,235.83589,114.11883,755.9858,21.924158,0
128.35513,217.27539,96.958466,560.1568,27.76115,0
132.12102,206.48988,87.01452,527.0156,37.527332,0
143.78827,214.6527,98.03215,578.60364,9.407833,0
142.30325,195.66934,82.309715,366.62692,13.710111,0
124.70973,212.19838,95.35762,595.0311,15.790951,0
138.26433,194.64749,82.06131,396.46066,12.569343,0
120.408615,191.13544,117.06607,342.998,36.32797,1
127.627785,190.26724,86.12027,290.76968,27.163815,0
134.64355,206.80579,91.293365,463.81165,33.758713,0
143.27368,224.96991,101.33608,637.6981,33.68073,0
126.70718,228.55771,113.44955,431.0624,27.27241,0
110.63626,482.98337,411.87833,537.59064,26.127691,0
126.91498,200.69878,89.47534,435.10617,12.033678,0
120.38894,206.77148,92.675354,704.677,32.20677,0
127.16425,183.56802,75.283714,326.74658,16.020985,0
135.51498,218.32732,108.4723,436.06915,26.672758,0
126.34498,238.94698,112.253586,696.39734,27.24133,0
120.28859,352.90494,228.73004,507.2877,42.817734,0
144.00854,254.55779,147.41919,424.246,43.043514,0
108.65001,244.84375,136.97847,363.3429,23.208204,0
116.993,197.84149,88.20276,403.5866,46.183384,0
137.18626,214.95668,95.21392,425.67712,24.753777,0
162.52907,231.46971,111.826996,721.68445,19.570438,0
133.1112,218.81685,92.610245,428.4907,22.885149,0
133.55583,229.43335,117.24338,473.16058,23.423716,0
115.5085,194.66246,86.07654,377.39514,26.271072,0
126.261024,183.70537,82.00791,206.42091,14.428154,0
126.97328,246.85408,138.57463,373.4321,25.473051,0
128.34769,224.47374,100.23241,709.34503,31.37923,0
134.01164,207.97522,91.08678,304.0282,13.321368,0
128.17487,247.55222,109.96811,852.3945,19.294472,0
133.15207,221.8757,100.173904,624.41614,21.110126,0
163.45609,250.89522,139.6303,480.4686,23.224504,0
95.0719,257.62134,147.94075,395.3484,4.8595614,0
136.80806,216.78333,103.78911,447.36444,29.608284,0
134.59918,199.95265,95.09271,399.1034,28.253197,0
133.59619,199.17914,87.52743,435.78186,18.402735,0
126.87923,205.70625,94.358795,444.4643,15.8124485,0
131.86409,207.6379,93.679665,529.82385,35.159622,0
123.70933,267.6054,141.80779,288.3802,16.782606,0
127.795845,205.56317,94.92586,482.9353,21.107397,0
131.03624,269.458,156.34378,273.2716,15.863713,0
118.33801,226.89764,105.15881,635.9651,28.86669,0
116.19478,259.51242,118.53895,776.84625,20.543835,0
115.52598,219.71675,99.211555,740.3872,29.356308,0
112.88608,230.94313,108.32262,611.7458,24.53169,0
129.3565,189.63657,81.82172,238.26619,24.926783,0
