sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,rings
2.0,0.32,0.235,0.065,0.1385,0.058,0.0225,0.05,5.0
1.0,0.64,0.525,0.175,1.382,0.646,0.3115,0.37,9.0
0.0,0.455,0.35,0.105,0.401,0.1575,0.083,0.135,9.0
2.0,0.47,0.355,0.12,0.3685,0.126,0.0835,0.1365,6.0
0.0,0.535,0.435,0.16,0.8105,0.3155,0.1725,0.24,10.0
2.0,0.44,0.32,0.105,0.3875,0.1755,0.074,0.12,9.0
1.0,0.59,0.455,0.165,1.161,0.38,0.2455,0.28,12.0
2.0,0.415,0.31,0.095,0.311,0.1125,0.0625,0.115,8.0
1.0,0.5,0.395,0.15,0.7145,0.3235,0.173,0.24,9.0
2.0,0.375,0.28,0.08,0.2345,0.1125,0.0455,0.067,6.0
2.0,0.54,0.425,0.13,0.8155,0.3675,0.1365,0.246,11.0
2.0,0.52,0.395,0.125,0.663,0.3005,0.131,0.1905,9.0
0.0,0.7,0.55,0.205,2.0045,1.0465,0.407,0.5075,12.0
1.0,0.625,0.485,0.135,1.3025,0.61,0.2675,0.3605,14.0
0.0,0.495,0.38,0.12,0.474,0.197,0.1065,0.1545,10.0
0.0,0.635,0.5,0.18,1.154,0.4405,0.2315,0.387,9.0
0.0,0.57,0.48,0.18,0.9395,0.399,0.2,0.295,14.0
2.0,0.55,0.47,0.15,0.907,0.381,0.1615,0.2615,11.0
2.0,0.415,0.31,0.11,0.2965,0.123,0.057,0.0995,10.0
1.0,0.5,0.37,0.135,0.45,0.17175,0.1055,0.155,9.0
1.0,0.625,0.48,0.2,1.3235,0.6075,0.3055,0.355,9.0
2.0,0.465,0.345,0.105,0.4015,0.242,0.0345,0.109,9.0
2.0,0.44,0.325,0.09,0.35,0.148,0.067,0.105,7.0
0.0,0.575,0.45,0.135,0.9215,0.354,0.209,0.2365,9.0
1.0,0.655,0.54,0.175,1.5585,0.7285,0.402,0.385,11.0
1.0,0.7,0.555,0.205,1.7975,0.7295,0.3935,0.5165,13.0
2.0,0.46,0.35,0.11,0.4,0.176,0.083,0.1205,7.0
1.0,0.705,0.55,0.2,1.7095,0.633,0.4115,0.49,13.0
2.0,0.315,0.235,0.09,0.149,0.058,0.0325,0.047,7.0
0.0,0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15.0
2.0,0.505,0.4,0.125,0.5605,0.2255,0.1435,0.17,8.0
0.0,0.53,0.42,0.135,0.675,0.294,0.156,0.1825,10.0
2.0,0.485,0.365,0.105,0.5205,0.195,0.123,0.182,8.0
2.0,0.32,0.255,0.085,0.1745,0.072,0.033,0.057,8.0
0.0,0.58,0.455,0.195,1.859,0.945,0.426,0.441,9.0
2.0,0.36,0.275,0.11,0.2335,0.095,0.0525,0.085,10.0
1.0,0.535,0.445,0.125,0.8725,0.417,0.199,0.24,8.0
0.0,0.575,0.445,0.14,0.737,0.325,0.1405,0.237,10.0
2.0,0.3,0.235,0.08,0.131,0.05,0.0265,0.043,4.0
1.0,0.665,0.515,0.18,1.389,0.5945,0.324,0.395,10.0
0.0,0.57,0.455,0.155,0.832,0.3585,0.174,0.277,11.0
1.0,0.55,0.44,0.135,0.8435,0.434,0.1995,0.185,8.0
1.0,0.585,0.45,0.145,0.9835,0.4845,0.242,0.22,9.0
1.0,0.625,0.48,0.17,1.3525,0.6235,0.278,0.365,10.0
1.0,0.575,0.46,0.16,1.103,0.538,0.221,0.249,9.0
0.0,0.53,0.41,0.165,0.732,0.189,0.17,0.31,11.0
0.0,0.635,0.495,0.195,1.172,0.445,0.3115,0.3475,11.0
1.0,0.625,0.49,0.165,1.127,0.477,0.2365,0.3185,9.0
0.0,0.6,0.455,0.17,1.1915,0.696,0.2395,0.24,8.0
1.0,0.535,0.435,0.16,0.8105,0.3155,0.1795,0.24,10.0
1.0,0.62,0.48,0.165,1.0125,0.5325,0.4365,0.324,10.0
2.0,0.46,0.345,0.105,0.449,0.196,0.0945,0.1265,7.0
0.0,0.595,0.46,0.14,0.852,0.4215,0.2255,0.227,9.0
2.0,0.505,0.405,0.13,0.6015,0.3015,0.11,0.18,8.0
1.0,0.62,0.48,0.165,1.043,0.4835,0.221,0.31,10.0
1.0,0.635,0.485,0.165,1.2945,0.668,0.2605,0.2715,9.0
0.0,0.66,0.51,0.165,1.6375,0.7685,0.3545,0.3925,14.0
1.0,0.5,0.4,0.15,0.8085,0.273,0.112,0.295,13.0
1.0,0.68,0.55,0.175,1.798,0.815,0.3925,0.455,19.0
