age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
21.0,4.0,259510.0,11.0,4.0,6.0,3.0,4.0,1.0,0.0,0.0,36.0,39.0,0.0
36.0,4.0,183081.0,15.0,4.0,4.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
32.0,4.0,255004.0,15.0,0.0,12.0,1.0,4.0,1.0,0.0,0.0,50.0,39.0,0.0
30.0,4.0,103596.0,11.0,4.0,11.0,1.0,4.0,1.0,0.0,0.0,99.0,39.0,0.0
50.0,4.0,205803.0,12.0,2.0,12.0,0.0,4.0,1.0,15024.0,0.0,40.0,39.0,1.0
44.0,4.0,172475.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,40.0,0.0
58.0,4.0,217775.0,11.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
23.0,4.0,376416.0,9.0,4.0,1.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
25.0,4.0,109532.0,2.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
35.0,4.0,174597.0,9.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
30.0,2.0,177828.0,9.0,5.0,10.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
42.0,4.0,193882.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
36.0,4.0,188800.0,11.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
28.0,6.0,227890.0,9.0,4.0,10.0,1.0,2.0,1.0,0.0,0.0,50.0,39.0,1.0
21.0,4.0,240063.0,11.0,4.0,14.0,3.0,4.0,1.0,0.0,0.0,48.0,39.0,0.0
20.0,0.0,162667.0,11.0,4.0,0.0,2.0,4.0,1.0,0.0,0.0,40.0,8.0,0.0
30.0,4.0,189439.0,11.0,3.0,8.0,4.0,2.0,0.0,0.0,0.0,38.0,39.0,0.0
46.0,4.0,169324.0,11.0,5.0,8.0,1.0,2.0,0.0,0.0,0.0,45.0,23.0,0.0
52.0,4.0,155278.0,11.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
36.0,4.0,151029.0,5.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,55.0,39.0,0.0
52.0,4.0,172165.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,25.0,39.0,0.0
19.0,4.0,38294.0,11.0,4.0,6.0,2.0,4.0,1.0,2597.0,0.0,40.0,39.0,0.0
27.0,4.0,107812.0,9.0,2.0,12.0,2.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
34.0,4.0,87310.0,11.0,4.0,6.0,3.0,4.0,1.0,2174.0,0.0,40.0,39.0,0.0
63.0,4.0,164435.0,15.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0,0.0
27.0,4.0,192283.0,8.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,38.0,39.0,0.0
23.0,4.0,162593.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,40.0,39.0,0.0
23.0,4.0,361481.0,0.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,40.0,0.0,0.0
54.0,2.0,185846.0,12.0,2.0,10.0,0.0,4.0,1.0,0.0,1977.0,40.0,39.0,1.0
46.0,4.0,172581.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,1902.0,50.0,39.0,1.0
52.0,4.0,156953.0,11.0,2.0,6.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
51.0,4.0,103063.0,9.0,2.0,12.0,0.0,4.0,1.0,7298.0,0.0,40.0,39.0,1.0
26.0,4.0,193347.0,15.0,0.0,12.0,3.0,4.0,0.0,0.0,0.0,28.0,39.0,0.0
68.0,0.0,180082.0,11.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,23.0,39.0,0.0
39.0,4.0,191841.0,7.0,5.0,10.0,1.0,4.0,0.0,0.0,0.0,30.0,39.0,0.0
20.0,4.0,289944.0,15.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,25.0,39.0,0.0
53.0,4.0,132304.0,15.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
45.0,4.0,174426.0,12.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,43.0,39.0,0.0
17.0,4.0,98675.0,6.0,4.0,8.0,4.0,4.0,0.0,0.0,0.0,20.0,39.0,0.0
43.0,4.0,191196.0,15.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,55.0,39.0,1.0
19.0,4.0,39756.0,15.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,15.0,39.0,0.0
35.0,4.0,150125.0,12.0,0.0,8.0,4.0,2.0,0.0,0.0,0.0,20.0,39.0,0.0
30.0,4.0,39150.0,11.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
32.0,2.0,19302.0,7.0,2.0,11.0,0.0,4.0,1.0,0.0,0.0,56.0,9.0,1.0
33.0,4.0,267859.0,11.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,40.0,8.0,0.0
30.0,4.0,95923.0,7.0,3.0,1.0,4.0,4.0,0.0,0.0,0.0,45.0,39.0,0.0
23.0,4.0,173670.0,9.0,2.0,4.0,5.0,4.0,0.0,0.0,0.0,45.0,39.0,0.0
32.0,4.0,154950.0,14.0,4.0,10.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
21.0,4.0,376929.0,4.0,4.0,9.0,1.0,4.0,0.0,0.0,0.0,40.0,26.0,0.0
29.0,4.0,262758.0,7.0,4.0,8.0,4.0,2.0,1.0,0.0,625.0,60.0,39.0,0.0
39.0,4.0,89040.0,8.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
28.0,4.0,113866.0,11.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
38.0,4.0,104094.0,15.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
62.0,4.0,113440.0,9.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,35.0,39.0,0.0
21.0,4.0,396790.0,11.0,4.0,14.0,3.0,2.0,1.0,0.0,0.0,20.0,39.0,0.0
45.0,4.0,170850.0,11.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,1.0
37.0,4.0,212465.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
51.0,4.0,205884.0,15.0,2.0,13.0,5.0,4.0,0.0,0.0,0.0,40.0,39.0,1.0
37.0,4.0,186009.0,11.0,2.0,14.0,0.0,4.0,1.0,0.0,1672.0,60.0,39.0,0.0
39.0,4.0,144638.0,12.0,0.0,10.0,1.0,4.0,0.0,0.0,0.0,45.0,39.0,1.0
74.0,4.0,260669.0,0.0,0.0,8.0,1.0,4.0,0.0,0.0,0.0,1.0,39.0,0.0
21.0,4.0,223019.0,11.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,30.0,39.0,0.0
20.0,4.0,116791.0,11.0,4.0,7.0,2.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
44.0,4.0,173888.0,5.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,80.0,39.0,1.0
55.0,6.0,185195.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
49.0,4.0,107373.0,0.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,99.0,39.0,1.0
30.0,4.0,315640.0,12.0,4.0,10.0,1.0,1.0,1.0,0.0,0.0,45.0,20.0,1.0
35.0,4.0,126569.0,15.0,2.0,12.0,0.0,4.0,1.0,4064.0,0.0,40.0,39.0,0.0
41.0,4.0,187431.0,11.0,4.0,7.0,1.0,2.0,1.0,0.0,0.0,40.0,39.0,0.0
38.0,4.0,91857.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,44.0,39.0,0.0
28.0,4.0,138269.0,11.0,4.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
62.0,4.0,360032.0,0.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
56.0,2.0,370045.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
41.0,6.0,134130.0,11.0,2.0,5.0,0.0,4.0,1.0,0.0,0.0,60.0,39.0,0.0
