index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
7979.0,0.0,1137.0,2.0,4.0,2.0,0.0,4.0,1.0,2.17,13.0,5953.0
38884.0,47.0,1.0,2.0,2.0,0.0,2.0,1.0,1.0,12.83,25.0,3918.0
36747.0,1.0,812.0,2.0,1.0,0.0,1.0,1.0,1.0,23.33,13.0,11520.0
20079.0,5.0,1536.0,2.0,0.0,0.0,5.0,0.0,1.0,7.33,49.0,4496.0
20401.0,1.0,818.0,5.0,1.0,0.0,0.0,2.0,1.0,6.75,12.0,14658.0
37572.0,2.0,1091.0,2.0,2.0,0.0,3.0,1.0,1.0,6.83,42.0,5623.0
20884.0,3.0,111.0,2.0,5.0,0.0,4.0,4.0,1.0,11.33,6.0,11814.0
29938.0,1.0,812.0,2.0,1.0,0.0,2.0,3.0,1.0,10.75,19.0,4524.0
15962.0,2.0,922.0,2.0,1.0,0.0,0.0,0.0,1.0,6.83,30.0,6832.0
18134.0,3.0,498.0,2.0,2.0,2.0,5.0,0.0,1.0,2.92,15.0,4500.0
5273.0,1.0,873.0,2.0,2.0,2.0,2.0,5.0,1.0,2.0,26.0,2476.0
44213.0,5.0,1429.0,5.0,0.0,0.0,2.0,2.0,1.0,27.5,8.0,19541.0
47987.0,0.0,1198.0,5.0,4.0,0.0,0.0,2.0,1.0,5.75,27.0,2336.0
38079.0,1.0,812.0,2.0,1.0,0.0,4.0,0.0,1.0,27.17,49.0,4230.0
15912.0,10.0,1085.0,2.0,2.0,0.0,5.0,0.0,1.0,7.0,22.0,7409.0
26789.0,5.0,1554.0,2.0,2.0,0.0,2.0,4.0,1.0,21.0,15.0,8134.0
24733.0,0.0,1201.0,2.0,1.0,0.0,4.0,4.0,1.0,5.67,28.0,2480.0
41314.0,1.0,881.0,2.0,2.0,0.0,0.0,1.0,1.0,20.75,39.0,4566.0
22448.0,3.0,152.0,2.0,4.0,0.0,2.0,4.0,1.0,5.5,15.0,5955.0
46219.0,1.0,818.0,5.0,1.0,0.0,0.0,2.0,1.0,6.75,18.0,6744.0
8905.0,1.0,839.0,5.0,5.0,0.0,5.0,2.0,1.0,23.83,49.0,5269.0
14444.0,4.0,1395.0,5.0,1.0,0.0,0.0,2.0,1.0,6.67,9.0,1517.0
26609.0,1.0,748.0,2.0,4.0,0.0,5.0,4.0,1.0,11.5,38.0,7366.0
16710.0,0.0,1222.0,2.0,1.0,0.0,0.0,3.0,1.0,9.83,18.0,2977.0
23193.0,2.0,1084.0,2.0,2.0,0.0,4.0,4.0,1.0,12.75,21.0,8850.0
8605.0,5.0,1539.0,5.0,1.0,2.0,4.0,2.0,1.0,2.25,13.0,5943.0
45388.0,1.0,792.0,5.0,4.0,0.0,5.0,2.0,1.0,13.42,16.0,5569.0
19175.0,1.0,859.0,2.0,2.0,0.0,1.0,0.0,1.0,11.92,45.0,4230.0
32631.0,3.0,604.0,2.0,1.0,0.0,0.0,0.0,1.0,7.17,23.0,5378.0
48688.0,5.0,1521.0,5.0,4.0,0.0,2.0,2.0,1.0,9.17,25.0,5232.0
31796.0,2.0,1085.0,5.0,2.0,0.0,5.0,2.0,1.0,7.0,23.0,7413.0
30951.0,5.0,1519.0,5.0,2.0,0.0,0.0,2.0,1.0,17.33,13.0,9828.0
6952.0,4.0,1278.0,5.0,5.0,0.0,5.0,2.0,1.0,25.92,32.0,5833.0
31020.0,10.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,6.33,25.0,5953.0
29986.0,2.0,922.0,2.0,1.0,0.0,0.0,3.0,1.0,9.83,13.0,5954.0
36615.0,51.0,19.0,2.0,2.0,0.0,1.0,1.0,1.0,13.67,5.0,7425.0
47250.0,2.0,1096.0,5.0,0.0,1.0,5.0,2.0,1.0,9.33,23.0,5942.0
16259.0,1.0,818.0,2.0,1.0,1.0,5.0,0.0,1.0,16.83,41.0,5721.0
12521.0,3.0,173.0,5.0,1.0,0.0,4.0,2.0,1.0,4.92,15.0,6340.0
28489.0,1.0,8.0,2.0,2.0,0.0,4.0,4.0,1.0,13.83,20.0,5276.0
23571.0,2.0,912.0,2.0,2.0,0.0,1.0,4.0,1.0,15.67,22.0,5954.0
4540.0,2.0,1097.0,5.0,2.0,0.0,3.0,2.0,1.0,6.83,26.0,5942.0
18538.0,1.0,723.0,2.0,2.0,0.0,1.0,4.0,1.0,13.0,42.0,4933.0
44151.0,5.0,1521.0,5.0,4.0,0.0,0.0,2.0,1.0,4.92,9.0,11403.0
32697.0,1.0,818.0,5.0,1.0,0.0,0.0,2.0,1.0,6.75,18.0,6744.0
43163.0,3.0,337.0,5.0,4.0,0.0,0.0,2.0,1.0,6.42,9.0,10358.0
42539.0,2.0,1018.0,2.0,5.0,0.0,1.0,1.0,1.0,10.67,46.0,4896.0
8060.0,3.0,337.0,5.0,4.0,0.0,0.0,2.0,1.0,6.42,33.0,4912.0
18477.0,2.0,1088.0,5.0,0.0,0.0,3.0,2.0,1.0,9.08,16.0,5942.0
43756.0,5.0,1502.0,5.0,0.0,0.0,5.0,2.0,1.0,6.42,7.0,12138.0
8768.0,1.0,844.0,2.0,0.0,0.0,5.0,5.0,1.0,7.92,23.0,7262.0
46833.0,5.0,1512.0,5.0,2.0,0.0,4.0,2.0,1.0,14.5,21.0,6122.0
14657.0,1.0,766.0,2.0,2.0,0.0,0.0,0.0,1.0,21.08,49.0,4538.0
44746.0,5.0,1482.0,5.0,5.0,0.0,4.0,2.0,1.0,12.75,11.0,12978.0
10326.0,5.0,1474.0,2.0,0.0,2.0,2.0,0.0,1.0,2.75,3.0,9315.0
23082.0,2.0,1090.0,2.0,0.0,0.0,2.0,0.0,1.0,6.42,20.0,4020.0
30186.0,2.0,922.0,2.0,1.0,0.0,0.0,3.0,1.0,9.83,26.0,10.0
49461.0,1.0,850.0,5.0,5.0,0.0,4.0,2.0,1.0,12.33,34.0,6219.0
39845.0,1.0,839.0,2.0,5.0,0.0,5.0,1.0,1.0,26.92,43.0,5260.0
48632.0,2.0,1003.0,5.0,4.0,2.0,0.0,2.0,1.0,2.25,30.0,2339.0
25034.0,1.0,816.0,5.0,5.0,0.0,3.0,2.0,1.0,26.92,38.0,6773.0
5581.0,2.0,1085.0,2.0,2.0,0.0,3.0,5.0,1.0,9.33,31.0,3330.0
30208.0,2.0,1048.0,5.0,1.0,2.0,4.0,2.0,1.0,2.25,17.0,2748.0
16586.0,3.0,123.0,2.0,0.0,0.0,5.0,0.0,1.0,8.33,49.0,5774.0
46031.0,5.0,15.0,5.0,1.0,0.0,2.0,2.0,1.0,13.42,39.0,5232.0
7971.0,2.0,1069.0,2.0,1.0,0.0,5.0,4.0,1.0,15.5,42.0,6395.0
23102.0,1.0,812.0,2.0,1.0,0.0,5.0,4.0,1.0,15.67,18.0,5276.0
48131.0,1.0,817.0,5.0,1.0,0.0,0.0,2.0,1.0,6.75,26.0,5915.0
33867.0,2.0,1088.0,5.0,0.0,0.0,5.0,2.0,1.0,7.25,23.0,5942.0
43361.0,1.0,811.0,5.0,0.0,0.0,2.0,2.0,1.0,27.33,3.0,13293.0
49800.0,1.0,814.0,5.0,4.0,0.0,5.0,2.0,1.0,11.92,35.0,5289.0
43100.0,3.0,425.0,5.0,4.0,2.0,4.0,2.0,1.0,1.92,7.0,6521.0
20878.0,1.0,844.0,2.0,0.0,0.0,5.0,4.0,1.0,9.08,20.0,7320.0
12977.0,1.0,812.0,2.0,1.0,0.0,2.0,0.0,1.0,10.5,17.0,4230.0
35822.0,3.0,302.0,2.0,4.0,0.0,5.0,1.0,1.0,9.75,6.0,7950.0
38805.0,2.0,1069.0,2.0,1.0,0.0,5.0,1.0,1.0,15.33,25.0,4896.0
32346.0,1.0,872.0,5.0,5.0,2.0,5.0,2.0,1.0,2.25,12.0,5943.0
26732.0,1.0,880.0,2.0,4.0,0.0,2.0,0.0,1.0,10.0,43.0,4545.0
1178.0,0.0,1186.0,2.0,1.0,0.0,2.0,0.0,1.0,11.5,22.0,3090.0
24016.0,5.0,1546.0,2.0,2.0,0.0,2.0,4.0,1.0,26.17,23.0,7221.0
36277.0,1.0,815.0,5.0,4.0,0.0,4.0,2.0,1.0,23.83,12.0,15183.0
14656.0,1.0,723.0,2.0,2.0,0.0,2.0,0.0,1.0,24.67,22.0,4230.0
19895.0,1.0,841.0,2.0,2.0,0.0,2.0,0.0,1.0,23.83,41.0,6570.0
41123.0,1.0,812.0,2.0,1.0,0.0,4.0,1.0,1.0,26.92,11.0,10680.0
18176.0,5.0,1554.0,2.0,2.0,0.0,4.0,0.0,1.0,13.0,41.0,4496.0
25553.0,2.0,1089.0,2.0,2.0,0.0,5.0,4.0,1.0,6.58,18.0,5954.0
32473.0,1.0,711.0,5.0,2.0,0.0,0.0,2.0,1.0,19.42,30.0,3723.0
21453.0,3.0,373.0,5.0,2.0,2.0,5.0,2.0,1.0,2.08,10.0,5943.0
6210.0,0.0,1222.0,2.0,1.0,0.0,5.0,0.0,1.0,16.25,33.0,3090.0
7291.0,3.0,337.0,2.0,4.0,0.0,0.0,5.0,1.0,6.42,45.0,4197.0
13116.0,2.0,1038.0,2.0,0.0,0.0,3.0,0.0,1.0,9.58,17.0,4020.0
37654.0,1.0,872.0,5.0,5.0,0.0,4.0,2.0,1.0,16.17,18.0,5749.0
5613.0,4.0,1262.0,2.0,2.0,0.0,1.0,1.0,1.0,12.25,43.0,5550.0
8455.0,2.0,1023.0,2.0,5.0,2.0,3.0,5.0,1.0,2.17,42.0,2410.0
20636.0,1.0,711.0,5.0,0.0,0.0,2.0,2.0,1.0,27.33,5.0,21545.0
16999.0,1.0,791.0,2.0,2.0,0.0,4.0,0.0,1.0,16.17,26.0,4230.0
45672.0,1.0,879.0,5.0,2.0,2.0,5.0,2.0,1.0,2.25,12.0,5943.0
