longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-117.7,0.6,25.0,1321.0,295.0,396.0,278.0,2.1131,70200.0,1.0
-122.23,0.76,52.0,3011.0,542.0,1303.0,535.0,5.1039,243600.0,1.0
-118.29,0.84,33.0,896.0,208.0,843.0,200.0,3.2734,183000.0,1.0
-118.33,0.96,24.0,917.0,339.0,585.0,236.0,1.8438,175000.0,0.0
-117.09,0.72,15.0,567.0,1189.0,2896.0,1087.0,3.0417,120000.0,1.0
-116.91,0.24,21.0,639.0,125.0,199.0,82.0,3.1094,108900.0,1.0
-121.83,0.99,16.0,2919.0,459.0,1456.0,453.0,5.6779,255500.0,1.0
-122.35,0.58,30.0,5039.0,972.0,2184.0,880.0,3.3699,251200.0,1.0
-118.36,0.05,48.0,1815.0,424.0,1074.0,380.0,1.9722,290100.0,0.0
-122.14,0.08,31.0,1664.0,317.0,752.0,264.0,3.5156,195400.0,4.0
-118.19,0.95,40.0,1703.0,424.0,1666.0,417.0,1.7083,170800.0,0.0
-117.62,0.77,43.0,2114.0,426.0,820.0,399.0,2.7401,88200.0,1.0
-122.27,0.23,40.0,1818.0,308.0,679.0,282.0,6.3542,179200.0,4.0
-118.37,0.14,8.0,3403.0,1118.0,1749.0,807.0,2.6149,366700.0,1.0
-117.46,0.79,35.0,1219.0,269.0,576.0,263.0,1.6581,63900.0,1.0
-118.01,0.05,37.0,682.0,172.0,813.0,173.0,3.8125,138000.0,0.0
-118.2,0.7,7.0,6352.0,1390.0,3303.0,1278.0,3.2206,111700.0,1.0
-117.11,0.75,17.0,1674.0,380.0,788.0,386.0,1.9009,90500.0,1.0
-120.66,0.4,19.0,3385.0,657.0,1309.0,632.0,3.5208,141200.0,1.0
-122.2,0.96,35.0,2190.0,399.0,1102.0,375.0,3.8981,128000.0,3.0
-120.84,0.63,12.0,1313.0,283.0,582.0,242.0,2.788,167400.0,1.0
-117.25,0.76,32.0,2930.0,785.0,1392.0,721.0,2.5086,122300.0,1.0
-118.09,0.22,33.0,1984.0,404.0,1161.0,358.0,3.5446,178300.0,0.0
-119.65,0.51,31.0,1238.0,254.0,707.0,245.0,2.4333,108900.0,1.0
-122.25,0.79,39.0,461.0,129.0,381.0,123.0,1.6,112500.0,1.0
-118.07,0.13,27.0,2498.0,503.0,1190.0,472.0,3.2407,171000.0,1.0
-120.02,0.76,15.0,1291.0,436.0,946.0,331.0,1.8185,8100.0,1.0
-119.81,0.83,19.0,3277.0,596.0,1634.0,472.0,2.7708,101500.0,1.0
-119.81,0.67,24.0,2404.0,462.0,1027.0,381.0,2.4559,92400.0,1.0
-114.59,0.61,34.0,4789.0,1175.0,27.0,856.0,2.1782,58400.0,1.0
-120.66,0.72,17.0,819.0,157.0,406.0,150.0,4.7,166300.0,1.0
-116.92,0.73,13.0,1674.0,293.0,946.0,261.0,4.8292,130600.0,1.0
-117.89,0.76,15.0,1591.0,327.0,540.0,226.0,2.9688,286600.0,0.0
-120.27,0.35,13.0,4236.0,899.0,3297.0,839.0,2.2222,117900.0,1.0
-118.12,0.12,41.0,1789.0,331.0,956.0,324.0,3.6875,170800.0,0.0
-117.97,3384.0,18.0,1320.0,367.0,971.0,296.0,1.9531,55000.0,0.0
-122.18,0.75,36.0,1047.0,270.0,904.0,248.0,1.799,81600.0,1.0
-121.39,0.52,19.0,1808.0,288.0,708.0,258.0,3.2222,153900.0,1.0
-121.85,0.36,34.0,1834.0,358.0,1142.0,331.0,3.6818,172600.0,0.0
-117.44,0.79,31.0,2334.0,570.0,1538.0,492.0,3.0284,70200.0,1.0
-117.14,0.75,31.0,3042.0,797.0,1335.0,773.0,1.823,74800.0,1.0
-122.03,0.31,28.0,4513.0,960.0,2593.0,893.0,3.9485,191100.0,0.0
-118.34,0.04,40.0,2064.0,662.0,2140.0,617.0,1.9674,127100.0,0.0
-117.77,0.71,5.0,4050.0,584.0,1986.0,598.0,4.57337,187500.0,1.0
-121.81,0.26,16.0,1935.0,331.0,997.0,345.0,3.8833,298300.0,0.0
-118.34,0.18,45.0,3566.0,701.0,1601.0,653.0,3.8668,225000.0,0.0
-119.84,0.75,16.0,2396.0,650.0,1228.0,559.0,1.3426,118800.0,1.0
-118.25,0.63,34.0,1262.0,338.0,782.0,288.0,1.6731,218100.0,1.0
-121.37,0.76,7.0,767.0,111.0,268.0,104.0,5.7039,162500.0,1.0
-118.22,0.9,38.0,796.0,205.0,679.0,207.0,2.1875,110400.0,1.0
-118.27,0.82,37.0,943.0,218.0,803.0,216.0,2.2287,88800.0,1.0
-118.35,0.03,44.0,865.0,208.0,537.0,183.0,1.9,140800.0,0.0
-118.41,0.03,20.0,4374.0,1084.0,2426.0,1065.0,2.5033,110000.0,0.0
-122.97,0.5,44.0,3234.0,746.0,1113.0,458.0,2.6172,130600.0,0.0
-117.58,0.89,14.0,1731.0,404.0,1269.0,351.0,2.3654,107900.0,1.0
-121.44,0.75,16.0,5277.0,1290.0,2980.0,1139.0,2.5052,116700.0,1.0
-118.51,0.4,5.0,6754.0,1089.0,2312.0,962.0,5.4453,472100.0,0.0
-116.92,0.63,19.0,1868.0,408.0,890.0,342.0,1.8947,66000.0,1.0
-120.51,0.41,36.0,3693.0,719.0,2685.0,737.0,27.4519,65200.0,1.0
-118.17,0.74,39.0,533.0,132.0,531.0,161.0,2.6528,58500.0,1.0
-117.7,0.72,15.0,3643.0,693.0,1704.0,633.0,1.8542,158500.0,1.0
-118.03,0.05,36.0,1359.0,317.0,1557.0,301.0,2.1653,161800.0,0.0
-120.44,0.29,18.0,1260.0,273.0,436.0,213.0,1.7849,89400.0,1.0
-122.46,0.74,51.0,1905.0,291.0,753.0,284.0,4.1029,265600.0,1.0
-118.36,0.19,11.0,2190.0,924.0,1994.0,890.0,2.1473,237500.0,0.0
-122.15,0.69,38.0,112.0,31.0,575.0,27.0,3.875,162500.0,3.0
-118.04,0.78,26.0,2001.0,302.0,836.0,298.0,5.6149,277700.0,1.0
-118.41,0.03,20.0,4374.0,1311.0,2165.0,1185.0,3.7019,461600.0,0.0
-118.36,0.81,34.0,2211.0,502.0,1187.0,466.0,1.99,206300.0,1.0
-120.95,0.79,12.0,3247.0,740.0,2033.0,668.0,2.7102,119000.0,0.0
-122.01,0.98,34.0,1250.0,240.0,552.0,201.0,2.8269,162900.0,1.0
-118.03,0.06,16.0,2306.0,674.0,1005.0,425.0,1.8667,162300.0,1.0
-117.35,0.2,32.0,1255.0,232.0,700.0,236.0,3.7417,142900.0,1.0
-118.12,0.14,52.0,2337.0,355.0,981.0,328.0,5.5533,353900.0,0.0
-122.22,0.78,50.0,1776.0,473.0,1807.0,440.0,1.7276,102300.0,3.0
-123.79,0.5,27.0,819.0,150.0,314.0,133.0,4.4821,328000.0,0.0
-118.47,0.7,18.0,4754.0,1095.0,9191.0,1949.0,3.223,500001.0,4.0
-118.29,0.08,38.0,380.0,130.0,445.0,140.0,1.9286,137500.0,1.0
-118.01,0.67,15.0,2994.0,536.0,1240.0,535.0,3.2345,170200.0,1.0
-118.42,0.35,16.0,7096.0,1422.0,34586.0,1439.0,4.145,34200.0,1.0
-117.57,0.44,4.0,1607.0,254.0,921.0,271.0,5.6346,144800.0,1.0
-122.06,0.36,35.0,2693.0,493.0,1043.0,455.0,3.69,245200.0,3.0
-118.19,0.78,42.0,1511.0,364.0,1056.0,386.0,1.85,143800.0,1.0
-118.21,0.13,52.0,2465.0,611.0,1433.0,570.0,3.25,214200.0,1.0
-121.59,0.78,16.0,5215.0,825.0,2456.0,750.0,4.7965,192100.0,1.0
-117.71,0.63,15.0,2857.0,612.0,1565.0,577.0,2.8125,106300.0,1.0
-119.95,0.94,24.0,1486.0,317.0,406.0,180.0,2.9667,105800.0,1.0
-121.88,0.27,27.0,2019.0,335.0,1020.0,351.0,5.8178,267400.0,0.0
-119.82,0.69,13.0,4449.0,729.0,1693.0,679.0,3.7457,132000.0,1.0
-121.26,0.27,20.0,1337.0,1855.0,48.0,4.0,5.3906,290500.0,1.0
