RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
5486.0,15573490.0,2880.0,577.0,2.0,1.0,37.0,4.0,0.0,2.0,1.0,1.0,120606.0,0.0
3694.0,15575584.0,2551.0,809.0,0.0,1.0,30.0,8.0,0.0,2.0,1.0,0.0,172643.22,0.0
9807.0,15759272.0,1736.0,525.0,0.0,1.0,37.0,7.0,1063.77,2.0,1.0,1.0,189586.06,0.0
5706.0,15662228.0,1362.0,655.0,0.0,1.0,37.0,9.0,68297.06,2.0,0.0,1.0,64872.22,0.0
7025.0,15691544.0,1435.0,629.0,2.0,1.0,36.0,4.0,0.0,2.0,1.0,0.0,191653.68,0.0
1108.0,15650454.0,2420.0,640.0,0.0,0.0,33.0,6.0,147341.05,1.0,1.0,0.0,64709.13,0.0
4792.0,15781054.0,790.0,694.0,0.0,0.0,38.0,8.0,0.0,1.0,1.0,0.0,171844.64,0.0
6913.0,15580963.0,1686.0,690.0,2.0,1.0,34.0,2.0,119666.0,1.0,0.0,1.0,129741.1,0.0
1397.0,15763044.0,1943.0,760.0,2.0,1.0,37.0,7.0,0.0,2.0,1.0,1.0,65871.78,0.0
7337.0,15652056.0,1387.0,540.0,1.0,0.0,48.0,10.0,126115.31,1.0,0.0,1.0,173481.64,1.0
9812.0,15658980.0,1607.0,770.0,0.0,1.0,39.0,9.0,110928.3,1.0,1.0,0.0,29610.53,0.0
9813.0,15762221.0,139.0,688.0,0.0,0.0,33.0,0.0,0.0,2.0,1.0,0.0,126551.19,0.0
7765.0,15607069.0,2296.0,698.0,0.0,1.0,40.0,9.0,0.0,1.0,1.0,0.0,22457.48,0.0
4626.0,15635975.0,14.0,612.0,0.0,1.0,36.0,8.0,102918.66,2.0,1.0,1.0,167937.83,0.0
759.0,15781234.0,26.0,594.0,0.0,1.0,49.0,2.0,188914.57,1.0,0.0,0.0,77231.37,0.0
8892.0,15790489.0,1573.0,534.0,2.0,1.0,34.0,5.0,170600.78,1.0,0.0,1.0,5240.53,0.0
909.0,15763413.0,2867.0,577.0,0.0,1.0,29.0,4.0,0.0,2.0,1.0,1.0,170880.35,0.0
4749.0,15755906.0,1231.0,559.0,0.0,1.0,37.0,8.0,0.0,2.0,0.0,1.0,15725.04,0.0
7425.0,15783061.0,1944.0,625.0,0.0,1.0,33.0,8.0,121884.18,1.0,1.0,0.0,184529.29,1.0
9597.0,15769665.0,2267.0,584.0,0.0,1.0,37.0,4.0,0.0,2.0,1.0,0.0,87172.36,0.0
757.0,156924.0,1148.0,590.0,0.0,1.0,28.0,8.0,0.0,2.0,1.0,0.0,147938.83,0.0
6329.0,15703468.0,884.0,2667.0,0.0,1.0,56.0,4.0,138894.78,1.0,1.0,1.0,140712.78,0.0
7957.0,15806962.0,230.0,774.0,0.0,1.0,31.0,5.0,0.0,2.0,1.0,0.0,168820.18,0.0
3149.0,15759456.0,490.0,529.0,0.0,0.0,37.0,7.0,113272.85,1.0,1.0,1.0,151453.97,1.0
504.0,1068.0,56.0,717.0,2.0,1.0,44.0,9.0,124303.71,2.0,0.0,0.0,62902.73,0.0
3412.0,15659428.0,1669.0,658.0,0.0,1.0,37.0,3.0,0.0,2.0,1.0,1.0,17130.92,0.0
7762.0,15695079.0,1260.0,629.0,2.0,1.0,67.0,8.0,0.0,2.0,1.0,1.0,178720.39,0.0
4713.0,15720508.0,2523.0,850.0,0.0,0.0,33.0,3.0,123090.04,1.0,1.0,0.0,173362.45,0.0
5119.0,15689294.0,2094.0,651.0,0.0,1.0,26.0,7.0,0.0,2.0,1.0,0.0,106974.22,0.0
4717.0,157382.0,225.0,604.0,2.0,1.0,35.0,4.0,145633.83,2.0,0.0,0.0,167181.31,0.0
7315.0,80674277.0,2601.0,685.0,0.0,0.0,44.0,5.0,0.0,2.0,1.0,0.0,170593.15,0.0
4235.0,1515362.0,2900.0,586.0,2.0,1.0,46.0,3.0,123959.26,1.0,1.0,1.0,179227.31,0.0
9598.0,15807919.0,2776.0,627.0,0.0,1.0,33.0,6.0,0.0,1.0,1.0,1.0,116969.19,0.0
7959.0,15682167.0,1763.0,774.0,2.0,1.0,31.0,8.0,140937.89,1.0,0.0,1.0,173583.02,0.0
2869.0,15603472.0,1910.0,633.0,0.0,0.0,33.0,4.0,141160.45,2.0,1.0,0.0,172643.87,0.0
346.0,15202.0,1752.0,762.0,2.0,1.0,38.0,3.0,0.0,2.0,1.0,1.0,170134.83,0.0
9205.0,15635169.0,2569.0,544.0,0.0,1.0,30.0,8.0,0.0,2.0,1.0,0.0,13935.96,0.0
7487.0,15690134.0,2628.0,697.0,0.0,0.0,34.0,6.0,0.0,2.0,0.0,0.0,1818.95,0.0
7262.0,15774268.0,1138.0,773.0,2.0,1.0,38.0,4.0,0.0,2.0,1.0,0.0,158640.28,0.0
5630.0,15649668.0,1362.0,706.0,0.0,1.0,29.0,8.0,0.0,2.0,1.0,0.0,31820.47,0.0
607.0,15761068.0,591.0,644.0,2.0,1.0,41.0,10.0,123192.21,1.0,1.0,0.0,71700.63,0.0
4740.0,15698546.0,1233.0,668.0,0.0,1.0,31.0,9.0,0.0,2.0,1.0,1.0,177650.77,0.0
1699.0,15682091.0,1234.0,589.0,2.0,0.0,36.0,8.0,0.0,2.0,1.0,0.0,95463.22,0.0
509.0,15759590.0,1756.0,690.0,0.0,1.0,39.0,2.0,0.0,2.0,0.0,1.0,151587.59,0.0
9880.0,811587.0,2568.0,756.0,1.0,1.0,34.0,3.0,88242.25,2.0,1.0,0.0,78358.12,0.0
8097.0,15750772.0,2751.0,671.0,0.0,0.0,38.0,6.0,132129.72,1.0,0.0,1.0,76068.95,0.0
6236.0,15761093.0,2298.0,668.0,2.0,1.0,41.0,8.0,135309.71,1.0,1.0,0.0,111479.64,0.0
2893.0,15751910.0,2292.0,669.0,0.0,0.0,37.0,8.0,0.0,2.0,0.0,1.0,168419.14,0.0
834.0,15695846.0,2415.0,631.0,0.0,1.0,47.0,5.0,0.0,1.0,1.0,1.0,162505.68,1.0
5064.0,15574190.0,1234.0,797.0,0.0,1.0,27.0,10.0,0.0,2.0,1.0,0.0,144552.15,0.0
8507.0,15808541.0,1234.0,579.0,2.0,1.0,37.0,8.0,0.0,2.0,0.0,1.0,160572.93,0.0
2787.0,15691543.0,2628.0,699.0,0.0,1.0,24.0,8.0,0.0,2.0,1.0,1.0,1275.47,0.0
1302.0,15808546.0,1223.0,698.0,0.0,0.0,33.0,8.0,0.0,2.0,1.0,1.0,41758.18,0.0
2818.0,15758031.0,697.0,697.0,0.0,0.0,24.0,7.0,0.0,2.0,1.0,0.0,160668.77,0.0
8571.0,1569057.0,1402.0,684.0,2.0,0.0,45.0,9.0,0.0,2.0,1.0,0.0,129198.24,0.0
119.0,15688868.0,1234.0,585.0,0.0,1.0,37.0,6.0,0.0,2.0,1.0,1.0,1772.45,0.0
1124.0,15703105.0,537.0,795.0,0.0,1.0,36.0,5.0,140700.31,1.0,1.0,0.0,179984.5,0.0
1771.0,1215295.0,2880.0,696.0,0.0,1.0,40.0,2.0,100900.01,1.0,1.0,0.0,139377.48,0.0
5926.0,15805478.0,1812.0,714.0,0.0,1.0,43.0,6.0,100507.33,1.0,1.0,0.0,106733.96,0.0
1504.0,15767546.0,1623.0,616.0,0.0,1.0,30.0,8.0,0.0,2.0,1.0,1.0,187238.1,0.0
4491.0,157822.0,2552.0,568.0,0.0,1.0,46.0,8.0,0.0,2.0,1.0,0.0,176962.34,0.0
8055.0,15590676.0,2038.0,735.0,0.0,1.0,31.0,3.0,0.0,2.0,1.0,0.0,140363.15,0.0
2637.0,15759290.0,1973.0,525.0,0.0,0.0,38.0,7.0,0.0,2.0,1.0,1.0,1769.77,0.0
7016.0,15694666.0,1723.0,738.0,0.0,1.0,37.0,5.0,0.0,2.0,1.0,0.0,70563.4,0.0
4874.0,157818.0,2568.0,598.0,2.0,1.0,37.0,8.0,0.0,2.0,0.0,1.0,161526.9,0.0
8002.0,15798068.0,1953.0,747.0,2.0,1.0,32.0,3.0,0.0,2.0,1.0,1.0,177640.09,0.0
8597.0,15687628.0,1234.0,745.0,0.0,1.0,37.0,8.0,0.0,2.0,1.0,1.0,168521.39,0.0
3421.0,15654408.0,1249.0,679.0,2.0,1.0,30.0,6.0,0.0,2.0,1.0,1.0,143393.4,0.0
821.0,1210343.0,2198.0,470.0,2.0,0.0,49.0,9.0,0.0,1.0,1.0,1.0,10014.19,0.0
1427.0,15717559.0,1235.0,535.0,2.0,1.0,37.0,0.0,0.0,2.0,0.0,1.0,136977.45,0.0
9348.0,15802390.0,1912.0,660.0,0.0,1.0,37.0,7.0,140530.71,1.0,0.0,1.0,177740.87,0.0
1534.0,15654408.0,1281.0,577.0,2.0,1.0,42.0,8.0,127299.25,1.0,0.0,0.0,67969.8,0.0
4968.0,15694285.0,2040.0,554.0,1.0,0.0,46.0,5.0,106372.74,1.0,1.0,0.0,118862.12,1.0
9912.0,15776332.0,1656.0,539.0,0.0,1.0,28.0,7.0,0.0,2.0,1.0,0.0,133131.77,0.0
7728.0,15809816.0,2316.0,684.0,0.0,1.0,45.0,5.0,0.0,2.0,1.0,0.0,140803.26,0.0
2356.0,15697974.0,28.0,672.0,0.0,1.0,37.0,8.0,149331.93,1.0,1.0,0.0,184490.67,0.0
4426.0,15698043.0,1001.0,704.0,0.0,1.0,47.0,2.0,90724.9,1.0,1.0,0.0,101834.45,1.0
6368.0,15761068.0,1643.0,606.0,0.0,1.0,62.0,3.0,0.0,2.0,1.0,1.0,126820.29,0.0
2117.0,15744368.0,2551.0,607.0,0.0,1.0,30.0,8.0,158456.33,1.0,0.0,1.0,15250.61,0.0
7320.0,15811244.0,2803.0,546.0,2.0,1.0,44.0,4.0,0.0,2.0,0.0,1.0,120821.0,0.0
3459.0,15759804.0,22.0,598.0,0.0,1.0,29.0,7.0,0.0,2.0,1.0,1.0,173783.75,0.0
6447.0,15657546.0,26.0,642.0,0.0,1.0,31.0,8.0,0.0,2.0,1.0,1.0,121463.71,0.0
7547.0,15688087.0,1234.0,697.0,2.0,1.0,39.0,8.0,0.0,2.0,1.0,0.0,103980.85,0.0
1152.0,15806960.0,1967.0,589.0,0.0,0.0,45.0,2.0,0.0,2.0,1.0,0.0,107332.19,0.0
1653.0,15586821.0,142.0,668.0,1.0,0.0,51.0,8.0,106227.07,1.0,1.0,0.0,181763.5,1.0
4012.0,15679299.0,1686.0,667.0,0.0,1.0,33.0,8.0,0.0,2.0,1.0,0.0,107292.91,0.0
3006.0,15611367.0,2569.0,760.0,2.0,1.0,43.0,2.0,0.0,2.0,1.0,1.0,1717722.23,0.0
7454.0,1574404.0,525.0,665.0,0.0,1.0,47.0,5.0,0.0,2.0,1.0,0.0,121537.45,0.0
7517.0,64838334.0,2202.0,521.0,0.0,1.0,32.0,8.0,0.0,1.0,1.0,1.0,173983.83,0.0
5302.0,155781589.0,1843.0,640.0,1.0,0.0,37.0,9.0,76674.39,1.0,1.0,0.0,139093.43,1.0
3823.0,15799637.0,1660.0,445.0,0.0,1.0,29.0,5.0,0.0,2.0,1.0,0.0,144673.33,0.0
7081.0,15719940.0,994.0,628.0,1.0,0.0,51.0,10.0,115280.49,2.0,0.0,0.0,12628.61,1.0
