P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,price
293.00000248,0.5008,0.1212018,0.0785548,0.0577603,0.8296401,0.0053196,0.6701784,0.002649,0.0723537,0.0509532,0.0966003,0.86947,0.2005983,0.1123836,0.1507076,84.0
5439.00000248,0.0,0.3264947,0.0956938,0.0762701,0.8008223,0.091705,0.7563443,0.0031677,0.0639332,0.0471942,0.3409138,0.9163774,0.4855355,0.1846259,0.3613497,13.0
107.00000248,0.0,0.0140789,0.092104,0.0704744,0.8565264,0.1209428,0.7452125,0.0028126,0.036077,0.0499821,0.0148026,0.8283112,0.2181641,0.1827053,0.4634146,17.0
6960.0,0.473619,0.2709666,0.1455686,0.1067808,0.8341504,0.0162057,0.712202,0.0019944,0.0355513,0.0915829,0.2384804,0.6490636,0.3562429,0.0987903,0.2580645,169.0
5533.0,0.0,0.0975649,0.0572834,0.0505204,0.8097898,0.0212074,0.6693568,0.0065288,0.1040596,0.07769,0.0881918,0.8470855,0.4053288,0.0700873,0.2190098,7.0
22477.0,0.495145,0.5523375,0.0731896,0.0687732,0.8090909,0.0208888,0.6605063,0.0040756,0.080451,0.1455219,0.5470934,0.9790757,0.4384836,0.0959605,0.5145644,68.0
2438.0,0.4734253,0.4126221,0.1139265,0.0987329,0.800655,0.0218589,0.6748209,0.0040486,0.0704787,0.1443017,0.3851824,0.8115273,0.4368859,0.122479,0.5461783,27.0
322.00000248,0.0,0.5530683,0.0451746,0.0914322,0.8745745,0.0189873,0.7665581,0.0059778,0.0665472,0.0929648,0.4747462,0.7195402,0.4127508,0.272463,0.3653889,36.0
896.0,0.4729454,0.4727817,0.129149,0.1001383,0.8353517,0.0345267,0.7012986,0.004412,0.0529341,0.0919408,0.4329264,0.8479064,0.4809234,0.1718121,0.5117647,47.0
1546.0,0.4734801,0.3047756,0.1143403,0.0919595,0.8109248,0.0218059,0.7288758,0.0053201,0.0486969,0.0855365,0.2705506,0.9795707,0.4033028,0.1121229,0.5822785,29.0
4785.0,0.0,0.1463011,0.0578623,0.0634605,0.7794235,0.0921355,0.6716576,0.0045406,0.0854593,0.0541401,0.1312395,0.8796473,0.4726883,0.1191824,0.4151781,465.0
590.0,0.4795539,0.0901812,0.0956954,0.0792431,0.812125931,0.01479903,0.6692912,0.0001833,0.0704531,0.1284495,0.0918796,0.8373798,0.4998088,0.1810176,0.1284722,10.0
11122.0,0.5067107,0.2075059,0.1255029,0.0805745,0.8107204,0.0277956,0.7294429,0.0064519,0.0637983,0.0929577,0.1825115,0.8495673,0.5356048,0.1159863,0.3052786,27.0
243.00000248,0.0,0.0509506,0.1534373,0.096577,0.788895,0.1041371,0.6660777,0.0047801,0.0732417,0.0489796,0.0412218,0.981406,0.8003385,0.0720371,0.3228346,79.0
14044.0,0.0,0.2104996,0.1414492,0.105841,0.694468,0.0456659,0.5452038,0.0044184,0.1277184,0.1334557,0.2057263,0.8429721,0.456913,0.0940511,0.462963,445.0
