date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
357.0,3.0,2.25,2140.0,10500.0,1.0,0.0,0.0,3.0,8.0,1540.0,500.0,1978.0,0.0,98075.0,47.5851,-122.064,2680.0,10950.0,560000.0
215.0,4.0,1.5,2060.0,11052.0,1.0,0.0,0.0,3.0,7.0,2060.0,0.0,1962.0,0.0,98028.0,47.7622,-122.264,1830.0,10400.0,389000.0
95.0,3.0,2.0,1850.0,8208.0,1.0,0.0,0.0,3.0,7.0,1100.0,750.0,1959.0,0.0,98155.0,47.7417,-122.319,2170.0,8174.0,370000.0
103.0,4.0,2.5,3080.0,8451.0,2.0,0.0,0.0,3.0,8.0,3080.0,0.0,1995.0,0.0,98052.0,47.6786,-122.129,2920.0,8125.0,750000.0
292.0,3.0,2.5,1740.0,3078.0,2.0,0.0,0.0,3.0,8.0,1740.0,0.0,2010.0,0.0,98027.0,47.53,-122.047,1620.0,3078.0,533000.0
73.0,3.0,1.0,1010.0,7171.0,1.0,0.0,0.0,4.0,6.0,1010.0,0.0,1953.0,0.0,98133.0,47.757,-122.339,1220.0,7200.0,309000.0
6.0,3.0,2.5,2040.0,10034.0,1.0,0.0,0.0,4.0,8.0,1490.0,580.0,1973.0,0.0,98006.0,47.5485,-122.168,2040.0,10000.0,595000.0
56.0,4.0,3.0,2370.0,5250.0,1.0,0.0,0.0,3.0,7.0,1410.0,1080.0,1951.0,0.0,98199.0,47.6513,-122.406,2010.0,5250.0,510000.0
52.0,3.0,2.5,1820.0,1622.0,2.0,0.0,0.0,3.0,8.0,1340.0,480.0,2008.0,0.0,98103.0,47.6536,-122.346,1650.0,1694.0,608000.0
355.0,3.0,1.0,1020.0,5969.0,1.0,0.0,0.0,3.0,6.0,1020.0,0.0,1947.0,0.0,98155.0,47.7497,-122.314,1160.0,6238.0,265000.0
182.0,4.0,2.5,2650.0,5612.0,2.0,0.0,0.0,3.0,8.0,2650.0,0.0,2014.0,0.0,98059.0,47.4786,-122.122,2650.0,5639.0,542525.0
286.0,3.0,2.25,2950.0,42196.0,2.0,0.0,0.0,3.0,7.0,2950.0,0.0,1986.0,0.0,98092.0,47.3102,-122.116,1850.0,3581.0,350000.0
329.0,4.0,2.5,3181.0,6055.0,2.0,0.0,0.0,3.0,9.0,3181.0,0.0,2014.0,0.0,98030.0,47.3412,-122.187,2525.0,6050.0,459950.0
202.0,4.0,2.5,2690.0,5539.0,2.0,0.0,0.0,3.0,8.0,2690.0,0.0,2013.0,0.0,98045.0,47.4753,-121.734,2690.0,6037.0,449990.0
347.0,4.0,2.5,3280.0,9873.0,2.0,0.0,0.0,3.0,8.0,3280.0,0.0,2003.0,0.0,98053.0,47.6328,-122.03,3490.0,17232.0,710000.0
158.0,4.0,2.5,2320.0,9652.0,2.0,0.0,0.0,3.0,8.0,2320.0,0.0,1978.0,0.0,98055.0,47.4459,-122.211,2420.0,9631.0,360000.0
158.0,4.0,2.5,3560.0,6262.0,2.0,0.0,0.0,3.0,9.0,3560.0,0.0,2003.0,0.0,98053.0,47.6895,-122.045,3490.0,6629.0,775000.0
375.0,4.0,2.5,2750.0,16000.0,2.0,0.0,0.0,3.0,9.0,2750.0,0.0,1993.0,0.0,98075.0,47.5797,-121.986,360.0,13068.0,728000.0
220.0,2.0,1.0,1390.0,5000.0,1.0,0.0,0.0,3.0,7.0,970.0,420.0,1954.0,0.0,98116.0,47.5673,-122.393,1610.0,5000.0,439000.0
230.0,2.0,2.25,1590.0,1845.0,2.0,0.0,0.0,3.0,9.0,1590.0,0.0,1997.0,0.0,98033.0,47.6897,-122.165,2320.0,3174.0,403900.0
68.0,4.0,2.5,2040.0,2225.0,2.0,0.0,0.0,3.0,8.0,2040.0,0.0,1994.0,0.0,98126.0,47.5661,-122.375,1380.0,2217.0,494000.0
296.0,4.0,2.75,3240.0,10506.0,2.0,0.0,0.0,3.0,8.0,3240.0,0.0,1985.0,0.0,98023.0,47.3027,-122.392,2719.0,8498.0,340000.0
271.0,4.0,2.5,3240.0,13094.0,2.0,0.0,0.0,4.0,9.0,3240.0,0.0,1988.0,0.0,98075.0,47.5845,-122.058,2980.0,10917.0,745000.0
94.0,2.0,1.0,1510.0,4080.0,1.5,0.0,0.0,3.0,8.0,1510.0,0.0,1923.0,0.0,98103.0,47.6872,-122.331,2270.0,4080.0,605000.0
74.0,3.0,1.75,1790.0,7485.0,1.0,0.0,0.0,3.0,8.0,1330.0,460.0,1979.0,0.0,98023.0,47.3118,-122.34,1970.0,8097.0,263000.0
199.0,4.0,2.25,2180.0,7700.0,1.0,0.0,0.0,3.0,7.0,1480.0,750.0,1969.0,0.0,98034.0,47.7085,-122.219,1810.0,7770.0,520000.0
263.0,3.0,2.5,3060.0,7930.0,2.0,0.0,0.0,3.0,9.0,3060.0,0.0,2007.0,0.0,98056.0,47.5245,-122.184,3060.0,7702.0,720000.0
54.0,2.0,1.0,780.0,3400.0,1.0,0.0,0.0,4.0,5.0,780.0,0.0,1905.0,0.0,98055.0,47.4858,-122.207,1720.0,3698.0,230000.0
203.0,3.0,1.75,1520.0,7884.0,1.0,0.0,0.0,3.0,7.0,1520.0,0.0,1975.0,0.0,98058.0,47.4654,-122.168,1740.0,72309.0,330000.0
367.0,4.0,2.25,2570.0,31511.0,2.0,0.0,0.0,4.0,8.0,2570.0,0.0,1979.0,0.0,98053.0,47.6473,-122.047,3240.0,34500.0,625000.0
328.0,4.0,2.25,2570.0,15020.0,1.0,0.0,3.0,4.0,9.0,2570.0,0.0,1968.0,0.0,98040.0,47.5387,-122.229,2780.0,20897.0,695000.0
47.0,3.0,1.75,1820.0,4080.0,1.0,0.0,0.0,5.0,7.0,940.0,2000.0,1924.0,0.0,98126.0,47.5802,-122.372,1540.0,4080.0,520000.0
73.0,4.0,2.5,3400.0,210394.0,1.0,0.0,0.0,3.0,9.0,3400.0,0.0,2001.0,0.0,98024.0,47.5453,-121.974,3470.0,150659.0,840000.0
0.0,3.0,2.25,1740.0,10830.0,1.0,0.0,0.0,3.0,7.0,1740.0,0.0,1990.0,0.0,98022.0,47.1953,-121.967,1740.0,10860.0,210000.0
188.0,3.0,2.0,1260.0,1128.0,1.0,0.0,0.0,3.0,7.0,790.0,440.0,1984.0,0.0,98074.0,47.6223,-122.062,1810.0,9752.0,390000.0
97.0,3.0,2.5,2040.0,10083.0,1.0,0.0,0.0,3.0,8.0,1300.0,880.0,1985.0,0.0,98052.0,47.6392,-122.097,1320.0,10000.0,550000.0
343.0,4.0,2.5,2490.0,6549.0,2.0,0.0,0.0,3.0,8.0,2490.0,0.0,2014.0,0.0,98052.0,47.7185,-122.114,5790.0,5650.0,688500.0
335.0,3.0,1.0,1250.0,77572.0,1.0,0.0,0.0,3.0,6.0,1250.0,0.0,1932.0,0.0,98034.0,47.7258,-122.244,1590.0,8112.0,450000.0
217.0,2.0,2.25,1230.0,1362.0,3.0,0.0,0.0,3.0,8.0,1230.0,0.0,2010.0,0.0,98103.0,47.696,-122.343,1230.0,1327.0,418000.0
357.0,3.0,1.75,1380.0,9104.0,1.0,0.0,0.0,5.0,7.0,1380.0,0.0,1967.0,0.0,98058.0,47.4425,-122.181,1540.0,9000.0,315000.0
20.0,4.0,2.25,2570.0,13084.0,2.0,0.0,0.0,4.0,9.0,2570.0,0.0,1980.0,0.0,98042.0,47.3148,-122.152,2730.0,10160.0,435000.0
54.0,4.0,1.5,1880.0,61080.0,1.0,0.0,0.0,3.0,8.0,1420.0,460.0,1953.0,0.0,98125.0,47.7045,-122.287,1810.0,6180.0,450000.0
208.0,4.0,2.25,2520.0,10200.0,1.0,0.0,0.0,4.0,8.0,1220.0,1200.0,1961.0,0.0,98040.0,47.5651,-122.232,2520.0,10158.0,690000.0
146.0,4.0,2.75,2690.0,5439.0,2.0,0.0,0.0,3.0,8.0,2690.0,0.0,2007.0,0.0,98028.0,47.7407,-122.236,1810.0,5000.0,515000.0
