ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
3715.0,49.0,23.0,65.0,94720.0,2.0,0.4,3.0,232.0,0.0,0.0,0.0,0.0,1.0
4978.0,40.0,15.0,54.0,90266.0,3.0,0.8,3.0,0.0,0.0,0.0,0.0,1.0,0.0
3867.0,51.0,25.0,40.0,91401.0,4.0,1.8,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2091.0,50.0,25.0,79.0,95023.0,1.0,2.9,1.0,307.0,0.0,0.0,0.0,0.0,1.0
2337.0,34.0,8.0,99.0,93460.0,2.0,4.5,3.0,217.0,0.0,0.0,0.0,0.0,0.0
683.0,58.0,34.0,12.0,90504.0,1.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,1.0
1783.0,37.0,11.0,60.0,95825.0,2.0,2.8,1.0,181.0,0.0,0.0,0.0,0.0,1.0
2200.0,49.0,24.0,51.0,91016.0,1.0,1.3,2.0,98.0,0.0,0.0,0.0,0.0,1.0
1010.0,28.0,3.0,25.0,91330.0,2.0,0.9,3.0,140.0,0.0,0.0,0.0,1.0,0.0
4111.0,66.0,41.0,59.0,95617.0,3.0,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2344.0,58.0,34.0,55.0,90032.0,1.0,0.8,1.0,168.0,0.0,0.0,0.0,1.0,1.0
1817.0,45.0,19.0,91.0,92373.0,2.0,1.7,2.0,0.0,0.0,1.0,0.0,1.0,0.0
4020.0,62.0,36.0,28.0,95020.0,3.0,0.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3766.0,26.0,0.0,54.0,94706.0,3.0,0.3,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2380.0,42.0,18.0,110.0,94720.0,2.0,6.1,1.0,182.0,0.0,0.0,0.0,1.0,0.0
3772.0,31.0,7.0,109.0,91711.0,2.0,2.0,2.0,341.0,0.0,0.0,0.0,0.0,1.0
2382.0,33.0,9.0,49.0,94928.0,1.0,2.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3606.0,61.0,31.0,130.0,92333.0,2.0,2.6,3.0,0.0,1.0,0.0,0.0,0.0,0.0
1075.0,39.0,14.0,75.0,95762.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2410.0,55.0,31.0,73.0,95207.0,3.0,2.67,1.0,219.0,0.0,0.0,0.0,1.0,0.0
1527.0,36.0,10.0,80.0,94608.0,4.0,2.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1150.0,56.0,32.0,158.0,91763.0,1.0,7.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104.0,50.0,25.0,68.0,92305.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
905.0,28.0,2.0,51.0,90503.0,4.0,1.8,2.0,0.0,0.0,1.0,0.0,0.0,0.0
2188.0,54.0,30.0,40.0,90024.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4131.0,56.0,30.0,75.0,91910.0,1.0,1.9,2.0,125.0,0.0,0.0,0.0,1.0,0.0
4227.0,37.0,13.0,45.0,94591.0,1.0,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2525.0,49.0,25.0,24.0,95678.0,3.0,0.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1630.0,53.0,29.0,154.0,93407.0,4.0,7.4,3.0,0.0,1.0,0.0,0.0,0.0,0.0
2304.0,47.0,21.0,89.0,94720.0,2.0,0.8,3.0,0.0,0.0,0.0,0.0,1.0,1.0
930.0,55.0,30.0,22.0,92121.0,1.0,1.5,2.0,91.0,0.0,0.0,0.0,0.0,1.0
2806.0,37.0,12.0,182.0,94523.0,3.0,5.8,3.0,0.0,1.0,0.0,0.0,1.0,0.0
1654.0,26.0,1.0,24.0,96651.0,2.0,0.9,3.0,123.0,0.0,0.0,0.0,0.0,1.0
3877.0,35.0,11.0,40.0,91784.0,1.0,2.4,2.0,0.0,0.0,0.0,0.0,1.0,0.0
2649.0,26.0,0.0,155.0,93105.0,2.0,7.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4931.0,63.0,38.0,110.0,90095.0,3.0,1.8,2.0,109.0,0.0,0.0,0.0,1.0,0.0
4476.0,43.0,18.0,59.0,95039.0,3.0,0.8,3.0,91.0,0.0,0.0,0.0,1.0,0.0
906.0,46.0,22.0,28.0,94720.0,1.0,0.1,3.0,0.0,0.0,0.0,0.0,1.0,0.0
2589.0,61.0,36.0,29.0,93065.0,1.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1494.0,58.0,34.0,84.0,91380.0,2.0,2.8,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2060.0,28.0,3.0,173.0,92121.0,2.0,6.7,1.0,222.0,0.0,0.0,0.0,1.0,0.0
1230.0,56.0,32.0,80.0,94596.0,3.0,2.67,1.0,0.0,0.0,0.0,0.0,1.0,0.0
60.0,53.0,27.0,3.0,94542.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3256.0,34.0,7.0,82.0,95741.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0
1879.0,56.0,30.0,59.0,95833.0,3.0,0.8,1.0,159.0,0.0,1.0,0.0,1.0,0.0
1059.0,59.0,34.0,24.0,94105.0,2.0,0.2,3.0,86.0,0.0,0.0,0.0,1.0,0.0
4199.0,61.0,36.0,50.0,96003.0,4.0,1.7,1.0,189.0,0.0,0.0,0.0,1.0,0.0
1057.0,36.0,6.0,25.0,95020.0,1.0,0.67,3.0,0.0,0.0,0.0,0.0,1.0,0.0
1684.0,55.0,29.0,33.0,92660.0,2.0,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3642.0,59.0,35.0,74.0,94402.0,4.0,2.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4811.0,58.0,34.0,11.0,92037.0,2.0,0.3,1.0,96.0,0.0,0.0,0.0,1.0,0.0
2013.0,18.0,24.0,299.0,94612.0,1.0,1.33,1.0,137.0,0.0,0.0,0.0,1.0,1.0
2064.0,56.0,30.0,32.0,94080.0,2.0,0.4,3.0,0.0,0.0,0.0,0.0,1.0,0.0
700.0,46.0,22.0,3.0,90089.0,2.0,2.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0
3043.0,52.0,26.0,78.0,94301.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
1066.0,25.0,1.0,113.0,90401.0,3.0,2.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2654.0,30.0,5.0,121.0,94555.0,2.0,3.1,1.0,408.0,0.0,0.0,0.0,1.0,0.0
3603.0,47.0,21.0,42.0,95841.0,4.0,0.1,1.0,0.0,0.0,0.0,0.0,1.0,1.0
4188.0,30.0,5.0,109.0,94305.0,4.0,2.2,2.0,103.0,0.0,0.0,0.0,0.0,1.0
3029.0,63.0,39.0,38.0,92624.0,3.0,0.1,3.0,178.0,0.0,0.0,0.0,1.0,1.0
2041.0,41.0,16.0,91.0,94720.0,3.0,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
3352.0,52.0,26.0,191.0,92121.0,1.0,1.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0
160.0,43.0,41.0,3.0,94305.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
1293.0,56.0,30.0,164.0,94610.0,4.0,0.5,2.0,234.0,1.0,0.0,1.0,1.0,1.0
4601.0,54.0,24.0,75.0,93555.0,1.0,1.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2609.0,61.0,35.0,79.0,94024.0,2.0,2.0,1.0,194.0,0.0,0.0,0.0,1.0,1.0
3374.0,28.0,2.0,182.0,92660.0,3.0,7.2,2.0,442.0,1.0,0.0,1.0,1.0,1.0
890.0,24.0,-2.0,82.0,91103.0,2.0,1.6,3.0,0.0,0.0,0.0,0.0,1.0,1.0
3494.0,54.0,28.0,33.0,94710.0,2.0,0.4,3.0,0.0,0.0,0.0,0.0,1.0,0.0
3893.0,26.0,1.0,54.0,91604.0,4.0,0.6,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3912.0,52.0,26.0,44.0,94025.0,2.0,0.8,3.0,148.0,0.0,0.0,0.0,0.0,1.0
1307.0,34.0,9.0,31.0,94115.0,4.0,1.1,3.0,0.0,0.0,0.0,0.0,1.0,1.0
1711.0,31.0,5.0,29.0,95405.0,2.0,0.3,2.0,131.0,0.0,0.0,0.0,1.0,1.0
2601.0,42.0,18.0,51.0,92868.0,3.0,2.1,3.0,0.0,0.0,0.0,0.0,0.0,0.0
4196.0,43.0,19.0,52.0,95054.0,4.0,2.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0
3869.0,41.0,16.0,44.0,92037.0,1.0,0.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0
2348.0,64.0,40.0,8.0,92104.0,3.0,0.1,3.0,87.0,0.0,0.0,0.0,0.0,1.0
2913.0,44.0,20.0,130.0,90291.0,4.0,3.2,2.0,0.0,1.0,0.0,0.0,0.0,0.0
3704.0,67.0,41.0,78.0,94301.0,4.0,2.4,3.0,0.0,0.0,1.0,0.0,0.0,0.0
4793.0,36.0,10.0,28.0,90840.0,4.0,1.0,1.0,130.0,0.0,0.0,0.0,1.0,0.0
1613.0,41.0,17.0,33.0,94550.0,1.0,0.7,1.0,104.0,0.0,0.0,0.0,0.0,0.0
4293.0,63.0,37.0,191.0,94131.0,2.0,4.3,3.0,205.0,1.0,0.0,0.0,0.0,0.0
2122.0,41.0,17.0,38.0,92182.0,4.0,2.2,2.0,180.0,0.0,0.0,0.0,0.0,1.0
1263.0,26.0,1.0,53.0,94720.0,2.0,1.6,3.0,0.0,0.0,0.0,0.0,1.0,0.0
69.0,45.0,21.0,68.0,91604.0,1.0,0.3,3.0,0.0,0.0,0.0,0.0,1.0,1.0
952.0,59.0,34.0,83.0,94105.0,2.0,3.4,3.0,0.0,1.0,0.0,0.0,1.0,0.0
3290.0,50.0,23.0,95.0,90254.0,1.0,1.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1633.0,31.0,5.0,93.0,95032.0,2.0,3.1,2.0,0.0,1.0,0.0,0.0,1.0,0.0
2276.0,40.0,16.0,115.0,94305.0,1.0,3.4,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3660.0,33.0,7.0,22.0,94002.0,1.0,0.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2477.0,54.0,28.0,30.0,95616.0,4.0,0.7,2.0,0.0,0.0,0.0,0.0,1.0,0.0
4402.0,60.0,35.0,42.0,91902.0,3.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2476.0,52.0,26.0,79.0,95817.0,3.0,0.8,1.0,183.0,0.0,0.0,0.0,0.0,0.0
1688.0,63.0,39.0,83.0,90025.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0
1266.0,32.0,2.0,71.0,95014.0,2.0,1.75,3.0,108.0,0.0,0.0,0.0,0.0,0.0
2158.0,25.0,0.0,71.0,93727.0,4.0,0.2,1.0,78.0,0.0,1.0,0.0,0.0,0.0
3499.0,30.0,6.0,182.0,93561.0,4.0,0.8,3.0,94.0,1.0,0.0,0.0,1.0,0.0
4148.0,59.0,35.0,180.0,96008.0,2.0,6.5,2.0,0.0,1.0,1.0,1.0,1.0,1.0
2659.0,30.0,4.0,44.0,94304.0,1.0,1.5,1.0,109.0,0.0,0.0,0.0,0.0,0.0
728.0,62.0,37.0,18.0,92037.0,3.0,1.3,2.0,0.0,0.0,0.0,0.0,1.0,0.0
929.0,35.0,10.0,74.0,90638.0,4.0,1.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1043.0,64.0,34.0,50.0,95616.0,4.0,1.67,3.0,0.0,0.0,0.0,0.0,1.0,0.0
4179.0,59.0,35.0,88.0,91311.0,2.0,1.6,1.0,278.0,0.0,0.0,0.0,0.0,0.0
2254.0,59.0,35.0,25.0,95827.0,2.0,0.3,1.0,75.0,0.0,0.0,0.0,1.0,0.0
1008.0,44.0,19.0,99.0,95064.0,3.0,3.5,3.0,357.0,1.0,0.0,0.0,0.0,0.0
323.0,63.0,39.0,24.0,92007.0,1.0,1.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0
889.0,57.0,33.0,182.0,94114.0,2.0,3.3,3.0,372.0,1.0,0.0,0.0,0.0,0.0
4743.0,58.0,33.0,25.0,92121.0,4.0,0.9,2.0,90.0,0.0,0.0,0.0,1.0,1.0
713.0,41.0,16.0,10.0,94123.0,2.0,0.3,2.0,0.0,0.0,0.0,0.0,1.0,0.0
493.0,60.0,36.0,38.0,94596.0,4.0,1.3,1.0,0.0,0.0,0.0,0.0,1.0,0.0
3800.0,37.0,11.0,44.0,93109.0,4.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0
4188.0,30.0,5.0,109.0,94305.0,4.0,2.2,2.0,103.0,0.0,0.0,0.0,0.0,1.0
4159.0,59.0,34.0,74.0,92780.0,4.0,0.7,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3249.0,31.0,6.0,92.0,92037.0,2.0,3.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2459.0,46.0,20.0,72.0,93108.0,2.0,0.8,3.0,0.0,0.0,0.0,0.0,1.0,1.0
3026.0,58.0,32.0,128.0,94609.0,2.0,2.7,1.0,344.0,0.0,0.0,0.0,0.0,0.0
