age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32,4,123354,1,0,8,1,4,0,-1,0,42,39,0
33,0,239412,11,4,5,1,4,1,2,0,40,39,0
17,4,299680,1,4,8,2,4,1,2,0,40,39,0
39,0,132861,15,6,5,2,2,0,29,0,9,39,0
60,4,88198,9,4,1,2,4,1,-2,0,63,39,0
17,4,73636,0,4,8,3,4,0,0,0,14,39,0
31,4,92124,8,0,7,1,4,0,-2,1933,60,39,0
48,4,203040,9,4,1,3,4,0,0,0,50,39,0
69,6,141434,15,6,3,1,4,0,-1,0,11,39,0
63,4,102250,11,2,4,5,4,0,1934,0,35,39,0
55,4,215122,1,2,3,3,4,1,6,2007,50,39,0
31,4,331677,11,2,1,5,4,0,2,0,45,39,1
58,2,89893,12,0,3,4,2,1,-2,0,48,39,0
31,2,58058,1,4,3,1,4,1,1,0,24,39,0
52,5,132827,9,0,8,1,4,1,-1,0,60,39,0
29,4,190845,1,2,3,4,4,0,-1,0,50,39,0
42,4,132440,1,2,13,0,4,1,0,0,40,39,0
26,4,92330,11,4,5,3,4,0,-1,0,40,39,0
47,4,119838,9,4,5,4,2,1,-1,0,32,39,0
59,6,105327,15,2,3,0,4,1,14871,0,49,39,1
32,4,236122,15,4,5,3,4,1,-1,0,34,39,0
53,7,99252,9,2,5,0,4,1,1,0,31,39,0
44,4,147993,15,2,1,0,4,1,1,0,40,39,0
48,4,164614,7,2,7,0,2,1,1,0,40,39,1
46,0,169766,7,2,5,0,4,1,-1,0,19,39,0
35,4,106043,9,4,8,1,4,0,2,0,40,39,0
47,4,122314,15,5,8,4,4,0,1,0,48,39,0
19,0,47471,11,4,5,4,4,0,-2,0,26,39,0
49,4,354084,9,2,5,0,4,1,-1,0,40,39,1
30,4,119163,15,4,4,1,4,1,0,0,67,39,0
53,4,181478,15,2,8,0,4,1,2,0,40,39,0
34,4,99742,15,0,4,4,4,0,-2,0,50,39,0
33,4,95230,4,4,11,3,2,1,0,0,20,39,0
22,4,89232,0,4,8,3,3,1,1,0,40,39,0
23,4,96400,15,4,4,3,4,1,1,0,40,39,0
32,4,256764,11,0,8,3,2,1,0,0,40,39,0
61,4,184624,15,2,12,5,4,0,0,0,40,39,0
49,4,119796,1,0,13,1,4,1,0,0,36,39,0
47,4,102245,5,2,8,4,4,0,-1,0,50,39,0
35,4,343514,9,2,4,0,4,1,-2,0,40,39,0
33,4,120090,15,4,14,1,2,1,-1,0,60,39,0
34,6,66987,0,2,3,0,4,1,-2,0,40,39,0
42,4,138555,12,2,1,0,4,1,-3,0,64,39,0
43,4,149040,9,0,5,4,4,0,-1,0,48,39,0
42,4,125704,11,4,3,1,4,1,-4,0,40,39,0
