index,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
4920,3,97,2,4,0,0,5,1,4.47307192978824,43,3671
14042,3,427,2,4,0,5,0,1,7.392255158817513,19,3941
29710,3,337,2,4,0,0,3,1,5.196605607965852,8,10358
1510,2,1487,2,1,0,5,5,1,15.517291893383833,6,9972
26450,5,1474,2,4,0,5,3,1,9.80986013840693,0,19162
1266,5,1491,2,2,0,4,4,1,18.659741078442497,5,12899
6384,0,1137,2,4,0,3,5,1,11.331573250747216,32,5283
34382,3,95,2,5,0,4,1,1,9.09021551875814,39,4179
17686,4,1406,2,1,0,5,0,1,14.770229646876114,44,4843
33473,3,42,2,4,0,2,1,1,10.826824596467697,34,7384
31038,5,1559,2,4,0,5,3,1,8.874931723463202,17,5923
16542,5,1360,2,5,2,5,0,1,2.4505422372629195,26,3157
787,5,1472,2,2,0,5,5,1,4.9480072390946175,2,12290
24263,1,878,2,1,0,4,4,1,18.739424942009904,22,6074
815,1,710,2,1,0,0,5,1,28.467232629635046,19,8038
16747,4,1552,2,2,0,4,0,1,15.340919676252092,36,4854
23519,1,859,2,2,0,1,4,1,12.633083233395542,21,6216
10525,3,95,2,2,0,4,0,1,10.525976778102859,15,7761
2183,5,1442,2,0,0,5,5,1,10.06749868326191,20,2485
43266,3,63,5,1,2,4,2,1,2.538766857348945,14,6345
12586,5,1552,2,2,0,2,0,1,24.931780727586375,6,11177
1879,5,1386,2,1,0,4,5,1,24.23954077118951,5,11271
323,1,726,2,2,0,0,5,1,24.14549572923449,3,12270
20854,5,1516,2,5,0,2,4,1,14.027082088653362,17,12059
9132,2,1093,2,1,0,5,5,1,5.240098747516326,45,5462
27642,3,1211,2,2,0,5,4,1,5.3666144810716165,38,4080
12156,3,355,2,0,2,5,0,1,2.5640807457036976,16,8364
15830,2,1088,2,4,0,5,0,1,8.15006414328061,31,5678
30823,4,1419,2,4,0,5,3,1,14.56952916751194,2,10064
24672,2,922,2,1,1,2,4,1,10.876689390768885,31,7430
16086,5,1554,2,2,0,4,0,1,14.979107606044806,35,3318
47201,5,1460,2,4,0,4,5,1,24.233395162775984,21,5620
13602,5,1538,2,2,0,5,0,1,6.834297353627263,3,11611
3440,5,1523,2,2,0,5,5,1,5.926799046240816,20,9378
2566,5,861,2,2,0,0,5,1,16.981358256903516,22,7677
2844,5,1468,2,2,0,5,5,1,6.106238937684607,20,7434
18213,3,113,2,4,0,2,0,1,7.944285430260657,41,3923
38475,5,1551,2,1,0,2,1,1,23.366296170226555,20,8962
33449,0,1211,2,2,0,1,3,1,10.408472133264425,31,3698
25459,3,1085,2,2,0,4,4,1,13.054474751879214,31,3779
9483,2,1468,2,2,0,4,5,1,15.424137145888217,44,7521
48616,5,1495,5,1,0,0,2,1,8.005136895943446,31,5937
26128,2,929,2,4,0,4,4,1,5.878879223967133,40,5908
34397,5,1533,2,1,2,4,5,1,1.7671542768207948,40,4045
3159,1,759,2,2,0,4,5,1,16.30539204754615,18,9748
3217,0,1221,2,2,0,4,5,1,15.566195593493646,18,5994
24617,3,1543,2,0,0,2,4,1,8.574822410161886,41,6231
18454,3,1210,2,4,0,5,1,1,11.154293077684212,38,5370
39591,1,873,2,2,0,5,1,1,11.47960569071957,32,5749
5137,5,1472,2,2,0,0,5,1,6.416335115541765,25,9459
15228,4,1523,2,2,0,5,0,1,18.404300248860263,33,3821
31359,5,1559,2,4,0,5,3,1,7.6350561586517,28,5998
38684,2,969,2,3,0,0,1,1,4.835870463742146,25,4932
1271,1,772,2,4,0,4,5,1,24.090547044851558,5,6369
21761,2,1013,2,1,0,5,0,1,10.186994021234296,8,6746
22757,0,1210,2,4,1,0,4,1,6.219131770209614,18,2538
13471,2,1001,2,1,0,5,5,1,15.581032196838846,6,16342
14050,5,841,2,2,0,5,0,1,29.790341725019275,19,4292
17382,1,820,2,4,0,4,0,1,26.021905580956073,21,4865
28863,5,1546,2,2,0,2,4,1,22.418641894633787,4,14264
32640,5,1474,2,0,2,2,1,1,2.9475936597530756,28,2066
5509,2,1085,2,2,0,4,5,1,16.241951536127246,30,3707
25533,3,1221,2,3,0,4,4,1,6.264503978499806,29,3899
37945,1,812,2,2,0,5,3,1,26.260158625914944,19,5871
13055,1,812,2,1,0,2,0,1,11.256870692844075,18,4593
24733,5,1543,2,0,0,5,5,1,6.61862312092004,15,6987
30654,3,1137,2,1,0,2,3,1,8.50047580802962,24,4016
4412,3,77,2,1,2,1,5,1,2.389969543284629,19,4434
28403,0,1474,2,0,0,5,3,1,7.144048256050713,12,5966
4871,5,1546,2,2,2,5,5,1,2.395428510054711,21,4530
7716,1,704,2,1,0,4,5,1,23.729440386265416,45,5303
30474,5,1550,2,0,0,4,2,1,2.2784094021932093,16,9099
16806,1,859,2,2,0,4,0,1,15.521498966765098,46,4059
38189,5,1470,2,4,0,4,1,1,22.080041884619334,18,15551
30691,1,812,2,4,0,4,4,1,22.754392373998336,46,4797
25020,2,1013,2,4,0,0,4,1,6.352693646503979,34,3887
13832,2,1085,2,2,0,4,0,1,15.326527957351493,18,4250
5513,2,1389,2,5,2,5,5,1,2.2826339868246466,23,4165
25678,0,1213,2,1,1,2,4,1,7.142725459486893,42,2445
707,2,922,2,1,0,0,5,1,6.710871091677634,4,12883
16216,3,723,2,5,0,1,0,1,7.244414526839985,28,3616
30499,1,748,2,4,0,4,3,1,26.649462559483617,12,9563
25956,1,723,2,2,0,4,4,1,18.242248305132897,35,4858
48689,2,1502,5,4,0,5,2,1,9.046363114902702,27,7847
31620,1,812,2,1,0,2,3,1,11.155314923324779,24,4352
3112,1,791,2,2,2,4,5,1,2.282952665450812,20,5372
2799,3,245,2,4,0,0,5,1,8.58720069578264,4,13860
20118,3,204,2,5,0,1,0,1,10.202659048985769,43,3331
14715,2,1015,2,4,0,2,0,1,6.242579972722639,30,4056
27965,5,1431,2,2,1,2,4,1,22.015021821729878,46,7427
13944,1,1559,2,4,0,5,0,1,13.358841761108819,26,4538
18403,3,605,2,0,0,5,0,1,8.108420258042786,38,7568
24211,4,956,2,4,0,0,4,1,25.77496669650185,17,9380
11953,2,945,2,1,0,0,0,1,7.272597351111455,14,4683
4896,2,1085,2,2,0,4,5,1,13.046893728336505,16,5848
40416,2,1089,2,1,0,0,1,1,5.7806678645616865,36,3244
24974,2,1546,2,2,0,4,4,1,15.442992487949516,31,4449
10869,3,1211,2,2,0,3,0,1,7.847505277298815,7,8348
23236,1,798,2,0,0,4,4,1,18.7948946931984,19,4785
36845,5,1541,2,4,0,2,1,1,7.2962474404921105,8,11594
37718,5,1546,2,2,0,5,1,1,22.30434584038991,10,12849
