longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.91035474937588,37.81779837846108,33,2173,603,1263,478,3.2206720052149214,132687,1
-117.61677804593998,33.454105666171195,34,1822,381,1562,450,3.8291741472136613,200129,0
-122.01050416783123,37.847635400458294,27,5614,1294,3212,2252,3.1492720285431846,154691,3
-118.16424409748058,33.70963117316725,36,2616,607,1465,541,3.2429196282606374,130555,0
-119.30789813979902,34.25836564004295,30,980,396,1081,304,2.447889486432582,116707,0
-118.32614980737317,34.48657854783503,32,6643,1145,3865,1034,5.527501542492626,316271,0
-117.02183820249508,32.666254764230445,37,1413,318,654,198,2.5121450156947245,104392,4
-118.40150569479927,33.86389314244137,32,5057,1256,2283,1641,3.982306902496811,425346,0
-122.03872192655672,38.530128372788596,15,4435,1195,2357,895,2.9723024630489645,134832,1
-117.21547567385814,34.840404332538284,16,5991,1151,2835,1718,3.0034383216238245,233715,4
-121.95652426900065,37.151535521855266,35,1162,153,103,153,5.214774498185983,352267,0
-117.92909476554271,33.89478277904919,32,3002,718,3093,757,2.693311552838998,138184,0
-117.12451436003475,32.945798365911884,16,4853,862,2353,766,4.266345970327736,227724,4
-122.10814371035754,37.644702531919656,34,1511,190,655,248,5.843048088469187,376052,3
-118.36883734720166,33.710939207904566,27,2407,368,1084,416,5.387338183244592,320429,0
-118.11043207977833,34.06413698341464,33,3775,812,1442,783,4.180691658830521,445841,0
-117.87240634005077,34.22398002712646,29,7357,917,2587,1001,6.3233631958810035,303819,1
-121.21747258996722,37.7811957956923,15,2801,468,1585,543,2.8482230594403473,86587,1
-116.9574351390522,33.86955188356058,23,2727,548,1700,542,3.9598284337632537,126159,1
-122.1369454344615,37.835724029237724,34,1544,249,640,445,3.9792605908204455,285345,3
-122.2849248658945,37.51598762215751,32,1895,338,845,332,5.22779166167803,299662,4
-121.41697116410475,40.20025338952281,17,5732,1236,1972,995,3.3554066687032984,124455,1
-117.98441070437977,34.00132136865057,36,2534,304,854,387,6.1815606519768505,221905,0
-117.15743603524358,34.11190636810699,16,2904,653,1566,483,3.299889884022979,115790,1
-122.36207465531047,37.79429996308592,49,2201,418,971,497,2.9428480699444677,157853,3
-122.81626868133482,37.94036808587933,29,2767,401,1046,380,5.8239522966618225,345596,4
-122.44679290051589,37.896105278453376,52,671,264,154,198,3.4754750136536985,135332,3
-117.25931074063,32.84478310851902,42,1744,325,1200,384,4.4568105405578144,215385,4
-120.75353228697868,37.4113146310724,40,2955,474,1140,503,4.820120261670939,354806,4
-122.13341119196029,37.34648842485767,35,1791,371,513,319,7.871096016780891,456604,4
-119.82349492315092,37.40588147117717,19,2908,539,1145,448,3.5091375234131648,121338,1
-120.5362751685027,35.186120435367,23,4250,999,2480,937,3.5653197337081046,278736,0
-117.71547532418674,34.05431453323081,21,1369,282,919,333,2.6105111063241404,102305,1
-122.30513071687017,37.7383561719208,31,2809,508,1356,425,5.675254544102913,253002,0
-118.43334824598875,33.99009004398213,34,1529,121,748,203,5.406016763756406,242534,0
-121.3848097962298,40.35816282365053,16,3464,880,1640,731,3.257214783364242,121133,1
-121.99785903155737,37.68556734712025,16,6221,1482,3879,906,4.807572203638483,259266,0
-118.20165929958392,33.67127970063999,24,1176,358,894,258,1.4899037483926136,139230,4
-118.11373785504965,33.983439704611754,16,2255,400,1029,322,5.607404667009266,180309,0
-118.07761015676509,33.829271434792766,34,1649,433,1501,393,3.986438282940238,160069,0
-120.37088699052737,37.30732162272182,35,1175,318,750,304,3.3556868134311078,193936,0
-118.0242255448897,34.17785521711929,46,1601,380,863,423,3.1005563507953595,168405,0
-118.22806481653437,34.12096714413141,41,2406,323,816,372,4.885071482698732,268045,0
-122.44461106718605,38.562584664975425,43,1222,180,750,362,3.973778925448976,253713,4
-121.98363845896431,38.31119495213997,26,2086,411,1133,344,3.096880092329362,93269,1
-117.75144763617317,34.149446163905516,33,1388,198,997,271,5.080908763240397,211353,0
-117.08003310333062,32.5813521238561,20,1289,251,486,279,5.244444950878723,208058,4
-121.8936309271698,38.348894788957274,35,1297,381,892,274,2.8351335456083464,124289,1
-118.25158188333722,33.88894399139137,21,3976,874,2046,758,5.359299741717505,339585,0
-117.99058496338863,33.73230459833651,34,1517,371,1651,397,2.6125689054495496,215044,0
-118.17746901716518,34.128120657308074,20,3871,1089,1945,1159,2.767467262384713,236529,0
-118.46785064976328,34.18020520989621,36,2129,441,1043,378,4.056110890169622,129763,1
-121.03618105388097,39.84394491640055,14,2909,537,1451,463,3.4699324243862515,130927,1
-119.7136124905904,34.30003787622743,25,2636,389,1115,439,6.117720340932129,295490,4
-122.17897975701922,38.204098299385045,35,1747,264,1023,199,4.5858813521112864,171528,0
-118.09795766086802,33.83589604991676,32,2894,522,1461,559,5.090903511617851,349355,0
-121.16661866793143,37.659889468088274,32,1114,230,582,278,3.6228265889071922,105259,1
-118.51913622035258,34.20839528993406,34,1972,539,1559,470,3.9920410270164703,235435,0
-122.17945294639397,37.44554392210537,52,1089,265,523,300,3.3986983731420866,266701,3
-122.20770743806978,37.816071524344025,52,899,49,400,196,3.2627707944426954,193301,3
-119.76456305441206,36.62815174209639,21,2264,516,1399,490,2.7451601775681675,53929,1
-123.87393227985717,40.329269535957806,47,2004,471,1043,424,1.9079335825668657,95100,3
-119.2449559610705,36.59698941122883,10,2246,253,876,284,7.0126538723880865,218761,1
-119.95150859462358,37.08988756458765,35,3097,584,1702,671,3.0773795960185892,121734,1
-116.92562127742002,33.04031956956272,14,2213,444,1182,387,3.6179191133178525,149952,1
-117.56270328143273,34.873097941039546,23,2252,484,1100,360,3.3529604883393334,89024,1
-122.22232077033419,36.905846156806874,42,2459,664,1430,570,2.8524469819940017,228459,4
-118.21959480989983,34.008116069561744,35,1478,334,1099,306,2.8263372319600903,191737,0
-118.55829753441674,33.84281178090414,35,334,64,820,215,3.24177885654157,162887,0
-120.60905151999646,38.004000450615024,19,1530,256,582,353,4.372446824228892,143497,1
-122.16724576191949,37.883253175604125,52,4927,1094,2341,927,3.6365134968299864,168133,3
-118.16815336178131,34.29372464838653,34,1354,220,1127,344,3.369333200163335,104515,0
-118.95381509672421,34.55359158979967,19,3150,545,1670,660,3.7483788491439824,176102,0
-118.1053301195484,33.66212482941611,33,2077,494,1755,484,3.593509013906267,147380,0
-117.2318350186774,32.78178939581454,34,460,125,448,259,5.053033144298178,331392,4
-117.09841664043292,33.783725708197565,12,3557,418,1537,516,6.048731998495588,270718,4
-117.33800567432579,32.97843628857002,45,1115,175,263,265,3.3986131808313065,191698,4
-121.00508962820638,38.86736981406626,15,2818,725,1377,602,2.43833515603692,84389,1
-117.01867964840672,32.796232585392055,16,2298,376,969,419,5.379112668447773,268974,0
-118.10933461520257,33.75681909414598,36,1694,346,1079,328,4.594091079350267,144040,0
-120.88760948492634,35.05865401566626,44,2531,529,1347,578,3.902893514010736,248168,4
-117.94563739060507,34.0001142733551,26,3902,872,2856,834,2.549188896536378,127532,0
-118.37647885389252,34.196324134165174,38,2812,378,1875,661,5.507904189400381,486716,0
-118.24095284714898,33.95494545590696,36,2915,425,1191,362,5.911861529312146,294425,0
-121.80221876269154,37.37850474607958,24,6565,838,1875,658,6.463520592618586,326055,0
-118.13346095699663,33.86116718936038,29,3507,764,2067,744,3.0585391401628943,280425,0
-118.28224910162912,34.147062840882384,43,3105,832,1611,745,3.035513307454053,243820,0
-117.2484259082349,32.739314105255275,20,10936,1197,3056,973,5.317373428528379,266667,4
-118.44993758583794,34.228711190618526,33,3339,748,1532,751,4.103376970795696,350990,0
-121.09074121673898,38.28409953452237,18,1576,360,960,345,2.463034386679814,91244,1
-121.80878145037231,38.334964256048316,18,4184,613,2077,580,5.6610988664575785,197742,0
-121.46777970102177,37.78072876662961,17,1904,265,862,217,4.617901770492221,206940,1
-122.58244721955553,38.09543963883321,52,1569,316,756,266,2.9934871509689644,317137,3
-118.24871475991424,34.11388456827606,34,352,167,637,279,3.5472584594062626,285378,0
-117.9506109590936,33.91826091806132,16,1316,151,717,227,5.774247463193486,282241,0
-120.69106133264702,33.29016369360625,20,2183,362,786,271,4.97034451871589,154738,4
-119.87159950589175,36.610871245417115,34,-43,-15,430,173,3.303424869399986,97627,1
-121.53689725091971,37.16709380492917,25,1248,346,914,315,4.331059408605325,224606,0
-117.92344849423309,33.69236898332418,18,4483,948,2536,1022,3.345189983011157,187937,0
-118.34377217346365,33.951946408282296,35,2105,474,1420,441,3.240266875474289,168277,0
-121.06946954016276,37.78552047233385,22,2018,540,1355,525,2.7097057940688014,59956,1
-121.22693950066525,37.96145664800662,16,2107,312,1075,260,6.778808777908764,244889,1
-116.9564986871151,32.65308448802828,21,2250,407,918,358,4.217093009841954,283441,0
-118.44066364975806,33.763496888815936,38,3181,711,1052,535,5.386427409653756,508995,4
-122.26567076562466,37.47741627839484,17,5310,799,2685,895,4.599263609492728,183149,3
-119.19627123811537,34.137267781303706,43,1243,408,804,397,2.4271614511447064,128649,0
-117.20433265323128,32.64486431730718,17,1983,330,660,271,6.559151012811814,348551,4
-118.31202656667736,34.27339366286271,24,6621,1276,2601,1293,5.426014183443567,241073,0
-118.33919627663145,34.82152692660865,32,4275,948,2986,1048,3.917315783280013,194606,0
-116.18829254165972,34.05032862516131,12,2541,488,901,462,2.932537838438298,132159,1
-121.27292184682058,38.608162858435676,41,2078,512,1071,490,2.198642340947927,93117,1
-118.40996335927582,34.049143583811166,38,1176,282,562,216,2.8255646690869742,161964,0
-118.29118242275132,34.19066124850865,37,1262,280,809,310,4.141568838703517,165141,0
-118.001691809119,34.03767875670489,25,4833,1447,4523,1253,3.145385675424289,156172,0
-117.95430621598203,34.004347704121315,36,1703,383,1459,383,4.603301555182417,194542,0
-118.09833276549732,33.86505877574133,37,1670,360,1147,324,5.015970942687557,218957,0
-122.03520656930141,37.42688118613713,19,2492,365,1033,383,5.596412393041723,249872,0
-117.88781497430357,34.16039270309586,36,2514,573,2570,620,2.1375464197042704,181898,0
-118.15734895794019,33.57601721380292,24,1979,332,772,410,4.39842502465181,147875,0
-117.10851709615152,33.8466814042505,24,1332,242,682,198,2.9941840792367738,107724,1
-117.19874565619355,32.69202776791164,27,2733,829,1799,636,2.8471246004158965,78698,4
-117.47826357682193,34.288467847214726,15,1727,421,871,560,4.432146528842917,192773,0
-118.47031888043232,33.839862979055766,38,780,56,604,251,5.600985604977598,318118,0
-122.09795957882355,37.516905226209936,17,2830,553,1659,507,5.046759422116015,261834,0
-122.31846424949116,37.65184394433375,53,692,126,617,258,3.6525199772626173,184457,3
-123.03867645259791,37.22101074777749,19,2846,461,1381,472,4.2369608191359225,174228,0
-120.62298740134582,35.45606491737135,51,1509,337,725,273,2.0680241446779535,107191,1
-118.00198147716154,34.08310803782203,36,2145,580,1667,513,2.9484658561930273,99815,0
-120.41297197199037,37.85442533319279,12,4746,903,2772,776,4.0261912695571525,152640,1
-122.5513962698127,39.57083482167597,19,5164,1229,3015,973,2.5069227655374893,85699,0
-122.4095493511683,39.10098050972519,23,2730,437,930,476,4.410178455552453,179071,3
-120.83492128130942,37.655769013815686,31,2295,421,1120,399,3.059881086572562,83335,1
-117.93020157748676,34.51108460987863,37,3258,557,2718,546,3.7416611109993636,156085,0
-121.41120563491764,37.9373185802022,17,3289,732,2162,823,2.7510772048253367,111539,1
-122.19318646065163,37.70411504294811,22,1367,296,535,316,5.092293351336024,293644,3
-122.12535871936564,37.78403745821275,51,693,234,511,247,4.242341699329818,238454,3
-119.76034300291762,34.68601943913543,18,2270,395,972,394,5.522111169495904,367881,4
-118.28446097959142,34.60601851198916,27,729,256,935,347,2.425198965380287,106318,0
-118.03329779111942,34.094352996420795,33,1342,271,841,215,5.233794295545456,264840,0
-117.99766768687896,34.11733723307318,29,7526,1529,2645,1265,8.471942718782966,290415,0
-117.24287617180578,32.72099373041271,52,948,305,523,346,1.3085426682263308,148973,4
-121.80631781633721,37.8902420200451,52,386,142,267,283,2.231920522049972,207046,3
-118.15117766287074,33.77422129734604,26,1799,682,1662,633,1.2199160561286728,83194,4
-121.35393937769346,37.620970900231306,18,4003,1029,2565,1025,2.9497489273938577,121325,1
-122.38600372775085,40.87514782571433,18,982,290,697,352,2.452766702742754,55047,1
-117.85908815304043,33.944515697749274,39,1393,265,612,344,4.462311097570193,214140,0
-117.47941764156931,34.04610850909444,9,5310,921,2742,888,5.102507403002649,114452,1
-116.22943317709435,32.952979310241986,15,3717,917,1890,939,2.8620175664108314,97507,1
-123.28178027886797,39.212304619494255,16,2317,682,1387,684,2.857745599745733,100493,0
-119.23436767583601,34.504146385817236,50,671,147,664,239,3.882603334452222,165765,4
-118.42229035755301,34.117038380455206,23,2294,670,2107,669,3.1002048033986216,156623,0
-120.70711549257335,35.2414621681613,30,2488,403,996,492,3.3970231918827767,169535,4
-122.5517351466023,38.394715346812156,52,2350,350,1094,378,4.144311569908656,196268,3
-117.80312015234752,33.92548897602976,50,534,238,464,360,3.193042568918527,185109,0
-117.20837447210728,36.92378246089493,52,1573,244,509,189,6.233230848843865,320762,4
-122.50433807098273,38.541099504648386,15,2312,397,977,340,5.514639809118961,245162,1
-120.86223416664978,35.08040642512921,42,2183,387,1258,453,3.7543272966984205,254717,4
-119.90133700239053,36.57752453840344,13,2864,514,1116,347,3.019010303619429,85245,1
-117.81861308175178,34.1855318740591,16,2601,732,1855,590,2.126315562644419,144424,0
-121.80365348732025,37.233215629196124,32,2662,425,1109,353,7.607630261020724,455160,0
-120.58916918837402,37.095203767188934,31,985,175,418,170,5.507659871263475,272082,4
-116.97553894299746,32.79623459632173,17,1180,305,735,329,2.6988581321535983,91124,0
-118.59293903358778,34.39253170651743,24,2682,804,1818,791,3.0157820893916147,204981,0
-118.19187983653461,33.87446223425798,34,3410,855,2617,688,3.5648544863837053,174930,0
-117.29762709598141,32.682510933570455,34,2242,406,1020,418,4.055363134639043,318893,4
-118.19149429164169,33.99966725168027,34,3342,640,1530,554,6.734026631776801,294194,0
-120.47749448272178,38.083065712661764,36,2453,399,1170,365,3.4174531410152436,94010,1
-117.14766837932018,33.01311734816389,19,3309,471,1517,579,5.521234069402765,281710,4
-117.0583242762189,35.77733131125748,33,1904,389,1445,316,3.2625583910799594,134291,1
-118.33418340673445,33.686495948299786,19,10123,2433,1955,1788,4.234426520763807,391310,0
