date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
103,4,1.7497436819035215,1753,7348,1.0,0,0,3,7,1895,-2,1967,0,98006,47.5627283847489,-122.23576955204017,1840,25339,515452
227,4,2.2503662409482543,2391,8232,2.0,0,0,3,8,2123,575,1946,0,98115,47.68128798442411,-122.29817826089068,2419,8735,840085
45,3,2.499927529985881,1809,7455,1.0,0,0,3,8,2150,3,1993,0,98042,47.34398330787855,-122.03388005514604,2373,33572,318124
121,3,1.7487348657403006,1576,18755,2.0,0,0,3,7,1619,-1,1978,0,98019,47.46670727802461,-121.97892608493682,1369,12181,296527
55,3,1.9999593180032225,1357,6250,2.0,0,0,3,7,1396,0,1986,0,98133,47.77867215009587,-122.32664040346133,1514,6870,336554
135,2,0.9999179993849558,718,6088,1.0,0,0,3,6,952,0,1925,0,98115,47.70057601871007,-122.30376975530703,1231,5805,453329
56,3,1.7498242501675418,1852,7370,1.0,0,0,4,7,1020,666,1956,0,98056,47.5279315077445,-122.19131202471803,1597,9965,448876
71,4,2.24954539664536,2118,9313,2.0,0,0,4,8,2261,0,1981,0,98058,47.45474371091596,-122.20252146477347,2176,7923,347485
320,3,2.2493704747507506,2104,4569,1.0,0,0,3,7,1650,584,1979,0,98055,47.49243060293718,-122.3631435578575,1937,4851,290116
102,3,1.9997337663988048,1651,6373,2.0,0,0,3,7,1591,0,1994,0,98038,47.44415363514756,-122.01829172662565,1475,4370,251924
336,3,1.749783605740829,1253,9149,1.0,0,0,4,7,1252,1,1986,0,98010,47.36500868483068,-122.00689153351627,1470,8519,540517
59,4,1.7492585896533162,2133,7862,1.0,0,0,4,7,2051,-1,1959,0,98008,47.62541332206427,-122.14655893062609,2191,8267,520935
62,4,2.75042996379229,2574,37709,2.0,0,0,4,8,1874,901,1976,0,98042,47.40003060273922,-122.14895409357133,2224,14270,447206
296,3,1.5010011644076469,1065,5506,1.0,0,0,3,7,1040,0,1987,0,98055,47.485920976296875,-122.18582669045949,1460,3166,440039
363,3,1.9994111825233214,1445,6140,1.0,0,0,3,7,812,492,1996,0,98019,47.73675038612708,-122.09049298650815,1856,6202,443068
52,3,1.749479249994832,1634,7421,2.0,0,0,3,7,1475,-3,1994,0,98065,47.52065350356865,-121.8434100281498,1282,7605,336457
173,4,3.52218051800479,3348,5254,2.0,0,0,3,10,2835,731,1926,0,98115,47.69808198378201,-122.30451514057216,2791,8176,1773626
101,3,2.24909791751874,2073,5967,1.0,0,0,3,8,1538,629,1956,0,98105,47.65979598234936,-122.33810627640176,1933,6582,835794
104,4,2.9361528255927376,2285,3839,2.0,0,0,3,8,2281,-2,2009,0,98029,47.675726355736124,-121.87919243922916,2485,4651,632723
47,3,1.0008603059741956,1043,7765,1.0,0,0,4,7,1119,1,1959,0,98007,47.562004059774985,-122.12822761042023,1786,6899,479248
312,4,4.0183371681453135,4422,8824,2.0,0,2,3,11,3591,1081,2016,0,98116,47.568233702163305,-122.24723177014201,3229,9009,2026049
252,4,2.7499306853873087,2073,5303,2.0,0,0,3,7,2191,-1,1912,0,98199,47.64108203920516,-122.39286849567019,1486,5674,720760
90,4,2.499762794882425,2424,5651,1.0,0,0,4,8,1319,1190,1970,0,98006,47.56933186022174,-122.15159958021366,2101,8697,565116
308,3,1.74055477842321,1359,5716,1.0,0,0,3,7,1291,2,1952,0,98115,47.69840527964442,-122.34754825402622,2238,8058,712982
132,3,2.499630576304999,2316,34642,2.0,0,0,4,8,2317,0,1966,0,98010,47.33508499727104,-122.20533954224545,1953,17560,395429
23,4,1.7501881043857066,2134,7833,1.0,0,0,4,8,1799,0,1948,0,98008,47.64146758816004,-122.1369985902617,2256,7913,676257
7,3,1.7489949288665512,1626,8597,1.0,0,0,3,7,1473,-1,1984,0,98034,47.70543172408181,-122.19228966932648,1537,5834,548728
33,3,1.0088199034556549,1598,5012,1.5,0,0,3,8,1613,0,1917,0,98119,47.66919183879968,-122.38342688963691,2151,3162,895220
52,4,2.499967793135686,3002,9228,2.0,0,0,3,9,2753,3,1983,0,98166,47.46690656605159,-122.35935719329629,2482,11610,404489
62,3,1.7494947705363193,1762,6238,1.0,0,0,3,7,1255,775,1969,0,98001,47.36179924118986,-122.33366664995364,1440,7012,232707
177,3,2.741899625824118,2974,6258,2.0,0,0,3,9,2358,164,2003,0,98004,47.580336063792906,-122.19482460515451,2288,4938,972972
61,3,1.001525600704032,1330,6126,1.0,0,0,3,7,1350,1,1952,0,98108,47.54484972919163,-122.2977279517571,1341,6006,424132
341,4,2.4999631172462364,4705,15197,2.0,0,0,3,10,3437,-2,1997,0,98059,47.481309235479344,-122.15792060180516,5104,11379,1274749
53,4,2.8890515199551516,2194,4971,1.0,0,0,3,8,1454,676,1954,0,98115,47.69703584183164,-122.31164580209858,2126,10359,844868
79,4,2.7482643210361477,2547,6827,2.0,0,0,3,8,1980,1,1985,0,98074,47.64915483815751,-121.90495304767259,2477,7505,691066
59,3,2.5004751126086457,1983,5959,2.0,0,0,3,8,1901,389,2007,0,98074,47.63290292578147,-121.91701593805195,2285,9186,498942
69,4,2.500213412487259,2501,3455,2.0,0,0,3,8,1962,442,2000,0,98056,47.53407678811272,-122.19744432913413,2159,2723,484049
142,4,3.48090985921823,2474,1799,2.0,0,0,3,9,2664,223,1993,0,98115,47.55956802931086,-122.31934276755821,2423,4352,1176222
