ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
4286,36,9,88,94602,4,2.46963960842139,3,0,1,0,0,1,0
283,41,16,51,94271,1,1.9205672594899112,3,-1,0,0,0,1,0
1860,53,26,173,90101,1,6.4308864978799525,1,0,0,0,0,1,0
620,45,13,35,94343,4,0.8930357781760758,3,-1,0,0,0,1,0
4743,35,11,39,94474,3,0.9121047823927211,2,-2,0,0,0,0,0
4509,52,26,178,89980,2,7.147356811073652,1,-1,0,0,0,1,0
4685,32,8,69,94866,3,2.4200527886505623,1,0,0,0,0,1,0
190,42,10,89,94108,4,2.2665780682009,1,-1,0,0,0,1,0
3925,32,6,106,94850,4,5.132807872803201,2,1,1,0,0,1,0
4688,51,21,168,90107,2,5.020311236514543,1,0,0,0,0,1,0
4948,39,20,21,94903,4,0.27154899687542633,2,0,0,0,0,1,0
4592,40,13,45,94059,1,1.665986203173661,1,-2,0,0,0,1,0
4416,33,8,32,94273,1,0.389227688820038,2,-2,0,0,0,1,0
696,44,20,85,95001,3,2.2225890132005817,1,-1,0,0,0,1,0
128,56,27,65,94536,3,0.472000319982528,1,0,0,0,0,1,0
259,43,18,112,94825,3,3.1850417434759284,1,0,1,0,0,1,0
449,50,18,78,94887,2,2.409746605372349,1,-1,0,0,0,1,0
4390,49,27,31,95989,1,0.16007183103204123,3,-1,0,0,0,1,0
204,39,8,38,94823,2,1.3142658289287743,2,1,0,0,0,1,0
2680,30,10,51,95065,2,0.9236360561208662,2,-1,0,0,0,1,0
223,54,25,117,94338,1,3.9188347125877576,1,0,0,0,0,1,0
199,43,16,34,94815,4,0.6065029117451393,2,1,0,0,0,1,0
450,51,31,53,94999,4,1.90334596710629,2,0,0,0,0,1,0
1325,57,29,50,92882,1,1.0959949317089541,3,-2,0,0,0,1,0
3859,41,16,56,94445,3,1.1792944089528943,3,0,0,0,0,1,0
125,54,31,79,89965,3,2.3041425087153105,3,-1,0,0,0,1,0
3550,46,22,23,94762,3,0.46474767057309235,1,0,0,0,0,1,0
443,50,24,137,92761,4,4.148534068342818,3,1,1,0,0,1,0
4985,52,27,127,92158,1,2.5266495591085345,1,2,0,0,0,1,0
114,59,39,153,90052,4,5.011919942720121,2,0,1,0,0,1,0
4792,35,3,49,94996,2,0.36075578582510004,3,-1,0,0,0,1,0
323,50,25,95,94360,4,2.863488599422562,3,1,1,0,0,1,0
178,38,14,40,94960,4,0.6323982390678753,2,1,0,0,0,1,0
417,57,29,52,95160,3,0.3112205312982322,1,0,0,0,0,1,0
265,43,17,33,94326,2,0.27522129103586623,2,1,0,0,0,0,0
4663,49,30,130,90211,2,3.7478479556691866,1,0,0,0,0,1,0
2954,59,35,38,95133,2,0.8576384250877149,3,1,0,0,0,1,0
4962,27,0,83,94978,1,2.1546557838980243,1,0,0,0,0,1,0
