age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
30.0,4,335808.8,9,2,3,1,4,1,0.0,0.0,40.0,39.0,0
40.0,4,124183.75,11,4,1,1,4,0,0.0,0.0,40.0,39.0,0
43.0,4,265490.5,15,2,4,0,4,1,0.0,4355.8203125,40.0,39.0,1
25.0,4,74566.39,1,4,12,3,4,0,0.0,0.0,40.0,39.0,0
38.0,4,46117.1,9,4,12,1,4,1,0.0,0.0,40.0,39.0,0
52.0,4,160740.22,11,2,10,1,4,1,0.0,0.0,40.0,39.0,0
20.0,4,131585.05,11,4,3,1,4,1,0.0,0.0,40.0,39.0,0
24.0,4,81658.86,15,4,3,1,4,1,0.0,0.0,40.0,39.0,0
21.0,4,317529.2,11,2,3,0,4,1,0.0,0.0,40.0,39.0,0
24.0,4,182475.9,11,4,8,3,4,0,0.0,0.0,40.0,39.0,0
75.00432,4,34912.23,15,2,4,0,4,1,0.0,0.0,40.0,39.0,1
26.0,4,114732.125,14,2,10,1,4,1,99999.0,0.0,40.0,39.0,1
48.0,4,32908.61,9,2,10,0,4,1,0.0,0.0,40.0,39.0,1
55.0,4,134925.56,11,2,8,1,4,0,0.0,0.0,40.0,39.0,0
51.0,4,157995.92,9,2,12,1,4,1,0.0,0.0,40.0,39.0,0
46.0,4,197413.28,11,2,4,0,4,1,0.0,0.0,40.0,39.0,0
23.0,0,55757.855,11,4,1,3,4,0,0.0,0.0,40.0,39.0,0
65.0,4,104860.516,11,2,10,0,4,1,0.0,0.0,40.0,39.0,1
17.0,4,445533.12,11,4,0,3,4,1,0.0,0.0,40.0,39.0,0
43.0,4,91920.67,11,2,10,1,4,1,0.0,0.0,40.0,39.0,0
26.0,4,142672.38,15,4,1,1,4,0,0.0,0.0,40.0,39.0,0
54.0,4,116837.09,15,2,10,1,4,1,0.0,0.0,35.0,39.0,0
43.0,4,175892.88,11,2,3,1,4,1,0.0,0.0,40.0,39.0,0
30.0,4,179556.0,15,2,4,0,4,1,0.0,0.0,40.0,39.0,1
19.0,4,127770.26,15,2,3,0,4,1,0.0,0.0,40.0,39.0,0
70.28973,4,35819.953,9,2,10,0,4,1,0.0,0.0,40.0,39.0,0
17.0,4,112218.3,11,4,8,3,4,1,0.0,0.0,40.0,39.0,0
25.0,4,327439.53,11,4,0,3,2,0,0.0,0.0,40.0,39.0,0
52.55162,4,168736.48,11,2,4,0,4,1,0.0,0.0,50.0,39.0,0
