class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,142.08078,220.80128,102.500084,362.64337,29.949484
0,109.03275,229.86229,106.27521,641.7876,15.8177595
0,121.76628,199.07385,87.35274,313.14133,11.931063
0,119.33112,185.35712,77.93092,257.70755,28.935905
0,124.8737,234.96584,112.61006,643.9279,19.923796
0,127.240234,213.29192,95.36545,590.4534,17.316748
0,117.41825,320.9378,154.13239,691.672,22.934105
0,116.82884,195.10568,83.29903,469.02753,19.928629
0,130.77469,204.2853,89.39202,486.9933,27.54693
0,122.55333,228.75468,107.33814,613.8115,31.412138
0,130.98032,220.80214,105.896355,410.00046,17.000835
0,156.95673,233.19057,107.992935,682.5142,21.800669
0,127.36181,262.92923,126.28007,622.71295,23.90668
0,122.17415,226.98312,107.60392,573.1357,18.426914
0,116.20683,224.00374,103.45101,706.2001,26.36055
0,134.16768,216.67824,100.02746,511.37024,31.809418
0,126.52818,199.2838,89.04994,385.31808,30.817377
0,126.62727,205.74426,90.32161,631.5822,17.750366
0,133.20251,206.56573,91.403305,381.44992,16.970469
0,112.46125,227.19049,108.32643,555.42303,29.261307
0,135.5021,226.35345,100.44025,606.95123,32.98251
0,141.22366,216.8258,98.29149,567.26227,23.220015
0,130.24915,256.46152,121.232414,797.15515,22.759853
0,120.64683,266.55414,127.98418,700.17535,7.2511854
0,127.076355,230.1727,118.843025,313.97897,20.022066
0,112.89526,306.65387,207.81593,474.30954,30.591791
0,112.22867,263.13257,129.35768,788.6906,18.450222
0,141.60724,212.32857,95.46172,545.50134,27.147606
0,133.49783,197.58717,84.61173,535.20984,30.495338
0,119.018745,231.70245,111.90572,507.56482,26.47632
0,105.31531,176.07278,76.72658,284.08914,15.914401
0,111.382866,222.24011,100.120834,713.2653,16.557112
0,136.6254,237.94328,112.22866,619.6205,22.347092
0,136.69008,271.70563,149.69739,607.3721,48.93351
0,134.98676,237.28122,138.6309,347.66833,17.771067
0,123.34868,201.10057,89.67276,437.33603,21.779144
0,119.875114,206.616,93.40757,435.6879,30.575752
0,113.17513,226.1625,102.99927,638.7709,25.854832
0,126.45105,236.17615,115.522385,720.6365,67.140724
0,118.095566,237.57211,106.66907,823.812,32.765682
0,148.37325,220.97229,99.8255,668.66327,29.772081
0,103.7213,229.15175,106.22368,653.4736,31.723494
0,118.0097,224.03827,101.57202,762.1242,30.666655
0,136.4479,191.78001,85.00897,323.7643,13.506516
0,103.74723,243.41078,113.61937,758.6347,22.85655
0,129.82864,224.95543,107.58902,472.45728,28.92846
0,134.81627,245.48459,112.77528,691.9146,28.761806
0,138.9074,229.65034,104.111946,622.91174,27.590513
0,57.252403,257.0504,135.98769,737.8975,18.792791
0,110.409996,238.08905,113.34719,693.4062,20.605196
0,124.334076,206.46971,92.60719,413.68817,10.229263
0,126.11618,221.61993,101.1241,706.9505,48.191887
0,147.16788,234.56061,103.44843,736.90857,22.731764
0,128.08096,216.1889,99.991615,481.87,29.555243
0,91.24731,243.57114,110.60841,732.11414,23.703358
0,125.8565,206.2673,89.96061,357.39328,19.640022
0,128.2604,232.98631,107.882866,803.3718,31.492369
0,131.79979,259.28986,132.18565,613.9731,19.302267
0,145.4088,223.91489,100.840904,634.0249,16.399681
0,116.08397,222.5575,100.01714,555.5831,28.541784
0,137.71709,212.21594,95.49006,469.53937,29.342007
0,131.95522,224.56828,104.49713,438.42316,25.710928
0,111.7785,281.28452,211.19487,428.15533,129.45967
0,114.46927,224.19048,100.20438,583.7766,30.811264
0,133.76472,209.65193,94.75551,400.16,27.837667
0,154.59224,228.5762,103.64422,681.13873,7.864392
0,127.65092,192.54639,86.26887,355.85513,18.7029
0,131.5803,251.12376,116.68613,835.5662,16.684608
0,133.31578,221.6744,101.9894,818.01886,42.664635
0,129.7488,198.7999,88.8631,363.6303,26.601852
0,109.21754,230.10704,109.8911,649.4193,22.254156
0,130.70816,215.18542,99.11886,444.89554,13.132771
0,136.12201,206.97466,92.49768,432.43036,17.184958
0,124.52212,265.8333,140.18552,591.4481,14.789609
0,131.70839,212.95529,95.874886,621.58856,14.006932
0,120.77944,225.58826,101.86713,498.94263,34.53708
0,123.74575,221.90091,104.56401,446.3018,20.663536
0,142.9493,244.01057,121.11077,521.02997,39.001076
0,112.008644,199.51201,83.26453,427.63647,21.415941
0,120.67778,252.69131,122.79531,676.86127,14.586554
0,103.333755,238.26025,109.39629,722.0482,24.191055
0,124.95154,198.02193,87.33627,393.19476,27.981356
0,131.1486,258.67282,130.83644,624.3814,38.659054
0,106.280754,242.12692,110.21542,881.4104,15.409117
0,127.53804,207.8809,89.447235,548.47656,9.214496
0,117.8008,224.73225,111.982574,337.3003,21.871183
0,110.637535,230.6934,103.15915,644.07684,25.459526
0,158.39449,225.9691,102.389595,523.74194,20.225897
0,133.88464,219.84534,100.4712,461.4418,29.118101
0,137.27425,211.76607,94.64929,583.0584,28.736313
0,140.89206,218.13982,97.347206,560.63434,26.517733
0,121.715126,216.61075,99.222755,527.32153,29.548923
0,143.5716,172.10004,67.334335,236.73494,22.788296
0,137.00319,216.06204,96.43585,475.72363,18.923485
0,150.71684,246.03207,114.4046,782.0253,18.744982
0,132.75822,211.43837,94.11596,601.74475,38.849247
0,109.88723,243.2029,116.832855,601.8383,24.972637
0,133.14684,229.21202,102.781,733.949,17.02493
0,127.13878,194.68176,82.414276,464.90637,17.486769
0,128.53262,214.9973,94.4332,770.1467,39.684975
0,128.14473,216.13695,96.35242,790.92084,27.034164
0,117.833786,222.65407,102.482704,507.97296,17.597298
0,138.52881,202.24345,92.01788,340.8242,21.048828
0,125.17148,198.0769,89.6929,307.05035,19.69888
0,131.41931,227.1029,109.86909,476.82776,12.981355
0,111.44291,404.0003,291.52927,381.57175,24.208147
0,133.31725,306.05505,187.40405,502.58395,24.644459
0,122.14572,218.49834,98.344864,549.4931,30.353954
0,119.9087,257.8162,145.64555,534.1408,34.254517
0,124.28498,185.6972,79.94057,247.68814,18.721298
0,135.5489,207.51889,91.85033,556.5097,38.929462
0,142.8067,186.64386,77.81122,407.51584,16.966976
0,111.54457,212.8799,92.04591,616.89874,18.339363
0,132.97107,196.11382,85.7322,627.37683,31.465668
0,132.95883,220.82228,113.97801,373.8498,13.115013
0,119.228424,352.23178,185.23466,839.4334,6.183335
