age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
34,0,87128,11,4,0,4,3,0,0,0,45,39,0
28,0,180822,11,0,8,1,4,0,0,0,40,39,0
25,4,373255,11,0,13,2,4,0,0,0,59,39,0
30,0,89507,6,4,7,3,2,0,0,0,8,39,0
61,7,161594,12,2,4,0,4,1,0,0,40,0,1
27,4,23794,5,2,8,1,4,1,0,0,40,24,0
31,6,418711,15,4,7,4,4,0,0,0,50,39,0
31,4,208560,8,6,0,4,2,0,0,0,31,26,0
43,6,208329,11,0,3,4,4,1,0,0,21,39,0
36,4,375067,9,4,12,3,4,0,0,0,40,39,0
45,4,342129,11,4,4,1,3,1,0,0,40,26,0
46,4,494573,11,2,4,4,4,1,0,0,40,39,1
24,4,37251,15,4,10,3,4,0,0,0,20,39,0
20,4,202177,15,4,10,3,4,1,0,0,36,39,0
21,2,100923,15,4,10,3,4,1,0,0,36,39,0
29,0,241974,11,4,4,1,4,1,4027,0,20,39,0
27,4,191708,11,0,3,1,4,1,4707,0,23,39,0
47,4,346190,9,2,4,0,4,1,0,0,40,39,1
39,4,150226,11,0,8,1,3,1,0,0,40,25,0
20,4,135508,11,4,1,4,4,1,0,0,58,39,0
33,6,96140,11,1,0,4,4,0,0,0,40,39,0
26,0,135217,6,4,6,1,4,0,0,0,30,39,0
23,4,101813,2,6,4,1,4,1,0,0,35,39,0
34,4,317201,11,4,9,3,4,0,0,0,40,39,0
28,4,183656,15,4,0,1,4,1,0,0,34,39,0
55,1,364950,5,2,4,0,1,1,0,0,40,39,0
21,4,292785,15,0,10,1,4,1,0,0,40,39,1
34,2,96976,15,4,11,3,2,0,0,0,40,39,0
55,3,149830,11,2,14,0,4,1,0,0,40,39,0
18,4,115115,9,4,10,1,4,1,0,0,41,39,0
39,4,28801,2,2,10,0,4,1,0,0,40,21,1
58,4,209421,6,2,6,0,4,1,0,0,57,39,1
51,7,238673,11,4,0,0,4,1,0,0,40,39,0
57,4,143242,11,2,10,0,4,1,0,0,40,39,1
26,7,239799,11,3,14,0,4,1,0,1696,40,39,0
26,4,129789,11,4,6,1,4,1,0,0,40,39,0
34,2,111764,12,2,13,0,4,1,0,0,40,39,0
24,2,113929,15,4,1,3,4,0,0,0,35,39,0
63,4,113572,4,2,10,0,1,1,0,0,40,3,1
46,4,241109,11,2,10,0,4,1,0,0,86,39,0
37,7,433822,4,2,10,0,4,1,0,0,40,39,1
52,5,286415,10,2,3,0,4,1,0,0,40,39,0
46,6,211174,14,6,4,1,4,0,15998,0,50,39,1
34,7,217055,11,2,10,2,4,0,0,0,50,39,0
19,4,199927,9,6,8,1,4,1,0,0,40,39,0
36,4,167439,9,2,10,0,4,1,8206,0,40,39,1
25,4,131707,15,4,12,3,4,0,0,2715,35,39,0
51,4,312060,11,0,7,5,2,0,0,0,40,39,0
40,6,182651,11,0,7,3,4,0,0,1986,6,39,0
23,0,388154,11,2,14,0,4,1,0,0,40,39,0
51,4,295391,10,0,8,3,0,0,0,1888,40,8,0
26,4,42324,12,2,10,5,4,0,0,0,51,39,0
23,4,136258,9,6,10,4,4,0,0,0,50,39,1
45,4,250434,11,2,6,0,4,1,0,0,40,39,0
29,4,412756,15,0,7,3,4,1,0,0,45,39,0
40,4,165907,9,4,1,3,4,0,0,0,21,39,0
22,4,96243,15,4,1,3,4,1,0,1883,50,19,0
52,4,44156,15,2,4,0,4,1,0,1889,40,39,1
20,4,217334,8,4,12,1,4,0,0,0,31,39,0
25,4,283087,9,4,4,1,4,1,805,1995,50,39,0
57,4,162245,12,2,14,0,4,1,0,0,40,39,0
22,4,170144,11,2,8,0,4,1,0,0,40,39,0
