age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
39,4,355512,9,2,14,0,4,1,18,1,46,11,1
48,4,159308,11,4,1,1,4,0,-9,0,35,39,0
16,4,215797,1,4,8,3,2,0,1,0,23,39,0
59,4,445607,6,2,3,0,4,1,-14,0,75,4,1
52,1,26266,15,0,1,1,4,0,-17,0,20,39,0
32,4,132582,9,0,4,1,4,0,13,2018,40,39,0
38,4,239457,7,2,3,0,4,1,22,0,48,39,1
52,5,332183,14,2,10,0,4,1,102915,1819,40,39,1
33,5,179067,11,4,5,1,4,1,-4,0,49,39,0
20,4,195948,11,4,6,3,4,0,-4,0,40,39,0
18,4,137918,15,4,8,2,4,1,-10,-1,40,8,0
34,4,149396,11,2,8,0,1,1,2,-1,60,40,0
20,0,151205,15,4,0,3,4,0,-11,0,6,39,0
32,7,211235,9,4,8,1,4,1,3,0,40,11,0
20,0,96254,1,4,0,3,4,1,-16,-1,40,39,0
29,4,589354,9,2,10,0,4,1,16,0,86,39,1
26,7,82726,9,4,13,1,4,1,4,0,40,0,0
38,6,39196,11,2,14,0,4,1,11,1841,60,39,0
24,4,263909,15,4,1,2,1,1,10,0,49,0,0
38,2,209709,15,2,13,0,4,1,2,0,51,39,1
53,4,121258,11,2,3,0,4,1,-4,0,40,39,1
38,4,237631,8,2,10,0,4,1,3,0,51,39,0
60,4,102554,1,4,8,3,2,1,-6,0,18,39,0
29,4,228159,9,4,12,1,1,1,15,0,81,24,1
24,4,267961,7,4,8,2,4,1,1,0,23,22,0
31,4,214553,7,2,12,0,4,1,16,0,46,39,0
28,4,223490,14,4,10,1,4,1,5,0,35,26,0
30,7,20077,15,0,8,1,4,0,-5,0,40,39,0
19,4,44274,1,4,6,3,4,0,-5,0,22,39,0
32,4,192563,7,3,12,4,1,1,-14,0,40,19,0
31,4,201316,7,4,12,1,4,0,7,-1,50,0,0
32,4,99754,14,2,10,0,1,1,4,0,21,36,1
26,4,257766,7,4,6,1,4,1,8,0,40,39,0
47,4,243605,11,0,12,1,4,0,2,0,32,39,0
23,0,207303,15,2,0,0,4,1,-15,0,40,39,0
22,1,28837,11,4,1,1,4,0,-1,0,53,39,0
39,4,162712,8,4,3,1,4,1,5,0,40,20,0
42,4,61063,15,2,1,0,4,1,9,0,40,39,1
43,4,326860,7,2,10,0,1,1,13,0,77,1,1
36,4,93732,7,2,3,0,4,1,6,0,40,39,0
28,6,69652,9,2,10,2,4,0,-9,0,17,39,0
32,4,191001,15,4,1,4,4,0,4,0,49,39,0
48,4,233507,15,0,4,1,2,0,9,0,40,39,0
35,4,37513,8,5,14,4,4,1,2,0,40,39,0
60,1,391375,11,2,14,0,2,1,-7,0,40,14,1
58,0,43105,15,6,0,4,4,0,4220,0,6,39,0
25,4,273750,4,5,12,1,4,1,-6,0,40,26,0
46,2,212737,12,2,10,0,4,1,11,0,40,2,1
36,4,192332,9,2,12,0,4,1,5,0,23,21,1
48,4,91711,8,4,8,1,4,0,17,0,40,38,0
35,5,305245,9,2,12,0,4,1,20,1847,59,10,1
30,7,234918,12,2,1,5,4,0,6,0,40,39,1
33,6,102482,9,2,12,0,4,1,14,0,80,39,1
51,4,203006,9,0,10,1,4,1,2,0,40,39,1
35,4,179237,7,2,12,0,1,1,-14,0,40,36,0
26,7,34778,9,4,10,1,4,1,-7,0,40,39,0
34,2,230588,9,2,10,0,4,1,8,0,40,39,1
41,6,55448,10,2,10,0,4,0,13,0,51,39,1
30,2,949840,1,2,3,0,2,1,-9,0,40,39,0
38,4,378402,15,0,3,1,2,1,2,0,40,39,0
37,6,59798,11,2,3,0,4,1,2,0,40,39,0
49,6,219011,11,2,3,0,4,1,2,0,40,39,0
26,4,184303,11,4,12,1,4,0,-1,0,25,39,0
25,4,31434,15,4,1,1,4,0,-3,0,40,39,0
37,6,186001,11,2,8,0,4,1,-1,0,50,5,0
24,7,439503,9,4,10,3,4,1,0,0,40,39,0
25,5,199020,15,2,12,0,4,1,-8,0,47,39,0
33,1,330673,9,0,13,4,4,1,23,0,40,39,0
45,4,167135,15,4,10,2,4,0,-4,0,34,23,0
45,1,35383,15,4,1,1,4,0,-6,2136,40,39,1
45,4,219077,11,3,6,4,4,1,-7,0,40,26,0
18,4,124898,1,4,8,3,4,1,-1,0,50,39,0
36,4,210815,15,2,4,5,4,0,18,0,54,39,1
66,0,196648,2,2,0,0,4,1,-17,0,3,2,0
44,4,43140,4,5,4,2,4,0,2,0,40,5,0
16,4,82647,2,4,3,3,0,1,5,0,40,39,0
41,2,286445,12,4,1,1,4,0,-2,0,40,39,0
42,6,351784,11,2,5,0,4,1,10,0,35,39,0
32,4,32699,9,2,10,0,4,0,13,0,67,39,0
32,4,295549,8,4,14,3,4,0,13,0,50,39,0
39,6,189257,11,2,12,5,4,0,6,0,40,0,0
33,4,200928,9,2,10,0,4,0,12,0,40,39,1
20,4,95574,15,4,12,3,3,0,8,0,40,0,0
35,4,274290,11,5,12,2,0,1,1,0,60,39,0
41,6,328354,10,2,10,0,1,1,23,1827,60,5,1
50,1,180852,9,0,4,1,2,0,-10,0,40,39,0
32,4,134284,12,2,14,0,4,1,12,0,79,39,1
32,4,290910,9,2,14,0,4,1,5,0,40,39,1
20,0,48616,1,4,0,1,4,1,-14,0,16,39,0
29,4,127826,7,4,6,1,4,1,1,0,54,39,0
25,4,214815,5,3,3,4,4,1,2,0,40,26,0
32,4,172055,7,4,1,3,4,1,-7,0,40,39,0
51,4,265482,7,4,6,1,4,1,1,0,40,22,0
34,4,371073,15,2,12,0,4,1,7,0,60,26,1
53,4,149307,15,4,4,1,4,0,7,0,36,39,0
22,4,192434,6,4,12,1,3,0,-6,0,34,7,0
37,6,409326,11,2,3,0,2,1,13,0,80,39,0
54,1,143377,9,2,10,1,4,1,6,0,40,22,1
43,2,180318,12,2,10,5,4,0,1,0,40,39,0
65,4,158487,1,6,8,1,4,0,-18,0,40,39,0
49,4,155996,15,4,1,1,2,0,-8,0,40,39,0
17,4,236160,4,4,7,3,4,1,-2,0,50,26,0
26,4,33264,8,2,5,0,4,1,-1,0,67,26,0
28,4,239174,7,4,3,1,4,1,-3,0,40,26,0
