age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
32.0,2.0,177792.0,9.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
17.0,0.0,342752.0,0.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,30.0,39.0,0.0
44.0,4.0,157237.0,15.0,2.0,12.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
37.0,4.0,132879.0,11.0,2.0,3.0,0.0,4.0,1.0,5178.0,0.0,40.0,39.0,1.0
28.0,4.0,104024.0,9.0,4.0,14.0,4.0,4.0,1.0,0.0,0.0,20.0,39.0,0.0
18.0,4.0,126021.0,1.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,10.0,39.0,0.0
27.0,4.0,187746.0,11.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
38.0,2.0,372525.0,12.0,4.0,10.0,1.0,4.0,0.0,0.0,0.0,60.0,39.0,1.0
34.0,4.0,120461.0,15.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
45.0,4.0,215616.0,11.0,4.0,4.0,1.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
26.0,4.0,91683.0,15.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
30.0,4.0,178841.0,9.0,2.0,4.0,0.0,4.0,1.0,7688.0,0.0,40.0,11.0,1.0
19.0,0.0,47713.0,15.0,4.0,0.0,3.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
34.0,6.0,177426.0,6.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
42.0,4.0,122048.0,15.0,2.0,1.0,5.0,4.0,0.0,0.0,0.0,35.0,39.0,0.0
45.0,4.0,190044.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
65.0,0.0,262402.0,1.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
46.0,4.0,123598.0,9.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,45.0,39.0,1.0
34.0,4.0,98101.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,45.0,39.0,1.0
37.0,4.0,169469.0,11.0,2.0,3.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
51.0,4.0,27166.0,11.0,2.0,8.0,0.0,4.0,1.0,0.0,0.0,40.0,5.0,0.0
19.0,4.0,139517.0,15.0,4.0,7.0,3.0,4.0,1.0,0.0,0.0,30.0,39.0,0.0
18.0,4.0,170194.0,15.0,4.0,8.0,3.0,4.0,0.0,0.0,0.0,25.0,39.0,0.0
56.0,4.0,250873.0,5.0,2.0,14.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
50.0,4.0,154548.0,9.0,2.0,10.0,0.0,4.0,1.0,0.0,0.0,40.0,39.0,1.0
23.0,4.0,66432.0,11.0,4.0,7.0,3.0,2.0,1.0,0.0,0.0,40.0,39.0,0.0
47.0,6.0,162572.0,15.0,3.0,3.0,1.0,4.0,1.0,0.0,0.0,40.0,39.0,0.0
32.0,4.0,92531.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,0.0,50.0,39.0,1.0
27.0,0.0,29261.0,9.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,35.0,39.0,0.0
43.0,4.0,373213.0,11.0,2.0,7.0,0.0,4.0,1.0,0.0,0.0,40.0,26.0,0.0
32.0,4.0,111483.0,12.0,2.0,4.0,0.0,4.0,1.0,0.0,1902.0,50.0,39.0,1.0
55.0,4.0,177905.0,11.0,0.0,7.0,1.0,4.0,0.0,0.0,0.0,48.0,39.0,0.0
19.0,4.0,163494.0,11.0,4.0,7.0,2.0,4.0,0.0,0.0,0.0,40.0,39.0,0.0
