class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0.0,136.4859518,208.015873,96.65934066,558.9016393,26.9429
0.0,127.753155,234.2857143,107.4642857,575.1428571,19.95374
0.0,137.8494152,197.625,86.44186047,559.4313793,24.58958
0.0,149.5446429,237.0,119.0,708.0,14.03853
0.0,153.75,228.0,109.0,757.0,18.05575
0.0,98.9453125,233.75,104.375,665.625,23.02848
0.0,142.5104167,201.5555556,91.44444444,491.8888889,7.01656
0.0,144.984375,221.3333333,104.6666667,516.0,20.60136
0.0,127.9463087,226.7510176,99.51545455,614.6315789,10.81045
0.0,150.9375,222.5,98.0,690.5,25.78002
0.0,117.8193344,252.375,110.2916667,823.1666667,27.34237
0.0,126.0089286,255.5714286,116.2857143,746.25,30.34661
0.0,113.4602026,256.0,119.0,709.0,32.1607
0.0,121.4293194,216.3333333,88.0,519.6666667,26.86209
0.0,135.5800365,211.5,96.5,476.5,34.32622
0.0,145.2857143,209.0,90.0,501.0,39.79274
0.0,122.1508772,217.0,97.0,454.0,22.07623
0.0,123.518664,251.5,120.5,589.75,23.63634
0.0,127.8426719,208.8294574,94.89655172,592.4117647,26.33
0.0,128.7553435,215.125,97.5,546.875,34.50503
0.0,134.9196429,222.4571429,100.1428571,674.4285714,24.60767
0.0,115.7735849,206.5833333,91.375,593.9166667,28.27174
0.0,122.8181818,196.3,82.0,337.8857143,26.83899
0.0,114.8147448,261.3170732,119.5471698,732.8392857,16.16911
0.0,117.4791667,211.5,99.0,637.0,78.32357
0.0,133.3260976,214.4736842,97.57954735,596.6789474,14.60431
0.0,124.8193344,258.3125,125.5,650.8166667,24.22187
0.0,115.8419118,219.9411765,98.78235294,535.3235294,19.0054
0.0,121.1535064,222.0,100.2,438.6,16.31187
0.0,136.0,240.4848485,114.4848485,635.9565217,23.30798
0.0,95.8125,198.5,83.0,473.5,14.71583
0.0,118.5929334,203.8372093,88.07296137,587.0958904,35.29641
0.0,152.0223684,226.75,102.75,498.0,17.18582
0.0,107.0,227.0,107.0,728.0,37.97368
0.0,132.4376757,227.5698925,105.3728814,565.0362319,27.25776
0.0,136.3828452,222.8421053,102.7105263,621.7105263,31.18602
0.0,124.9606299,533.06,533.04,728.6129032,26.36099
0.0,150.5405405,209.1666667,94.5,524.5,20.23181
0.0,132.5842027,224.0397351,107.1320755,568.984127,29.20754
0.0,110.0859375,205.5,95.0,523.5,15.83538
0.0,142.1054704,190.7692308,87.07692308,579.8461538,25.80441
0.0,109.462963,224.375,97.0,690.25,16.98832
0.0,108.5828157,235.5,106.0,746.25,27.14314
0.0,118.796875,222.0,101.0,653.0,29.20754
0.0,130.8653712,198.2666667,87.83333333,336.7333333,26.27336
0.0,100.21875,193.75,86.5,438.0,21.08219
0.0,133.9336779,242.7142857,111.1428571,663.2857143,18.83654
0.0,140.7102273,219.8181818,100.7272727,595.6363636,29.48705
0.0,127.828125,224.2,106.8,643.4,23.80152
0.0,108.3958333,211.0,86.33333333,456.3333333,28.22252
0.0,115.7025,251.4,116.2,669.6,26.55965
0.0,118.3367347,228.0,108.3888889,632.3636364,24.07396
0.0,120.203125,215.9090909,101.8181818,567.6363636,21.62024
0.0,143.1273148,203.0,98.16666667,423.8333333,18.70415
0.0,134.0091236,233.3636364,110.0,733.6363636,30.31114
0.0,118.3917775,203.673913,93.19354839,453.5806452,37.04652
0.0,139.707022727,236.8636364,103.1363636,627.0909091,22.53825
0.0,134.0493421,191.125,80.875,496.8125,24.43671
0.0,140.7125,205.4,91.9,541.2,37.56515
0.0,124.5425532,465.0,368.0,439.0,8.59536
0.0,118.7100313,244.5,131.0,500.1904762,19.61292
0.0,124.8374348,242.962963,113.1686747,743.8431373,25.24141
0.0,129.8598326,203.8181818,91.0,549.2272727,22.13398
0.0,137.8494152,258.6178571,119.7857143,775.0,15.63703
0.0,105.7468575,206.95,89.5,537.5,31.36303
0.0,117.0018149,214.1456311,92.78846154,476.0,23.53908
0.0,115.6480687,211.0,96.0,604.0,19.01403
0.0,135.0664063,215.4166667,97.08333333,563.25,33.19952
0.0,135.4918794,225.9583333,102.0833333,653.25,13.81983
0.0,128.9453125,217.0,101.75,579.0,15.20485
0.0,127.0,227.75,107.5,741.0,31.82381
0.0,123.7911088,234.7058824,106.7352941,654.1764706,27.1351
0.0,93.55416506,187.9,78.5,536.5,10.1613
0.0,97.98181818,217.8333333,98.58333333,446.0,21.98941
0.0,137.9356913,206.9459459,91.10810811,519.1864407,30.10612
0.0,129.4210526,193.8,83.55555556,356.8333333,27.66184
0.0,132.553719,212.8421053,95.47368421,663.1842105,18.58554
0.0,119.5923913,222.6315789,106.4210526,594.7894737,32.36253
0.0,117.2934211,206.68,89.04,635.2,42.12267
0.0,136.0723684,204.5526316,94.5,467.8421053,10.19967
0.0,114.5625,213.1818182,93.2424242,659.5454545,29.25688
0.0,132.0137722,225.0,102.0,668.0,37.56513
0.0,124.9422096,221.2,101.8,684.8,17.64878
0.0,145.6826488,208.1447368,93.89473684,583.1578947,22.24396
0.0,126.0546875,222.5,106.75,654.0,16.73446
0.0,124.9606299,197.5,91.625,572.25,12.31164
0.0,156.5,229.0,117.0,490.0,15.27907
0.0,105.5988024,228.6666667,107.6666667,632.0,9.62759
0.0,116.2067757,209.3333333,91.94444444,535.7888889,29.90213
0.0,133.8492679,297.5855556,204.1111111,463.1944444,18.10574
0.0,135.4918794,214.8888889,97.51851852,537.5185185,20.50443
0.0,126.5179641,242.0,128.5,579.0,19.50334
0.0,142.5,259.0,105.5,809.5,15.95741
0.0,142.203125,215.1578947,97.97435897,583.3225806,37.92489
0.0,110.1531532,202.9090909,92.18181818,456.8181818,23.43741
0.0,122.9762069,247.030303,117.7454545,803.0454545,27.44494
0.0,122.8228571,240.4457219,117.9016393,602.1935484,30.96889
0.0,144.2291667,237.8888889,128.6666667,575.6666667,22.03788
0.0,143.04375,222.0,103.0,676.0,19.75036
0.0,156.40625,203.0,86.0,580.0,9.03703
0.0,156.2911392,214.5,97.5,458.0,27.37436
0.0,111.7116345,229.3529412,104.6470588,637.7647059,30.31114
0.0,137.5661861,192.1538462,79.23076923,406.1538462,12.26671
0.0,136.6340694,209.78125,91.09302326,480.71875,19.11053
0.0,117.8576159,219.9565217,101.9565217,536.95652174,26.06338
0.0,147.53125,248.0,120.3,539.5,15.66865
0.0,121.5369565,214.8653846,92.39461538,559.0,24.09241
0.0,116.9456522,214.1780822,98.22352941,604.4246575,35.07802
0.0,107.8181818,222.0,107.0,733.0,24.61495
0.0,113.1520209,200.9,89.55,516.25,26.51339
0.0,132.5037313,210.0,97.0,611.0,40.78104
0.0,123.2468856,212.0,99.9,634.6,23.88247
0.0,132.3321678,210.0869565,93.89534884,446.2608696,57.80466
0.0,126.9631579,235.0,111.7777778,765.5777778,23.33683
0.0,136.0039531,231.25,106.0,727.9166667,80.0453
0.0,127.2947368,230.5,105.0,567.25,18.50704
0.0,130.0,204.6,96.8,571.6,18.43909
0.0,138.7395833,212.5666667,103.1666667,623.8333333,31.92661
0.0,115.2955039,195.3125,85.28125,401.96875,15.07256
0.0,123.0669916,224.96,101.12,676.88,17.74319
0.0,118.203125,212.0,98.8,539.6,29.56113
0.0,110.2151928,231.0909091,103.6363636,623.2727273,35.22775
0.0,129.4372247,235.5555556,106.8888889,773.1111111,12.22127
0.0,119.8576159,231.9793814,108.2857143,682.8557692,31.80487
0.0,122.0,218.0,94.5,459.0,27.26555
0.0,135.4375,227.2,107.8,621.8,30.27672
0.0,117.8710692,208.8076923,93.84615385,571.5384615,35.47511
0.0,139.7354805,204.4285714,88.85714286,535.8571429,38.7958
0.0,115.828125,228.0,110.0,789.0,16.65945
0.0,130.696562,182.0,78.71428571,277.2857143,21.73636
0.0,137.8378192,225.0588235,104.2941176,674.0,103.53649
0.0,143.25,223.0,97.0,644.0,23.52708
0.0,117.9073519,228.1111111,107.3888889,704.6666667,25.091
0.0,145.3206522,221.25,104.625,618.25,12.15328
0.0,120.2044403,201.4051639,94.89361748,463.1489362,16.44245
0.0,148.8546875,221.9285714,103.8571429,617.7142857,17.55298
0.0,132.8676123,215.0105263,98.0,611.0789474,20.76595
0.0,142.9183652,220.0,99.1,659.6,22.26689
0.0,133.7098646,233.8571429,114.9166667,692.9361702,21.67136
