age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
40,4,212512,9,2,10,0,4,1,0,0,40,39,1
52,4,423250,14,6,6,4,2,1,0,0,20,39,0
48,4,226535,0,2,12,0,4,1,1455,0,45,39,0
18,4,323627,9,4,6,3,4,1,0,0,30,39,0
32,4,124589,15,4,8,1,4,1,0,0,14,39,0
85,1,102114,9,2,4,0,4,1,0,0,69,39,1
19,4,34100,9,4,4,1,4,1,0,0,40,39,0
44,7,94186,9,2,10,0,4,1,0,3004,60,39,1
30,0,89718,11,2,0,0,4,1,0,0,40,39,0
41,2,226129,11,4,4,1,4,1,0,0,9,39,1
37,1,235738,11,0,11,1,4,1,0,0,40,39,0
33,2,260253,9,0,10,4,1,0,0,0,55,30,0
49,4,70034,11,2,3,0,4,1,0,0,40,39,0
19,4,414812,9,4,12,3,4,0,0,0,40,39,0
31,2,472517,9,2,10,0,4,1,0,0,50,39,0
64,4,302438,11,2,10,0,4,1,99999,0,50,26,1
26,4,108907,1,5,6,4,4,1,0,0,40,39,0
47,4,277203,11,4,11,3,4,1,0,0,20,39,0
61,4,164938,15,6,4,1,4,0,0,0,20,39,0
27,4,58740,9,2,12,0,4,1,0,0,76,39,0
56,4,149734,11,4,14,3,4,1,0,1380,36,39,0
35,4,157942,11,4,11,4,4,1,0,0,20,39,0
49,6,33610,14,2,4,0,4,1,0,0,51,39,1
59,2,62865,15,4,14,1,4,1,0,0,24,39,0
22,4,223237,3,4,11,1,4,1,0,0,40,39,0
37,6,103063,8,2,3,0,4,1,0,0,40,39,0
39,4,116163,15,5,4,1,4,1,0,0,55,39,1
29,4,166758,11,2,12,0,4,1,0,0,40,39,0
51,2,109857,11,2,14,0,4,1,0,0,35,39,0
22,4,189674,15,2,3,0,1,1,0,0,40,35,0
67,1,408813,2,4,12,3,2,0,0,0,40,39,0
37,7,209792,9,4,4,1,4,1,0,0,40,39,0
32,5,64960,0,4,12,1,4,1,0,0,43,39,0
35,4,287079,11,2,4,0,4,1,0,0,45,26,1
48,8,171150,15,4,7,1,0,0,0,0,50,39,0
19,1,231991,15,4,1,1,4,0,0,0,50,39,0
19,2,273239,7,4,8,3,2,0,0,1876,20,39,0
43,4,179291,11,2,12,0,2,1,3137,0,40,39,1
30,4,232938,15,2,10,5,4,0,0,0,30,39,0
56,4,95540,12,0,10,4,4,1,0,0,50,5,0
67,4,267412,9,4,12,3,4,1,0,0,40,39,0
23,7,182504,12,5,3,1,4,0,0,0,40,39,0
31,2,341227,2,2,14,0,2,1,0,1848,40,39,1
51,4,96330,11,4,3,1,4,1,0,0,40,39,0
49,4,34572,15,2,12,0,4,1,0,0,40,39,0
61,4,39844,11,2,5,0,4,1,0,0,50,39,0
23,4,176123,6,4,3,4,4,1,0,0,40,26,0
60,4,175761,9,6,4,1,4,0,0,0,30,26,0
61,4,308493,1,4,7,1,2,1,0,0,40,39,0
17,1,410632,11,4,10,3,4,0,0,0,40,39,0
19,2,380219,6,4,11,3,3,1,0,0,40,20,0
19,2,131620,14,2,11,0,4,1,0,0,40,39,0
26,2,187635,9,2,10,0,4,1,401,0,25,39,0
21,4,98061,15,2,7,0,4,1,0,0,45,39,0
60,4,189956,8,2,9,5,4,0,34095,0,45,39,1
20,4,200508,2,2,1,0,4,1,3781,0,40,39,0
63,2,115057,6,2,14,0,4,1,0,0,20,39,0
28,1,398843,1,0,3,4,4,1,0,0,40,39,1
26,4,36243,1,6,12,4,4,0,0,0,40,39,0
61,4,192583,11,0,1,1,4,0,0,0,40,39,0
30,4,408717,15,2,4,2,0,1,0,0,34,39,0
39,4,232997,12,4,12,1,4,1,0,0,30,26,0
38,4,111095,11,4,8,3,4,1,0,0,15,39,0
33,4,104094,12,0,4,4,4,0,0,0,40,39,0
36,4,221966,9,2,4,0,4,1,0,0,40,39,0
42,4,31659,15,4,1,3,4,0,0,0,40,39,0
24,4,302626,11,2,3,2,2,1,0,0,40,39,0
48,4,201522,11,4,3,3,4,1,0,0,15,33,0
19,5,275445,9,2,10,0,4,1,0,0,46,39,0
20,4,297155,11,4,6,1,4,1,0,0,40,39,0
46,4,125194,15,2,4,0,4,1,4386,0,35,39,1
33,4,277455,8,2,11,0,4,1,0,0,85,39,1
31,4,155213,11,2,3,0,4,1,0,0,28,39,1
18,2,116103,11,6,7,1,4,0,0,0,38,39,0
31,4,317313,12,2,10,0,4,1,0,0,48,39,1
23,6,176357,12,4,10,4,4,1,0,0,82,39,0
30,4,130703,11,4,3,3,4,1,0,0,40,39,0
36,7,198262,9,0,3,1,4,1,2961,0,60,39,0
38,5,231991,9,2,4,0,4,1,0,0,45,39,1
56,4,144483,11,2,6,0,4,1,0,0,55,0,1
52,5,174767,9,2,4,1,4,1,0,0,50,39,1
20,4,393728,15,0,12,3,4,1,0,0,40,39,0
21,4,102791,0,0,9,4,4,0,0,0,30,39,0
22,1,189656,12,0,10,1,4,1,0,0,40,39,1
40,7,372130,2,0,1,1,4,0,0,0,49,39,0
51,4,224377,12,2,10,0,4,1,0,1564,50,39,1
56,4,270131,11,2,12,3,4,1,0,0,60,39,1
28,4,51158,15,2,1,5,4,0,0,0,40,7,0
33,4,118197,11,2,4,0,4,1,0,0,20,39,1
36,4,141838,11,0,1,3,4,0,0,0,7,39,0
35,2,118793,15,5,11,4,0,0,0,0,32,39,0
28,4,112008,11,6,8,4,4,0,0,0,40,39,0
