class,GLCM_pan,Mean_Green,Mean_Red,Mean_NIR,SD_pan
0,142.2421875,246.875,98.53333333,708.5454545,26.14274167
1,123.3122924,249.5,86.11627907,407.2857143,20.70635351
0,132.7789474,198.0888889,115.72,345.6896552,16.40669177
0,122.4875,234.7647059,115.72,857.4615385,7.973375138
0,120.9231415,198.4385965,75.01388889,405.9183673,41.47374338
1,129.8095515,218.9428571,237.675,403.061674,23.53908419
0,105.8125,190.3149606,81.37588652,322.2857143,20.49740636
0,147.05,218.7692308,119.1940299,392.5531915,41.47374338
0,119.1261261,216.3272059,121.3939394,194.2857143,38.58620365
0,127.9383825,241.2,95.5,798.2685185,24.5231267
0,113.3988212,182.1666667,107.0,367.6623377,28.44222916
0,128.3687542,234.6086957,123.0769231,247.5618861,15.1887751
0,133.2240056,237.4710145,109.0684932,529.6206897,24.17157908
0,135.1164163,214.3257143,163.8,461.3043478,37.17637476
0,112.1527778,186.7142857,105.5888889,465.3560372,23.85354765
0,124.8570736,228.125,92.15555556,581.0,20.68226711
0,132.4554924,289.08,75.28571429,445.9253731,31.04658077
0,133.0723926,292.4090909,106.0336134,239.7428571,13.55319713
0,105.6448864,193.3809524,110.4444444,555.6842105,34.13413085
0,121.9814264,245.9090909,105.4878049,604.6875,33.5298355
0,129.1520522,203.0240964,147.4615385,605.7428571,29.89616384
0,120.2035176,220.1666667,114.4516129,336.52,14.94549496
0,121.3692308,232.5641026,76.34545455,604.027027,37.25016677
0,126.7934224,172.5,114.6078431,665.625,49.53175811
0,122.4875,237.1428571,76.34545455,717.2,21.49282108
0,115.7630992,201.5882353,92.61904762,394.1636364,24.23382891
1,134.2448113,202.625,129.9444444,425.6,21.71783597
0,138.2625635,244.9,75.28571429,643.8867925,22.28582875
0,140.4090909,309.3181818,90.10958904,403.061674,20.69175585
0,136.4134615,223.1311475,100.6206897,323.0597015,26.74036041
0,135.5729167,227.4375,92.37078652,485.25,24.57403378
0,115.6625,225.1290323,103.0769231,405.2931034,37.15763717
0,143.75,180.7272727,123.0114943,783.0,24.73227348
0,144.9602273,184.8823529,110.0943396,558.75,45.1677237
0,108.453125,230.5609756,76.75,478.2727273,16.68272206
0,146.5893417,238.0163934,100.4444444,645.7563025,37.25016677
0,105.8125,237.1428571,96.85714286,529.5813953,34.65684548
0,112.7740864,255.3392857,90.79245283,508.4657534,18.45860233
0,127.326087,221.7752525,91.76190476,690.1111111,6.753996618
0,129.7667625,346.4479167,113.047619,257.1463415,33.02199993
0,118.28125,272.4,114.7460317,735.5111111,18.44894675
0,108.6711712,228.3888889,117.8,775.1341463,50.39592725
0,115.4557292,203.3214286,114.4307692,604.6875,24.99033603
0,124.538206,233.953125,125.0858896,528.6666667,15.00753873
0,137.5132179,216.3272059,104.7,623.6239316,17.72657341
0,138.65,216.3636364,111.4166667,397.6554054,10.92697398
0,127.4572368,196.1724138,261.0,628.3333333,21.30340726
0,124.2670025,323.7142857,86.725,446.9,49.09101988
0,135.1096904,250.4,328.4042553,476.7961165,18.77619382
0,126.120487,255.0,100.85,641.6363636,33.98728884
0,125.8369565,214.4705882,96.2,411.0789474,22.98321939
0,112.4571429,275.0,119.3225806,549.212766,23.50101274
0,115.8761261,227.1111111,87.75,496.7307692,29.04043627
0,150.7436709,439.4166667,121.8461538,654.5,29.61570929
0,129.1225962,330.0967742,97.35483871,632.0186916,24.7506597
0,141.4055556,269.4545455,147.4615385,262.3442623,16.99252321
0,138.8335057,232.6071429,97.57333333,586.6818182,37.04651731
0,122.8596166,222.9090909,115.375,743.5,16.69850293
0,133.8143236,203.2926829,147.9473684,415.8374384,26.25162551
0,132.7789474,213.6031746,98.11428571,453.0,20.15646394
0,114.3885768,275.8928571,88.28571429,381.1666667,17.17908924
0,96.1375,211.8723404,93.93333333,343.5,37.17195514
0,149.4963235,174.4646465,128.2525253,662.6190476,45.1677237
0,129.2954545,215.3793103,100.6206897,390.5384615,26.74036041
0,129.4372247,275.0,117.5,558.1153846,17.20920107
0,122.0451128,188.0634146,261.0,659.0,17.18192779
1,146.6868687,230.982906,88.5,786.4067797,28.80874655
0,123.384858,430.5744681,81.16,541.5,35.33358234
0,117.2566225,245.4285714,98.36111111,735.3409091,36.99218993
0,114.2692308,193.35,117.3043478,421.9416667,32.62582129
0,114.5708661,214.0909091,178.0,440.6602317,15.18856546
0,112.6610879,190.8,92.91208791,475.183908,26.9112401
0,139.4977477,214.1836735,99.6,858.0,25.38908596
0,128.307049,218.2631579,137.5,372.1081081,11.03303635
0,132.9221949,206.6774194,167.375,487.5833333,16.58055511
0,132.9221949,224.75,99.125,605.0789474,29.96879284
0,149.8543689,195.9668874,113.4328358,600.22,26.88789091
0,115.6081081,195.755102,122.0,594.65,26.93665409
0,116.4005236,220.7916667,93.57142857,247.5618861,38.79186205
0,134.4732143,229.3076923,168.0,553.6,30.78398901
0,118.4084152,203.9647059,120.7692308,605.0789474,14.31702737
0,135.215,218.2056075,101.2307692,407.275,30.10612138
0,138.5127238,229.1875,91.78873239,659.4,25.39912088
0,134.8348214,246.0206186,92.79166667,527.2957746,17.98273864
0,148.9125,360.976,377.8108108,686.7894737,17.9089762
0,145.6815476,247.3921569,95.44827586,785.4285714,44.8133281
0,121.2991182,238.1153846,540.0,828.75,24.56268633
0,134.0306513,220.40625,122.2,253.6111111,49.16461902
0,120.3613445,203.9647059,116.0470588,252.0666667,24.16186159
