age,workclass,fnlwgt,education,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
23,4,189832,15,4,1,1,4,0,0,0,40,39,0
41,7,188236,11,2,11,0,4,1,0,1902,40,39,1
40,2,355934,15,2,11,0,4,1,0,0,52,39,1
19,2,36467,15,4,3,1,4,1,0,0,40,39,0
34,4,428388,15,5,12,4,2,0,0,0,40,39,0
41,4,121718,15,2,14,0,4,1,0,0,45,39,1
30,4,259425,9,2,10,0,4,1,0,0,50,39,1
33,4,118551,9,2,4,5,4,0,0,0,40,39,1
20,4,32732,15,4,8,1,4,1,0,0,40,39,0
32,4,526631,11,3,7,2,4,1,0,0,40,26,0
41,6,193755,11,2,5,0,4,1,0,0,50,39,0
28,4,197565,15,2,3,0,4,1,0,0,56,39,0
76,6,72776,5,2,5,0,4,1,0,0,10,39,0
31,4,186824,11,0,8,3,4,1,0,0,40,39,0
52,4,187528,15,0,12,1,4,1,0,0,40,39,0
42,4,258758,12,2,1,5,4,0,0,0,50,39,1
68,4,45104,11,6,8,4,2,0,0,0,40,39,0
21,4,52262,15,4,12,1,4,0,0,0,30,39,0
42,4,264583,15,4,4,4,4,1,0,0,50,11,1
45,6,31240,11,2,5,0,4,1,0,0,40,39,0
26,4,439844,9,4,4,1,4,0,0,0,40,39,0
54,4,279546,11,2,8,0,2,1,0,0,40,39,0
24,4,403107,15,0,8,4,4,0,0,0,55,39,0
33,0,181091,9,2,0,0,4,1,3908,0,50,39,0
29,4,57692,15,0,1,4,4,0,0,625,40,39,0
46,4,132912,7,4,1,2,4,0,0,0,40,39,0
28,4,206472,11,2,7,0,4,1,0,0,38,39,0
32,0,128420,9,2,0,5,4,0,0,0,25,39,1
50,5,159670,11,2,3,0,4,1,0,0,40,39,0
18,4,221528,2,4,12,3,4,0,0,0,20,39,0
22,4,199266,9,4,8,3,4,0,0,0,20,39,0
30,4,149368,9,4,10,1,4,1,10520,0,55,39,1
24,4,122166,5,4,9,3,4,0,0,0,40,13,0
17,4,132626,0,4,8,3,4,1,0,0,18,39,0
28,4,90732,11,2,7,0,4,1,0,0,40,39,0
41,4,118336,15,2,4,3,2,0,0,0,50,39,1
33,4,60782,9,2,10,5,4,0,0,0,40,39,1
66,0,408365,15,2,0,0,4,1,0,0,18,39,1
17,0,252973,0,4,0,3,4,0,7178,0,20,39,1
70,4,205580,11,0,1,1,4,0,0,0,8,39,0
76,0,172657,11,2,0,0,4,1,0,0,8,39,0
51,2,192182,11,2,14,0,0,1,0,0,40,39,0
18,4,203353,15,4,1,3,4,1,0,0,35,0,0
66,6,28913,11,2,5,0,4,1,0,0,40,39,0
18,4,157612,1,4,8,2,4,0,0,0,20,39,0
32,4,250187,11,2,3,0,4,1,0,0,40,39,1
20,4,171356,15,4,8,3,4,0,0,0,25,39,0
27,4,203076,11,2,7,0,4,1,0,0,40,39,1
23,2,61397,9,4,10,1,4,0,0,0,30,39,0
40,4,145236,11,0,1,1,4,0,0,0,40,39,0
33,4,297860,11,2,3,0,4,1,0,0,40,39,0
